area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	RSWri	160:DAVID CHIU	161:ALEJANDRO FERNANDEZ
PCT7343	ED	707	144	0	0	0	33	111	1	88	22
PCT7343	MV	707	186	3	0	0	38	145	0	119	26
PCT7344	ED	1039	179	-1	0	0	38	142	2	112	28
PCT7344	MV	1039	334	-1	0	0	68	267	1	215	51
PCT7345	ED	1077	183	0	0	0	40	143	1	117	25
PCT7345	MV	1077	283	2	0	0	65	216	3	172	41
PCT7346	ED	877	168	1	0	0	35	132	1	98	33
PCT7346	MV	877	221	-1	0	1	38	183	1	140	42
PCT7347	ED	968	137	0	0	0	28	109	3	78	28
PCT7347	MV	968	279	0	0	0	50	229	2	195	32
PCT7348	ED	832	139	-1	0	0	26	114	4	76	34
PCT7348	MV	832	202	1	0	0	47	154	0	135	19
PCT7349	ED	921	147	-1	0	1	27	120	1	91	28
PCT7349	MV	921	282	0	0	0	61	221	2	189	30
PCT7501	ED	554	118	-1	0	0	33	86	1	71	14
PCT7501	MV	554	168	0	0	0	39	129	2	105	22
PCT7502	ED	741	113	1	0	0	28	84	0	67	17
PCT7502	MV	741	349	-4	0	0	88	265	6	214	45
PCT7503	ED	727	132	1	0	0	30	101	1	75	25
PCT7503	MV	727	226	2	0	1	52	171	0	151	20
PCT7504	ED	484	76	0	0	0	21	55	0	47	8
PCT7504	MV	484	158	1	0	0	36	121	3	112	6
PCT7505	ED	871	131	0	0	0	24	107	1	90	16
PCT7505	MV	871	417	1	0	0	95	321	4	288	29
PCT7506	ED	920	133	1	0	0	38	94	0	68	26
PCT7506	MV	920	252	2	0	0	52	198	1	156	41
PCT7507	ED	919	158	-1	0	0	45	114	2	81	31
PCT7507	MV	919	255	4	0	0	45	206	1	167	38
PCT7508	ED	702	106	0	0	0	26	80	1	60	19
PCT7508	MV	702	340	0	0	0	81	259	4	211	44
PCT7509	ED	909	171	-2	0	0	42	131	2	108	21
PCT7509	MV	909	319	0	0	0	51	268	2	213	53
PCT7512	ED	604	96	2	0	0	23	71	0	52	19
PCT7512	MV	604	196	2	0	0	54	140	0	106	34
PCT7513	ED	790	142	0	0	0	38	104	1	82	21
