area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	RSWri	118:GERALD PLUMMER	119:TOM PALZER	120:JOHN THOMPSON PARKER	121:DOUGLAS HOWARD PIERCE	122:HERBERT G. PETERS	123:JAMES P BRADLEY	124:ARUN K. BHUMITRA	125:JERRY JOSEPH LAWS	126:PATRICK LITTLE	127:TIM GILDERSLEEVE	128:MICHAEL FAHMY GIRGIS	129:DON J. GRUNDMANN	130:RASH BIHARI GHOSH	131:LING LING SHI	132:JOHN ''JACK'' CREW	133:ERIN CRUZ	134:DERRICK MICHAEL REID	135:DIANNE FEINSTEIN	136:COLLEEN SHEA FERNALD	137:ADRIENNE NICOLE EDWARDS	138:PAUL A TAYLOR	139:DONNIE O. TURNER	140:PAT HARRIS	141:ALISON HARTSON	142:JASON M. HANANIA	143:DAVID HILDEBRAND	144:LEE OLSON	145:ROQUE ''ROCKY'' DE LA FUENTE	146:KEVIN DE LEON	147:KEVIN MOTTUS	148:DAVID MOORE	149:MARIO NABLIBA	195:SEELAM PRABHAKAR REDDY	196:MICHAEL V. ZIESING	197:URSULA M. SCHILLING
PCT7556	MV	961	422	1	0	0	16	405	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	1	3	292	0	1	4	0	2	3	1	1	0	1	89	2	0	0	0	0	0
PCT7601	ED	744	128	-1	0	2	10	117	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	3	61	0	2	2	3	2	1	0	0	1	1	31	1	4	0	0	0	0
PCT7601	MV	744	185	3	0	1	12	169	2	1	0	0	2	1	0	2	2	0	0	0	0	1	1	0	1	6	88	0	3	4	0	7	4	1	2	2	2	36	1	0	0	0	0	0
PCT7602	ED	880	147	-3	0	1	11	138	0	0	1	2	1	0	0	1	0	1	0	0	0	1	0	2	1	1	64	2	4	2	2	3	8	0	4	0	5	31	0	0	2	0	0	0
PCT7602	MV	880	243	3	0	4	10	226	0	0	2	2	1	0	1	3	0	0	0	0	0	2	4	0	3	3	125	0	1	2	2	5	6	2	1	2	1	58	0	0	0	0	0	0
PCT7603	ED	826	152	1	0	1	4	146	0	0	0	1	1	0	1	0	0	2	0	0	0	0	0	0	0	1	77	0	2	0	0	3	12	0	2	1	2	41	0	0	0	0	0	0
PCT7603	MV	826	215	0	0	1	5	209	0	1	0	5	0	0	1	1	0	1	0	0	0	0	1	2	1	1	120	1	1	0	1	4	7	0	1	1	1	54	0	1	3	0	0	0
PCT7604	ED	906	133	0	0	1	8	124	1	0	1	2	1	1	5	1	0	1	0	0	1	0	0	1	1	1	69	3	1	2	0	4	2	0	0	0	0	23	0	2	1	0	0	0
PCT7604	MV	906	233	-2	0	2	9	224	1	1	0	4	2	0	0	2	0	0	0	0	0	1	0	0	4	2	130	0	4	7	0	2	5	0	1	3	1	50	2	1	1	0	0	0
PCT7605	ED	651	77	0	0	0	4	73	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	42	0	3	1	0	2	1	0	0	2	1	16	0	0	1	0	0	0
PCT7605	MV	651	155	3	0	3	10	139	0	0	0	1	0	1	1	1	2	0	0	0	0	0	0	0	1	1	94	0	2	1	1	1	2	0	0	0	2	25	1	1	1	0	0	0
PCT7606	ED	895	127	1	0	1	9	116	0	0	0	1	0	0	3	1	0	2	0	1	0	0	0	1	0	3	55	2	2	8	1	2	1	1	2	1	1	26	0	2	0	0	0	0
PCT7606	MV	895	212	1	0	2	9	200	1	0	1	4	1	0	5	2	1	0	0	0	0	1	2	1	1	3	104	0	4	2	1	1	3	1	0	2	1	56	0	2	0	0	0	0
PCT7607	ED	955	120	0	0	0	12	108	0	1	0	3	0	0	1	0	1	0	0	0	0	0	0	0	0	1	66	1	2	1	1	2	3	0	2	2	0	19	1	0	1	0	0	0
PCT7607	MV	955	265	-4	0	1	14	254	1	0	2	4	1	0	0	1	0	4	0	1	0	0	2	2	3	3	137	2	2	2	1	8	5	0	1	3	1	62	1	2	3	0	0	0
PCT7608	ED	388	46	1	0	0	3	42	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	2	2	28	0	0	1	0	1	0	0	0	0	0	4	0	0	0	0	0	0
PCT7608	MV	388	119	-2	0	0	15	106	0	0	1	0	1	0	0	0	0	4	1	0	0	0	3	1	1	5	67	1	3	2	0	3	2	1	0	1	1	7	0	0	1	0	0	0
PCT7609	ED	916	101	0	0	2	17	82	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	1	0	49	0	3	2	1	8	1	0	0	0	0	13	0	0	0	0	0	0
PCT7609	MV	916	297	2	0	4	37	254	2	0	0	4	5	0	3	3	2	1	0	0	1	2	7	0	2	1	170	0	7	2	0	6	4	1	3	5	0	17	1	2	3	0	0	0
PCT7611	ED	756	76	0	0	0	10	66	1	0	0	3	3	0	0	2	0	0	0	0	1	0	0	1	3	0	38	2	1	0	0	1	1	0	1	0	0	8	0	0	0	0	0	0
PCT7611	MV	756	204	2	0	1	26	175	0	0	0	1	0	1	0	4	1	2	0	0	1	1	3	0	0	1	119	3	1	0	0	2	4	2	2	2	3	20	1	1	0	0	0	0
PCT7612	ED	574	76	0	0	2	7	67	0	0	0	0	1	0	0	0	1	0	0	0	0	1	2	1	2	0	43	0	0	0	0	2	1	0	1	0	0	12	0	0	0	0	0	0
PCT7612	MV	574	210	-1	0	5	13	193	0	0	0	2	1	0	4	5	0	2	0	0	1	0	0	1	1	0	122	0	1	1	0	4	1	0	1	1	1	39	5	0	0	0	0	0
PCT7613	ED	887	140	0	0	0	9	131	0	0	0	3	0	0	0	1	1	0	1	0	0	1	1	0	1	1	73	1	6	1	1	8	1	0	1	1	0	23	1	3	1	0	0	0
PCT7613	MV	887	215	2	0	2	18	193	0	0	2	3	2	0	3	0	0	3	0	0	2	0	1	1	0	0	117	1	2	6	1	9	7	2	0	0	1	30	0	0	0	0	0	0
PCT7614	ED	1015	123	-2	0	0	14	111	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	2	0	2	66	1	0	1	0	5	2	1	3	0	1	23	0	0	0	0	0	0
PCT7614	MV	1015	238	0	0	3	14	221	2	0	0	5	1	1	7	2	2	3	0	0	0	1	2	1	0	2	138	1	1	5	0	7	4	0	1	1	0	32	1	1	0	0	0	0
PCT7615	ED	832	108	0	0	3	10	95	0	0	1	2	1	2	0	1	0	0	0	0	0	1	0	0	4	6	39	2	3	2	0	4	0	1	3	1	2	16	1	0	3	0	0	0
PCT7615	MV	832	170	0	0	0	15	155	0	0	0	2	0	0	3	1	2	0	0	1	0	0	2	0	2	4	86	3	1	6	1	4	2	1	2	4	0	25	0	2	1	0	0	0
PCT7616	ED	951	129	-1	0	0	4	126	1	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	1	0	81	0	0	0	0	6	2	0	0	1	0	29	0	1	0	0	0	0
PCT7616	MV	951	331	2	0	0	13	316	1	0	0	0	1	0	4	1	1	0	0	0	0	0	1	0	2	4	186	0	2	0	0	7	8	0	0	0	2	93	0	2	1	0	0	0
PCT7617	ED	751	84	-1	0	1	10	74	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	49	3	2	1	1	4	1	0	0	1	1	7	1	1	0	0	0	0
PCT7617	MV	751	223	2	0	1	23	197	1	1	1	1	1	0	2	1	1	2	0	0	0	0	4	0	2	3	126	3	0	4	2	6	2	1	0	3	2	22	3	2	1	0	0	0
PCT7618	ED	866	123	1	0	1	8	113	1	0	1	1	1	0	1	1	0	0	0	0	0	0	1	1	1	1	52	0	1	1	1	6	1	1	0	0	1	39	0	0	0	0	0	0
PCT7618	MV	866	272	-3	0	1	16	258	1	0	0	2	0	0	2	1	0	1	0	0	0	1	2	0	1	5	158	1	3	3	0	3	6	0	0	0	1	61	3	0	3	0	0	0
PCT7619	ED	993	154	-1	0	0	15	140	1	0	0	4	1	0	3	0	0	0	0	0	1	0	0	0	0	3	62	0	1	1	0	3	5	0	0	0	3	51	0	1	0	0	0	0
PCT7619	MV	993	308	-1	0	0	11	298	0	1	0	2	0	0	3	2	2	0	0	0	0	0	3	0	0	1	163	3	3	6	0	5	7	4	2	2	1	85	0	0	3	0	0	0
PCT7621	ED	1132	163	-1	0	0	9	155	1	0	1	1	1	1	1	0	0	5	0	0	0	0	0	0	2	0	84	0	1	1	1	4	5	1	0	1	2	40	1	1	0	0	0	0
PCT7621	MV	1132	346	3	0	3	11	329	0	0	0	4	1	1	8	1	3	6	1	0	0	0	3	0	2	4	174	3	1	6	2	3	10	1	0	1	5	86	2	1	0	0	0	0
PCT7622	ED	964	99	2	0	0	9	88	0	0	0	1	0	1	0	1	1	1	0	0	0	1	0	0	0	1	48	1	2	2	0	3	3	0	0	0	0	19	1	2	0	0	0	0
PCT7622	MV	964	193	1	0	4	17	171	1	0	0	0	1	0	4	0	2	1	1	0	0	0	1	0	6	1	102	1	1	5	1	3	6	1	1	1	1	30	0	0	0	0	0	0
PCT7623	ED	712	122	-15	0	2	7	128	1	0	0	10	0	0	1	1	0	1	0	0	0	1	2	0	2	3	57	0	0	2	8	1	4	0	1	0	0	33	0	0	0	0	0	0
PCT7623	MV	712	196	2	0	3	15	176	0	1	0	1	1	0	1	2	0	1	1	0	1	0	1	0	0	3	106	0	1	3	2	4	3	1	1	1	1	37	0	3	0	0	0	0
PCT7624	ED	905	104	1	0	0	5	98	0	1	0	3	0	0	2	0	0	0	0	0	0	0	0	1	1	0	61	0	2	2	0	5	2	0	0	0	1	16	0	1	0	0	0	0
PCT7624	MV	905	195	1	0	1	14	179	0	0	1	2	1	1	3	0	0	0	0	0	0	0	0	1	3	2	114	1	3	4	2	7	0	0	1	0	2	29	1	0	1	0	0	0
PCT7625	ED	821	73	0	0	0	14	59	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	42	2	0	3	0	3	0	0	0	0	1	5	0	0	0	0	0	0
PCT7625	MV	821	415	0	0	9	53	353	0	1	0	3	3	0	3	2	0	2	0	0	1	0	6	4	4	1	249	2	0	7	2	14	2	3	2	1	5	26	3	2	5	0	0	0
PCT7626	ED	1081	128	1	0	1	5	121	0	0	0	1	0	0	3	0	0	1	0	0	0	0	0	0	0	1	84	0	1	0	0	2	1	0	0	1	0	26	0	0	0	0	0	0
PCT7626	MV	1081	361	1	0	3	17	340	0	0	0	1	2	0	7	2	0	0	1	2	1	0	0	0	4	2	226	1	3	8	0	1	5	5	0	0	2	63	1	0	3	0	0	0
PCT7627	ED	1075	116	-1	0	1	5	111	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	3	2	70	0	0	3	0	0	2	1	0	0	1	23	1	0	0	0	0	0
PCT7627	MV	1075	319	0	0	1	11	307	0	0	1	0	0	0	10	2	0	1	0	0	0	0	0	0	4	7	207	0	3	9	0	3	5	0	2	1	2	48	0	0	2	0	0	0
PCT7628	ED	906	156	0	0	2	13	141	0	0	1	0	0	2	1	1	0	0	0	0	0	1	0	1	2	0	81	0	1	0	0	6	2	0	0	0	1	40	0	1	0	0	0	0
PCT7628	MV	906	267	0	0	2	14	251	1	0	0	2	2	0	2	0	1	1	0	0	0	0	0	1	3	0	143	0	2	5	1	9	4	0	3	0	0	68	0	2	1	0	0	0
PCT7629	ED	805	108	-1	0	0	8	101	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	55	0	1	1	0	2	1	0	2	1	0	34	0	1	0	0	0	0
PCT7629	MV	805	206	2	0	2	14	188	1	1	0	3	0	0	4	1	0	1	0	0	0	0	0	0	0	3	118	0	0	1	0	2	4	0	0	2	0	45	2	0	0	0	0	0
PCT7631	ED	1085	146	-1	0	1	12	134	0	0	0	0	0	1	2	1	1	1	0	0	0	0	0	1	1	5	74	0	1	0	2	5	2	1	0	1	0	34	1	0	0	0	0	0
PCT7631	MV	1085	339	2	0	1	19	317	0	1	0	0	1	0	8	5	0	0	0	0	0	3	3	1	3	6	187	1	3	5	0	7	10	0	0	0	3	70	0	0	0	0	0	0
PCT7632	ED	965	167	1	0	0	7	159	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	2	93	1	2	1	0	2	7	2	0	0	0	40	2	1	1	0	0	0
PCT7632	MV	965	286	0	0	1	10	275	0	0	0	2	0	0	6	0	0	0	0	0	0	1	0	0	2	5	147	1	0	2	2	1	10	0	0	3	1	90	0	2	0	0	0	0
PCT7633	ED	702	90	0	0	0	5	85	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	52	0	2	0	1	0	1	1	0	0	3	18	0	2	0	0	0	0
PCT7633	MV	702	253	0	0	2	19	232	0	0	0	0	1	0	0	2	0	2	0	0	1	0	5	0	2	4	156	0	0	4	0	4	7	1	0	1	0	40	0	0	2	0	0	0
PCT7634	ED	859	120	1	0	3	14	102	1	0	0	1	0	0	4	0	1	0	0	0	0	0	0	0	0	1	62	2	1	4	0	4	2	0	0	1	2	15	0	1	0	0	0	0
PCT7634	MV	859	291	2	0	5	11	273	0	0	3	2	0	1	3	3	2	1	0	0	0	0	3	2	2	3	191	1	2	2	0	3	4	3	0	1	2	34	1	3	1	0	0	0
PCT7635	ED	782	89	0	0	0	4	85	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	1	47	0	1	1	0	6	0	0	1	1	2	20	0	0	0	0	0	0
PCT7635	MV	782	242	3	0	1	13	225	1	1	0	3	0	1	2	0	0	3	0	0	1	0	1	0	1	4	125	1	4	2	1	4	12	3	0	0	0	54	1	0	0	0	0	0
PCT7636	ED	920	134	-1	0	0	12	123	0	0	0	2	0	1	1	1	0	1	0	0	0	0	0	0	0	2	92	0	3	0	1	0	2	1	1	0	1	14	0	0	0	0	0	0
PCT7636	MV	920	251	-1	0	1	11	240	1	0	1	1	1	0	3	0	0	1	0	0	0	0	0	0	6	5	166	0	0	3	2	1	10	1	0	0	0	37	0	0	1	0	0	0
