area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	RSWri	150:NANCY PELOSI	151:STEPHEN JAFFE	152:SHAHID BUTTAR	153:RYAN A. KHOJASTEH	154:MICHAEL GOLDSTEIN	155:LISA REMMER	156:BARRY HERMANSON
PCT7206	ED	375	88	0	0	0	4	84	1	61	8	5	3	1	3	2
PCT7206	MV	375	124	1	0	0	7	116	0	84	8	8	4	1	11	0
PCT7207	ED	744	119	0	0	0	13	106	0	77	4	11	1	2	10	1
PCT7207	MV	744	231	2	0	0	9	220	0	163	22	6	5	4	17	3
PCT7208	ED	567	76	0	0	0	5	71	0	49	5	6	4	0	6	1
PCT7208	MV	567	206	1	0	0	14	191	3	111	24	11	10	4	25	3
PCT7209	ED	586	69	0	0	0	5	64	0	47	5	4	1	1	6	0
PCT7209	MV	586	326	3	0	0	25	298	0	228	11	10	4	4	40	1
PCT7301	ED	1002	150	0	0	0	18	132	0	93	10	6	5	5	10	3
PCT7301	MV	1002	299	3	0	0	41	255	0	167	15	6	16	5	40	6
PCT7302	ED	806	121	0	0	0	15	106	0	73	3	11	3	1	13	2
PCT7302	MV	806	352	0	0	1	38	313	0	217	18	5	20	7	41	5
PCT7303	ED	986	167	-1	0	0	11	157	0	102	12	12	8	2	16	5
PCT7303	MV	986	318	1	0	1	27	289	0	205	17	16	9	9	30	3
PCT7304	ED	972	203	1	0	0	12	190	0	131	15	13	5	2	22	2
PCT7304	MV	972	330	0	0	1	27	302	1	222	19	14	7	4	33	2
PCT7305	ED	851	171	0	0	0	14	157	0	100	11	11	4	1	26	4
PCT7305	MV	851	306	-1	0	1	25	281	1	186	15	18	8	0	46	7
PCT7306	ED	1014	179	0	0	0	19	160	0	113	7	13	9	1	14	3
PCT7306	MV	1014	302	-2	0	2	32	270	2	182	16	20	9	7	31	3
PCT7307	ED	726	143	0	0	0	11	132	1	94	4	4	11	3	8	7
PCT7307	MV	726	226	2	0	0	22	202	0	134	16	16	4	5	23	4
PCT7308	ED	598	133	0	0	0	9	124	0	87	5	6	7	2	13	4
PCT7308	MV	598	204	-1	0	0	16	189	0	142	9	7	3	2	24	2
PCT7309	ED	826	160	-2	0	0	10	152	0	110	9	13	4	2	12	2
PCT7309	MV	826	209	0	0	0	20	189	0	134	10	11	2	6	25	1
PCT7311	ED	901	175	-1	0	0	15	161	0	120	8	7	9	3	14	0
PCT7311	MV	901	266	0	0	0	20	246	0	180	16	9	9	1	26	5
PCT7312	ED	810	128	0	0	0	10	118	0	84	10	4	5	2	12	1
PCT7312	MV	810	332	3	0	1	28	300	1	213	16	6	3	7	47	7
PCT7313	ED	925	135	0	0	0	8	127	0	91	6	9	10	1	6	4
PCT7313	MV	925	315	-1	0	1	24	291	1	201	18	6	14	3	44	4
PCT7314	ED	760	92	0	0	1	22	69	0	41	3	3	3	2	9	8
PCT7314	MV	760	213	-1	0	1	54	159	0	111	9	8	7	3	18	3
PCT7315	ED	725	119	0	0	0	12	107	0	80	6	10	2	1	6	2
PCT7315	MV	725	178	1	0	0	19	158	0	122	5	5	6	2	17	1
PCT7316	ED	824	122	0	0	0	8	114	0	79	6	10	6	1	11	1
PCT7316	MV	824	266	0	0	1	27	238	0	154	23	17	12	6	20	6
PCT7317	ED	886	117	0	0	0	8	109	0	71	9	8	7	1	12	1
PCT7317	MV	886	340	2	0	1	31	306	0	213	21	9	13	4	41	5
PCT7318	ED	709	123	0	0	0	18	105	0	72	5	10	5	2	8	3
PCT7318	MV	709	243	-2	0	1	32	212	0	159	11	8	10	3	17	4
PCT7319	ED	1035	182	0	0	0	13	169	0	116	15	15	4	1	14	4
PCT7319	MV	1035	296	0	0	0	32	264	0	179	11	18	11	3	37	5
PCT7321	ED	644	100	0	0	0	23	77	1	52	7	8	2	1	5	1
PCT7321	MV	644	211	0	0	1	22	188	0	126	7	9	11	4	27	4
PCT7322	ED	859	60	0	0	0	12	48	0	28	2	5	7	0	5	1
PCT7322	MV	859	304	-1	0	1	66	238	0	173	11	2	30	6	14	2
PCT7323	ED	881	146	1	0	1	15	129	0	93	11	7	2	1	14	1
PCT7323	MV	881	273	0	0	0	30	243	0	183	15	10	8	6	20	1
PCT7324	ED	687	125	0	0	0	15	110	0	74	11	7	4	1	12	1
PCT7324	MV	687	198	0	0	0	25	173	0	131	9	8	3	4	17	1
PCT7325	ED	870	150	0	0	0	18	132	0	97	11	8	0	1	9	6
PCT7325	MV	870	276	0	0	0	42	234	1	165	17	12	9	6	19	5
PCT7326	ED	853	150	1	0	0	14	135	0	100	9	7	7	1	10	1
PCT7326	MV	853	256	-1	0	1	34	222	0	143	18	15	10	1	33	2
PCT7327	ED	684	62	0	0	1	18	43	0	28	5	4	2	2	2	0
PCT7327	MV	684	277	1	0	1	44	231	0	142	13	9	17	2	42	6
PCT7328	ED	950	70	0	0	1	15	54	0	39	2	3	3	0	4	3
PCT7328	MV	950	391	0	0	2	97	292	2	214	9	8	19	5	30	5
PCT7329	ED	610	71	-1	0	0	7	65	0	44	4	1	1	4	11	0
PCT7329	MV	610	205	-2	0	0	17	190	0	122	12	5	6	4	40	1
PCT7331	ED	860	130	0	0	0	10	120	0	75	7	5	2	2	28	1
PCT7331	MV	860	357	-1	0	1	30	327	0	219	18	12	4	8	61	5
PCT7332	ED	799	154	0	0	0	13	141	0	100	12	15	5	1	5	3
PCT7332	MV	799	209	0	0	0	19	190	1	129	7	17	10	3	16	7
