area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSExh	RSTot	RSWri	178:MICHELLE BRAVO	179:LONDON BREED	180:MARK LENO	181:JANE KIM	182:RICHIE GREENBERG	183:ANGELA ALIOTO	184:AMY FARAH WEISS	185:ELLEN LEE ZHOU	200:ANTOINE R. ROGERS
PCT1147	MV	853	279	0	0	5	1	0	273	0	2	70	63	68	7	37	4	22	0
PCT1148	ED	918	121	0	0	2	4	0	115	0	1	31	24	30	4	19	0	6	0
PCT1148	MV	918	314	3	0	1	3	0	307	0	2	87	64	53	10	39	4	48	0
PCT1149	ED	873	148	-2	0	0	3	0	147	1	1	36	29	54	0	21	1	4	0
PCT1149	MV	873	285	-4	0	2	5	0	282	0	3	83	40	88	7	33	3	25	0
PCT1152	ED	838	125	-1	0	0	3	0	123	3	0	33	19	39	7	16	4	2	0
PCT1152	MV	838	286	0	0	0	7	0	279	0	1	94	48	51	4	42	3	36	0
PCT1153	ED	909	139	0	0	0	3	0	136	0	2	52	17	39	2	9	2	13	0
PCT1153	MV	909	306	-1	0	1	2	0	304	1	3	104	53	68	5	28	1	41	0
PCT7001	ED	735	119	-1	0	0	0	0	120	0	0	38	30	43	1	6	2	0	0
PCT7001	MV	735	266	1	0	3	1	0	261	0	3	98	55	61	10	20	4	10	0
PCT7002	ED	641	132	0	0	1	1	0	130	0	0	42	31	50	0	5	1	1	0
PCT7002	MV	641	173	-2	0	0	2	0	173	1	1	62	41	41	3	20	4	0	0
PCT7003	ED	864	188	-1	0	1	3	0	185	0	0	63	49	58	3	11	1	0	0
PCT7003	MV	864	340	0	0	0	3	0	337	0	2	135	100	77	5	17	0	1	0
PCT7004	ED	835	175	3	0	0	2	0	170	0	0	70	49	41	1	4	1	4	0
PCT7004	MV	835	306	1	0	0	2	0	303	1	0	121	82	76	9	7	2	5	0
PCT7005	ED	812	180	0	0	0	1	0	179	0	0	62	45	62	1	8	1	0	0
PCT7005	MV	812	295	0	0	2	2	0	291	1	1	106	94	71	2	11	2	3	0
PCT7006	ED	884	213	0	0	0	2	0	211	0	3	53	52	81	5	10	6	1	0
PCT7006	MV	884	290	-2	0	0	6	0	286	1	1	81	63	104	3	28	3	2	0
PCT7007	ED	916	233	-3	0	1	1	0	234	1	1	83	63	69	1	14	2	0	0
PCT7007	MV	916	323	1	0	1	5	0	316	1	0	110	89	87	7	22	0	0	0
PCT7008	ED	861	187	0	0	1	2	0	184	0	0	70	58	48	2	5	1	0	0
PCT7008	MV	861	345	1	0	0	6	0	338	0	0	141	103	68	2	21	0	3	0
PCT7009	ED	864	133	-2	0	0	1	0	134	0	0	47	27	49	4	4	0	3	0
PCT7009	MV	864	312	-1	0	2	6	0	305	0	2	103	88	78	9	12	2	11	0
PCT7011	ED	976	141	2	0	2	0	0	137	0	0	68	32	29	1	6	1	0	0
PCT7011	MV	976	205	0	0	0	0	0	205	0	1	87	59	41	2	12	1	2	0
PCT7012	ED	1061	224	0	0	0	3	0	221	0	0	76	64	53	9	15	2	2	0
PCT7012	MV	1061	383	-1	0	1	2	0	381	1	0	144	107	98	8	14	3	6	0
PCT7013	ED	805	132	0	0	0	1	0	131	0	0	59	33	30	0	6	2	1	0
PCT7013	MV	805	251	0	0	0	3	0	248	0	0	116	47	57	5	13	2	8	0
PCT7014	ED	1213	188	-1	0	0	2	0	187	1	0	82	40	50	4	9	1	0	0
PCT7014	MV	1213	434	1	0	0	4	0	429	1	0	177	107	108	8	19	5	4	0
PCT7015	MV	93	34	0	0	0	0	0	34	0	0	12	9	10	1	2	0	0	0
PCT7016	ED	891	112	0	0	1	1	0	110	0	0	65	16	16	1	8	0	4	0
PCT7016	MV	891	221	-1	0	2	4	0	216	1	0	109	27	30	0	12	4	33	0
PCT7017	ED	734	79	1	0	1	1	0	76	0	0	67	2	4	0	3	0	0	0
PCT7017	MV	734	167	-1	0	0	4	0	164	0	0	118	22	12	1	6	0	5	0
PCT7018	ED	908	88	-2	0	0	1	0	89	0	1	42	21	17	0	3	0	5	0
PCT7018	MV	908	343	2	0	1	2	0	338	1	2	153	40	58	7	23	2	52	0
PCT7019	ED	864	111	0	0	0	0	0	111	0	2	78	11	13	1	5	0	1	0
PCT7019	MV	864	349	-3	0	0	1	0	351	1	1	186	68	42	8	14	1	30	0
PCT7021	ED	927	129	-1	0	1	1	0	128	0	2	78	8	29	2	5	1	3	0
PCT7021	MV	927	220	-1	0	1	2	0	218	0	3	104	29	43	2	19	6	12	0
PCT7022	ED	923	164	-2	0	1	0	0	165	0	0	110	18	28	3	5	0	1	0
PCT7022	MV	923	270	0	0	1	2	0	267	0	0	148	44	48	3	9	1	14	0
PCT7023	ED	906	131	1	0	0	0	0	130	1	1	91	13	17	4	3	0	0	0
PCT7023	MV	906	301	-3	0	2	3	0	299	1	0	180	34	51	3	14	1	13	2
