area_id	registration	total_ballots	ed_ballots	mv_ballots
PCT7871	882	604	240	364
PCT7872	864	611	242	369
PCT7873	841	618	231	387
PCT7874	453	259	85	174
PCT7875	615	330	127	203
PCT7876	491	249	101	148
PCT7901	466	220	87	133
PCT7902	921	447	188	259
PCT7903	819	388	144	244
PCT7904	846	385	137	248
PCT7905	821	474	199	275
PCT7906	769	378	164	214
PCT7907	926	487	201	286
PCT7908	936	458	191	267
PCT7909	726	411	190	221
PCT7911	849	442	192	250
PCT7912	1036	529	215	314
PCT7913	887	484	240	244
PCT7914	833	461	208	253
PCT7915	802	435	213	222
PCT7916	887	504	215	289
PCT7917	983	541	254	287
PCT7918	790	425	191	234
PCT7919	857	458	217	241
PCT7921	883	361	151	210
PCT7922	797	423	182	241
PCT7923	863	443	202	241
PCT7924	806	419	172	247
PCT7925	570	305	114	191
PCT7926	768	473	177	296
PCT7927	733	476	187	289
PCT7928	899	550	253	297
PCT7929	840	567	200	367
PCT7931	732	506	189	317
PCT7932	551	337	112	225
PCT7933	8	4	0	4
PCT7934	885	523	195	328
PCT7935	938	653	283	370
PCT7936	832	572	246	326
PCT7937	874	532	223	309
PCT7938	774	409	162	247
PCT7939	667	416	186	230
PCT7941	728	403	167	236
PCT7942	893	452	166	286
PCT7943	887	511	192	319
PCT7944	769	436	201	235
PCT7945	897	412	118	294
PCT7946	909	482	134	348
PCT7947	894	455	128	327
PCT7948	900	478	165	313
PCT7949	552	302	78	224
PCT7951	830	438	97	341
PCT7952	823	388	100	288
PCT7953	795	397	103	294
PCT7954	0	0	0	0
PCT7955	854	436	116	320
PCT7956	779	348	101	247
PCT7957	623	314	97	217
PCT7958	263	117	13	104
PCT7959	695	300	110	190
PCT9001	257	109	8	101
PCT9101	833	513	190	323
PCT9102	950	517	182	335
PCT9103	924	476	174	302
PCT9104	937	508	176	332
PCT9105	888	530	191	339
PCT9106	907	547	213	334
PCT9107	806	410	164	246
PCT9108	761	405	185	220
PCT9109	848	490	205	285
PCT9111	756	376	150	226
PCT9112	918	506	211	295
PCT9113	959	582	231	351
PCT9114	820	443	170	273
PCT9115	873	459	172	287
PCT9116	903	507	193	314
PCT9117	756	465	180	285
PCT9118	923	452	184	268
PCT9119	856	475	152	323
PCT9121	890	462	188	274
PCT9122	913	423	131	292
PCT9123	829	445	175	270
PCT9124	832	440	150	290
PCT9125	822	458	159	299
PCT9126	945	536	186	350
PCT9127	908	524	209	315
PCT9128	805	484	188	296
PCT9129	713	398	173	225
PCT9131	740	425	151	274
PCT9132	827	418	167	251
PCT9133	1007	576	188	388
PCT9134	893	429	132	297
PCT9135	778	418	149	269
PCT9136	894	480	191	289
PCT9137	946	524	201	323
PCT9138	892	478	155	323
PCT9139	912	519	163	356
PCT9141	904	496	168	328
PCT9142	921	507	219	288
PCT9143	887	511	196	315
PCT9144	931	543	221	322
PCT9145	837	479	197	282
PCT9146	866	503	206	297
PCT9147	920	545	227	318
PCT9148	946	548	226	322
PCT9149	884	492	196	296
PCT9151	806	419	152	267
PCT9152	712	205	67	138
PCT9201	953	430	201	229
PCT9202	908	402	184	218
PCT9203	968	445	145	300
PCT9204	809	370	147	223
PCT9205	694	314	113	201
PCT9206	887	429	135	294
PCT9207	913	397	148	249
PCT9208	936	387	147	240
PCT9209	675	309	121	188
PCT9211	834	342	130	212
PCT9212	764	326	121	205
PCT9213	890	400	140	260
PCT9214	581	295	92	203
PCT9215	626	300	130	170
PCT9216	798	340	134	206
PCT9217	684	310	123	187
PCT9218	797	344	119	225
PCT9219	733	333	146	187
PCT9221	641	399	121	278
PCT9222	842	407	139	268
PCT9223	606	290	88	202
PCT9224	912	479	171	308
PCT9225	898	404	161	243
PCT9226	905	455	143	312
PCT9227	729	444	140	304
PCT9228	726	452	175	277
PCT9229	596	349	130	219
PCT9231	919	515	221	294
PCT9232	701	425	151	274
PCT9233	774	447	139	308
PCT9234	731	412	131	281
PCT9235	842	472	174	298
PCT9236	658	337	130	207
PCT9237	880	476	145	331
PCT9238	792	401	130	271
PCT9239	835	435	117	318
PCT9241	961	480	158	322
PCT9242	940	454	154	300
PCT9243	572	323	135	188
PCT9244	880	418	149	269
PCT9245	706	354	128	226
PCT9246	910	438	139	299
PCT9247	936	454	151	303
PCT9248	898	463	181	282
PCT9249	910	501	187	314
PCT9251	946	546	204	342
PCT9252	913	492	140	352
PCT9253	751	410	138	272
PCT9254	889	486	168	318
PCT9255	545	254	126	128
PCT9256	433	180	77	103
PCT9257	312	159	9	150
PCT9258	699	371	127	244
PCT9401	970	487	194	293
PCT9402	931	504	197	307
PCT9403	853	453	167	286
PCT9404	889	473	153	320
PCT9405	757	405	160	245
PCT9406	815	456	179	277
PCT9407	861	475	191	284
PCT9408	837	433	187	246
PCT9409	565	310	140	170
PCT9411	936	436	175	261
PCT9412	843	449	164	285
PCT9413	858	482	172	310
PCT9414	862	466	159	307
PCT9415	755	405	121	284
PCT9416	962	514	198	316
PCT9417	714	403	117	286
PCT9418	753	426	157	269
PCT9419	893	493	167	326
PCT9421	878	466	150	316
PCT9422	1010	558	200	358
PCT9423	853	439	147	292
PCT9424	910	477	146	331
PCT9425	903	449	136	313
PCT9426	801	426	143	283
PCT9427	889	462	129	333
PCT9428	892	468	122	346
PCT9429	866	481	173	308
PCT9431	954	504	152	352
PCT9432	901	462	155	307
PCT9433	912	472	155	317
PCT9434	963	537	188	349
PCT9435	934	515	195	320
PCT9436	941	498	161	337
PCT9437	873	494	170	324
PCT9438	918	465	129	336
PCT9439	827	440	126	314
PCT9441	939	542	205	337
PCT9442	970	525	200	325
PCT9443	886	442	138	304
PCT9444	901	430	118	312
PCT9445	945	496	154	342
PCT9446	1043	581	164	417
PCT9447	891	498	171	327
PCT9448	877	466	159	307
PCT9449	784	399	97	302
PCT9451	414	211	57	154
PCT9452	799	456	175	281
PCT9453	488	265	90	175
PCT9501	149	76	5	71
PCT9502	233	126	10	116
PCT9503	725	312	128	184
PCT9505	756	421	147	274
PCT9506	771	351	134	217
PCT9507	733	388	170	218
PCT9508	784	438	180	258
PCT9509	719	404	165	239
PCT9511	600	324	147	177
PCT9512	771	412	161	251
PCT9513	864	461	200	261
PCT9514	869	486	229	257
PCT9515	685	402	159	243
PCT9516	864	475	206	269
PCT9517	768	432	197	235
PCT9518	783	422	180	242
PCT9519	850	511	217	294
PCT9521	893	544	254	290
PCT9701	665	391	156	235
PCT9702	710	425	194	231
PCT9703	931	555	182	373
PCT9704	942	545	191	354
PCT9705	879	517	208	309
PCT9706	51	34	2	32
PCT9707	799	476	121	355
PCT9708	919	517	193	324
PCT9709	998	551	196	355
PCT9711	625	421	167	254
PCT9712	651	422	134	288
PCT9713	930	523	161	362
PCT9714	911	521	154	367
PCT9715	566	380	162	218
PCT9716	928	566	198	368
PCT9717	967	577	206	371
PCT9718	843	568	183	385
PCT9719	863	575	186	389
PCT9721	653	432	182	250
PCT9722	593	355	86	269
PCT9723	458	272	74	198
PCT9724	950	530	144	386
PCT9725	941	468	118	350
PCT9726	685	220	83	137
PCT9727	435	265	60	205
PCT9728	906	582	204	378
PCT9729	782	465	161	304
PCT9731	529	327	138	189
PCT9732	73	46	3	43
PCT9733	224	150	4	146
PCT9734	577	383	122	261
PCT9735	782	511	167	344
PCT9736	699	450	145	305
PCT9737	792	518	175	343
PCT9738	830	362	99	263
PCT9739	826	319	126	193
PCT9741	1022	43	19	24
PCT9742	647	321	134	187
PCT9743	1093	489	172	317
PCT9744	902	375	141	234
PCT9745	934	346	141	205
PCT9746	867	526	192	334
PCT9747	940	521	198	323
PCT9748	913	506	164	342
PCT9749	893	409	143	266
PCT9751	977	541	157	384
PCT9752	692	448	143	305
PCT9753	735	414	148	266
PCT9754	701	465	169	296
PCT9755	553	321	120	201
PCT9756	908	423	126	297
PCT9801	399	224	76	148
PCT9900	0	0	0	0
PCT9901	0	0	0	0
PCT9902	0	0	0	0
