area_id	subtotal_type	party	RSReg	RSCst	RSCnt	RSCd1	RSCd2	RSPnd	RSCha
PCT1111	ED	LIB	0						
PCT1111	ED	PF	3						
PCT1111	ED	REP	11						
PCT1111	ED	NPP	103						
PCT1111	ED	NPPALL	103						
PCT1111	MV	ALL	849	381	357			0	16
PCT1111	MV	AI	11	5	5			0	0
PCT1111	MV	AINPP	2	1	1			0	0
PCT1111	MV	DEM	450	242	230			0	12
PCT1111	MV	DEMNPP	36	31	29			0	2
PCT1111	MV	GRN	6	0	0			0	0
PCT1111	MV	LIB	4	2	2			0	0
PCT1111	MV	LIBNPP	1	1	1			0	0
PCT1111	MV	PF	4	1	1			0	0
PCT1111	MV	REP	47	25	24			0	1
PCT1111	MV	NPP	288	73	72			0	1
PCT1111	MV	NPPALL	327	106	103			0	3
PCT1112	TO	ALL	802	410	401				
PCT1112	TO	AI	8						
PCT1112	TO	DEM	424						
PCT1112	TO	GRN	0						
PCT1112	TO	LIB	4						
PCT1112	TO	PF	3						
PCT1112	TO	REP	35						
PCT1112	TO	NPP	328						
PCT1112	TO	NPPALL	328						
PCT1112	ED	ALL	159	118	118				
PCT1112	ED	AI	2						
PCT1112	ED	DEM	86						
PCT1112	ED	GRN	0						
PCT1112	ED	LIB	2						
PCT1112	ED	PF	1						
PCT1112	ED	REP	5						
PCT1112	ED	NPP	109						
PCT1112	ED	NPPALL	109						
PCT1112	MV	ALL	643	292	283			0	7
PCT1112	MV	AI	6	0	0			0	0
PCT1112	MV	AINPP	2	1	1			0	0
PCT1112	MV	DEM	338	182	175			0	7
PCT1112	MV	DEMNPP	42	32	32			0	0
PCT1112	MV	GRN	0	0	0			0	0
PCT1112	MV	LIB	2	1	1			0	0
PCT1112	MV	LIBNPP	2	2	2			0	0
PCT1112	MV	PF	2	1	1			0	0
PCT1112	MV	REP	30	14	14			0	0
PCT1112	MV	NPP	219	59	59			0	0
PCT1112	MV	NPPALL	265	94	94			0	0
PCT1113	TO	ALL	795	411	397				
PCT1113	TO	AI	9						
PCT1113	TO	DEM	419						
PCT1113	TO	GRN	0						
PCT1113	TO	LIB	1						
PCT1113	TO	PF	6						
PCT1113	TO	REP	56						
PCT1113	TO	NPP	304						
PCT1113	TO	NPPALL	304						
PCT1113	ED	ALL	120	108	108				
PCT1113	ED	AI	1						
PCT1113	ED	DEM	65						
PCT1113	ED	GRN	0						
PCT1113	ED	LIB	0						
PCT1113	ED	PF	0						
PCT1113	ED	REP	12						
PCT1113	ED	NPP	74						
PCT1113	ED	NPPALL	74						
PCT1113	MV	ALL	675	303	289			0	14
PCT1113	MV	AI	8	2	2			0	0
PCT1113	MV	AINPP	2	2	2			0	0
PCT1113	MV	DEM	354	182	171			0	11
PCT1113	MV	DEMNPP	25	21	21			0	0
PCT1113	MV	GRN	1	0	0			0	0
PCT1113	MV	LIB	2	0	0			0	0
PCT1113	MV	LIBNPP	3	1	1			0	0
PCT1113	MV	PF	6	0	0			0	0
PCT1113	MV	REP	44	27	27			0	0
PCT1113	MV	NPP	230	68	65			0	3
PCT1113	MV	NPPALL	260	92	89			0	3
PCT1114	TO	ALL	991	510	496				
PCT1114	TO	AI	26						
PCT1114	TO	DEM	541						
PCT1114	TO	GRN	7						
PCT1114	TO	LIB	5						
PCT1114	TO	PF	2						
