area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	78:SCOTT WIENER	77:ERIN SMITH	79:JACKIE FIELDER
PCT7019	ED	166	112	0	0	14	98	0	50	6	42
PCT7019	TO	900	468	0	0	49	419	0	232	53	134
PCT7021	MV	679	271	0	0	34	237	0	135	21	81
PCT7021	ED	288	159	0	1	14	144	0	75	6	63
PCT7021	TO	967	430	0	1	48	381	0	210	27	144
PCT7022	MV	770	340	0	0	26	314	0	206	18	90
PCT7022	ED	193	93	0	1	3	89	1	46	1	41
PCT7022	TO	963	433	0	1	29	403	1	252	19	131
PCT7023	MV	687	331	0	0	37	294	0	192	23	79
PCT7023	ED	233	118	0	1	9	108	1	65	3	39
PCT7023	TO	920	449	0	1	46	402	1	257	26	118
PCT7024	MV	251	51	0	1	2	48	0	27	7	14
PCT7024	ED	190	35	0	0	4	31	0	16	5	10
PCT7024	TO	441	86	0	1	6	79	0	43	12	24
PCT7025	MV	316	97	0	1	7	89	0	49	5	35
PCT7025	ED	167	66	0	0	4	62	2	24	3	33
PCT7025	TO	483	163	0	1	11	151	2	73	8	68
PCT7026	MV	819	337	0	0	24	313	0	193	52	68
PCT7026	ED	191	125	0	0	18	107	1	51	8	47
PCT7026	TO	1010	462	0	0	42	420	1	244	60	115
PCT7027	MV	677	272	0	0	33	239	0	146	35	58
PCT7027	ED	219	143	0	0	14	129	0	72	6	51
PCT7027	TO	896	415	0	0	47	368	0	218	41	109
PCT7028	MV	586	221	0	0	23	198	0	116	16	66
PCT7028	ED	270	150	0	0	18	132	0	62	6	64
PCT7028	TO	856	371	0	0	41	330	0	178	22	130
PCT7029	MV	643	209	0	1	29	179	0	94	20	65
PCT7029	ED	266	81	0	0	7	74	0	48	5	21
PCT7029	TO	909	290	0	1	36	253	0	142	25	86
PCT7030	MV	654	274	0	1	33	240	0	132	54	54
PCT7030	ED	141	80	0	0	10	70	0	32	10	28
PCT7030	TO	795	354	0	1	43	310	0	164	64	82
PCT7031	MV	622	265	0	0	20	245	0	127	56	62
PCT7031	ED	72	77	0	0	8	69	0	39	7	23
PCT7031	TO	694	342	0	0	28	314	0	166	63	85
PCT7032	MV	643	266	0	0	22	244	0	152	32	60
PCT7032	ED	238	104	0	0	13	91	0	45	7	39
PCT7032	TO	881	370	0	0	35	335	0	197	39	99
PCT7033	MV	549	214	0	0	20	194	0	123	17	54
PCT7033	ED	229	136	0	0	18	118	2	61	11	44
PCT7033	TO	778	350	0	0	38	312	2	184	28	98
PCT7034	MV	620	142	0	1	18	123	0	71	11	41
PCT7034	ED	318	110	0	0	10	100	0	59	6	35
PCT7034	TO	938	252	0	1	28	223	0	130	17	76
PCT7035	MV	567	238	0	0	14	224	0	139	28	57
PCT7035	ED	152	101	0	0	7	94	0	60	3	31
PCT7035	TO	719	339	0	0	21	318	0	199	31	88
PCT7036	MV	781	267	0	4	19	244	0	130	52	62
PCT7036	ED	193	79	0	0	8	71	0	37	4	30
PCT7036	TO	974	346	0	4	27	315	0	167	56	92
PCT7037	MV	434	64	0	1	5	58	0	33	7	18
PCT7037	ED	312	63	0	0	12	51	0	31	3	17
PCT7037	TO	746	127	0	1	17	109	0	64	10	35
PCT7038	MV	758	308	0	0	39	269	0	156	46	67
PCT7038	ED	203	105	0	0	12	93	0	40	9	44
