area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	33:ROBERT ARDINI	34:JOE WALSH	35:BILL WELD	36:ROQUE "ROCKY" DE LA FUENTE	37:MATTHEW JOHN MATERN	38:ZOLTAN G. ISTVAN	39:DONALD J. TRUMP	185:DENIS C. GRASSKA	186:ROBERT LEE MANNING JR.
PCT1149	TO	939	19	0	0	4	15	0	0	0	2	0	0	0	13	0	0
PCT1151	MV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT1151	ED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT1151	TO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT1152	MV	710	7	0	0	0	7	0	0	0	0	0	0	0	7	0	0
PCT1152	ED	180	8	0	0	0	8	0	0	0	0	0	0	0	8	0	0
PCT1152	TO	890	15	0	0	0	15	0	0	0	0	0	0	0	15	0	0
PCT1153	MV	730	19	0	0	0	19	0	0	1	3	0	0	0	15	0	0
PCT1153	ED	210	11	0	0	0	11	1	0	0	1	0	0	0	9	0	0
PCT1153	TO	940	30	0	0	0	30	1	0	1	4	0	0	0	24	0	0
PCT1154	MV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT1154	ED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT1154	TO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT7001	MV	630	7	0	0	3	4	0	0	0	0	0	1	0	3	0	0
PCT7001	ED	143	2	0	0	0	2	0	0	0	1	0	0	0	1	0	0
PCT7001	TO	773	9	0	0	3	6	0	0	0	1	0	1	0	4	0	0
PCT7002	MV	595	6	0	0	1	5	0	0	0	1	0	0	0	4	0	0
PCT7002	ED	119	2	0	0	0	2	0	0	0	1	0	0	0	1	0	0
PCT7002	TO	714	8	0	0	1	7	0	0	0	2	0	0	0	5	0	0
PCT7003	MV	759	15	0	0	3	12	0	0	1	2	0	0	0	9	0	0
PCT7003	ED	147	2	0	0	0	2	0	0	0	0	0	0	0	2	0	0
PCT7003	TO	906	17	0	0	3	14	0	0	1	2	0	0	0	11	0	0
PCT7004	MV	763	11	0	0	0	11	0	0	0	1	0	0	0	10	0	0
PCT7004	ED	150	4	0	0	0	4	0	0	0	1	0	0	0	3	0	0
PCT7004	TO	913	15	0	0	0	15	0	0	0	2	0	0	0	13	0	0
PCT7005	MV	696	5	0	0	0	5	0	0	1	0	0	0	0	4	0	0
PCT7005	ED	163	2	0	0	0	2	0	0	0	0	0	0	0	2	0	0
PCT7005	TO	859	7	0	0	0	7	0	0	1	0	0	0	0	6	0	0
PCT7006	MV	726	4	0	0	0	4	0	0	0	0	0	0	0	4	0	0
PCT7006	ED	206	3	0	0	0	3	0	0	0	0	0	0	0	3	0	0
PCT7006	TO	932	7	0	0	0	7	0	0	0	0	0	0	0	7	0	0
PCT7007	MV	775	11	0	0	2	9	0	0	0	1	1	0	0	7	0	0
PCT7007	ED	182	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0
PCT7007	TO	957	12	0	0	2	10	0	0	0	1	1	0	0	8	0	0
PCT7008	MV	732	9	0	0	1	8	0	0	0	2	1	0	0	5	0	0
PCT7008	ED	177	5	0	0	0	5	0	0	1	2	0	0	0	2	0	0
PCT7008	TO	909	14	0	0	1	13	0	0	1	4	1	0	0	7	0	0
PCT7009	MV	749	7	0	0	2	5	0	0	0	0	0	0	0	5	0	0
PCT7009	ED	122	5	0	0	0	5	0	0	0	0	0	0	0	5	0	0
PCT7009	TO	871	12	0	0	2	10	0	0	0	0	0	0	0	10	0	0
PCT7011	MV	703	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
PCT7011	ED	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT7011	TO	973	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
PCT7012	MV	996	19	0	0	1	18	0	1	0	2	0	0	0	15	0	0
PCT7012	ED	230	9	0	0	0	9	1	0	0	0	0	0	0	8	0	0
PCT7012	TO	1226	28	0	0	1	27	1	1	0	2	0	0	0	23	0	0
PCT7013	MV	983	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0
PCT7013	ED	156	2	0	0	0	2	0	0	0	0	0	0	0	2	0	0
PCT7013	TO	1139	3	0	0	0	3	0	0	1	0	0	0	0	2	0	0
PCT7014	MV	608	6	0	0	1	5	0	0	0	1	0	0	0	4	0	0
PCT7014	ED	111	2	0	0	0	2	0	0	0	0	0	0	0	2	0	0
PCT7014	TO	719	8	0	0	1	7	0	0	0	1	0	0	0	6	0	0
PCT7015	MV	128	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PCT7015	ED	-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT7015	TO	110	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PCT7016	MV	654	6	0	0	2	4	0	0	0	0	0	0	0	4	0	0
PCT7016	ED	278	3	0	0	0	3	0	0	0	0	0	0	0	3	0	0
PCT7016	TO	932	9	0	0	2	7	0	0	0	0	0	0	0	7	0	0
PCT7017	MV	539	4	0	0	0	4	0	0	0	0	0	0	0	4	0	0
PCT7017	ED	242	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0
PCT7017	TO	781	5	0	0	0	5	0	0	0	0	0	0	0	5	0	0
PCT7018	MV	846	5	0	0	0	5	0	1	0	0	0	0	0	4	0	0
PCT7018	ED	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT7018	TO	1047	5	0	0	0	5	0	1	0	0	0	0	0	4	0	0
PCT7019	MV	733	10	0	0	0	10	0	0	0	0	0	0	0	10	0	0
PCT7019	ED	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT7019	TO	900	10	0	0	0	10	0	0	0	0	0	0	0	10	0	0
PCT7021	MV	674	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0
PCT7021	ED	293	2	0	0	0	2	0	0	0	0	0	0	0	2	0	0
PCT7021	TO	967	4	0	0	2	2	0	0	0	0	0	0	0	2	0	0
PCT7022	MV	766	7	0	0	0	7	0	0	0	0	0	1	0	6	0	0
PCT7022	ED	197	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0
PCT7022	TO	963	8	0	0	0	8	0	0	0	0	0	1	0	7	0	0
PCT7023	MV	684	8	0	0	3	5	0	0	0	0	0	0	0	5	0	0
PCT7023	ED	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT7023	TO	920	8	0	0	3	5	0	0	0	0	0	0	0	5	0	0
