area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	X01401:DAVID CHIU	X01402:Starchild
PCT7036	ED	0	0	0	0	0	0	0	0	0
PCT7036	TO	0	0	0	0	0	0	0	0	0
PCT7037	MV	0	0	0	0	0	0	0	0	0
PCT7037	ED	0	0	0	0	0	0	0	0	0
PCT7037	TO	0	0	0	0	0	0	0	0	0
PCT7038	MV	0	0	0	0	0	0	0	0	0
PCT7038	ED	0	0	0	0	0	0	0	0	0
PCT7038	TO	0	0	0	0	0	0	0	0	0
PCT7039	MV	0	0	0	0	0	0	0	0	0
PCT7039	ED	0	0	0	0	0	0	0	0	0
PCT7039	TO	0	0	0	0	0	0	0	0	0
PCT7041	MV	0	0	0	0	0	0	0	0	0
PCT7041	ED	0	0	0	0	0	0	0	0	0
PCT7041	TO	0	0	0	0	0	0	0	0	0
PCT7042	MV	0	0	0	0	0	0	0	0	0
PCT7042	ED	0	0	0	0	0	0	0	0	0
PCT7042	TO	0	0	0	0	0	0	0	0	0
PCT7043	MV	0	0	0	0	0	0	0	0	0
PCT7043	ED	0	0	0	0	0	0	0	0	0
PCT7043	TO	0	0	0	0	0	0	0	0	0
PCT7044	MV	0	0	0	0	0	0	0	0	0
PCT7044	ED	0	0	0	0	0	0	0	0	0
PCT7044	TO	0	0	0	0	0	0	0	0	0
PCT7045	MV	0	0	0	0	0	0	0	0	0
PCT7045	ED	0	0	0	0	0	0	0	0	0
PCT7045	TO	0	0	0	0	0	0	0	0	0
PCT7046	MV	0	0	0	0	0	0	0	0	0
PCT7046	ED	0	0	0	0	0	0	0	0	0
PCT7046	TO	0	0	0	0	0	0	0	0	0
PCT7047	MV	0	0	0	0	0	0	0	0	0
PCT7047	ED	0	0	0	0	0	0	0	0	0
PCT7047	TO	0	0	0	0	0	0	0	0	0
PCT7048	MV	0	0	0	0	0	0	0	0	0
PCT7048	ED	0	0	0	0	0	0	0	0	0
PCT7048	TO	0	0	0	0	0	0	0	0	0
PCT7049	MV	0	0	0	0	0	0	0	0	0
PCT7049	ED	0	0	0	0	0	0	0	0	0
PCT7049	TO	0	0	0	0	0	0	0	0	0
PCT7051	MV	0	0	0	0	0	0	0	0	0
PCT7051	ED	0	0	0	0	0	0	0	0	0
PCT7051	TO	0	0	0	0	0	0	0	0	0
PCT7052	MV	0	0	0	0	0	0	0	0	0
PCT7052	ED	0	0	0	0	0	0	0	0	0
PCT7052	TO	0	0	0	0	0	0	0	0	0
PCT7053	MV	0	0	0	0	0	0	0	0	0
PCT7053	ED	0	0	0	0	0	0	0	0	0
PCT7053	TO	0	0	0	0	0	0	0	0	0
PCT7054	MV	0	0	0	0	0	0	0	0	0
PCT7054	ED	0	0	0	0	0	0	0	0	0
PCT7054	TO	0	0	0	0	0	0	0	0	0
PCT7055	MV	0	0	0	0	0	0	0	0	0
PCT7055	ED	0	0	0	0	0	0	0	0	0
PCT7055	TO	0	0	0	0	0	0	0	0	0
PCT7056	MV	0	0	0	0	0	0	0	0	0
PCT7056	ED	0	0	0	0	0	0	0	0	0
PCT7056	TO	0	0	0	0	0	0	0	0	0
PCT7101	MV	0	0	0	0	0	0	0	0	0
PCT7101	ED	0	0	0	0	0	0	0	0	0
PCT7101	TO	0	0	0	0	0	0	0	0	0
PCT7201	MV	0	0	0	0	0	0	0	0	0
PCT7201	ED	0	0	0	0	0	0	0	0	0
PCT7201	TO	0	0	0	0	0	0	0	0	0
PCT7202	MV	0	0	0	0	0	0	0	0	0
PCT7202	ED	0	0	0	0	0	0	0	0	0
PCT7202	TO	0	0	0	0	0	0	0	0	0
PCT7203	MV	0	0	0	0	0	0	0	0	0
PCT7203	ED	0	0	0	0	0	0	0	0	0
PCT7203	TO	0	0	0	0	0	0	0	0	0
PCT7204	MV	0	0	0	0	0	0	0	0	0
PCT7204	ED	0	0	0	0	0	0	0	0	0
PCT7204	TO	0	0	0	0	0	0	0	0	0
PCT7205	MV	0	0	0	0	0	0	0	0	0
PCT7205	ED	0	0	0	0	0	0	0	0	0
PCT7205	TO	0	0	0	0	0	0	0	0	0
PCT7206	MV	0	0	0	0	0	0	0	0	0
PCT7206	ED	0	0	0	0	0	0	0	0	0
PCT7206	TO	0	0	0	0	0	0	0	0	0
PCT7207	MV	0	0	0	0	0	0	0	0	0
PCT7207	ED	0	0	0	0	0	0	0	0	0
PCT7207	TO	0	0	0	0	0	0	0	0	0
PCT7208	MV	0	0	0	0	0	0	0	0	0
PCT7208	ED	0	0	0	0	0	0	0	0	0
PCT7208	TO	0	0	0	0	0	0	0	0	0
PCT7209	MV	0	0	0	0	0	0	0	0	0
PCT7209	ED	0	0	0	0	0	0	0	0	0
PCT7209	TO	0	0	0	0	0	0	0	0	0
PCT7301	MV	0	0	0	0	0	0	0	0	0
PCT7301	ED	0	0	0	0	0	0	0	0	0
PCT7301	TO	0	0	0	0	0	0	0	0	0
PCT7302	MV	0	0	0	0	0	0	0	0	0
PCT7302	ED	0	0	0	0	0	0	0	0	0
PCT7302	TO	0	0	0	0	0	0	0	0	0
PCT7303	MV	0	0	0	0	0	0	0	0	0
PCT7303	ED	0	0	0	0	0	0	0	0	0
PCT7303	TO	0	0	0	0	0	0	0	0	0
PCT7304	MV	0	0	0	0	0	0	0	0	0
PCT7304	ED	0	0	0	0	0	0	0	0	0
PCT7304	TO	0	0	0	0	0	0	0	0	0
PCT7305	MV	0	0	0	0	0	0	0	0	0
PCT7305	ED	0	0	0	0	0	0	0	0	0
PCT7305	TO	0	0	0	0	0	0	0	0	0
