area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	13:JULIÁN CASTRO	14:MICHAEL A. ELLINGER	15:ELIZABETH WARREN	16:MARIANNE WILLIAMSON	17:ANDREW YANG	18:ROQUE "ROCKY" DE LA FUENTE III	19:JOHN K. DELANEY	20:AMY KLOBUCHAR	21:BERNIE SANDERS	22:JOE SESTAK	23:TOM STEYER	24:DEVAL PATRICK	25:MICHAEL BENNET	26:MICHAEL R. BLOOMBERG	27:MOSIE BOYD	28:CORY BOOKER	29:PETE BUTTIGIEG	30:JOSEPH R. BIDEN	31:TULSI GABBARD	32:MARK STEWART GREENSTEIN	178:NAKIA L. ANTHONY	179:DAPHNE DENISE BRADFORD	180:WILLIE FELIX CARTER	181:MICHAEL DENAME	182:JEFFREY H. DROBMAN	183:ROBERT JORDAN	184:HEATHER MARIE STAGG
PCT1119	ED	139	69	0	0	0	69	0	0	0	13	0	0	0	0	0	42	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0
PCT1119	TO	797	146	0	0	0	146	0	0	0	24	0	2	0	0	1	67	0	1	0	0	18	0	0	4	29	0	0	0	0	0	0	0	0	0
PCT1121	MV	556	74	0	0	3	71	0	0	0	4	0	1	0	0	2	28	0	2	0	0	16	0	0	1	16	0	1	0	0	0	0	0	0	0
PCT1121	ED	149	71	0	0	0	71	0	0	0	9	0	0	0	0	0	30	0	0	0	0	11	0	0	1	20	0	0	0	0	0	0	0	0	0
PCT1121	TO	705	145	0	0	3	142	0	0	0	13	0	1	0	0	2	58	0	2	0	0	27	0	0	2	36	0	1	0	0	0	0	0	0	0
PCT1122	MV	518	36	0	0	0	36	0	0	0	2	0	4	0	0	2	14	0	1	0	0	3	0	0	3	6	0	1	0	0	0	0	0	0	0
PCT1122	ED	119	60	0	0	1	59	0	0	0	9	0	0	0	0	0	33	0	0	0	0	4	0	0	1	12	0	0	0	0	0	0	0	0	0
PCT1122	TO	637	96	0	0	1	95	0	0	0	11	0	4	0	0	2	47	0	1	0	0	7	0	0	4	18	0	1	0	0	0	0	0	0	0
PCT1123	MV	720	47	0	0	0	47	0	0	0	8	0	3	0	0	0	18	1	2	0	0	7	0	0	0	8	0	0	0	0	0	0	0	0	0
PCT1123	ED	218	84	0	0	0	84	0	1	0	15	0	1	0	0	0	40	0	0	0	0	2	0	0	0	25	0	0	0	0	0	0	0	0	0
PCT1123	TO	938	131	0	0	0	131	0	1	0	23	0	4	0	0	0	58	1	2	0	0	9	0	0	0	33	0	0	0	0	0	0	0	0	0
PCT1124	MV	616	61	0	1	0	60	0	0	0	4	0	6	0	0	0	19	0	2	0	2	10	0	0	3	12	1	1	0	0	0	0	0	0	0
PCT1124	ED	213	60	0	0	0	60	0	0	0	7	0	0	0	0	0	34	0	0	0	0	8	0	1	0	10	0	0	0	0	0	0	0	0	0
PCT1124	TO	829	121	0	1	0	120	0	0	0	11	0	6	0	0	0	53	0	2	0	2	18	0	1	3	22	1	1	0	0	0	0	0	0	0
PCT1125	MV	913	106	0	0	0	106	0	0	0	9	0	6	0	0	2	38	0	4	0	0	22	0	0	10	13	2	0	0	0	0	0	0	0	0
PCT1125	ED	184	60	0	0	1	59	0	0	1	7	0	0	0	0	0	25	0	0	0	0	7	0	0	0	18	1	0	0	0	0	0	0	0	0
PCT1125	TO	1097	166	0	0	1	165	0	0	1	16	0	6	0	0	2	63	0	4	0	0	29	0	0	10	31	3	0	0	0	0	0	0	0	0
PCT1126	MV	811	101	0	0	3	98	0	0	0	8	0	4	0	0	1	39	0	2	0	0	17	0	0	6	18	0	3	0	0	0	0	0	0	0
PCT1126	ED	201	63	0	0	0	63	0	0	0	11	0	0	0	1	0	25	0	0	0	0	6	0	0	0	20	0	0	0	0	0	0	0	0	0
PCT1126	TO	1012	164	0	0	3	161	0	0	0	19	0	4	0	1	1	64	0	2	0	0	23	0	0	6	38	0	3	0	0	0	0	0	0	0
PCT1127	MV	742	75	0	0	1	74	0	0	0	7	0	7	0	0	4	23	0	0	0	0	8	0	0	8	17	0	0	0	0	0	0	0	0	0
PCT1127	ED	223	83	0	0	1	82	0	0	0	14	0	0	0	0	1	38	0	0	0	0	9	0	0	0	20	0	0	0	0	0	0	0	0	0
PCT1127	TO	965	158	0	0	2	156	0	0	0	21	0	7	0	0	5	61	0	0	0	0	17	0	0	8	37	0	0	0	0	0	0	0	0	0
PCT1128	MV	733	79	0	3	2	74	0	0	0	2	0	6	0	0	3	28	0	4	0	0	12	0	0	8	11	0	0	0	0	0	0	0	0	0
PCT1128	ED	146	52	0	0	0	52	0	0	0	12	0	0	0	0	0	24	0	0	0	0	5	0	0	0	11	0	0	0	0	0	0	0	0	0
PCT1128	TO	879	131	0	3	2	126	0	0	0	14	0	6	0	0	3	52	0	4	0	0	17	0	0	8	22	0	0	0	0	0	0	0	0	0
PCT1129	MV	786	93	0	0	0	93	0	0	0	4	0	3	0	1	2	45	1	1	0	1	17	0	0	1	16	1	0	0	0	0	0	0	0	0
PCT1129	ED	250	91	0	0	1	90	0	0	0	8	0	0	0	0	0	45	1	1	0	0	6	0	0	0	27	2	0	0	0	0	0	0	0	0
PCT1129	TO	1036	184	0	0	1	183	0	0	0	12	0	3	0	1	2	90	2	2	0	1	23	0	0	1	43	3	0	0	0	0	0	0	0	0
PCT1131	MV	693	63	0	0	2	61	0	2	0	5	1	5	1	1	2	14	0	2	0	0	9	0	0	7	11	1	0	0	0	0	0	0	0	0
PCT1131	ED	167	54	0	0	0	54	0	0	0	7	0	0	0	1	0	22	0	1	0	0	6	0	0	0	16	1	0	0	0	0	0	0	0	0
PCT1131	TO	860	117	0	0	2	115	0	2	0	12	1	5	1	2	2	36	0	3	0	0	15	0	0	7	27	2	0	0	0	0	0	0	0	0
PCT1132	MV	835	96	0	0	2	94	0	0	0	13	0	8	0	0	1	35	0	1	0	0	15	0	0	5	16	0	0	0	0	0	0	0	0	0
PCT1132	ED	197	57	0	0	3	54	0	0	0	6	0	1	0	0	0	24	0	0	0	0	6	0	0	0	17	0	0	0	0	0	0	0	0	0
