area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	87:KULVINDAR "RANI" SINGH	88:CAROLYN GOLD
PCT7019	ED	167	73	0	0	13	60	0	25	35
PCT7019	TO	900	424	0	2	71	351	0	175	176
PCT7021	MV	679	268	0	0	59	209	0	82	127
PCT7021	ED	288	106	0	0	19	87	3	20	64
PCT7021	TO	967	374	0	0	78	296	3	102	191
PCT7022	MV	770	301	0	0	50	251	0	121	130
PCT7022	ED	193	54	0	0	4	50	0	19	31
PCT7022	TO	963	355	0	0	54	301	0	140	161
PCT7023	MV	687	328	0	0	51	277	0	146	131
PCT7023	ED	233	71	0	0	7	64	0	23	41
PCT7023	TO	920	399	0	0	58	341	0	169	172
PCT7024	MV	251	50	0	0	4	46	0	18	28
PCT7024	ED	190	20	0	0	7	13	1	1	11
PCT7024	TO	441	70	0	0	11	59	1	19	39
PCT7025	MV	316	93	0	0	14	79	0	32	47
PCT7025	ED	167	39	0	0	4	35	1	9	25
PCT7025	TO	483	132	0	0	18	114	1	41	72
PCT7026	MV	818	332	0	0	63	269	0	134	135
PCT7026	ED	192	72	0	1	11	60	2	27	31
PCT7026	TO	1010	404	0	1	74	329	2	161	166
PCT7027	MV	676	266	0	0	52	214	0	110	104
PCT7027	ED	220	96	0	0	15	81	1	29	51
PCT7027	TO	896	362	0	0	67	295	1	139	155
PCT7028	MV	585	215	0	0	32	183	0	89	94
PCT7028	ED	271	97	0	0	23	74	0	30	44
PCT7028	TO	856	312	0	0	55	257	0	119	138
PCT7029	MV	642	205	0	0	46	159	0	53	106
PCT7029	ED	267	39	0	0	6	33	1	14	18
PCT7029	TO	909	244	0	0	52	192	1	67	124
PCT7030	MV	654	274	0	1	52	221	0	115	106
PCT7030	ED	141	58	0	0	6	52	3	26	23
PCT7030	TO	795	332	0	1	58	273	3	141	129
PCT7031	MV	621	257	0	0	47	210	0	85	125
PCT7031	ED	73	48	0	0	13	35	0	17	18
PCT7031	TO	694	305	0	0	60	245	0	102	143
PCT7032	MV	642	264	0	0	46	218	0	100	118
PCT7032	ED	239	51	0	0	7	44	0	11	33
PCT7032	TO	881	315	0	0	53	262	0	111	151
PCT7033	MV	549	210	0	0	29	181	0	79	102
PCT7033	ED	229	86	0	0	15	71	0	19	52
PCT7033	TO	778	296	0	0	44	252	0	98	154
PCT7034	MV	620	136	0	1	31	104	0	35	69
PCT7034	ED	318	57	0	0	17	40	0	12	28
PCT7034	TO	938	193	0	1	48	144	0	47	97
PCT7035	MV	567	232	0	0	28	204	0	119	85
PCT7035	ED	152	52	0	0	11	41	1	11	29
PCT7035	TO	719	284	0	0	39	245	1	130	114
PCT7036	MV	780	259	0	1	43	215	0	105	110
PCT7036	ED	194	39	0	0	1	38	0	14	24
PCT7036	TO	974	298	0	1	44	253	0	119	134
PCT7037	MV	433	62	0	1	9	52	0	23	29
PCT7037	ED	313	38	0	0	13	25	0	7	18
PCT7037	TO	746	100	0	1	22	77	0	30	47
PCT7038	MV	758	304	0	1	63	240	0	122	118
PCT7038	ED	203	58	0	0	9	49	0	20	29
PCT7038	TO	961	362	0	1	72	289	0	142	147
PCT7039	MV	636	240	0	0	54	186	0	90	96
PCT7039	ED	201	104	0	0	18	86	1	39	46
PCT7039	TO	837	344	0	0	72	272	1	129	142
PCT7041	MV	70	29	0	0	7	22	0	12	10
PCT7041	ED	-4	0	0	0	0	0	0	0	0
PCT7041	TO	66	29	0	0	7	22	0	12	10
PCT7042	MV	514	219	0	0	38	181	0	79	102
PCT7042	ED	146	58	0	0	8	50	0	19	31
PCT7042	TO	660	277	0	0	46	231	0	98	133
PCT7043	MV	754	290	0	0	43	247	0	120	127
PCT7043	ED	224	78	0	0	9	69	0	19	50
PCT7043	TO	978	368	0	0	52	316	0	139	177
PCT7044	MV	586	133	0	1	10	122	0	59	63
PCT7044	ED	266	33	0	0	8	25	1	8	16
PCT7044	TO	852	166	0	1	18	147	1	67	79
PCT7045	MV	632	264	0	0	53	211	0	127	84
PCT7045	ED	154	53	0	0	15	38	0	13	25
PCT7045	TO	786	317	0	0	68	249	0	140	109
PCT7046	MV	334	130	0	0	23	107	0	56	51
PCT7046	ED	96	48	0	0	8	40	0	18	22
PCT7046	TO	430	178	0	0	31	147	0	74	73
PCT7047	MV	730	309	0	0	51	258	0	133	125
PCT7047	ED	153	62	0	0	15	47	1	15	31
PCT7047	TO	883	371	0	0	66	305	1	148	156
PCT7048	MV	685	263	0	0	47	216	0	99	117
PCT7048	ED	196	56	0	0	11	45	2	17	26
PCT7048	TO	881	319	0	0	58	261	2	116	143
PCT7049	MV	616	239	0	0	41	198	0	93	105
PCT7049	ED	210	70	0	0	13	57	0	29	28
PCT7049	TO	826	309	0	0	54	255	0	122	133
PCT7051	MV	715	301	0	0	73	228	0	127	101
PCT7051	ED	165	70	0	0	17	53	3	16	34
PCT7051	TO	880	371	0	0	90	281	3	143	135
PCT7052	MV	721	291	0	0	52	239	0	132	107
PCT7052	ED	185	84	0	0	11	73	0	35	38
PCT7052	TO	906	375	0	0	63	312	0	167	145
PCT7053	MV	542	226	0	0	47	179	0	105	74
PCT7053	ED	43	40	0	0	10	30	0	15	15
PCT7053	TO	585	266	0	0	57	209	0	120	89
PCT7054	MV	862	305	0	0	52	253	0	123	130
PCT7054	ED	274	105	0	1	20	84	1	31	52
PCT7054	TO	1136	410	0	1	72	337	1	154	182
PCT7055	MV	732	289	0	0	56	233	0	141	92
PCT7055	ED	94	76	0	0	19	57	0	29	28
PCT7055	TO	826	365	0	0	75	290	0	170	120
PCT7056	MV	618	269	0	0	48	221	0	135	86
PCT7056	ED	87	119	0	0	20	99	1	46	52
PCT7056	TO	705	388	0	0	68	320	1	181	138
PCT7101	MV	162	99	0	0	17	82	0	41	41
PCT7101	ED	-15	0	0	0	0	0	0	0	0
PCT7101	TO	147	99	0	0	17	82	0	41	41
PCT7201	MV	788	374	0	0	75	299	0	174	125
PCT7201	ED	147	98	0	0	25	73	0	40	33
PCT7201	TO	935	472	0	0	100	372	0	214	158
PCT7202	MV	707	303	0	0	71	232	0	142	90
PCT7202	ED	144	123	0	0	28	95	0	46	49
PCT7202	TO	851	426	0	0	99	327	0	188	139
PCT7203	MV	693	316	0	0	84	232	0	132	100
PCT7203	ED	186	148	0	0	41	107	1	44	62
PCT7203	TO	879	464	0	0	125	339	1	176	162
PCT7204	MV	773	411	0	0	79	332	0	197	135
PCT7204	ED	126	116	0	0	32	84	2	43	39
PCT7204	TO	899	527	0	0	111	416	2	240	174
PCT7205	MV	724	357	0	0	76	281	0	167	114
PCT7205	ED	147	133	0	0	29	104	1	53	50
PCT7205	TO	871	490	0	0	105	385	1	220	164
PCT7206	MV	299	127	0	0	30	97	0	52	45
PCT7206	ED	78	76	0	0	17	59	0	35	24
PCT7206	TO	377	203	0	0	47	156	0	87	69
PCT7207	MV	744	329	0	0	59	270	0	137	133
PCT7207	ED	123	117	0	0	32	85	1	33	51
PCT7207	TO	867	446	0	0	91	355	1	170	184
PCT7208	MV	492	248	0	1	50	197	0	113	84
PCT7208	ED	78	60	0	0	13	47	0	24	23
PCT7208	TO	570	308	0	1	63	244	0	137	107
PCT7209	MV	595	338	0	0	88	250	0	167	83
PCT7209	ED	52	63	0	0	13	50	1	22	27
PCT7209	TO	647	401	0	0	101	300	1	189	110
PCT7301	MV	812	312	0	0	60	252	0	128	124
PCT7301	ED	202	112	0	0	22	90	0	45	45
PCT7301	TO	1014	424	0	0	82	342	0	173	169
PCT7302	MV	713	345	0	0	80	265	0	153	112
PCT7302	ED	136	116	0	0	31	85	1	48	36
PCT7302	TO	849	461	0	0	111	350	1	201	148
PCT7303	MV	869	370	0	0	85	285	0	155	130
PCT7303	ED	199	141	0	0	35	106	2	53	51
PCT7303	TO	1068	511	0	0	120	391	2	208	181
PCT7304	MV	802	359	0	0	76	283	0	194	89
PCT7304	ED	199	163	0	0	29	134	0	64	70
PCT7304	TO	1001	522	0	0	105	417	0	258	159
PCT7305	MV	713	372	0	0	96	276	0	173	103
PCT7305	ED	154	141	0	0	38	103	0	59	44
PCT7305	TO	867	513	0	0	134	379	0	232	147
PCT7306	MV	801	365	0	0	88	277	0	163	114
PCT7306	ED	243	152	0	0	37	115	1	50	64
PCT7306	TO	1044	517	0	0	125	392	1	213	178
PCT7307	MV	605	264	0	0	49	215	0	133	82
PCT7307	ED	169	101	0	0	25	76	2	35	39
PCT7307	TO	774	365	0	0	74	291	2	168	121
PCT7308	MV	520	249	0	0	51	198	0	125	73
PCT7308	ED	105	126	0	0	27	99	0	52	47
PCT7308	TO	625	375	0	0	78	297	0	177	120
PCT7309	MV	691	317	0	0	74	243	0	139	104
PCT7309	ED	167	156	0	0	45	111	3	52	56
PCT7309	TO	858	473	0	0	119	354	3	191	160
PCT7311	MV	698	325	0	0	70	255	0	166	89
PCT7311	ED	208	169	0	0	41	128	5	64	59
PCT7311	TO	906	494	0	0	111	383	5	230	148
PCT7312	MV	699	384	0	0	92	292	0	215	77
PCT7312	ED	111	120	0	0	26	94	2	63	29
PCT7312	TO	810	504	0	0	118	386	2	278	106
PCT7313	MV	818	365	0	2	75	288	0	162	126
