area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	85:DOROTHY CHOU PROUDFOOT	86:MICHELLE TONG
PCT7314	ED	147	85	0	0	19	66	1	40	25
PCT7314	TO	759	311	0	0	53	258	1	144	113
PCT7315	MV	570	206	0	0	31	175	0	83	92
PCT7315	ED	195	135	0	0	29	106	0	34	72
PCT7315	TO	765	341	0	0	60	281	0	117	164
PCT7316	MV	654	261	0	0	54	207	0	89	118
PCT7316	ED	178	131	0	0	36	95	0	27	68
PCT7316	TO	832	392	0	0	90	302	0	116	186
PCT7317	MV	744	350	0	0	68	282	0	155	127
PCT7317	ED	146	114	0	0	30	84	1	44	39
PCT7317	TO	890	464	0	0	98	366	1	199	166
PCT7318	MV	605	293	0	0	61	232	0	129	103
PCT7318	ED	118	108	0	0	34	74	0	35	39
PCT7318	TO	723	401	0	0	95	306	0	164	142
PCT7319	MV	861	345	0	0	79	266	0	124	142
PCT7319	ED	188	185	0	0	51	134	1	61	72
PCT7319	TO	1049	530	0	0	130	400	1	185	214
PCT7321	MV	557	202	0	4	34	164	0	78	86
PCT7321	ED	102	85	0	0	27	58	0	22	36
PCT7321	TO	659	287	0	4	61	222	0	100	122
PCT7322	MV	742	294	0	2	60	232	0	114	118
PCT7322	ED	146	50	0	1	9	40	0	11	29
PCT7322	TO	888	344	0	3	69	272	0	125	147
PCT7323	MV	790	368	0	0	78	290	0	168	122
PCT7323	ED	166	160	0	0	41	119	0	50	69
PCT7323	TO	956	528	0	0	119	409	0	218	191
PCT7324	MV	587	260	0	0	54	206	0	98	108
PCT7324	ED	150	89	0	1	31	57	1	22	34
PCT7324	TO	737	349	0	1	85	263	1	120	142
PCT7325	MV	714	327	0	0	78	249	0	112	137
PCT7325	ED	172	124	0	0	28	96	1	35	60
PCT7325	TO	886	451	0	0	106	345	1	147	197
PCT7326	MV	685	304	0	2	56	246	0	125	121
PCT7326	ED	174	159	0	0	46	113	1	51	61
PCT7326	TO	859	463	0	2	102	359	1	176	182
PCT7327	MV	561	230	0	2	35	193	0	103	90
PCT7327	ED	126	49	0	0	11	38	0	15	23
PCT7327	TO	687	279	0	2	46	231	0	118	113
PCT7328	MV	829	333	0	0	65	268	0	144	124
PCT7328	ED	173	67	0	0	18	49	1	15	33
PCT7328	TO	1002	400	0	0	83	317	1	159	157
PCT7329	MV	556	227	0	0	51	176	0	111	65
PCT7329	ED	95	78	0	0	24	54	2	31	21
PCT7329	TO	651	305	0	0	75	230	2	142	86
PCT7331	MV	710	361	0	3	75	283	0	174	109
PCT7331	ED	160	162	0	0	52	110	1	67	42
PCT7331	TO	870	523	0	3	127	393	1	241	151
PCT7332	MV	654	264	0	2	53	209	0	94	115
PCT7332	ED	136	149	0	1	27	121	0	41	80
PCT7332	TO	790	413	0	3	80	330	0	135	195
PCT7333	MV	822	390	0	1	70	319	0	153	166
PCT7333	ED	193	224	0	0	63	161	1	86	74
PCT7333	TO	1015	614	0	1	133	480	1	239	240
PCT7334	MV	688	307	0	0	55	252	0	119	133
PCT7334	ED	131	135	0	0	38	97	1	40	56
PCT7334	TO	819	442	0	0	93	349	1	159	189
PCT7335	MV	788	389	0	0	90	299	0	164	135
PCT7335	ED	146	191	0	0	53	138	1	66	71
PCT7335	TO	934	580	0	0	143	437	1	230	206
PCT7336	MV	779	405	0	0	98	307	0	164	143
PCT7336	ED	175	178	0	0	55	123	0	48	75
PCT7336	TO	954	583	0	0	153	430	0	212	218
PCT7337	MV	772	386	0	0	82	304	0	163	141
PCT7337	ED	125	112	0	0	20	92	0	52	40
PCT7337	TO	897	498	0	0	102	396	0	215	181
PCT7338	MV	770	360	0	1	84	275	0	156	119
PCT7338	ED	125	91	0	0	18	73	0	27	46
PCT7338	TO	895	451	0	1	102	348	0	183	165
PCT7339	MV	605	270	0	0	49	221	0	106	115
PCT7339	ED	150	122	0	0	21	101	0	54	47
PCT7339	TO	755	392	0	0	70	322	0	160	162
PCT7341	MV	675	291	0	0	63	228	0	87	141
PCT7341	ED	178	160	0	0	34	126	2	54	70
PCT7341	TO	853	451	0	0	97	354	2	141	211
PCT7342	MV	674	324	0	0	56	268	0	121	147
PCT7342	ED	230	245	0	0	57	188	2	84	102
PCT7342	TO	904	569	0	0	113	456	2	205	249
PCT7343	MV	554	252	0	0	49	203	0	86	117
PCT7343	ED	150	150	0	0	34	116	1	40	75
PCT7343	TO	704	402	0	0	83	319	1	126	192
PCT7344	MV	863	392	0	0	93	299	0	141	158
PCT7344	ED	201	211	0	0	50	161	1	60	100
PCT7344	TO	1064	603	0	0	143	460	1	201	258
