area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	89:KAT ANDERSON	90:NADIA RAHMAN	91:MANO RAJU	92:ABRA PAULINE CASTLE	93:QUEENA CHEN	94:CYN WANG	95:LEAH LACROIX	96:SUZY LOFTUS	97:LI MIAO LOVETT	98:JANICE LI	99:JANE NATOLI	100:AHSHA SAFAI	101:GORDON MAR	102:SEEYEW MO	103:FAAUUGA MOLIGA	104:PAUL MIYAMOTO	105:MARY JUNG	106:KEITH BARAKA	107:KELLY AKEMI GROTH	108:A. J. THOMAS	109:MAWULI TUGBENYOH
PCT9133	MV	493	274	0	1	1306	1424	0	36	35	97	33	94	51	87	77	89	89	46	48	112	37	67	62	65	88	79	104	28
PCT9133	ED	137	176	0	0	973	787	0	31	19	47	18	46	23	49	43	45	60	21	34	70	16	46	22	31	52	45	52	17
PCT9133	TO	630	450	0	1	2279	2211	0	67	54	144	51	140	74	136	120	134	149	67	82	182	53	113	84	96	140	124	156	45
PCT9134	MV	452	228	0	0	1284	996	0	35	23	63	20	67	27	64	51	53	76	35	30	74	16	63	40	38	71	60	75	15
PCT9134	ED	82	140	0	0	906	494	0	19	9	36	14	33	15	30	18	29	33	16	17	34	10	26	17	21	35	32	41	9
PCT9134	TO	534	368	0	0	2190	1490	0	54	32	99	34	100	42	94	69	82	109	51	47	108	26	89	57	59	106	92	116	24
PCT9135	MV	346	197	0	1	1067	893	0	33	18	56	22	48	32	52	55	53	53	35	29	67	20	46	44	43	62	51	62	12
PCT9135	ED	104	116	0	0	705	455	0	18	20	29	16	28	11	26	25	26	29	16	11	35	8	24	15	17	32	28	32	9
PCT9135	TO	450	313	0	1	1772	1348	0	51	38	85	38	76	43	78	80	79	82	51	40	102	28	70	59	60	94	79	94	21
PCT9136	MV	427	266	0	0	1399	1261	0	32	25	88	20	78	30	95	51	82	77	48	40	103	22	76	51	51	101	81	90	20
PCT9136	ED	109	136	0	0	774	586	0	19	14	51	8	43	17	34	25	35	33	17	17	46	12	36	19	17	48	42	47	6
PCT9136	TO	536	402	0	0	2173	1847	0	51	39	139	28	121	47	129	76	117	110	65	57	149	34	112	70	68	149	123	137	26
PCT9137	MV	440	269	0	0	1259	1431	0	48	37	96	22	90	51	96	75	82	86	56	59	114	31	73	65	66	88	75	95	26
PCT9137	ED	115	137	0	0	787	583	0	22	15	41	14	40	14	48	24	31	35	20	15	47	6	39	22	29	39	29	45	8
PCT9137	TO	555	406	0	0	2046	2014	0	70	52	137	36	130	65	144	99	113	121	76	74	161	37	112	87	95	127	104	140	34
PCT9138	MV	436	268	0	0	1217	1463	0	39	32	92	16	92	49	91	78	83	88	59	45	120	35	75	79	80	100	80	96	34
PCT9138	ED	91	122	0	0	701	519	0	17	8	28	13	36	9	33	27	36	41	14	18	39	8	33	24	26	40	25	36	8
PCT9138	TO	527	390	0	0	1918	1982	0	56	40	120	29	128	58	124	105	119	129	73	63	159	43	108	103	106	140	105	132	42
PCT9139	MV	461	274	0	1	1338	1392	0	48	25	89	21	81	47	85	71	87	91	49	60	112	30	83	66	68	86	79	85	29
PCT9139	ED	116	143	0	0	848	582	0	27	19	33	13	39	16	36	39	32	39	24	19	40	13	24	20	32	35	28	36	18
PCT9139	TO	577	417	0	1	2186	1974	0	75	44	122	34	120	63	121	110	119	130	73	79	152	43	107	86	100	121	107	121	47
PCT9141	MV	454	285	0	0	1392	1458	0	43	36	86	23	96	61	74	73	83	96	61	58	107	33	73	80	85	90	69	88	43
PCT9141	ED	110	128	0	0	755	525	0	16	11	38	6	33	18	30	28	33	30	16	10	35	14	33	26	29	42	28	35	14
PCT9141	TO	564	413	0	0	2147	1983	0	59	47	124	29	129	79	104	101	116	126	77	68	142	47	106	106	114	132	97	123	57
PCT9142	MV	431	256	0	2	1144	1396	0	47	27	91	21	88	52	90	60	83	103	51	54	108	35	68	57	67	89	82	95	28
PCT9142	ED	134	187	0	1	1098	762	0	25	16	51	14	49	27	48	30	50	50	25	19	57	13	53	28	35	55	43	59	15
PCT9142	TO	565	443	0	3	2242	2158	0	72	43	142	35	137	79	138	90	133	153	76	73	165	48	121	85	102	144	125	154	43
PCT9143	MV	404	239	0	1	1174	1206	0	27	16	75	18	69	48	80	62	71	91	34	42	102	26	63	61	73	81	64	82	21
PCT9143	ED	129	145	0	0	869	581	0	16	15	41	8	36	12	40	30	38	42	15	24	48	8	37	20	28	47	33	37	6
PCT9143	TO	533	384	0	1	2043	1787	0	43	31	116	26	105	60	120	92	109	133	49	66	150	34	100	81	101	128	97	119	27
PCT9144	MV	439	256	0	0	1277	1283	0	50	39	73	19	74	49	82	69	71	78	49	50	88	35	63	61	65	86	78	80	24
PCT9144	ED	125	170	0	0	878	822	0	29	26	55	19	58	22	45	43	47	49	35	25	64	14	46	36	35	55	43	61	15
PCT9144	TO	564	426	0	0	2155	2105	0	79	65	128	38	132	71	127	112	118	127	84	75	152	49	109	97	100	141	121	141	39
PCT9145	MV	417	243	0	0	1263	1167	0	39	26	74	20	67	38	84	73	75	77	40	34	92	25	70	46	56	80	60	72	19
PCT9145	ED	127	150	0	1	835	655	0	21	12	47	14	46	14	42	38	37	38	18	25	49	8	47	22	30	50	34	52	11
PCT9145	TO	544	393	0	1	2098	1822	0	60	38	121	34	113	52	126	111	112	115	58	59	141	33	117	68	86	130	94	124	30
PCT9146	MV	479	264	0	1	1198	1432	0	43	33	99	18	90	39	97	59	89	98	52	55	106	29	95	48	59	98	90	100	35
PCT9146	ED	95	169	0	0	1031	659	0	21	16	51	9	49	13	47	30	50	44	19	22	54	9	39	16	29	40	43	50	8
PCT9146	TO	574	433	0	1	2229	2091	0	64	49	150	27	139	52	144	89	139	142	71	77	160	38	134	64	88	138	133	150	43
PCT9147	MV	473	274	0	2	1258	1462	0	50	33	92	22	100	55	99	65	89	96	56	33	112	43	87	47	63	101	93	106	20
PCT9147	ED	133	164	0	0	906	734	0	31	18	46	11	47	22	39	38	49	50	27	31	57	12	47	24	28	52	46	50	9
PCT9147	TO	606	438	0	2	2164	2196	0	81	51	138	33	147	77	138	103	138	146	83	64	169	55	134	71	91	153	139	156	29
PCT9148	MV	529	305	0	2	1559	1471	0	56	44	94	23	98	46	98	79	88	102	62	53	103	33	83	51	64	88	80	94	32
PCT9148	ED	149	184	0	0	1085	755	0	29	24	55	17	47	25	47	49	48	48	22	26	48	13	35	27	33	50	49	48	15
PCT9148	TO	678	489	0	2	2644	2226	0	85	68	149	40	145	71	145	128	136	150	84	79	151	46	118	78	97	138	129	142	47
PCT9149	MV	515	293	0	0	1363	1567	0	56	48	100	20	97	46	97	72	95	94	60	56	115	33	102	57	70	106	94	109	40
PCT9149	ED	118	236	0	0	1457	903	0	27	22	72	21	53	26	56	49	56	52	31	25	73	12	59	30	46	59	54	62	18
