area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	40:PHIL COLLINS	41:ROQUE "ROCKY" DE LA FUENTE	42:CHARLES KRAUT	43:J.R. MYERS	44:DON BLANKENSHIP
PCT7017	TO	781	0	0	0	0	0	0	0	0	0	0	0
PCT7018	MV	847	3	0	0	0	3	0	1	1	1	0	0
PCT7018	ED	200	0	0	0	0	0	0	0	0	0	0	0
PCT7018	TO	1047	3	0	0	0	3	0	1	1	1	0	0
PCT7019	MV	733	7	0	0	4	3	0	2	0	0	1	0
PCT7019	ED	167	0	0	0	0	0	0	0	0	0	0	0
PCT7019	TO	900	7	0	0	4	3	0	2	0	0	1	0
PCT7021	MV	679	4	0	0	1	3	0	1	1	0	0	1
PCT7021	ED	288	1	0	0	0	1	0	0	0	1	0	0
PCT7021	TO	967	5	0	0	1	4	0	1	1	1	0	1
PCT7022	MV	770	7	0	0	5	2	0	0	0	0	2	0
PCT7022	ED	193	1	0	0	0	1	1	0	0	0	0	0
PCT7022	TO	963	8	0	0	5	3	1	0	0	0	2	0
PCT7023	MV	687	9	0	0	6	3	0	1	0	0	1	1
PCT7023	ED	233	0	0	0	0	0	0	0	0	0	0	0
PCT7023	TO	920	9	0	0	6	3	0	1	0	0	1	1
PCT7024	MV	251	0	0	0	0	0	0	0	0	0	0	0
PCT7024	ED	190	0	0	0	0	0	0	0	0	0	0	0
PCT7024	TO	441	0	0	0	0	0	0	0	0	0	0	0
PCT7025	MV	316	2	0	0	1	1	0	0	0	1	0	0
PCT7025	ED	167	0	0	0	0	0	0	0	0	0	0	0
PCT7025	TO	483	2	0	0	1	1	0	0	0	1	0	0
PCT7026	MV	818	4	0	0	1	3	0	0	3	0	0	0
PCT7026	ED	192	0	0	0	0	0	0	0	0	0	0	0
PCT7026	TO	1010	4	0	0	1	3	0	0	3	0	0	0
PCT7027	MV	676	2	0	0	1	1	0	0	0	0	0	1
PCT7027	ED	220	1	0	0	0	1	0	0	0	0	1	0
PCT7027	TO	896	3	0	0	1	2	0	0	0	0	1	1
PCT7028	MV	585	3	0	0	2	1	0	0	1	0	0	0
PCT7028	ED	271	2	0	0	0	2	0	1	0	0	0	1
PCT7028	TO	856	5	0	0	2	3	0	1	1	0	0	1
PCT7029	MV	642	2	0	0	1	1	0	0	1	0	0	0
PCT7029	ED	267	0	0	0	0	0	0	0	0	0	0	0
PCT7029	TO	909	2	0	0	1	1	0	0	1	0	0	0
PCT7030	MV	654	6	0	0	3	3	0	0	1	1	1	0
PCT7030	ED	141	0	0	0	0	0	0	0	0	0	0	0
PCT7030	TO	795	6	0	0	3	3	0	0	1	1	1	0
PCT7031	MV	621	7	0	0	2	5	0	0	1	2	2	0
PCT7031	ED	73	0	0	0	0	0	0	0	0	0	0	0
PCT7031	TO	694	7	0	0	2	5	0	0	1	2	2	0
PCT7032	MV	642	3	0	0	2	1	0	0	0	1	0	0
PCT7032	ED	239	0	0	0	0	0	0	0	0	0	0	0
PCT7032	TO	881	3	0	0	2	1	0	0	0	1	0	0
PCT7033	MV	549	1	0	0	1	0	0	0	0	0	0	0
PCT7033	ED	229	1	0	0	0	1	0	0	1	0	0	0
PCT7033	TO	778	2	0	0	1	1	0	0	1	0	0	0
PCT7034	MV	620	1	0	0	0	1	0	0	0	0	1	0
PCT7034	ED	318	0	0	0	0	0	0	0	0	0	0	0
