area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	145:LISA REMMER	146:JOSEPH C ROBERTS	147:STEPHEN WAID	148:LEO LACAYO	149:RYAN LAM	150:CHRISTIAN FOSTER	151:JOSH YORK	152:EVE DEL CASTELLO	153:CHRIS WARD KLINE	154:ERIN SMITH	155:LARRY MARSO	156:NICOLE GARAY	157:CALE GARVERICK	158:KRISTA GARVERICK
PCT7011	MV	704	5	0	0	36	19	0	3	1	2	1	2	1	1	2	1	1	2	1	0	1
PCT7011	ED	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT7011	TO	973	5	0	0	36	19	0	3	1	2	1	2	1	1	2	1	1	2	1	0	1
PCT7012	MV	999	24	0	0	216	48	0	4	4	3	2	6	3	2	3	4	5	3	1	5	3
PCT7012	ED	227	11	0	0	88	33	0	3	2	1	2	3	2	2	3	2	6	1	1	4	1
PCT7012	TO	1226	35	0	0	304	81	0	7	6	4	4	9	5	4	6	6	11	4	2	9	4
PCT7013	MV	984	9	0	0	59	40	0	4	3	2	3	4	2	2	3	2	4	2	4	3	2
PCT7013	ED	155	3	0	0	19	14	0	1	1	1	1	2	0	0	1	1	1	1	1	1	2
PCT7013	TO	1139	12	0	0	78	54	0	5	4	3	4	6	2	2	4	3	5	3	5	4	4
PCT7014	MV	610	9	0	0	59	40	0	3	2	2	2	4	2	3	3	2	5	1	3	5	3
PCT7014	ED	109	3	0	0	15	18	0	2	1	2	0	1	2	1	1	0	2	1	1	3	1
PCT7014	TO	719	12	0	0	74	58	0	5	3	4	2	5	4	4	4	2	7	2	4	8	4
PCT7015	MV	110	3	0	0	21	12	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1
PCT7015	ED	0	1	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT7015	TO	110	4	0	0	32	12	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1
PCT7016	MV	655	11	0	0	75	46	0	6	3	3	3	5	1	6	1	2	4	3	2	2	5
PCT7016	ED	277	5	0	0	50	5	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0
PCT7016	TO	932	16	0	0	125	51	0	7	3	3	3	5	2	7	1	2	5	3	2	3	5
PCT7017	MV	543	7	0	0	69	8	0	0	2	0	1	1	1	0	0	0	2	0	0	1	0
PCT7017	ED	238	1	0	0	10	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PCT7017	TO	781	8	0	0	79	9	0	0	3	0	1	1	1	0	0	0	2	0	0	1	0
PCT7018	MV	847	16	0	0	133	43	0	5	4	4	1	4	1	3	2	0	5	4	3	3	4
PCT7018	ED	200	4	0	0	34	10	0	1	0	0	1	3	0	0	0	1	2	0	1	1	0
PCT7018	TO	1047	20	0	0	167	53	0	6	4	4	2	7	1	3	2	1	7	4	4	4	4
