area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	45:DAVID ROLDE	46:HOWIE HAWKINS	47:DARIO HUNTER	48:DENNIS LAMBERT	49:SEDINAM MOYOWASIFZA-CURRY	187:KENT MESPLAY
PCT1115	MV	1	0	0	0	0	0	0	0	0	0	0	0	0
PCT1115	ED	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT1115	TO	1	0	0	0	0	0	0	0	0	0	0	0	0
PCT1116	MV	4	1	0	0	0	1	0	0	0	1	0	0	0
PCT1116	ED	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT1116	TO	4	1	0	0	0	1	0	0	0	1	0	0	0
PCT1117	MV	3	0	0	0	0	0	0	0	0	0	0	0	0
PCT1117	ED	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT1117	TO	3	0	0	0	0	0	0	0	0	0	0	0	0
PCT1118	MV	7	0	0	0	0	0	0	0	0	0	0	0	0
PCT1118	ED	4	1	0	0	1	0	0	0	0	0	0	0	0
PCT1118	TO	11	1	0	0	1	0	0	0	0	0	0	0	0
PCT1119	MV	1	0	0	0	0	0	0	0	0	0	0	0	0
PCT1119	ED	2	1	0	0	0	1	0	0	0	0	0	1	0
PCT1119	TO	3	1	0	0	0	1	0	0	0	0	0	1	0
PCT1121	MV	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT1121	ED	2	0	0	0	0	0	0	0	0	0	0	0	0
PCT1121	TO	2	0	0	0	0	0	0	0	0	0	0	0	0
PCT1122	MV	2	1	0	0	0	1	0	0	0	0	0	1	0
PCT1122	ED	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT1122	TO	2	1	0	0	0	1	0	0	0	0	0	1	0
PCT1123	MV	1	0	0	0	0	0	0	0	0	0	0	0	0
PCT1123	ED	4	0	0	0	0	0	0	0	0	0	0	0	0
PCT1123	TO	5	0	0	0	0	0	0	0	0	0	0	0	0
PCT1124	MV	2	1	0	0	0	1	0	0	0	0	0	1	0
