area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	73:JACKIE SPEIER	74:RAN S. PETEL	75:CRISTOS GOODROW	76:ERIC TAYLOR
PCT9753	MV	0	0	0	0	0	0	0	0	0	0	0
PCT9753	ED	0	0	0	0	0	0	0	0	0	0	0
PCT9753	TO	0	0	0	0	0	0	0	0	0	0	0
PCT9754	MV	0	0	0	0	0	0	0	0	0	0	0
PCT9754	ED	0	0	0	0	0	0	0	0	0	0	0
PCT9754	TO	0	0	0	0	0	0	0	0	0	0	0
PCT9755	MV	0	0	0	0	0	0	0	0	0	0	0
PCT9755	ED	0	0	0	0	0	0	0	0	0	0	0
PCT9755	TO	0	0	0	0	0	0	0	0	0	0	0
PCT9756	MV	0	0	0	0	0	0	0	0	0	0	0
PCT9756	ED	0	0	0	0	0	0	0	0	0	0	0
PCT9756	TO	0	0	0	0	0	0	0	0	0	0	0
PCT9801	MV	0	0	0	0	0	0	0	0	0	0	0
PCT9801	ED	0	0	0	0	0	0	0	0	0	0	0
PCT9801	TO	0	0	0	0	0	0	0	0	0	0	0
PCT9901	MV	0	0	0	0	0	0	0	0	0	0	0
PCT9901	ED	0	0	0	0	0	0	0	0	0	0	0
PCT9901	TO	0	0	0	0	0	0	0	0	0	0	0
PCT9902	MV	0	0	0	0	0	0	0	0	0	0	0
PCT9902	ED	0	0	0	0	0	0	0	0	0	0	0
PCT9902	TO	0	0	0	0	0	0	0	0	0	0	0
