area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	82:DAVID CHIU	177:Starchild
PCT7047	TO	883	197	0	0	51	146	4	142	0
PCT7048	MV	881	108	0	0	23	85	0	85	0
PCT7048	ED	881	56	0	0	21	35	3	32	0
PCT7048	TO	881	164	0	0	44	120	3	117	0
PCT7049	MV	826	105	0	0	24	81	0	81	0
PCT7049	ED	826	70	0	0	19	51	1	50	0
PCT7049	TO	826	175	0	0	43	132	1	131	0
PCT7051	MV	880	129	0	0	45	84	0	84	0
PCT7051	ED	880	70	0	0	20	50	2	48	0
PCT7051	TO	880	199	0	0	65	134	2	132	0
PCT7052	MV	906	121	0	0	38	83	0	83	0
PCT7052	ED	906	84	0	0	19	65	0	65	0
PCT7052	TO	906	205	0	0	57	148	0	148	0
PCT7053	MV	585	102	0	0	20	82	0	82	0
PCT7053	ED	585	40	0	0	7	33	0	33	0
PCT7053	TO	585	142	0	0	27	115	0	115	0
PCT7054	MV	1136	98	0	0	23	75	0	75	0
PCT7054	ED	1136	105	0	0	25	80	4	76	0
PCT7054	TO	1136	203	0	0	48	155	4	151	0
PCT7055	MV	826	120	0	0	35	85	0	85	0
PCT7055	ED	826	76	0	0	25	51	1	50	0
PCT7055	TO	826	196	0	0	60	136	1	135	0
PCT7056	MV	705	85	0	0	23	62	0	62	0
PCT7056	ED	705	119	0	0	28	91	2	89	0
PCT7056	TO	705	204	0	0	51	153	2	151	0
PCT7101	MV	147	31	0	0	5	26	0	26	0
PCT7101	ED	147	0	0	0	0	0	0	0	0
PCT7101	TO	147	31	0	0	5	26	0	26	0
PCT7201	MV	935	145	0	0	53	92	0	92	0
PCT7201	ED	935	98	0	0	32	66	1	65	0
PCT7201	TO	935	243	0	0	85	158	1	157	0
PCT7202	MV	851	136	0	0	53	83	0	83	0
PCT7202	ED	851	123	0	0	29	94	3	91	0
PCT7202	TO	851	259	0	0	82	177	3	174	0
PCT7203	MV	879	116	0	0	42	74	0	74	0
PCT7203	ED	879	148	0	0	52	96	3	93	0
PCT7203	TO	879	264	0	0	94	170	3	167	0
PCT7204	MV	899	164	0	0	54	110	0	110	0
PCT7204	ED	899	116	0	0	46	70	1	69	0
PCT7204	TO	899	280	0	0	100	180	1	179	0
PCT7205	MV	871	132	0	0	39	93	0	93	0
PCT7205	ED	871	133	0	0	35	98	2	96	0
PCT7205	TO	871	265	0	0	74	191	2	189	0
PCT7206	MV	377	41	0	0	15	26	0	26	0
PCT7206	ED	377	76	0	0	25	51	0	51	0
PCT7206	TO	377	117	0	0	40	77	0	77	0
PCT7207	MV	867	119	0	0	35	84	0	84	0
PCT7207	ED	867	117	0	0	36	81	2	79	0
PCT7207	TO	867	236	0	0	71	165	2	163	0
PCT7208	MV	570	92	0	0	33	59	0	59	0
PCT7208	ED	570	60	0	0	16	44	2	42	0
PCT7208	TO	570	152	0	0	49	103	2	101	0
PCT7209	MV	647	199	0	0	57	142	0	142	0
PCT7209	ED	647	63	0	0	16	47	0	47	0
PCT7209	TO	647	262	0	0	73	189	0	189	0
PCT7301	MV	1014	129	0	0	28	101	0	101	0
PCT7301	ED	1014	112	0	0	33	79	1	78	0
PCT7301	TO	1014	241	0	0	61	180	1	179	0
PCT7302	MV	849	175	0	0	49	126	0	126	0
PCT7302	ED	849	116	0	0	29	87	3	84	0
PCT7302	TO	849	291	0	0	78	213	3	210	0
PCT7303	MV	1068	148	0	0	40	108	0	108	0
PCT7303	ED	1068	141	0	0	39	102	4	98	0
PCT7303	TO	1068	289	0	0	79	210	4	206	0
PCT7304	MV	1001	137	0	0	57	80	0	80	0
PCT7304	ED	1001	163	0	0	47	116	2	114	0
PCT7304	TO	1001	300	0	0	104	196	2	194	0
PCT7305	MV	867	162	0	0	56	106	0	106	0
PCT7305	ED	867	141	0	0	46	95	3	92	0
PCT7305	TO	867	303	0	0	102	201	3	198	0
PCT7306	MV	1044	122	0	0	51	71	0	71	0
PCT7306	ED	1044	152	0	0	38	114	2	112	0
PCT7306	TO	1044	274	0	0	89	185	2	183	0
PCT7307	MV	774	96	0	0	29	67	0	67	0
PCT7307	ED	774	101	0	0	32	69	4	65	0
PCT7307	TO	774	197	0	0	61	136	4	132	0
PCT7308	MV	625	106	0	0	33	73	0	73	0
PCT7308	ED	625	126	0	0	36	90	2	88	0
PCT7308	TO	625	232	0	0	69	163	2	161	0
PCT7309	MV	858	116	0	0	41	75	0	75	0
PCT7309	ED	858	156	0	0	48	108	5	103	0
PCT7309	TO	858	272	0	0	89	183	5	178	0
PCT7311	MV	906	107	0	0	32	75	0	75	0
PCT7311	ED	906	169	0	0	40	129	1	128	0
PCT7311	TO	906	276	0	0	72	204	1	203	0
PCT7312	MV	810	150	0	0	43	107	0	107	0
PCT7312	ED	810	120	0	0	30	90	3	87	0
PCT7312	TO	810	270	0	0	73	197	3	194	0
PCT7313	MV	1003	173	0	0	62	111	0	111	0
PCT7313	ED	1003	115	0	0	29	86	5	81	0
PCT7313	TO	1003	288	0	0	91	197	5	192	0
PCT7314	MV	759	124	0	0	29	95	0	95	0
PCT7314	ED	759	56	0	0	16	40	1	39	0
PCT7314	TO	759	180	0	0	45	135	1	134	0
PCT7315	MV	765	82	0	0	21	61	0	61	0
PCT7315	ED	765	117	0	0	37	80	2	78	0
PCT7315	TO	765	199	0	0	58	141	2	139	0
PCT7316	MV	832	119	0	0	39	80	0	80	0
PCT7316	ED	832	100	0	0	25	75	1	74	0
PCT7316	TO	832	219	0	0	64	155	1	154	0
PCT7317	MV	890	146	0	0	57	89	0	89	0
PCT7317	ED	890	107	0	0	28	79	1	78	0
PCT7317	TO	890	253	0	0	85	168	1	167	0
PCT7318	MV	723	142	0	0	34	108	0	108	0
PCT7318	ED	723	99	0	0	34	65	3	62	0
PCT7318	TO	723	241	0	0	68	173	3	170	0
PCT7319	MV	1049	111	0	0	36	75	0	75	0
PCT7319	ED	1049	113	0	0	29	84	2	82	0
PCT7319	TO	1049	224	0	0	65	159	2	157	0
PCT7321	MV	659	86	0	0	24	62	0	62	0
PCT7321	ED	659	62	0	0	23	39	1	38	0
PCT7321	TO	659	148	0	0	47	101	1	100	0
PCT7322	MV	888	164	0	0	37	127	0	127	0
PCT7322	ED	888	25	0	0	7	18	1	17	0
PCT7322	TO	888	189	0	0	44	145	1	144	0
PCT7323	MV	956	128	0	0	32	96	0	96	0
PCT7323	ED	956	126	0	0	32	94	3	91	0
PCT7323	TO	956	254	0	0	64	190	3	187	0
PCT7324	MV	737	89	0	0	16	73	0	73	0
PCT7324	ED	737	88	0	0	29	59	2	57	0
PCT7324	TO	737	177	0	0	45	132	2	130	0
PCT7325	MV	886	115	0	0	29	86	0	86	0
PCT7325	ED	886	121	0	0	36	85	5	80	0
PCT7325	TO	886	236	0	0	65	171	5	166	0
PCT7326	MV	859	105	0	0	29	76	0	76	0
PCT7326	ED	859	116	0	0	38	78	0	78	0
PCT7326	TO	859	221	0	0	67	154	0	154	0
PCT7327	MV	687	130	0	0	32	98	0	98	0
PCT7327	ED	687	37	0	0	11	26	0	26	0
PCT7327	TO	687	167	0	0	43	124	0	124	0
PCT7328	MV	1002	188	0	0	50	138	0	138	0
PCT7328	ED	1002	46	0	0	14	32	2	30	0
PCT7328	TO	1002	234	0	0	64	170	2	168	0
PCT7329	MV	651	125	0	0	36	89	0	89	0
PCT7329	ED	651	56	0	0	16	40	0	40	0
PCT7329	TO	651	181	0	0	52	129	0	129	0
PCT7331	MV	870	171	0	0	53	118	0	118	0
PCT7331	ED	870	129	0	0	46	83	3	80	0
PCT7331	TO	870	300	0	0	99	201	3	198	0
PCT7332	MV	790	101	0	0	29	72	0	72	0
PCT7332	ED	790	113	0	0	35	78	3	75	0
PCT7332	TO	790	214	0	0	64	150	3	147	0
PCT7333	MV	1015	143	0	0	44	99	0	99	0
PCT7333	ED	1015	161	0	0	45	116	2	114	0
PCT7333	TO	1015	304	0	0	89	215	2	213	0
PCT7334	MV	819	117	0	0	32	85	0	85	0
PCT7334	ED	819	105	0	0	29	76	0	76	0
PCT7334	TO	819	222	0	0	61	161	0	161	0
PCT7335	MV	934	145	0	0	58	87	0	87	0
PCT7335	ED	934	144	0	0	38	106	1	105	0
PCT7335	TO	934	289	0	0	96	193	1	192	0
PCT7336	MV	954	147	0	0	59	88	0	88	0
PCT7336	ED	954	128	0	0	43	85	3	82	0
PCT7336	TO	954	275	0	0	102	173	3	170	0
PCT7337	MV	897	167	0	0	69	98	0	98	0
PCT7337	ED	897	84	0	0	23	61	1	60	0
PCT7337	TO	897	251	0	0	92	159	1	158	0
PCT7338	MV	895	189	0	0	51	138	0	138	0
PCT7338	ED	895	70	0	0	15	55	0	55	0
PCT7338	TO	895	259	0	0	66	193	0	193	0
PCT7339	MV	755	116	0	0	29	87	0	87	0
PCT7339	ED	755	89	0	0	18	71	2	69	0
PCT7339	TO	755	205	0	0	47	158	2	156	0
PCT7341	MV	853	100	0	0	35	65	0	65	0
PCT7341	ED	853	131	0	0	35	96	2	94	0
PCT7341	TO	853	231	0	0	70	161	2	159	0
