area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	52:KEN ARMSTRONG	53:MAX ABRAMSON	54:SAM ROBB	55:KIM RUFF	56:STEVEN A RICHEY	57:JACOB HORNBERGER	58:SOURAYA FAAS	59:KEENAN WALLACE DUNHAM	60:ADAM KOKESH	61:VERMIN SUPREME	62:JO JORGENSEN	63:DAN BEHRMAN	64:ERIK CHASE GERHARDT	188:NICHOLAS D'ARTAGNAN DUMAS	189:GEBY EVA ESPINOSA	190:JAMES ORLANDO OGLE	191:SORINNE ARDELEANU
PCT7009	TO	871	4	0	0	0	4	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0
PCT7011	MV	704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT7011	ED	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT7011	TO	973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT7012	MV	999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT7012	ED	227	2	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PCT7012	TO	1226	2	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PCT7013	MV	984	2	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
PCT7013	ED	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT7013	TO	1139	2	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
PCT7014	MV	610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT7014	ED	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT7014	TO	719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT7015	MV	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT7015	ED	-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT7015	TO	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT7016	MV	655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT7016	ED	277	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT7016	TO	932	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT7017	MV	543	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
PCT7017	ED	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
