area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	80:JOHN P. MCDONNELL	81:PHIL TING
PCT9202	MV	819	368	0	0	44	324	0	46	278
PCT9202	ED	177	253	0	0	51	202	0	32	170
PCT9202	TO	996	621	0	0	95	526	0	78	448
PCT9203	MV	847	374	0	0	52	322	0	105	217
PCT9203	ED	155	208	0	0	61	147	0	50	97
PCT9203	TO	1002	582	0	0	113	469	0	155	314
PCT9204	MV	686	309	0	0	37	272	0	96	176
PCT9204	ED	176	219	0	0	42	177	0	38	139
PCT9204	TO	862	528	0	0	79	449	0	134	315
PCT9205	MV	622	289	0	0	39	250	0	48	202
PCT9205	ED	114	171	0	0	44	127	0	32	95
PCT9205	TO	736	460	0	0	83	377	0	80	297
PCT9206	MV	741	355	0	0	48	307	0	107	200
PCT9206	ED	188	208	0	0	63	145	0	49	96
PCT9206	TO	929	563	0	0	111	452	0	156	296
PCT9207	MV	824	370	0	0	45	325	0	107	218
PCT9207	ED	165	208	0	0	46	162	0	51	111
PCT9207	TO	989	578	0	0	91	487	0	158	329
PCT9208	MV	808	359	0	0	47	312	0	76	236
PCT9208	ED	179	199	0	0	41	158	0	37	121
PCT9208	TO	987	558	0	0	88	470	0	113	357
PCT9209	MV	615	276	0	0	36	240	0	75	165
PCT9209	ED	156	190	0	0	44	146	0	37	109
PCT9209	TO	771	466	0	0	80	386	0	112	274
PCT9211	MV	730	314	0	0	69	245	0	65	180
PCT9211	ED	161	191	0	0	48	143	0	45	98
PCT9211	TO	891	505	0	0	117	388	0	110	278
PCT9212	MV	671	285	0	0	33	252	0	59	193
PCT9212	ED	137	192	0	0	57	135	0	28	107
PCT9212	TO	808	477	0	0	90	387	0	87	300
PCT9213	MV	776	350	0	0	43	307	0	58	249
PCT9213	ED	161	212	0	0	57	155	0	33	122
PCT9213	TO	937	562	0	0	100	462	0	91	371
PCT9214	MV	517	236	0	0	28	208	0	55	153
PCT9214	ED	110	157	0	0	38	119	0	36	83
PCT9214	TO	627	393	0	0	66	327	0	91	236
PCT9215	MV	524	246	0	0	31	215	0	51	164
PCT9215	ED	120	152	0	0	34	118	0	33	85
PCT9215	TO	644	398	0	0	65	333	0	84	249
PCT9216	MV	669	266	0	1	45	220	0	70	150
PCT9216	ED	155	223	0	0	52	171	0	35	136
PCT9216	TO	824	489	0	1	97	391	0	105	286
PCT9217	MV	588	269	0	0	32	237	0	52	185
PCT9217	ED	117	160	0	0	40	120	0	25	95
PCT9217	TO	705	429	0	0	72	357	0	77	280
PCT9218	MV	652	278	0	0	47	231	0	60	171
PCT9218	ED	164	188	0	0	48	140	0	24	116
PCT9218	TO	816	466	0	0	95	371	0	84	287
PCT9219	MV	646	292	0	0	54	238	0	45	193
PCT9219	ED	144	204	0	0	58	146	0	28	118
PCT9219	TO	790	496	0	0	112	384	0	73	311
PCT9221	MV	562	325	0	0	43	282	0	86	196
PCT9221	ED	89	145	0	0	33	112	0	17	95
PCT9221	TO	651	470	0	0	76	394	0	103	291
PCT9222	MV	773	374	0	0	44	330	0	80	250
PCT9222	ED	137	210	0	0	61	149	0	36	113
PCT9222	TO	910	584	0	0	105	479	0	116	363
PCT9223	MV	558	268	0	0	37	231	0	62	169
PCT9223	ED	109	127	0	0	35	92	0	19	73
PCT9223	TO	667	395	0	0	72	323	0	81	242
PCT9224	MV	768	380	0	0	37	343	0	81	262
PCT9224	ED	181	220	0	0	50	170	0	54	116
PCT9224	TO	949	600	0	0	87	513	0	135	378
PCT9225	MV	757	304	0	0	30	274	0	59	215
PCT9225	ED	169	234	0	0	46	188	0	38	150
PCT9225	TO	926	538	0	0	76	462	0	97	365
PCT9226	MV	741	357	0	1	48	308	0	69	239
PCT9226	ED	155	239	0	0	55	184	0	44	140
PCT9226	TO	896	596	0	1	103	492	0	113	379
PCT9227	MV	605	373	0	0	38	335	0	75	260
PCT9227	ED	124	156	0	0	16	140	0	23	117
PCT9227	TO	729	529	0	0	54	475	0	98	377
PCT9228	MV	578	314	0	0	35	279	0	71	208
PCT9228	ED	160	188	0	0	26	162	0	27	135
PCT9228	TO	738	502	0	0	61	441	0	98	343
PCT9229	MV	460	257	0	0	34	223	0	58	165
PCT9229	ED	119	147	0	0	23	124	0	21	103
PCT9229	TO	579	404	0	0	57	347	0	79	268
PCT9231	MV	726	354	0	1	42	311	0	47	264
PCT9231	ED	236	282	0	0	65	217	0	26	191
PCT9231	TO	962	636	0	1	107	528	0	73	455
PCT9232	MV	608	295	0	0	35	260	0	40	220
PCT9232	ED	126	183	0	0	31	152	0	34	118
PCT9232	TO	734	478	0	0	66	412	0	74	338
PCT9233	MV	668	332	0	0	38	294	0	72	222
PCT9233	ED	150	201	0	0	48	153	0	37	116
PCT9233	TO	818	533	0	0	86	447	0	109	338
PCT9234	MV	643	322	0	0	44	278	0	53	225
PCT9234	ED	91	155	0	0	42	113	0	23	90
PCT9234	TO	734	477	0	0	86	391	0	76	315
PCT9235	MV	703	368	0	0	52	316	0	71	245
PCT9235	ED	160	212	0	0	37	175	0	41	134
PCT9235	TO	863	580	0	0	89	491	0	112	379
PCT9236	MV	537	283	0	0	35	248	0	43	205
PCT9236	ED	136	148	0	0	36	112	0	11	101
PCT9236	TO	673	431	0	0	71	360	0	54	306
PCT9237	MV	779	396	0	0	47	349	0	71	278
PCT9237	ED	118	206	0	0	45	161	0	28	133
PCT9237	TO	897	602	0	0	92	510	0	99	411
PCT9238	MV	687	330	0	0	36	294	0	72	222
PCT9238	ED	118	192	0	0	45	147	0	27	120
PCT9238	TO	805	522	0	0	81	441	0	99	342
