VBM_1126_Image.pdf
page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
  25    24 image    3300  5100  rgb     3   8  jpeg   no       124  0   195   464  996K 2.0%
  26    25 image    3304  5100  gray    1   1  ccitt  no       129  0   195   464  282K  14%
  27    26 image    3300  5100  rgb     3   8  jpeg   no       134  0   195   464  991K 2.0%
  28    27 image    3304  5100  gray    1   1  ccitt  no       139  0   195   464  281K  14%
  29    28 image    3300  5100  rgb     3   8  jpeg   no       144  0   195   464  989K 2.0%
  30    29 image    3304  5100  gray    1   1  ccitt  no       149  0   195   464  276K  13%
VBM_7902_Image.pdf
page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   1     0 image    3300  5100  rgb     3   8  jpeg   no         4  0   195   464  913K 1.9%
   2     1 image    3304  5100  gray    1   1  ccitt  no         9  0   195   464  288K  14%
   3     2 image    3300  5100  rgb     3   8  jpeg   no        14  0   195   464  914K 1.9%
   4     3 image    3304  5100  gray    1   1  ccitt  no        19  0   195   464  284K  14%
   5     4 image    3300  5100  rgb     3   8  jpeg   no        24  0   195   464  918K 1.9%
   6     5 image    3304  5100  gray    1   1  ccitt  no        29  0   195   464  289K  14%
   7     6 image    3300  5100  rgb     3   8  jpeg   no        34  0   195   464  913K 1.9%
   8     7 image    3304  5100  gray    1   1  ccitt  no        39  0   195   464  285K  14%
   9     8 image    3300  5100  rgb     3   8  jpeg   no        44  0   195   464  919K 1.9%
  10     9 image    3304  5100  gray    1   1  ccitt  no        49  0   195   464  288K  14%
  11    10 image    3300  5100  rgb     3   8  jpeg   no        54  0   195   464  795K 1.6%
  12    11 image    3300  5100  rgb     3   8  jpeg   no        59  0   195   464  789K 1.6%
  13    12 image    3300  5100  rgb     3   8  jpeg   no        64  0   195   464  793K 1.6%
  14    13 image    3300  5100  rgb     3   8  jpeg   no        69  0   195   464  800K 1.6%
  15    14 image    3300  5100  rgb     3   8  jpeg   no        74  0   195   464  787K 1.6%
  16    15 image    3300  5100  rgb     3   8  jpeg   no        79  0   195   464  996K 2.0%
  17    16 image    3300  5100  rgb     3   8  jpeg   no        84  0   195   464  701K 1.4%
  18    17 image    3300  5100  rgb     3   8  jpeg   no        89  0   195   464  998K 2.0%
  19    18 image    3304  5100  gray    1   1  ccitt  no        94  0   195   464  311K  15%
  20    19 image    3300  5100  rgb     3   8  jpeg   no        99  0   195   464  986K 2.0%
  21    20 image    3304  5100  gray    1   1  ccitt  no       104  0   195   464  316K  15%
  22    21 image    3300  5100  rgb     3   8  jpeg   no       109  0   195   464  999K 2.0%
  23    22 image    3304  5100  gray    1   1  ccitt  no       114  0   195   464  309K  15%
  24    23 image    3300  5100  rgb     3   8  jpeg   no       119  0   195   464 1005K 2.0%
  25    24 image    3304  5100  gray    1   1  ccitt  no       124  0   195   464  321K  16%
  26    25 image    3300  5100  rgb     3   8  jpeg   no       129  0   195   464 1007K 2.0%
  27    26 image    3304  5100  gray    1   1  ccitt  no       134  0   195   464  263K  13%
