ElectionAbbr	PollingSiteID	PollingSiteName	TableID	PollingPlaceDesc1	PollingPlaceDesc2	SamBalAddr1	SamBalAddr2	VotingPctID	VotingPctName	PollPlaceRegPctID	PollPlaceRegPctPortion	BallotTypeList
2019MUNI  	595	9208 - 3500 Fillmore St		Marina Middle School - Auditorium Lobby	3500 Fillmore St	Between Bay And Fillmore Streets	8.3% Slope - Ramped Access	9208   	Pct 9208/9207	9207   		4  
2019MUNI  	595	9208 - 3500 Fillmore St		Marina Middle School - Auditorium Lobby	3500 Fillmore St	Between Bay And Fillmore Streets	8.3% Slope - Ramped Access	9208   	Pct 9208/9207	9208   		4  
2019MUNI  	603	9222 - 2320 Green St		Private School - St Vincent De Paul	2320 Green St	Between Pierce & Steiner Streets	4.3% slope	9222   	Pct 9222	9222   		4  
2019MUNI  	619	9224 - 1801 Green Street		Golden Gate Valley Library - Prog. Rm.	1801 Green Street	Enter Thru Iron Gate Btw Octavia & Laguna	3% Slope at entrance	9224   	Pct 9224	9224   		4  
2019MUNI  	627	9219 - 1570 Greenwich St		Garage	1570 Greenwich St	Enter Off Franklin At Greenwich	3.9% slope	9219   	Pct 9219/9225	9219   		4  
2019MUNI  	627	9219 - 1570 Greenwich St		Garage	1570 Greenwich St	Enter Off Franklin At Greenwich	3.9% slope	9219   	Pct 9219/9225	9225   		4  
2019MUNI  	646	7207 - 1880 Pine St		1880 Pine St Apartments - 2nd Level Community Rm	1880 Pine St	Btw Octavia & Gough Streets	1.9% Slope	7207   	Pct 7207/7209	7207   		4  
2019MUNI  	646	7207 - 1880 Pine St		1880 Pine St Apartments - 2nd Level Community Rm	1880 Pine St	Btw Octavia & Gough Streets	1.9% Slope	7207   	Pct 7207/7209	7209   		4  
2019MUNI  	647	7505 -  1501 Post St		The Sequoias - Auditorium	1501 Post St	Between Laguna & Octavia	8.3% Slope Ramped Access	7505   	Pct 7505	7505   		6  
2019MUNI  	650	7509/11 - 1031 Franklin St		Urban Life Center	1031 Franklin St	Btw O'farrell & Ellis	8.2% Slope	7509   	Pct 7509/7511	7509   		6  
2019MUNI  	650	7509/11 - 1031 Franklin St		Urban Life Center	1031 Franklin St	Btw O'farrell & Ellis	8.2% Slope	7509   	Pct 7509/7511	7511   		6  
2019MUNI  	653	7204 - 2637 Larkin St		Garage	2637 Larkin St	Btw Chestnut & Lombard	4.8% Slope	7204   	Pct 7204	7204   		4  
2019MUNI  	654	7202 - 2454 Hyde St		Norwegian Seaman's Church - Garage	2454 Hyde St	Enter Francisco Btw Hyde & Leavenworth	8% Slope	7202   	Pct 7202/7201	7201   		4  
2019MUNI  	654	7202 - 2454 Hyde St		Norwegian Seaman's Church - Garage	2454 Hyde St	Enter Francisco Btw Hyde & Leavenworth	8% Slope	7202   	Pct 7202/7201	7202   		4  
2019MUNI  	671	7331 - 155 Jackson Street		Golden Gateway Ctr - Lobby	155 Jackson St	Enter Off Front St At The Corner Of Jackson	2.8% Slope	7331   	Pct 7331	7331   		5  
2019MUNI  	676	7318 - 2041 Larkin Street		The Church For The Fellowship Of All Peoples	2041 Larkin St	Between Broadway & Vallejo	3.2% Slope	7318   	Pct 7318/7309	7309   		5  
2019MUNI  	676	7318 - 2041 Larkin Street		The Church For The Fellowship Of All Peoples	2041 Larkin St	Between Broadway & Vallejo	3.2% Slope	7318   	Pct 7318/7309	7318   		5  
2019MUNI  	685	7333 - 1325 Leavenworth Street		Firehouse #41	1325 Leavenworth St	Btw Washington & Clay	1.9% Slope	7333   	Pct 7333/7335	7333   		5  
2019MUNI  	685	7333 - 1325 Leavenworth Street		Firehouse #41	1325 Leavenworth St	Btw Washington & Clay	1.9% Slope	7333   	Pct 7333/7335	7335   		5  
2019MUNI  	693	7306 - 756 Union St		San Francisco Evangelical Free Church	756 Union St	Btw Powell & Mason	6.2% Slope	7306   	Pct 7306/7303	7303   		5  
2019MUNI  	693	7306 - 756 Union St		San Francisco Evangelical Free Church	756 Union St	Btw Powell & Mason	6.2% Slope	7306   	Pct 7306/7303	7306   		5  
2019MUNI  	700	7314 - 1450 Powell Street		Salvation Army - Lobby	1450 Powell Street	Btw Broadway & Vallejo	2.5% Slope	7314   	Pct 7314/7313	7313   		5  
2019MUNI  	700	7314 - 1450 Powell Street		Salvation Army - Lobby	1450 Powell Street	Btw Broadway & Vallejo	2.5% Slope	7314   	Pct 7314/7313	7314   		5  
2019MUNI  	703	7317 - 350 Broadway Street		John Yehall Chin Elementary School - Library	350 Broadway St	Btw Sansome & Montgomery	8.3% Slope - Ramped Access	7317   	Pct 7317	7317   		5  
2019MUNI  	705	7327 - 950 Clay St		Gordon J. Lau Elementary School -  Auditorium Lobby	950 Clay St	Btw Stockton & Powell	3.1% Slope At Entrance	7327   	Pct 7327	7327   		5  
2019MUNI  	707	7338 - 777 Stockton Street		Gun Mun Center - Conference Room	777 Stockton St	Corner Sacramento & Stockton St.	3.6% slope	7338   	Pct 7338/7349	7338   		5  
2019MUNI  	707	7338 - 777 Stockton Street		Gun Mun Center - Conference Room	777 Stockton St	Corner Sacramento & Stockton St.	3.6% slope	7338   	Pct 7338/7349	7349   		5  
2019MUNI  	712	7601 - 1067 Post St		Firehouse #3	1067 Post St	Btw Polk & Larkin	3.8% Slope	7601   	Pct 7601	7601   		7  
2019MUNI  	726	7602 - 666 Ellis St		Ellis Gardens - Social Room	666 Ellis St	Btw Larkin & Hyde	4.9% Slope	7602   	Pct 7602/7603	7602   		7  
2019MUNI  	726	7602 - 666 Ellis St		Ellis Gardens - Social Room	666 Ellis St	Btw Larkin & Hyde	4.9% Slope	7602   	Pct 7602/7603	7603   		7  
2019MUNI  	727	7613 - 378 Golden Gate Ave		Hampton Court	378 Golden Gate Ave	Between Hyde & Larkin	1.2% Slope	7613   	Pct 7613/7612	7612   		7  
2019MUNI  	727	7613 - 378 Golden Gate Ave		Hampton Court	378 Golden Gate Ave	Between Hyde & Larkin	1.2% Slope	7613   	Pct 7613/7612	7613   		7  
2019MUNI  	735	7342 - 1040 Bush Street		Mary Elizabeth Inn - Dining Hall	1040 Bush St	Btw Leavenworth & Jones	1.7% Slope	7342   	Pct 7342	7342   		5  
2019MUNI  	736	7344 - 1001 Pine St		1001 Pine Street Apartments	1001 Pine St	Btw Jones & Taylor	5.9% Slope	7344   	Pct 7344	7344   		5  
2019MUNI  	743	7611 - 174 Ellis St		The Maria Manors	174 Ellis St	Btw Cyril Magnin & Mason	1.7% Slope	7611   	Pct 7611	7611   		7  
2019MUNI  	750	7608 - 380 Eddy Street		Cadillac Hotel	380 Eddy St	Btw Jones & Leavenworth	3.3% Slope	7608   	Pct 7608/7604	7604   		7  
2019MUNI  	750	7608 - 380 Eddy Street		Cadillac Hotel	380 Eddy St	Btw Jones & Leavenworth	3.3% Slope	7608   	Pct 7608/7604	7608   		7  
2019MUNI  	770	7504 - 1975 Post St		Jones Memorial Methodist Church - Multi Purpose Rm	1975 Post St	Entrance On Post At Boswell	7.9% Slope - Ramped Access	7504   	Pct 7504/7501	7501   		6  
2019MUNI  	770	7504 - 1975 Post St		Jones Memorial Methodist Church - Multi Purpose Rm	1975 Post St	Entrance On Post At Boswell	7.9% Slope - Ramped Access	7504   	Pct 7504/7501	7504   		6  
2019MUNI  	775	9511 - 1750 Mcallister St		Mcallister Towers- Social Rm	1750 McAllister St	Between Baker & Broderick	7.4% Slope	9511   	Pct 9511/9509	9509   		6  
2019MUNI  	775	9511 - 1750 Mcallister St		Mcallister Towers- Social Rm	1750 McAllister St	Between Baker & Broderick	7.4% Slope	9511   	Pct 9511/9509	9511   		6  
2019MUNI  	779	9505 - 1680 Eddy St		M L K - M G Square Apts - Community Room	1680 Eddy St	Enter Between Pierce & Steiner - Gate Closest To Pierce	8.3% Slope - Ramped Access	9505   	Pct 9505	9505   		6  
2019MUNI  	781	7516 - 601 Van Ness Ave		Opera Plaza - 2nd Fl Mezzanine - Community Rm	601 Van Ness Ave	Btw Turk St & Golden Gate	8.3% Slope - Ramped Access	7516   	Pct 7516	7516   		6  
2019MUNI  	784	9513 - 1399 Mc Allister St		Church - Third Baptist Church	1399 Mc Allister St	Enter Mcallister St Near Pierce St	Exceeds 8.3% Running Slope, 2% Cross Slope. Curbside Voting Avail	9513   	Pct 9513	9513   		6  
2019MUNI  	791	7515 - 460 Fulton St		Neighborhood Network Center	460 Fulton St	Enter Off Fulton At Octavia	5% Slope	7515   	Pct 7515	7515   		6  
2019MUNI  	820	7544 - 7 Octavia St		First Baptist Church Of San Francisco	7 Octavia St	Entrance On Waller Between Octavia & Laguna	1.6% Slope	7544   	Pct 7544	7544   		6  
2019MUNI  	822	7633 - 1035 Folsom St		Columbia Park Apartments	1035 Folsom St	Between 6th & 7th Streets	4.2% Slope	7633   	Pct 7633/7631	7631   		7  
2019MUNI  	822	7633 - 1035 Folsom St		Columbia Park Apartments	1035 Folsom St	Between 6th & 7th Streets	4.2% Slope	7633   	Pct 7633/7631	7633   		7  
2019MUNI  	834	7634 - 747 Folsom St		Mendelsohn House - Activities Room	747 Folsom St	Between 3rd & 4th Streets	8.3% Slope - Ramped Access	7634   	Pct 7634	7634   		7  
2019MUNI  	847	7518 - 1860 Hayes St		John Adams Campus - Cafeteria	1860 Hayes St	Btw Masonic & Ashbury	8% Slope - Ramped Access	7518   	Pct 7518/7517	7517   		6  
2019MUNI  	847	7518 - 1860 Hayes St		John Adams Campus - Cafeteria	1860 Hayes St	Btw Masonic & Ashbury	8% Slope - Ramped Access	7518   	Pct 7518/7517	7518   		6  
