VotingPrecinctID	VotingPrecinctName	MailBallotPrecinct	BalType	Congressional	Senatorial	Supervisorial
7824	Pct 7824/7825	N	9	12	11	8
7826	Pct 7826	N	9	12	11	8
7828	Pct 7828	N	9	12	11	8
7829	Pct 7829	N	9	12	11	8
7832	Pct 7832	N	9	12	11	8
7834	Pct 7834/7833	N	9	12	11	8
7835	Pct 7835	N	9	12	11	8
7836	Pct 7836	N	9	12	11	8
7837	Pct 7837/7838	N	9	12	11	8
7839	Pct 7839/7831	N	9	12	11	8
7841	Pct 7841/7842	N	9	12	11	8
7843	Pct 7843	N	9	12	11	8
7844	Pct 7844	N	9	12	11	8
7845	Pct 7845	N	9	12	11	8
7846	Pct 7846	N	9	12	11	8
7847	Pct 7847/7848	N	9	12	11	8
7849	Pct 7849	N	9	12	11	8
7852	Pct 7852/7851	N	9	12	11	8
7853	Pct 7853/7859	N	9	12	11	8
7854	Pct 7854	N	9	12	11	8
7855	Pct 7855/7856	N	9	12	11	8
7858	Pct 7858/7857	N	9	12	11	8
7861	Pct 7861	N	9	12	11	8
7862	Pct 7862	N	9	12	11	8
7863	Pct 7863	N	9	12	11	8
7864	Pct 7864	N	9	12	11	8
7866	Pct 7866	N	9	12	11	8
7867	Pct 7867	N	9	12	11	8
7868	Pct 7868	N	9	12	11	8
7869	Pct 7869	N	9	12	11	8
7871	Pct 7871	N	9	12	11	8
7872	Pct 7872	N	9	12	11	8
7873	Pct 7873/7865	N	9	12	11	8
7874	Pct 7874	N	9	12	11	8
7875	Pct 7875	N	9	12	11	8
7876	Pct 7876	N	9	12	11	8
7902	Pct 7902/7904	N	10	12	11	9
7903	Pct 7903	N	10	12	11	9
7905	Pct 7905	N	10	12	11	9
7906	Pct 7906	N	10	12	11	9
7908	Pct 7908/7907	N	10	12	11	9
7909	Pct 7909	N	10	12	11	9
7911	Pct 7911	N	10	12	11	9
7912	Pct 7912/7913	N	10	12	11	9
7915	Pct 7915/7914	N	10	12	11	9
7916	Pct 7916	N	10	12	11	9
7917	Pct 7917/7919	N	10	12	11	9
7918	Pct 7918	N	10	12	11	9
7921	Pct 7921/7922	N	10	12	11	9
7923	Pct 7923/7924	N	10	12	11	9
7925	Pct 7925	N	10	12	11	9
7926	Pct 7926	N	10	12	11	9
7928	Pct 7928/7927	N	10	12	11	9
7929	Pct 7929	N	10	12	11	9
7931	Pct 7931	N	10	12	11	9
7932	Pct 7932	N	10	12	11	9
7933	Pct 7933 MB	YES	10	12	11	9
7934	Pct 7934	N	10	12	11	9
7935	Pct 7935	N	10	12	11	9
7936	Pct 7936/7939	N	10	12	11	9
7937	Pct 7937	N	10	12	11	9
7938	Pct 7938	N	10	12	11	9
7941	Pct 7941	N	10	12	11	9
7942	Pct 7942	N	10	12	11	9
7943	Pct 7943/7944	N	10	12	11	9
7945	Pct 7945	N	10	12	11	9
7946	Pct 7946/7949	N	10	12	11	9
7947	Pct 7947	N	10	12	11	9
7948	Pct 7948	N	10	12	11	9
7951	Pct 7951/7955	N	10	12	11	9
7953	Pct 7953	N	10	12	11	9
7954	Pct 7954 MB	YES	10	12	11	9
7956	Pct 7956/7952	N	10	12	11	9
7957	Pct 7957	N	10	12	11	9
7958	Pct 7958 MB	YES	10	12	11	9
7959	Pct 7959/7901	N	10	12	11	9
9001	Pct 9001 MB	YES	2	14	11	10
9103	Pct 9103	N	3	12	11	1
9104	Pct 9104	N	3	12	11	1
9105	Pct 9105/9107	N	3	12	11	1
9106	Pct 9106	N	3	12	11	1
9109	Pct 9109/9108	N	3	12	11	1
9111	Pct 9111	N	3	12	11	1
9113	Pct 9113	N	3	12	11	1
9114	Pct 9114/9112	N	3	12	11	1
9116	Pct 9116/9115	N	3	12	11	1
9117	Pct 9117/9101	N	3	12	11	1
9118	Pct 9118/9102	N	3	12	11	1
9119	Pct 9119	N	3	12	11	1
9122	Pct 9122/9121	N	3	12	11	1
9124	Pct 9124/9142	N	3	12	11	1
9125	Pct 9125	N	3	12	11	1
9127	Pct 9127/9126	N	3	12	11	1
9128	Pct 9128	N	3	12	11	1
9129	Pct 9129/9131	N	3	12	11	1
9132	Pct 9132	N	3	12	11	1
9133	Pct 9133/9148	N	3	12	11	1
9134	Pct 9134	N	3	12	11	1
9135	Pct 9135	N	3	12	11	1
9136	Pct 9136	N	3	12	11	1
9137	Pct 9137	N	3	12	11	1
9138	Pct 9138	N	3	12	11	1
9139	Pct 9139	N	3	12	11	1
9141	Pct 9141/9123	N	3	12	11	1
9143	Pct 9143	N	3	12	11	1
9144	Pct 9144	N	3	12	11	1
9145	Pct 9145	N	3	12	11	1
9146	Pct 9146/9147	N	3	12	11	1
9149	Pct 9149	N	3	12	11	1
9152	Pct 9152/9151	N	3	12	11	1
9201	Pct 9201	N	4	12	11	2
9202	Pct 9202	N	4	12	11	2
9203	Pct 9203	N	4	12	11	2
9204	Pct 9204	N	4	12	11	2
9205	Pct 9205/9212	N	4	12	11	2
9208	Pct 9208/9207	N	4	12	11	2
9209	Pct 9209	N	4	12	11	2
9211	Pct 9211/9206	N	4	12	11	2
9213	Pct 9213	N	4	12	11	2
9214	Pct 9214	N	4	12	11	2
9215	Pct 9215	N	4	12	11	2
9216	Pct 9216	N	4	12	11	2
9217	Pct 9217	N	4	12	11	2
9218	Pct 9218	N	4	12	11	2
9219	Pct 9219/9225	N	4	12	11	2
