area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	086:MALIA COHEN	087:MARK BURNS
PCT7532	ED	852	246	0	0	23	223	206	17
PCT7532	MV	852	398	0	0	27	371	333	38
PCT7533	ED	1015	357	0	0	23	334	323	11
PCT7533	MV	1015	490	0	0	39	451	416	35
PCT7534	ED	936	322	0	0	25	297	282	15
PCT7534	MV	936	415	0	0	35	380	361	19
PCT7535	ED	767	262	0	0	28	234	227	7
PCT7535	MV	767	387	0	0	35	352	337	15
PCT7536	ED	863	291	0	0	31	260	246	14
PCT7536	MV	863	421	0	0	19	402	376	26
PCT7537	ED	752	240	0	0	25	215	202	13
PCT7537	MV	752	363	0	0	22	341	320	21
PCT7538	ED	771	246	0	0	17	229	220	9
PCT7538	MV	771	400	0	0	30	370	355	15
PCT7539	ED	922	330	0	0	36	294	283	11
PCT7539	MV	922	428	0	0	38	390	371	19
PCT7541	ED	805	248	0	0	16	232	219	13
PCT7541	MV	805	400	0	0	36	364	351	13
PCT7542	ED	821	272	0	0	26	246	237	9
PCT7542	MV	821	389	0	0	16	373	351	22
PCT7543	ED	909	216	0	0	25	191	187	4
PCT7543	MV	909	467	0	0	22	445	416	29
PCT7544	ED	898	258	0	0	20	238	216	22
PCT7544	MV	898	479	0	0	37	442	422	20
PCT7545	ED	918	273	0	0	23	250	233	17
PCT7545	MV	918	480	0	0	52	428	388	40
PCT7546	ED	982	304	0	0	31	273	252	21
PCT7546	MV	982	517	0	0	31	486	453	33
PCT7547	ED	1029	315	0	0	23	292	284	8
PCT7547	MV	1029	505	0	1	36	468	448	20
PCT7548	ED	1073	319	1	0	24	294	275	19
PCT7548	MV	1073	512	0	0	33	479	450	29
PCT7549	ED	811	215	0	0	17	198	180	18
PCT7549	MV	811	431	0	0	40	391	356	35
PCT7551	ED	741	239	0	0	23	216	201	15
PCT7551	MV	741	394	0	0	16	378	358	20
PCT7552	ED	727	241	0	0	19	222	210	12
PCT7552	MV	727	361	0	0	34	327	311	16
PCT7553	MV	180	126	0	0	11	115	102	13
PCT7554	ED	808	247	0	0	18	229	205	24
PCT7554	MV	808	442	0	0	27	415	378	37
PCT7555	ED	886	290	0	0	16	274	265	9
PCT7555	MV	886	459	0	0	31	428	396	32
PCT7556	ED	969	275	0	0	29	246	213	33
PCT7556	MV	969	573	0	0	30	543	504	39
PCT7601	ED	767	191	0	0	14	177	160	17
PCT7601	MV	767	290	0	0	18	272	238	34
PCT7602	ED	901	213	0	0	17	196	173	23
PCT7602	MV	901	379	0	0	35	344	307	37
PCT7603	ED	830	250	0	0	20	230	215	15
PCT7603	MV	830	376	0	1	39	336	302	34
PCT7604	ED	954	266	0	0	22	244	215	29
PCT7604	MV	954	352	0	0	20	332	293	39
PCT7605	ED	648	120	0	0	16	104	95	9
PCT7605	MV	648	203	0	1	19	183	158	25
PCT7606	ED	924	205	0	0	24	181	149	32
PCT7606	MV	924	330	0	0	23	307	269	38
PCT7607	ED	960	215	0	0	17	198	179	19
PCT7607	MV	960	407	0	0	25	382	341	41
PCT7608	ED	392	70	0	0	5	65	50	15
PCT7608	MV	392	136	0	0	25	111	79	32
PCT7609	ED	926	120	0	0	18	102	83	19
PCT7609	MV	926	352	0	0	60	292	243	49
PCT7611	ED	755	126	0	0	18	108	89	19
PCT7611	MV	755	269	0	1	50	218	186	32
PCT7612	ED	583	97	0	0	16	81	62	19
PCT7612	MV	583	265	0	0	35	230	194	36
PCT7613	ED	908	204	0	0	28	176	160	16
PCT7613	MV	908	340	0	0	38	302	250	52
PCT7614	ED	1029	223	0	0	28	195	178	17
PCT7614	MV	1029	375	0	1	17	357	316	41
PCT7615	ED	762	162	0	0	30	132	105	27
PCT7615	MV	762	237	0	0	33	204	175	29
PCT7616	ED	1203	324	0	0	30	294	255	39
PCT7616	MV	1203	686	0	0	34	652	599	53
PCT7617	ED	768	102	0	1	15	86	73	13
PCT7617	MV	768	261	0	0	37	224	177	47
PCT7618	ED	862	168	0	0	7	161	147	14
PCT7618	MV	862	407	0	0	31	376	339	37
PCT7619	ED	1063	219	0	0	17	202	183	19
PCT7619	MV	1063	563	0	0	37	526	474	52
PCT7621	ED	1320	287	0	0	24	263	232	31
PCT7621	MV	1320	668	0	0	49	619	539	80
PCT7622	ED	988	170	0	0	18	152	131	21
PCT7622	MV	988	301	0	0	29	272	234	38
PCT7623	ED	746	184	0	0	25	159	143	16
PCT7623	MV	746	297	0	0	34	263	227	36
PCT7624	ED	859	142	0	0	11	131	112	19
PCT7624	MV	859	290	0	1	21	268	224	44
PCT7625	ED	822	66	0	0	11	55	42	13
PCT7625	MV	822	475	0	0	94	381	292	89
PCT7626	ED	1114	227	0	0	20	207	187	20
PCT7626	MV	1114	612	0	0	41	571	491	80
PCT7627	ED	1187	267	0	0	29	238	205	33
PCT7627	MV	1187	582	0	0	55	527	402	125
PCT7628	ED	960	241	0	0	18	223	195	28
PCT7628	MV	960	428	0	0	30	398	367	31
PCT7629	ED	809	208	0	0	25	183	173	10
PCT7629	MV	809	343	0	0	27	316	276	40
PCT7631	ED	1155	270	0	0	25	245	215	30
PCT7631	MV	1155	577	0	0	47	530	467	63
PCT7632	ED	1124	289	0	0	33	256	231	25
PCT7632	MV	1124	561	0	0	32	529	489	40
PCT7633	ED	741	137	0	0	9	128	112	16
PCT7633	MV	741	392	0	0	55	337	280	57
PCT7634	ED	900	195	0	0	28	167	137	30
PCT7634	MV	900	421	0	0	25	396	320	76
PCT7635	ED	840	158	0	0	17	141	128	13
PCT7635	MV	840	382	0	0	30	352	322	30
PCT7636	ED	938	251	0	0	26	225	194	31
PCT7636	MV	938	465	0	0	34	431	380	51
PCT7637	ED	809	193	0	0	12	181	143	38
PCT7637	MV	809	404	0	0	26	378	324	54
PCT7638	ED	1467	295	0	0	25	270	218	52
PCT7638	MV	1467	871	1	0	65	805	643	162
PCT7639	ED	1011	242	0	0	18	224	186	38
PCT7639	MV	1011	559	0	0	51	508	439	69
PCT7641	ED	972	205	0	0	26	179	145	34
PCT7641	MV	972	549	0	0	44	505	415	90
PCT7642	ED	937	153	0	1	11	141	126	15
PCT7642	MV	937	394	0	0	53	341	295	46
PCT7643	ED	920	169	0	0	16	153	130	23
PCT7643	MV	920	507	0	1	39	467	394	73
PCT7644	ED	1175	330	0	0	32	298	271	27
PCT7644	MV	1175	554	0	0	45	509	453	56
PCT7645	ED	640	120	0	0	11	109	92	17
PCT7645	MV	640	377	0	0	35	342	273	69
PCT7646	ED	1100	267	0	0	22	245	225	20
PCT7646	MV	1100	592	0	0	40	552	487	65
PCT7647	ED	1075	205	0	0	17	188	171	17
PCT7647	MV	1075	283	0	1	21	261	241	20
PCT7648	MV	1	0	0	0	0	0	0	0
PCT7649	ED	891	178	0	0	18	160	146	14
PCT7649	MV	891	395	0	2	36	357	289	68
PCT7651	ED	677	166	1	0	17	148	128	20
PCT7651	MV	677	351	0	0	27	324	280	44
PCT7652	ED	628	135	0	0	6	129	113	16
PCT7652	MV	628	301	0	1	30	270	241	29
PCT7653	ED	1280	300	0	0	37	263	239	24
