area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	084:RICARDO LARA	085:STEVE POIZNER
PCT7338	ED	915	153	0	0	0	19	134	87	47
PCT7338	MV	915	426	0	0	0	91	335	213	122
PCT7339	ED	669	174	0	0	0	19	155	115	40
PCT7339	MV	669	309	0	0	0	30	279	196	83
PCT7341	ED	908	260	0	0	0	24	236	175	61
PCT7341	MV	908	401	0	0	0	37	364	246	118
PCT7342	ED	947	333	0	0	0	29	304	218	86
PCT7342	MV	947	414	0	0	1	35	378	249	129
PCT7343	ED	731	234	0	0	0	21	213	166	47
PCT7343	MV	731	316	0	0	0	27	289	207	82
PCT7344	ED	1110	287	0	0	1	20	266	189	77
PCT7344	MV	1110	538	0	0	0	38	500	350	150
PCT7345	ED	1141	327	1	0	0	16	310	224	86
PCT7345	MV	1141	521	0	0	0	36	485	345	140
PCT7346	ED	920	248	0	0	0	21	227	171	56
PCT7346	MV	920	384	0	0	0	23	361	273	88
PCT7347	ED	1040	240	0	0	0	24	216	173	43
PCT7347	MV	1040	480	0	0	2	44	434	343	91
PCT7348	ED	861	210	0	0	0	21	189	137	52
PCT7348	MV	861	353	0	0	0	38	315	240	75
PCT7349	ED	957	247	0	0	0	16	231	158	73
PCT7349	MV	957	427	0	0	0	48	379	256	123
PCT7501	ED	565	172	0	0	0	13	159	113	46
PCT7501	MV	565	308	0	0	0	21	287	161	126
PCT7502	ED	784	180	1	0	0	21	158	106	52
PCT7502	MV	784	447	0	0	0	43	404	266	138
PCT7503	ED	764	207	0	0	0	23	184	132	52
PCT7503	MV	764	388	0	0	0	37	351	226	125
PCT7504	ED	503	112	0	0	0	12	100	72	28
PCT7504	MV	503	222	0	0	0	17	205	144	61
PCT7505	ED	869	158	0	0	0	20	138	90	48
PCT7505	MV	869	532	0	0	0	57	475	301	174
PCT7506	ED	999	224	0	0	1	16	207	165	42
PCT7506	MV	999	473	0	0	0	41	432	304	128
PCT7507	ED	955	210	0	0	1	28	181	142	39
PCT7507	MV	955	344	0	0	2	30	312	231	81
PCT7508	ED	727	154	0	0	0	19	135	101	34
PCT7508	MV	727	427	0	0	0	41	386	250	136
PCT7509	ED	932	235	2	0	0	16	217	160	57
PCT7509	MV	932	470	1	0	2	26	441	339	102
PCT7512	ED	612	149	0	0	0	14	135	84	51
PCT7512	MV	612	283	0	0	0	21	262	170	92
PCT7513	ED	818	225	0	0	1	33	191	149	42
PCT7513	MV	818	315	0	0	2	29	284	204	80
PCT7514	ED	874	140	0	0	1	14	125	102	23
PCT7514	MV	874	305	0	0	0	40	265	204	61
PCT7515	ED	869	211	0	0	0	27	184	153	31
PCT7515	MV	869	389	0	0	0	37	352	262	90
PCT7516	ED	922	172	0	0	0	10	162	116	46
PCT7516	MV	922	538	0	0	1	51	486	342	144
PCT7517	ED	863	289	0	0	0	21	268	218	50
PCT7517	MV	863	410	0	0	0	31	379	280	99
PCT7518	ED	950	309	0	0	0	24	285	225	60
PCT7518	MV	950	480	0	0	1	40	439	330	109
PCT7519	ED	737	224	0	0	0	11	213	171	42
PCT7519	MV	737	355	0	0	0	32	323	237	86
PCT7521	ED	812	291	0	0	0	31	260	206	54
PCT7521	MV	812	354	0	0	0	22	332	243	89
PCT7522	ED	764	207	0	0	0	11	196	154	42
PCT7522	MV	764	397	0	0	0	16	381	292	89
PCT7523	ED	747	275	0	0	0	22	253	203	50
PCT7523	MV	747	359	0	0	0	26	333	247	86
PCT7524	ED	615	181	0	0	0	23	158	122	36
PCT7524	MV	615	262	0	0	0	20	242	180	62
PCT7525	ED	800	205	0	0	0	16	189	152	37
PCT7525	MV	800	341	0	0	0	29	312	233	79
PCT7526	ED	1011	291	0	0	1	25	265	188	77
PCT7526	MV	1011	552	0	0	0	51	501	373	128
PCT7527	ED	725	208	0	0	1	19	188	130	58
PCT7527	MV	725	339	0	0	1	29	309	239	70
