area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	090:LISA REMMER	091:NANCY PELOSI
PCT7546	MV	982	517	0	0	24	493	23	470
PCT7547	ED	1029	315	0	0	18	297	17	280
PCT7547	MV	1029	505	0	0	30	475	24	451
PCT7548	ED	1073	319	1	0	17	301	17	284
PCT7548	MV	1073	512	0	0	16	496	31	465
PCT7549	ED	811	215	0	0	12	203	21	182
PCT7549	MV	811	431	0	0	14	417	36	381
PCT7551	ED	741	239	0	0	13	226	15	211
PCT7551	MV	741	394	0	1	15	378	19	359
PCT7552	ED	727	241	0	0	4	237	13	224
PCT7552	MV	727	361	0	0	11	350	21	329
PCT7553	MV	180	126	0	0	4	122	14	108
PCT7554	ED	808	247	0	0	8	239	21	218
PCT7554	MV	808	442	0	0	17	425	34	391
PCT7555	ED	886	290	0	0	7	283	16	267
PCT7555	MV	886	459	0	0	11	448	29	419
PCT7556	ED	969	275	0	0	6	269	37	232
PCT7556	MV	969	573	0	0	12	561	35	526
PCT7601	ED	767	191	0	0	14	177	22	155
PCT7601	MV	767	290	0	0	17	273	33	240
PCT7602	ED	901	213	0	0	15	198	20	178
PCT7602	MV	901	379	0	0	19	360	34	326
PCT7603	ED	830	250	0	0	13	237	20	217
PCT7603	MV	830	376	0	0	20	356	33	323
PCT7604	ED	954	266	0	0	26	240	30	210
PCT7604	MV	954	352	0	0	12	340	40	300
PCT7605	ED	648	120	0	0	9	111	13	98
PCT7605	MV	648	203	0	2	13	188	27	161
PCT7606	ED	924	205	0	0	22	183	25	158
PCT7606	MV	924	330	0	1	16	313	47	266
PCT7607	ED	960	215	0	0	21	194	23	171
PCT7607	MV	960	407	0	0	23	384	52	332
PCT7608	ED	392	70	0	0	4	66	14	52
PCT7608	MV	392	136	0	0	16	120	29	91
PCT7609	ED	926	120	0	1	17	102	18	84
PCT7609	MV	926	352	0	0	46	306	43	263
PCT7611	ED	755	126	0	0	10	116	18	98
PCT7611	MV	755	269	0	0	36	233	30	203
PCT7612	ED	583	97	0	1	7	89	17	72
PCT7612	MV	583	265	0	0	27	238	39	199
PCT7613	ED	908	204	0	0	15	189	17	172
PCT7613	MV	908	340	0	0	21	319	52	267
PCT7614	ED	1029	223	0	1	21	201	26	175
PCT7614	MV	1029	375	0	1	18	356	48	308
PCT7615	ED	762	162	0	0	20	142	26	116
PCT7615	MV	762	237	0	1	24	212	29	183
PCT7616	ED	1203	324	0	0	13	311	39	272
PCT7616	MV	1203	686	0	0	16	670	68	602
PCT7617	ED	768	102	0	0	12	90	9	81
PCT7617	MV	768	261	0	0	19	242	39	203
PCT7618	ED	862	168	0	0	14	154	14	140
PCT7618	MV	862	407	0	0	15	392	42	350
PCT7619	ED	1063	219	0	0	16	203	29	174
PCT7619	MV	1063	563	0	1	30	532	50	482
PCT7621	ED	1320	287	0	0	16	271	32	239
PCT7621	MV	1320	668	0	0	37	631	76	555
PCT7622	ED	988	170	0	0	15	155	16	139
PCT7622	MV	988	301	0	0	21	280	35	245
PCT7623	ED	746	184	0	0	22	162	16	146
PCT7623	MV	746	297	0	0	21	276	30	246
PCT7624	ED	859	142	0	0	12	130	21	109
PCT7624	MV	859	290	0	1	14	275	34	241
PCT7625	ED	822	66	0	0	6	60	14	46
PCT7625	MV	822	475	0	0	66	409	95	314
PCT7626	ED	1114	227	0	0	14	213	23	190
PCT7626	MV	1114	612	0	0	31	581	71	510
PCT7627	ED	1187	267	0	0	16	251	42	209
PCT7627	MV	1187	582	0	0	22	560	125	435
PCT7628	ED	960	241	0	0	12	229	28	201
PCT7628	MV	960	428	0	1	14	413	25	388
PCT7629	ED	809	208	0	0	17	191	19	172
PCT7629	MV	809	343	0	0	13	330	36	294
PCT7631	ED	1155	270	0	1	17	252	36	216
PCT7631	MV	1155	577	0	0	23	554	64	490
PCT7632	ED	1124	289	0	0	20	269	32	237
PCT7632	MV	1124	561	0	0	21	540	46	494
PCT7633	ED	741	137	0	0	8	129	17	112
PCT7633	MV	741	392	0	0	29	363	49	314
PCT7634	ED	900	195	0	0	17	178	31	147
PCT7634	MV	900	421	0	0	23	398	58	340
PCT7635	ED	840	158	0	0	9	149	25	124
PCT7635	MV	840	382	0	0	19	363	36	327
PCT7636	ED	938	251	0	0	11	240	34	206
PCT7636	MV	938	465	0	0	14	451	55	396
PCT7637	ED	809	193	0	0	5	188	40	148
PCT7637	MV	809	404	0	0	14	390	55	335
PCT7638	ED	1467	295	0	0	13	282	50	232
PCT7638	MV	1467	871	1	0	27	843	156	687
PCT7639	ED	1011	242	0	0	9	233	40	193
PCT7639	MV	1011	559	0	0	15	544	72	472
PCT7641	ED	972	205	0	0	9	196	40	156
PCT7641	MV	972	549	0	0	22	527	102	425
PCT7642	ED	937	153	0	0	2	151	15	136
PCT7642	MV	937	394	0	1	9	384	42	342
PCT7643	ED	920	169	0	0	10	159	19	140
PCT7643	MV	920	507	0	0	23	484	64	420
PCT7644	ED	1175	330	0	0	16	314	29	285
PCT7644	MV	1175	554	0	0	18	536	53	483
PCT7645	ED	640	120	0	0	6	114	24	90
PCT7645	MV	640	377	0	0	11	366	68	298
PCT7646	ED	1100	267	0	0	13	254	24	230
PCT7646	MV	1100	592	0	0	19	573	59	514
PCT7647	ED	1075	205	0	0	16	189	22	167
PCT7647	MV	1075	283	0	0	11	272	26	246
PCT7648	MV	1	0	0	0	0	0	0	0
PCT7649	ED	891	178	0	0	6	172	19	153
PCT7649	MV	891	395	0	0	27	368	48	320
PCT7651	ED	677	166	1	0	12	153	24	129
PCT7651	MV	677	351	0	0	10	341	40	301
PCT7652	ED	628	135	0	0	3	132	21	111
PCT7652	MV	628	301	0	1	12	288	31	257
PCT7653	ED	1280	300	0	0	11	289	31	258
PCT7653	MV	1280	673	0	0	24	649	75	574
PCT7701	ED	1064	296	0	0	13	283	35	248
PCT7701	MV	1064	597	0	0	24	573	68	505
