area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	124:EVA I. CHAO	125:BRIAN J. LARKIN	126:JONATHAN LYENS	127:JANICE LI	128:MELANIE NUTTER	129:WILLIAM WALKER
PCT9104	MV	988	465	0	5	95	365	2	69	52	53	114	61	14
PCT9105	ED	919	247	0	3	65	179	2	25	30	30	61	24	7
PCT9105	MV	919	488	0	7	111	370	3	63	52	59	114	65	14
PCT9106	ED	937	268	1	5	53	209	0	31	33	30	69	40	6
PCT9106	MV	937	497	0	4	112	381	0	60	51	65	115	76	14
PCT9107	ED	849	219	0	2	39	178	2	27	36	21	69	21	2
PCT9107	MV	849	372	0	3	71	298	2	36	48	29	121	49	13
PCT9108	ED	790	247	0	3	46	198	0	23	26	25	83	27	14
PCT9108	MV	790	373	1	3	80	289	0	42	40	43	112	48	4
PCT9109	ED	884	263	0	3	68	192	1	28	24	32	72	30	5
PCT9109	MV	884	428	0	4	83	341	0	55	40	54	110	72	10
PCT9111	ED	779	229	0	2	54	173	1	29	22	24	68	22	7
PCT9111	MV	779	346	0	1	79	266	1	31	34	30	101	55	14
PCT9112	ED	976	284	0	2	63	219	2	30	32	26	86	35	8
PCT9112	MV	976	467	0	4	119	344	0	42	43	49	127	74	9
PCT9113	ED	999	311	0	3	86	222	0	38	26	22	84	48	4
PCT9113	MV	999	505	0	5	113	387	2	64	48	55	136	71	11
PCT9114	ED	877	263	0	1	60	202	0	34	15	26	80	34	13
PCT9114	MV	877	405	0	6	70	329	0	51	33	48	135	55	7
PCT9115	ED	911	258	0	3	48	207	1	37	23	17	91	26	12
PCT9115	MV	911	429	0	0	104	325	0	55	30	37	137	54	12
PCT9116	ED	944	281	1	2	54	224	1	27	25	22	102	32	15
PCT9116	MV	944	473	0	3	98	372	1	64	45	43	142	69	8
PCT9117	ED	783	222	0	5	46	171	0	26	30	21	52	35	7
PCT9117	MV	783	398	0	7	82	309	1	65	40	38	99	59	7
PCT9118	ED	974	286	0	1	68	217	0	34	37	30	81	24	11
PCT9118	MV	974	426	0	8	101	317	2	52	44	37	111	58	13
PCT9119	ED	891	237	0	2	74	161	2	29	24	26	50	21	9
PCT9119	MV	891	447	0	4	97	346	1	68	56	39	124	46	12
PCT9121	ED	930	256	0	3	58	195	0	36	30	22	62	29	16
PCT9121	MV	930	434	0	4	90	340	2	61	46	42	135	45	9
PCT9122	ED	953	210	0	2	68	140	0	26	17	12	49	23	13
PCT9122	MV	953	454	0	2	98	354	0	82	54	36	125	51	6
PCT9123	ED	858	232	0	3	53	176	1	29	22	20	75	19	10
PCT9123	MV	858	418	0	4	76	338	2	71	54	34	117	53	7
PCT9124	ED	874	202	0	1	46	155	4	35	14	15	56	23	8
PCT9124	MV	874	438	0	2	85	351	1	64	49	27	138	55	17
PCT9125	ED	861	210	0	0	49	161	0	25	24	16	59	30	7
PCT9125	MV	861	437	0	4	98	335	1	59	37	38	122	66	12
PCT9126	ED	1015	245	0	1	67	177	0	23	23	21	79	24	7
PCT9126	MV	1015	533	0	3	125	405	1	78	46	51	145	74	10
PCT9127	ED	960	269	0	4	68	197	1	37	22	22	82	27	6
PCT9127	MV	960	498	0	5	130	363	0	62	37	54	122	77	11
PCT9128	ED	828	248	0	0	57	191	0	29	25	11	71	50	5
PCT9128	MV	828	412	0	5	70	337	0	60	26	40	117	83	11
PCT9129	ED	741	243	0	0	47	196	0	30	30	20	67	40	9
PCT9129	MV	741	348	0	1	74	273	1	57	34	32	83	51	15
PCT9131	ED	759	193	0	1	52	140	1	22	18	20	46	29	4
PCT9131	MV	759	403	0	4	77	322	0	63	27	34	128	68	2
PCT9132	ED	837	248	0	2	66	180	0	26	18	23	82	21	10
PCT9132	MV	837	371	0	4	74	293	0	43	37	31	134	39	9
