area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	130:CARMEN CHU	131:PAUL BELLAR
PCT7048	ED	858	150	8	1	12	0	129	1	103	25
PCT7048	MV	858	318	3	0	21	0	294	4	238	52
PCT7049	ED	792	172	0	0	20	0	152	1	105	46
PCT7049	MV	792	305	6	0	25	0	274	1	226	47
PCT7051	ED	861	114	0	0	14	0	100	0	73	27
PCT7051	MV	861	380	3	0	21	0	356	1	287	68
PCT7052	ED	852	161	1	0	29	0	131	1	98	32
PCT7052	MV	852	402	3	0	30	0	369	1	307	61
PCT7053	ED	548	102	0	0	20	0	82	0	63	19
PCT7053	MV	548	278	4	1	29	0	244	0	202	42
PCT7054	ED	1073	214	0	3	28	0	183	1	123	59
PCT7054	MV	1073	410	3	3	30	0	374	7	264	103
PCT7055	ED	808	188	0	0	39	0	149	0	103	46
PCT7055	MV	808	440	7	1	62	0	370	1	267	102
PCT7101	MV	155	120	1	0	11	0	108	0	81	27
PCT7201	ED	936	245	1	1	66	0	177	1	142	34
PCT7201	MV	936	518	2	0	93	0	423	3	331	89
PCT7202	ED	850	225	0	0	51	0	174	0	133	41
PCT7202	MV	850	431	6	0	64	0	361	0	278	83
PCT7203	ED	921	289	3	1	63	0	222	0	154	68
PCT7203	MV	921	423	2	0	86	0	335	0	250	85
PCT7204	ED	918	233	1	0	63	0	169	0	121	48
PCT7204	MV	918	531	8	0	80	0	443	1	361	81
PCT7205	ED	875	249	3	1	59	0	186	0	138	48
PCT7205	MV	875	485	5	2	86	0	392	4	301	87
PCT7206	ED	378	134	1	0	28	0	105	1	79	25
PCT7206	MV	378	191	2	0	32	0	157	0	117	40
PCT7207	ED	812	194	3	0	38	0	153	0	103	50
PCT7207	MV	812	433	8	1	75	0	349	1	282	66
PCT7208	ED	600	111	-1	0	29	0	83	1	54	28
PCT7208	MV	600	328	4	0	44	0	280	1	218	61
PCT7209	ED	626	107	0	0	24	0	83	0	66	17
PCT7209	MV	626	423	5	2	59	0	357	1	290	66
PCT7301	ED	1016	228	-1	2	48	0	179	3	124	52
PCT7301	MV	1016	435	6	1	66	0	362	1	295	66
PCT7302	ED	814	188	0	0	32	0	156	0	112	44
PCT7302	MV	814	458	8	0	66	0	384	0	321	63
PCT7303	ED	1042	280	0	1	76	0	203	0	147	56
PCT7303	MV	1042	482	11	1	69	0	401	1	315	85
PCT7304	ED	1002	278	3	0	59	0	216	1	167	48
PCT7304	MV	1002	493	8	0	62	0	423	2	353	68
PCT7305	ED	871	239	1	0	41	0	197	2	144	51
PCT7305	MV	871	459	17	0	65	0	377	4	302	71
PCT7306	ED	1056	317	0	0	72	0	245	1	179	65
PCT7306	MV	1056	496	10	1	85	0	400	4	306	90
PCT7307	ED	767	209	0	0	41	0	168	1	128	39
PCT7307	MV	767	345	12	0	41	0	292	1	226	65
PCT7308	ED	603	177	0	0	36	0	141	0	107	34
PCT7308	MV	603	313	12	1	43	0	257	0	213	44
PCT7309	ED	884	260	2	0	64	0	194	0	149	45
PCT7309	MV	884	439	3	1	88	0	347	1	273	73
PCT7311	ED	917	266	3	0	59	0	204	1	156	47
PCT7311	MV	917	448	10	0	56	0	382	0	315	67
PCT7312	ED	821	203	4	0	38	0	161	0	125	36
PCT7312	MV	821	470	18	1	72	0	379	0	338	41
PCT7313	ED	968	224	0	1	44	0	179	0	141	38
PCT7313	MV	968	485	9	0	70	0	406	1	330	75
PCT7314	ED	787	125	-1	0	18	0	108	1	80	27
PCT7314	MV	787	271	3	1	24	0	243	1	196	46
PCT7315	ED	760	220	0	1	55	0	164	0	118	46
PCT7315	MV	760	282	4	1	51	0	226	0	170	56
PCT7316	ED	853	205	0	1	51	0	153	1	103	49
PCT7316	MV	853	367	10	1	54	0	302	0	232	70
PCT7317	ED	904	189	1	0	36	0	152	0	114	38
PCT7317	MV	904	454	4	0	71	0	379	1	310	68
PCT7318	ED	727	179	1	0	54	0	124	1	97	26
PCT7318	MV	727	389	6	1	61	0	321	0	275	46
PCT7319	ED	1079	298	0	0	69	0	229	0	172	57
PCT7319	MV	1079	516	12	0	86	0	418	0	337	81
PCT7321	ED	671	149	0	0	36	0	113	2	86	25
PCT7321	MV	671	286	4	0	27	0	255	0	202	53
PCT7322	ED	874	64	1	0	7	0	56	0	36	20
PCT7322	MV	874	337	1	0	29	0	307	1	273	33
PCT7323	ED	950	234	2	0	55	0	177	2	131	44
PCT7323	MV	950	455	14	0	59	0	382	0	305	77
PCT7324	ED	755	189	3	0	41	0	145	0	108	37
PCT7324	MV	755	364	4	1	52	0	307	0	267	40
PCT7325	ED	904	240	1	0	51	0	188	2	151	35
PCT7325	MV	904	436	8	2	66	0	360	1	306	53
PCT7326	ED	876	199	1	0	35	0	163	0	125	38
PCT7326	MV	876	429	4	0	65	0	360	0	297	63
PCT7327	ED	699	71	0	0	12	0	59	0	45	14
PCT7327	MV	699	276	0	0	23	0	253	0	211	42
PCT7328	ED	973	94	-1	1	20	0	74	0	60	14
PCT7328	MV	973	394	1	0	55	0	338	0	297	41
PCT7329	ED	640	112	18	0	9	0	85	0	57	28
PCT7329	MV	640	321	10	0	49	0	262	2	217	43
PCT7331	ED	852	213	-2	1	48	0	166	4	123	39
PCT7331	MV	852	461	11	0	70	0	380	0	324	56
PCT7332	ED	834	223	0	0	48	0	175	0	123	52
PCT7332	MV	834	364	5	0	46	0	313	1	226	86
PCT7333	ED	1044	295	2	0	66	0	227	2	177	48
PCT7333	MV	1044	543	10	0	74	0	459	1	366	92
PCT7334	ED	881	199	0	0	49	0	150	1	99	50
PCT7334	MV	881	462	16	0	63	0	383	1	312	70
PCT7335	ED	970	225	2	1	44	0	178	2	133	43
PCT7335	MV	970	523	14	0	70	0	439	1	352	86
PCT7336	ED	955	236	0	1	54	0	181	0	135	46
PCT7336	MV	955	523	8	3	76	0	436	2	337	97
PCT7337	ED	851	178	0	0	33	0	145	1	118	26
PCT7337	MV	851	464	13	0	80	0	371	1	289	81
PCT7338	ED	915	153	2	0	22	0	129	0	100	29
PCT7338	MV	915	426	2	0	49	0	375	0	324	51
PCT7339	ED	669	174	0	0	27	0	147	4	108	35
PCT7339	MV	669	309	3	1	38	0	267	1	203	63
PCT7341	ED	908	260	0	0	47	0	213	1	150	62
PCT7341	MV	908	401	7	0	53	0	341	1	264	76
PCT7342	ED	947	333	2	0	60	0	271	1	198	72
PCT7342	MV	947	414	6	0	57	0	351	1	257	93
PCT7343	ED	731	234	4	1	44	0	185	0	140	45
PCT7343	MV	731	316	9	0	36	0	271	1	209	61
PCT7344	ED	1110	287	3	0	60	0	224	0	161	63
PCT7344	MV	1110	538	3	2	64	0	469	4	350	115
PCT7345	ED	1141	327	1	0	61	0	265	1	187	77
PCT7345	MV	1141	521	10	0	86	0	425	0	322	103
PCT7346	ED	920	248	-2	0	40	0	210	1	146	63
PCT7346	MV	920	384	5	0	51	0	328	1	231	96
PCT7347	ED	1040	240	3	0	47	0	190	2	127	61
PCT7347	MV	1040	480	11	1	52	0	416	1	297	118
PCT7348	ED	861	210	1	0	51	0	158	1	114	43
PCT7348	MV	861	353	10	0	45	0	298	0	220	78
PCT7349	ED	957	247	24	0	23	0	200	0	149	51
PCT7349	MV	957	427	7	0	61	0	359	3	275	81
PCT7501	ED	565	172	-1	0	42	0	131	0	101	30
PCT7501	MV	565	308	4	0	55	0	249	0	208	41
PCT7502	ED	784	180	1	0	39	0	140	1	104	35
PCT7502	MV	784	447	7	0	71	0	369	1	301	67
PCT7503	ED	764	207	0	0	38	0	169	2	129	38
PCT7503	MV	764	388	15	1	43	0	329	1	264	64
