area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	076:ALEX PADILLA	077:MARK P. MEUSER
PCT7334	ED	881	199	0	0	7	192	169	23
PCT7334	MV	881	462	0	0	34	428	386	42
PCT7335	ED	970	225	0	0	8	217	194	23
PCT7335	MV	970	523	0	0	21	502	417	85
PCT7336	ED	955	236	0	0	17	219	191	28
PCT7336	MV	955	523	0	0	22	501	401	100
PCT7337	ED	851	178	0	0	12	166	140	26
PCT7337	MV	851	464	0	1	31	432	348	84
PCT7338	ED	915	153	0	0	11	142	122	20
PCT7338	MV	915	426	0	0	65	361	292	69
PCT7339	ED	669	174	0	0	8	166	152	14
PCT7339	MV	669	309	0	0	16	293	268	25
PCT7341	ED	908	260	0	0	12	248	220	28
PCT7341	MV	908	401	0	0	18	383	343	40
PCT7342	ED	947	333	0	0	13	320	284	36
PCT7342	MV	947	414	0	0	14	400	357	43
PCT7343	ED	731	234	0	0	10	224	204	20
PCT7343	MV	731	316	0	0	9	307	280	27
PCT7344	ED	1110	287	0	0	12	275	241	34
PCT7344	MV	1110	538	0	0	18	520	461	59
PCT7345	ED	1141	327	1	0	8	318	282	36
PCT7345	MV	1141	521	0	0	11	510	460	50
PCT7346	ED	920	248	0	0	10	238	219	19
PCT7346	MV	920	384	0	0	11	373	342	31
PCT7347	ED	1040	240	0	0	15	225	204	21
PCT7347	MV	1040	480	0	0	15	465	441	24
PCT7348	ED	861	210	0	0	4	206	177	29
PCT7348	MV	861	353	0	0	14	339	301	38
PCT7349	ED	957	247	0	0	9	238	211	27
PCT7349	MV	957	427	0	0	30	397	348	49
PCT7501	ED	565	172	0	0	6	166	145	21
PCT7501	MV	565	308	0	0	17	291	263	28
PCT7502	ED	784	180	1	0	7	172	153	19
PCT7502	MV	784	447	0	1	23	423	366	57
PCT7503	ED	764	207	0	0	13	194	172	22
PCT7503	MV	764	388	0	0	18	370	326	44
PCT7504	ED	503	112	0	0	5	107	92	15
PCT7504	MV	503	222	0	0	8	214	189	25
PCT7505	ED	869	158	0	0	21	137	118	19
PCT7505	MV	869	532	0	0	26	506	426	80
PCT7506	ED	999	224	0	0	6	218	204	14
PCT7506	MV	999	473	0	0	15	458	396	62
PCT7507	ED	955	210	0	1	16	193	169	24
PCT7507	MV	955	344	0	0	14	330	295	35
PCT7508	ED	727	154	0	0	9	145	126	19
PCT7508	MV	727	427	0	0	31	396	349	47
PCT7509	ED	932	235	2	0	6	227	205	22
PCT7509	MV	932	470	1	0	11	458	422	36
PCT7512	ED	612	149	0	0	12	137	97	40
PCT7512	MV	612	283	0	0	12	271	213	58
PCT7513	ED	818	225	0	1	14	210	192	18
PCT7513	MV	818	315	0	1	14	300	255	45
PCT7514	ED	874	140	0	1	9	130	121	9
PCT7514	MV	874	305	0	0	35	270	237	33
PCT7515	ED	869	211	0	0	20	191	173	18
PCT7515	MV	869	389	0	0	18	371	334	37
PCT7516	ED	922	172	0	0	10	162	146	16
PCT7516	MV	922	538	0	0	27	511	448	63
PCT7517	ED	863	289	0	0	10	279	267	12
PCT7517	MV	863	410	0	0	17	393	380	13
PCT7518	ED	950	309	0	0	13	296	279	17
PCT7518	MV	950	480	0	0	22	458	436	22
PCT7519	ED	737	224	0	0	2	222	204	18
PCT7519	MV	737	355	0	0	14	341	320	21
PCT7521	ED	812	291	0	0	20	271	256	15
PCT7521	MV	812	354	0	0	12	342	337	5
PCT7522	ED	764	207	0	0	6	201	191	10
PCT7522	MV	764	397	0	1	11	385	373	12
PCT7523	ED	747	275	0	0	17	258	244	14
PCT7523	MV	747	359	0	0	10	349	328	21
PCT7524	ED	615	181	0	0	16	165	160	5
PCT7524	MV	615	262	0	0	13	249	234	15
PCT7525	ED	800	205	0	0	6	199	188	11
PCT7525	MV	800	341	0	0	16	325	307	18
PCT7526	ED	1011	291	0	1	5	285	269	16
PCT7526	MV	1011	552	0	0	16	536	517	19
PCT7527	ED	725	208	0	1	12	195	169	26
PCT7527	MV	725	339	0	1	18	320	290	30
PCT7529	ED	948	294	0	0	11	283	270	13
PCT7529	MV	948	486	0	0	7	479	463	16
PCT7531	ED	865	225	0	0	5	220	214	6
PCT7531	MV	865	442	0	0	13	429	415	14
PCT7532	ED	852	246	0	0	13	233	220	13
PCT7532	MV	852	398	0	0	15	383	347	36
PCT7533	ED	1015	354	0	0	10	344	336	8
PCT7533	MV	1015	490	0	0	21	469	434	35
PCT7534	ED	936	322	0	0	12	310	297	13
PCT7534	MV	936	415	0	0	16	399	379	20
PCT7535	ED	767	261	0	1	12	248	237	11
PCT7535	MV	767	387	0	0	19	368	350	18
PCT7536	ED	863	291	0	0	12	279	271	8
PCT7536	MV	863	421	0	0	8	413	394	19
PCT7537	ED	752	240	0	0	10	230	216	14
PCT7537	MV	752	363	0	0	7	356	340	16
PCT7538	ED	771	246	0	0	5	241	231	10
PCT7538	MV	771	400	0	0	16	384	374	10
PCT7539	ED	922	330	0	0	13	317	305	12
PCT7539	MV	922	428	0	0	12	416	400	16
PCT7541	ED	805	245	0	0	7	238	226	12
PCT7541	MV	805	400	0	0	14	386	372	14
PCT7542	ED	821	270	0	0	12	258	253	5
PCT7542	MV	821	389	0	0	14	375	359	16
PCT7543	ED	909	215	0	0	14	201	196	5
PCT7543	MV	909	467	0	1	16	450	428	22
PCT7544	ED	898	256	0	0	15	241	222	19
PCT7544	MV	898	479	0	0	16	463	447	16
PCT7545	ED	918	273	0	0	7	266	250	16
PCT7545	MV	918	480	0	0	24	456	418	38
PCT7546	ED	982	304	0	0	16	288	271	17
PCT7546	MV	982	517	0	1	12	504	486	18
PCT7547	ED	1029	314	0	0	14	300	294	6
PCT7547	MV	1029	505	0	0	23	482	462	20
PCT7548	ED	1073	317	1	0	13	303	282	21
PCT7548	MV	1073	512	0	0	12	500	470	30
PCT7549	ED	811	215	0	0	11	204	187	17
PCT7549	MV	811	431	0	2	18	411	380	31
