area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	042:Yes	043:No
PCT7049	ED	792	172	-1	0	0	13	160	112	48
PCT7049	MV	792	305	2	0	0	12	291	166	125
PCT7051	ED	861	114	1	0	0	12	101	72	29
PCT7051	MV	861	380	1	0	0	32	347	191	156
PCT7052	ED	852	161	1	0	0	2	158	129	29
PCT7052	MV	852	402	0	0	0	30	372	223	149
PCT7053	ED	548	102	1	0	0	4	97	73	24
PCT7053	MV	548	278	0	0	0	15	263	179	84
PCT7054	ED	1073	214	1	0	0	6	207	181	26
PCT7054	MV	1073	410	3	0	1	15	391	302	89
PCT7055	ED	808	188	0	0	0	7	181	162	19
PCT7055	MV	808	440	0	0	0	15	425	313	112
PCT7101	MV	155	120	1	0	0	3	116	109	7
PCT7201	ED	936	245	1	0	0	14	230	190	40
PCT7201	MV	936	518	2	0	0	32	484	376	108
PCT7202	ED	850	225	-1	0	0	7	219	179	40
PCT7202	MV	850	431	4	0	0	20	407	304	103
PCT7203	ED	921	289	3	0	0	6	280	236	44
PCT7203	MV	921	423	-1	0	1	25	398	323	75
PCT7204	ED	918	233	0	0	0	14	219	174	45
PCT7204	MV	918	531	3	0	1	24	503	409	94
PCT7205	ED	875	249	1	0	0	19	229	187	42
PCT7205	MV	875	485	0	0	0	15	470	369	101
PCT7206	ED	378	134	1	0	0	5	128	110	18
PCT7206	MV	378	191	2	0	0	7	182	148	34
PCT7207	ED	812	194	-2	0	0	13	183	158	25
PCT7207	MV	812	433	5	0	0	22	406	334	72
PCT7208	ED	600	111	-1	0	1	5	106	92	14
PCT7208	MV	600	328	-1	0	0	22	307	239	68
PCT7209	ED	626	107	0	0	0	0	107	90	17
PCT7209	MV	626	423	2	0	0	36	385	314	71
PCT7301	ED	1016	228	0	0	0	18	210	169	41
PCT7301	MV	1016	435	1	0	0	25	409	328	81
PCT7302	ED	814	188	0	0	0	15	173	134	39
PCT7302	MV	814	458	2	0	0	38	418	313	105
PCT7303	ED	1042	280	0	0	1	5	274	216	58
PCT7303	MV	1042	482	2	0	0	33	447	354	93
PCT7304	ED	1002	278	0	0	0	17	261	218	43
PCT7304	MV	1002	493	1	0	0	24	468	362	106
PCT7305	ED	871	239	0	0	0	9	230	180	50
PCT7305	MV	871	459	0	0	0	22	437	319	118
PCT7306	ED	1056	317	0	0	0	14	303	239	64
PCT7306	MV	1056	496	0	0	0	24	472	357	115
PCT7307	ED	767	209	0	0	0	6	203	168	35
PCT7307	MV	767	345	2	0	0	24	319	244	75
PCT7308	ED	603	177	0	0	0	5	172	132	40
PCT7308	MV	603	313	4	0	0	11	298	225	73
PCT7309	ED	884	260	0	0	0	11	249	202	47
PCT7309	MV	884	439	4	0	0	24	411	332	79
PCT7311	ED	917	266	2	0	0	8	256	225	31
PCT7311	MV	917	448	-3	0	0	23	428	349	79
PCT7312	ED	821	203	0	0	0	11	192	149	43
PCT7312	MV	821	470	3	0	1	36	430	320	110
PCT7313	ED	968	224	1	0	0	12	211	175	36
PCT7313	MV	968	485	5	0	0	23	457	344	113
PCT7314	ED	787	125	0	0	0	16	109	83	26
PCT7314	MV	787	271	-2	0	0	51	222	174	48
PCT7315	ED	760	220	-2	0	0	18	204	170	34
PCT7315	MV	760	282	2	0	0	14	266	212	54
PCT7316	ED	853	205	0	0	0	17	188	155	33
PCT7316	MV	853	367	1	0	0	25	341	250	91
PCT7317	ED	904	189	0	0	0	11	178	141	37
PCT7317	MV	904	454	0	0	0	30	424	321	103
PCT7318	ED	727	179	0	0	0	7	172	133	39
PCT7318	MV	727	389	0	0	0	25	364	270	94
PCT7319	ED	1079	298	1	0	0	18	279	229	50
PCT7319	MV	1079	516	4	0	0	38	474	373	101
PCT7321	ED	671	149	0	0	0	7	142	108	34
PCT7321	MV	671	286	1	0	0	27	258	170	88
PCT7322	ED	874	64	0	0	0	8	56	44	12
PCT7322	MV	874	337	0	0	0	38	299	191	108
PCT7323	ED	950	234	0	0	0	15	219	177	42
PCT7323	MV	950	455	2	0	0	33	420	314	106
PCT7324	ED	755	189	1	0	0	16	172	136	36
PCT7324	MV	755	364	2	0	0	17	345	276	69
PCT7325	ED	904	240	0	0	0	16	224	186	38
PCT7325	MV	904	436	3	0	1	28	404	317	87
PCT7326	ED	876	199	0	0	0	16	183	152	31
PCT7326	MV	876	429	2	0	0	27	400	299	101
PCT7327	ED	699	71	0	0	0	8	63	48	15
PCT7327	MV	699	276	-1	0	0	32	245	142	103
PCT7328	ED	973	94	-2	0	0	14	82	68	14
PCT7328	MV	973	394	0	0	0	60	334	245	89
PCT7329	ED	640	112	0	0	1	5	106	88	18
PCT7329	MV	640	321	5	0	0	21	295	221	74
PCT7331	ED	852	213	-1	0	0	17	197	153	44
PCT7331	MV	852	461	3	0	1	29	428	327	101
PCT7332	ED	834	223	0	0	0	9	214	184	30
PCT7332	MV	834	364	1	0	0	24	339	281	58
PCT7333	ED	1044	295	0	0	0	11	284	231	53
PCT7333	MV	1044	543	5	0	0	27	511	419	92
PCT7334	ED	881	199	0	0	0	13	186	159	27
PCT7334	MV	881	462	5	0	0	23	434	358	76
PCT7335	ED	970	225	0	0	0	10	215	176	39
PCT7335	MV	970	523	3	0	0	21	499	392	107
PCT7336	ED	955	236	-1	0	0	12	225	184	41
PCT7336	MV	955	523	3	0	1	26	493	376	117
PCT7337	ED	851	178	0	0	0	10	168	127	41
PCT7337	MV	851	464	3	0	0	28	433	333	100
PCT7338	ED	915	153	1	0	0	16	136	105	31
PCT7338	MV	915	426	1	0	0	36	389	266	123
PCT7339	ED	669	174	0	0	0	5	169	143	26
PCT7339	MV	669	309	0	0	0	19	290	246	44
PCT7341	ED	908	260	0	0	0	15	245	204	41
PCT7341	MV	908	401	3	0	0	26	372	312	60
PCT7342	ED	947	333	-1	0	0	16	318	277	41
PCT7342	MV	947	414	1	0	0	13	400	326	74
PCT7343	ED	731	234	1	0	0	10	223	194	29
PCT7343	MV	731	316	6	0	0	12	298	257	41
PCT7344	ED	1110	287	1	0	0	13	273	229	44
PCT7344	MV	1110	538	-4	0	0	15	527	435	92
PCT7345	ED	1141	327	-1	0	0	18	310	272	38
PCT7345	MV	1141	521	3	0	0	26	492	409	83
PCT7346	ED	920	248	1	0	0	11	236	202	34
PCT7346	MV	920	384	-2	0	0	18	368	316	52
PCT7347	ED	1040	240	1	0	0	16	223	204	19
PCT7347	MV	1040	480	6	0	0	13	461	404	57
PCT7348	ED	861	210	1	0	0	10	199	169	30
PCT7348	MV	861	353	-1	0	0	22	332	272	60
PCT7349	ED	957	247	0	0	0	10	237	200	37
PCT7349	MV	957	427	3	0	0	25	399	327	72
PCT7501	ED	565	172	-1	0	1	7	165	132	33
PCT7501	MV	565	308	4	0	0	11	293	247	46
PCT7502	ED	784	180	1	0	0	9	170	131	39
PCT7502	MV	784	447	2	0	0	35	410	331	79
PCT7503	ED	764	207	1	0	0	16	190	161	29
PCT7503	MV	764	388	4	0	0	24	360	296	64
PCT7504	ED	503	112	0	0	0	8	104	89	15
PCT7504	MV	503	222	2	0	0	21	199	166	33
PCT7505	ED	869	158	2	0	0	10	146	126	20
PCT7505	MV	869	532	5	0	1	35	491	417	74
PCT7506	ED	999	224	0	0	0	11	213	187	26
PCT7506	MV	999	473	3	0	0	24	446	363	83
PCT7507	ED	955	210	0	0	0	12	198	168	30
PCT7507	MV	955	344	-2	0	1	21	324	273	51
PCT7508	ED	727	154	0	0	1	13	140	117	23
PCT7508	MV	727	427	3	0	0	37	387	326	61
PCT7509	ED	932	235	3	0	0	8	224	191	33
PCT7509	MV	932	470	4	0	0	23	443	372	71
PCT7512	ED	612	149	0	0	0	15	134	98	36
PCT7512	MV	612	283	-1	0	0	22	262	210	52
PCT7513	ED	818	225	0	0	0	19	206	184	22
PCT7513	MV	818	315	3	0	0	13	299	263	36
PCT7514	ED	874	140	0	0	0	15	125	110	15
PCT7514	MV	874	305	1	0	0	25	279	235	44
PCT7515	ED	869	211	0	0	0	13	198	166	32
PCT7515	MV	869	389	-1	0	0	19	371	295	76
PCT7516	ED	922	172	1	0	0	13	158	137	21
PCT7516	MV	922	538	-1	0	0	37	502	414	88
PCT7517	ED	863	289	0	0	1	9	279	250	29
PCT7517	MV	863	410	0	0	0	13	397	354	43
PCT7518	ED	950	309	0	0	0	11	298	273	25
PCT7518	MV	950	480	2	0	0	28	450	407	43
PCT7519	ED	737	224	0	0	0	7	217	194	23
PCT7519	MV	737	355	1	0	0	12	342	305	37
PCT7521	ED	812	291	6	0	0	13	272	246	26
PCT7521	MV	812	354	0	0	0	10	344	321	23
PCT7522	ED	764	207	0	0	0	10	197	181	16
PCT7522	MV	764	397	2	0	1	13	381	347	34
PCT7523	ED	747	275	-1	0	0	8	268	235	33
PCT7523	MV	747	359	3	0	0	6	350	313	37
PCT7524	ED	615	181	1	0	0	5	175	165	10
PCT7524	MV	615	262	3	0	0	10	249	216	33
PCT7525	ED	800	205	0	0	0	13	192	179	13
PCT7525	MV	800	341	-1	0	0	18	324	293	31
PCT7526	ED	1011	291	0	0	0	11	280	249	31
PCT7526	MV	1011	552	2	0	0	24	526	483	43
PCT7527	ED	725	208	0	0	0	11	197	172	25
PCT7527	MV	725	339	0	0	0	12	327	287	40
PCT7529	ED	948	294	-3	0	0	14	283	255	28
PCT7529	MV	948	486	1	0	0	20	465	434	31
PCT7531	ED	865	225	-1	0	0	7	219	201	18
PCT7531	MV	865	442	1	0	0	13	428	384	44
PCT7532	ED	852	246	3	0	0	14	229	193	36
PCT7532	MV	852	398	0	0	0	17	381	327	54
PCT7533	ED	1015	354	0	0	0	6	348	307	41
PCT7533	MV	1015	490	0	0	0	21	469	418	51
PCT7534	ED	936	322	0	0	0	12	310	280	30
PCT7534	MV	936	415	0	0	1	16	398	357	41
PCT7535	ED	767	261	2	0	0	7	252	228	24
PCT7535	MV	767	387	3	0	1	20	363	326	37
PCT7536	ED	863	291	-1	0	0	9	283	254	29
PCT7536	MV	863	421	0	0	0	14	407	368	39
PCT7537	ED	752	240	-1	0	0	10	231	216	15
PCT7537	MV	752	363	0	0	0	13	350	312	38
PCT7538	ED	771	246	0	0	0	13	233	215	18
PCT7538	MV	771	400	2	0	0	23	375	341	34
PCT7539	ED	922	330	0	0	0	15	315	294	21
PCT7539	MV	922	428	2	0	0	10	416	377	39
PCT7541	ED	805	245	0	0	0	11	234	213	21
PCT7541	MV	805	400	0	0	0	11	389	342	47
PCT7542	ED	821	270	0	0	0	7	263	247	16
PCT7542	MV	821	389	0	0	2	8	379	343	36
PCT7543	ED	909	215	0	0	0	12	203	184	19
PCT7543	MV	909	467	3	0	0	6	458	424	34
PCT7544	ED	898	256	0	0	0	9	247	221	26
PCT7544	MV	898	479	4	0	0	20	455	412	43
PCT7545	ED	918	273	0	0	0	13	260	230	30
PCT7545	MV	918	480	-1	0	0	20	461	399	62
PCT7546	ED	982	304	0	0	0	10	294	258	36
