area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	132:JEFF ADACHI
PCT7047	ED	823	119	1	0	17	0	101	3	98
PCT7047	MV	823	388	2	0	61	0	325	3	322
PCT7048	ED	858	150	8	0	28	0	114	3	111
PCT7048	MV	858	318	3	0	50	0	265	8	257
PCT7049	ED	792	173	0	0	46	0	127	2	125
PCT7049	MV	792	305	6	0	67	0	232	5	227
PCT7051	ED	861	114	0	0	23	0	91	1	90
PCT7051	MV	861	380	3	0	74	0	303	11	292
PCT7052	ED	852	161	1	0	46	0	114	4	110
PCT7052	MV	852	402	3	0	88	0	311	7	304
PCT7053	ED	548	102	0	0	25	0	77	1	76
PCT7053	MV	548	278	4	0	63	0	211	5	206
PCT7054	ED	1073	215	0	0	37	0	178	3	175
PCT7054	MV	1073	410	3	0	65	0	342	11	331
PCT7055	ED	808	190	0	0	46	0	144	1	143
PCT7055	MV	808	440	7	0	91	0	342	5	337
PCT7101	MV	155	120	1	0	15	0	104	2	102
PCT7201	ED	936	245	1	0	66	0	178	2	176
PCT7201	MV	936	518	2	0	119	0	397	5	392
PCT7202	ED	850	227	0	0	62	0	165	4	161
PCT7202	MV	850	431	6	0	105	0	320	3	317
PCT7203	ED	921	291	3	0	81	0	207	4	203
PCT7203	MV	921	423	2	0	97	0	324	3	321
PCT7204	ED	918	233	1	0	71	0	161	0	161
PCT7204	MV	918	531	8	1	103	0	419	4	415
PCT7205	ED	875	251	3	0	80	0	168	2	166
PCT7205	MV	875	485	5	1	121	0	358	8	350
PCT7206	ED	378	135	1	0	33	0	101	0	101
PCT7206	MV	378	191	2	0	40	0	149	0	149
PCT7207	ED	812	196	3	0	45	0	148	1	147
PCT7207	MV	812	434	9	0	103	0	322	3	319
PCT7208	ED	600	111	-1	0	34	0	78	1	77
PCT7208	MV	600	328	4	0	65	0	259	1	258
PCT7209	ED	626	107	0	0	21	0	86	3	83
PCT7209	MV	626	423	5	0	82	0	336	1	335
PCT7301	ED	1016	228	-1	0	60	0	169	5	164
PCT7301	MV	1016	435	6	0	80	0	349	5	344
PCT7302	ED	814	188	0	0	46	0	142	0	142
PCT7302	MV	814	458	8	0	110	0	340	1	339
PCT7303	ED	1042	281	0	0	81	0	200	0	200
PCT7303	MV	1042	482	11	0	91	0	380	3	377
PCT7304	ED	1002	278	3	0	70	0	205	4	201
PCT7304	MV	1002	493	8	0	110	0	375	12	363
PCT7305	ED	871	240	1	0	46	0	193	4	189
PCT7305	MV	871	460	17	0	117	0	326	5	321
PCT7306	ED	1056	317	0	0	83	0	234	1	233
PCT7306	MV	1056	498	10	0	122	0	366	5	361
PCT7307	ED	767	210	0	0	49	0	161	2	159
PCT7307	MV	767	346	13	0	61	0	272	3	269
PCT7308	ED	603	177	0	0	39	0	138	1	137
PCT7308	MV	603	313	12	0	70	0	231	1	230
PCT7309	ED	884	263	2	0	74	0	187	7	180
PCT7309	MV	884	439	3	0	117	0	319	3	316
PCT7311	ED	917	268	3	0	66	0	199	0	199
PCT7311	MV	917	448	10	0	86	0	352	2	350
PCT7312	ED	821	203	4	0	42	0	157	1	156
PCT7312	MV	821	470	18	0	114	0	338	4	334
PCT7313	ED	968	225	0	0	58	0	167	1	166
PCT7313	MV	968	485	9	0	108	0	368	10	358
PCT7314	ED	787	125	-1	0	26	0	100	5	95
PCT7314	MV	787	271	3	0	61	0	207	1	206
PCT7315	ED	760	220	0	0	59	0	161	4	157
PCT7315	MV	760	282	4	0	60	0	218	6	212
PCT7316	ED	853	205	0	0	65	0	140	1	139
PCT7316	MV	853	367	10	0	72	0	285	1	284
PCT7317	ED	904	189	1	0	48	0	140	3	137
PCT7317	MV	904	454	4	0	108	0	342	3	339
PCT7318	ED	727	179	1	0	59	0	119	3	116
PCT7318	MV	727	390	6	0	76	0	308	2	306
PCT7319	ED	1079	301	0	0	76	0	225	2	223
PCT7319	MV	1079	516	12	0	126	0	378	1	377
PCT7321	ED	671	149	0	0	47	0	102	2	100
PCT7321	MV	671	286	4	1	51	0	230	6	224
PCT7322	ED	874	65	1	0	14	0	50	1	49
PCT7322	MV	874	337	1	0	87	0	249	3	246
PCT7323	ED	950	234	2	0	77	0	155	1	154
PCT7323	MV	950	455	14	0	91	0	350	4	346
PCT7324	ED	755	190	3	0	52	0	135	0	135
PCT7324	MV	755	364	4	0	76	0	284	1	283
PCT7325	ED	904	243	1	0	71	0	171	7	164
PCT7325	MV	904	436	8	1	96	0	331	5	326
PCT7326	ED	876	200	1	0	48	0	151	3	148
PCT7326	MV	876	430	4	0	100	0	326	3	323
PCT7327	ED	699	71	0	0	16	0	55	0	55
PCT7327	MV	699	276	0	0	69	0	207	0	207
PCT7328	ED	973	94	-1	0	32	0	63	0	63
PCT7328	MV	973	394	1	0	96	0	297	5	292
PCT7329	ED	640	112	18	0	19	0	75	1	74
PCT7329	MV	640	321	10	0	71	0	240	5	235
PCT7331	ED	852	213	-2	0	78	0	137	7	130
PCT7331	MV	852	461	11	0	117	0	333	4	329
PCT7332	ED	834	225	0	0	48	0	177	2	175
PCT7332	MV	834	364	5	0	66	0	293	6	287
PCT7333	ED	1044	298	2	0	78	0	218	2	216
PCT7333	MV	1044	543	10	0	107	0	426	5	421
PCT7334	ED	881	199	0	0	53	0	146	2	144
PCT7334	MV	881	462	16	0	82	0	364	6	358
PCT7335	ED	970	225	2	0	63	0	160	2	158
PCT7335	MV	970	523	14	0	106	0	403	4	399
PCT7336	ED	955	238	0	0	64	0	174	0	174
PCT7336	MV	955	523	8	0	122	0	393	7	386
PCT7337	ED	851	179	0	0	51	0	128	0	128
PCT7337	MV	851	464	13	0	100	0	351	4	347
PCT7338	ED	915	153	2	0	33	0	118	2	116
PCT7338	MV	915	426	2	0	95	0	329	1	328
PCT7339	ED	669	174	0	0	34	0	140	7	133
PCT7339	MV	669	309	3	0	58	0	248	4	244
PCT7341	ED	908	260	0	0	66	0	194	3	191
PCT7341	MV	908	401	7	0	78	0	316	1	315
PCT7342	ED	947	334	2	0	79	0	253	3	250
PCT7342	MV	947	414	6	0	80	0	328	3	325
PCT7343	ED	731	234	4	0	48	0	182	3	179
PCT7343	MV	731	316	9	0	52	0	255	3	252
PCT7344	ED	1110	291	3	1	75	0	212	1	211
PCT7344	MV	1110	538	3	0	101	0	434	6	428
PCT7345	ED	1141	329	1	0	73	0	255	4	251
PCT7345	MV	1141	521	10	0	112	0	399	4	395
PCT7346	ED	920	250	-2	2	57	0	193	2	191
PCT7346	MV	920	384	5	0	67	0	312	5	307
PCT7347	ED	1040	241	3	0	60	0	178	1	177
PCT7347	MV	1040	480	11	0	71	0	398	2	396
PCT7348	ED	861	210	1	0	51	0	158	4	154
PCT7348	MV	861	353	10	0	64	0	279	3	276
PCT7349	ED	957	248	24	0	38	0	186	3	183
PCT7349	MV	957	427	7	0	101	0	319	4	315
PCT7501	ED	565	172	-1	0	51	0	122	0	122
PCT7501	MV	565	308	4	0	68	0	236	2	234
PCT7502	ED	784	180	1	0	49	0	130	2	128
PCT7502	MV	784	447	7	0	98	0	342	7	335
PCT7503	ED	764	208	0	0	56	0	152	3	149
PCT7503	MV	764	388	15	0	58	0	315	5	310
PCT7504	ED	503	112	-1	0	30	0	83	1	82
PCT7504	MV	503	222	6	0	31	0	185	0	185
PCT7505	ED	869	158	2	0	39	0	117	0	117
PCT7505	MV	869	532	8	0	101	0	423	7	416
PCT7506	ED	999	226	1	0	46	0	179	0	179
PCT7506	MV	999	473	4	0	106	0	363	7	356
PCT7507	ED	955	211	0	0	47	0	164	2	162
PCT7507	MV	955	344	3	0	54	0	287	4	283
PCT7508	ED	727	154	0	0	40	0	114	2	112
PCT7508	MV	727	427	9	0	81	0	337	1	336
PCT7509	ED	932	235	4	0	38	0	193	1	192
PCT7509	MV	932	470	6	0	78	0	386	8	378
PCT7512	ED	612	150	0	0	42	0	108	1	107
PCT7512	MV	612	283	2	0	60	0	221	2	219
PCT7513	ED	818	225	0	1	48	0	176	4	172
PCT7513	MV	818	315	3	0	59	0	253	4	249
PCT7514	ED	874	140	2	0	30	0	108	2	106
PCT7514	MV	874	305	1	0	64	0	240	1	239
PCT7515	ED	869	212	1	1	46	0	164	3	161
PCT7515	MV	869	389	2	0	69	0	318	5	313
PCT7516	ED	922	172	1	1	36	0	134	5	129
PCT7516	MV	922	538	7	1	105	0	425	7	418
PCT7517	ED	863	289	3	0	55	0	231	0	231
PCT7517	MV	863	410	9	0	72	0	329	5	324
PCT7518	ED	950	309	1	0	59	0	249	2	247
PCT7518	MV	950	480	7	0	90	0	383	0	383
PCT7519	ED	737	224	0	0	48	0	176	1	175
PCT7519	MV	737	355	6	0	71	0	278	2	276
PCT7521	ED	812	292	27	0	36	0	229	2	227
PCT7521	MV	812	354	7	0	69	0	278	2	276
PCT7522	ED	764	207	0	0	31	0	176	1	175
PCT7522	MV	764	397	5	0	59	0	333	4	329
PCT7523	ED	747	275	7	0	39	0	229	2	227
PCT7523	MV	747	359	11	0	62	0	286	0	286
