area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	082:STEVEN C BAILEY	083:XAVIER BECERRA
PCT7311	ED	917	266	0	0	0	13	253	20	233
PCT7311	MV	917	448	0	0	0	18	430	50	380
PCT7312	ED	821	203	0	0	0	8	195	36	159
PCT7312	MV	821	470	0	0	0	36	434	86	348
PCT7313	ED	968	224	1	0	0	11	212	23	189
PCT7313	MV	968	485	0	0	0	42	443	73	370
PCT7314	ED	787	125	0	0	0	15	110	20	90
PCT7314	MV	787	271	0	0	1	42	228	30	198
PCT7315	ED	760	220	0	0	0	16	204	25	179
PCT7315	MV	760	282	0	0	0	15	267	43	224
PCT7316	ED	853	205	0	0	0	12	193	21	172
PCT7316	MV	853	367	0	0	0	30	337	52	285
PCT7317	ED	904	189	0	0	0	11	178	21	157
PCT7317	MV	904	454	0	0	0	20	434	82	352
PCT7318	ED	727	179	0	0	0	13	166	19	147
PCT7318	MV	727	389	0	0	0	31	358	52	306
PCT7319	ED	1079	298	0	0	0	20	278	33	245
PCT7319	MV	1079	516	0	0	1	29	486	81	405
PCT7321	ED	671	149	0	0	0	20	129	19	110
PCT7321	MV	671	286	0	0	0	31	255	49	206
PCT7322	ED	874	64	0	0	0	7	57	12	45
PCT7322	MV	874	337	0	0	0	74	263	49	214
PCT7323	ED	950	234	0	0	0	18	216	31	185
PCT7323	MV	950	455	0	0	0	34	421	68	353
PCT7324	ED	755	189	0	0	0	15	174	29	145
PCT7324	MV	755	364	0	0	1	25	338	48	290
PCT7325	ED	904	240	0	0	0	16	224	28	196
PCT7325	MV	904	436	0	0	0	28	408	39	369
PCT7326	ED	876	199	0	0	0	11	188	21	167
PCT7326	MV	876	429	0	0	0	48	381	67	314
PCT7327	ED	699	71	0	0	0	11	60	10	50
PCT7327	MV	699	276	0	0	0	41	235	62	173
PCT7328	ED	973	94	0	0	0	14	80	17	63
PCT7328	MV	973	394	0	0	0	79	315	68	247
PCT7329	ED	640	112	0	0	0	9	103	14	89
PCT7329	MV	640	321	0	0	0	29	292	74	218
PCT7331	ED	852	213	0	0	0	15	198	52	146
PCT7331	MV	852	461	0	0	0	18	443	102	341
PCT7332	ED	834	223	0	0	0	17	206	19	187
PCT7332	MV	834	364	0	0	0	19	345	41	304
PCT7333	ED	1044	295	0	0	0	19	276	28	248
PCT7333	MV	1044	543	0	0	0	30	513	68	445
PCT7334	ED	881	199	0	0	0	8	191	24	167
PCT7334	MV	881	462	0	0	0	28	434	45	389
