area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	095:DAVID CHIU	096:ALEJANDRO FERNANDEZ
PCT7316	MV	853	367	0	0	0	61	306	214	92
PCT7317	ED	904	189	0	0	0	23	166	122	44
PCT7317	MV	904	454	0	0	0	58	396	303	93
PCT7318	ED	727	179	0	0	0	34	145	107	38
PCT7318	MV	727	389	0	0	0	50	339	267	72
PCT7319	ED	1079	298	0	0	0	37	261	190	71
PCT7319	MV	1079	516	0	0	1	74	441	345	96
PCT7321	ED	671	149	0	0	0	26	123	93	30
PCT7321	MV	671	286	0	0	0	39	247	198	49
PCT7322	ED	874	64	0	0	1	14	49	37	12
PCT7322	MV	874	337	0	0	0	57	280	247	33
PCT7323	ED	950	234	0	0	0	21	213	153	60
PCT7323	MV	950	455	0	0	0	55	400	314	86
PCT7324	ED	755	189	0	0	0	25	164	115	49
PCT7324	MV	755	364	0	0	1	39	324	250	74
PCT7325	ED	904	240	0	0	0	38	202	152	50
PCT7325	MV	904	436	0	0	0	70	366	311	55
PCT7326	ED	876	199	0	0	0	25	174	134	40
PCT7326	MV	876	429	0	0	0	59	370	285	85
PCT7327	ED	699	71	0	0	0	18	53	45	8
PCT7327	MV	699	276	0	0	0	44	232	174	58
PCT7328	ED	973	94	0	0	0	20	74	56	18
PCT7328	MV	973	394	0	0	0	55	339	284	55
PCT7329	ED	640	112	0	0	0	16	96	58	38
PCT7329	MV	640	321	0	0	0	49	272	225	47
PCT7331	ED	852	213	0	0	2	23	188	135	53
PCT7331	MV	852	461	0	0	0	57	404	338	66
PCT7332	ED	834	223	0	0	0	32	191	125	66
PCT7332	MV	834	364	0	0	0	51	313	243	70
PCT7333	ED	1044	295	0	0	0	40	255	164	91
PCT7333	MV	1044	543	0	0	0	77	466	371	95
PCT7334	ED	881	199	0	0	1	38	160	112	48
PCT7334	MV	881	462	0	0	0	56	406	328	78
PCT7335	ED	970	225	0	0	0	25	200	144	56
PCT7335	MV	970	523	0	0	0	77	446	345	101
PCT7336	ED	955	236	0	0	0	38	198	134	64
PCT7336	MV	955	523	0	0	1	93	429	326	103
PCT7337	ED	851	178	0	0	0	26	152	113	39
PCT7337	MV	851	464	0	0	1	69	394	312	82
PCT7338	ED	915	153	0	0	0	16	137	98	39
PCT7338	MV	915	426	0	0	0	60	366	301	65
PCT7339	ED	669	174	0	0	0	27	147	101	46
PCT7339	MV	669	309	0	0	0	28	281	214	67
PCT7341	ED	908	260	0	0	0	34	226	151	75
PCT7341	MV	908	401	0	0	0	57	344	254	90
PCT7342	ED	947	333	0	0	0	45	288	194	94
PCT7342	MV	947	414	0	0	0	63	351	262	89
PCT7343	ED	731	234	0	0	0	35	199	132	67
PCT7343	MV	731	316	0	0	0	39	277	207	70
PCT7344	ED	1110	287	0	0	0	36	251	190	61
PCT7344	MV	1110	538	0	0	0	62	476	343	133
PCT7345	ED	1141	327	1	0	0	40	286	199	87
PCT7345	MV	1141	521	0	0	0	53	468	346	122
PCT7346	ED	920	248	0	0	0	35	213	148	65
PCT7346	MV	920	384	0	0	0	42	342	234	108
PCT7347	ED	1040	240	0	0	1	36	203	133	70
PCT7347	MV	1040	480	0	0	2	51	427	337	90
PCT7348	ED	861	210	0	0	0	28	182	133	49
PCT7348	MV	861	353	0	0	0	50	303	232	71
PCT7349	ED	957	247	0	0	0	33	214	146	68
PCT7349	MV	957	427	0	0	0	65	362	280	82
PCT7501	ED	565	172	0	0	1	19	152	115	37
PCT7501	MV	565	308	0	0	0	47	261	202	59
PCT7502	ED	784	180	1	0	0	30	149	102	47
PCT7502	MV	784	447	0	0	2	74	371	289	82
PCT7503	ED	764	207	0	0	0	27	180	128	52
PCT7503	MV	764	388	0	0	0	52	336	255	81
PCT7504	ED	503	112	0	0	0	19	93	74	19
PCT7504	MV	503	222	0	0	0	22	200	170	30
PCT7505	ED	869	158	0	0	1	25	132	104	28
PCT7505	MV	869	532	0	0	1	59	472	398	74
PCT7506	ED	999	224	0	0	0	24	200	134	66
PCT7506	MV	999	473	0	0	0	68	405	295	110
PCT7507	ED	955	210	0	0	1	33	176	132	44
PCT7507	MV	955	344	0	0	0	33	311	252	59
PCT7508	ED	727	154	0	0	0	27	127	93	34
PCT7508	MV	727	427	0	0	0	58	369	309	60
PCT7509	ED	932	235	2	0	1	37	195	145	50
PCT7509	MV	932	470	1	0	0	46	423	326	97
PCT7512	ED	612	149	0	0	0	43	106	77	29
PCT7512	MV	612	283	0	0	1	49	233	168	65
PCT7513	ED	818	225	0	0	1	44	180	125	55
PCT7513	MV	818	315	0	0	2	36	277	206	71
PCT7514	ED	874	140	0	0	0	16	124	90	34
PCT7514	MV	874	305	0	0	2	45	258	202	56
PCT7515	ED	869	211	0	0	0	34	177	118	59
PCT7515	MV	869	389	0	0	0	40	349	275	74
PCT7516	ED	922	172	0	0	1	15	156	120	36
PCT7516	MV	922	538	0	0	2	67	469	358	111
PCT7517	ED	863	289	0	0	1	34	254	187	67
PCT7517	MV	863	410	0	0	0	54	356	269	87
PCT7518	ED	950	309	0	0	1	47	261	199	62
PCT7518	MV	950	480	0	0	0	82	398	304	94
PCT7519	ED	737	224	0	0	0	36	188	134	54
PCT7519	MV	737	355	0	0	0	67	288	216	72
PCT7521	ED	812	291	0	0	0	43	248	188	60
PCT7521	MV	812	354	0	0	0	40	314	252	62
PCT7522	ED	764	207	0	0	0	23	184	130	54
PCT7522	MV	764	397	0	0	0	50	347	280	67
PCT7523	ED	747	275	0	0	0	49	226	158	68
PCT7523	MV	747	359	0	0	0	54	305	246	59
PCT7524	ED	615	181	0	0	0	36	145	109	36
PCT7524	MV	615	262	0	0	0	28	234	176	58
PCT7525	ED	800	205	0	0	0	40	165	117	48
PCT7525	MV	800	341	0	0	0	54	287	224	63
PCT7526	ED	1011	291	0	0	1	55	235	162	73
PCT7526	MV	1011	552	0	0	0	70	482	386	96
PCT7527	ED	725	208	0	0	1	34	173	121	52
PCT7527	MV	725	339	0	0	1	48	290	215	75
PCT7529	ED	948	294	0	0	0	57	237	160	77
PCT7529	MV	948	486	0	0	0	70	416	327	89
PCT7531	ED	865	225	0	0	0	29	196	148	48
PCT7531	MV	865	442	0	0	1	64	377	304	73
PCT7532	ED	852	246	0	0	0	42	204	133	71
PCT7532	MV	852	398	0	0	1	53	344	272	72
PCT7533	ED	1015	354	0	0	0	41	313	220	93
PCT7533	MV	1015	490	0	0	0	76	414	316	98
PCT7534	ED	936	322	0	0	1	46	275	199	76
PCT7534	MV	936	415	0	0	0	58	357	261	96
PCT7535	ED	767	261	0	0	0	52	209	154	55
PCT7535	MV	767	387	0	0	0	56	331	267	64
PCT7536	ED	863	291	0	0	0	39	252	182	70
PCT7536	MV	863	421	0	0	0	55	366	287	79
PCT7537	ED	752	240	0	0	0	42	198	148	50
PCT7537	MV	752	363	0	0	0	47	316	241	75
PCT7538	ED	771	246	0	0	0	43	203	154	49
PCT7538	MV	771	400	0	0	0	58	342	284	58
PCT7539	ED	922	330	0	0	0	61	269	181	88
PCT7539	MV	922	428	0	0	0	74	354	280	74
PCT7541	ED	805	245	0	0	0	34	211	155	56
PCT7541	MV	805	400	0	0	0	71	329	263	66
PCT7542	ED	821	270	0	0	0	39	231	171	60
PCT7542	MV	821	389	0	0	0	47	342	252	90
PCT7543	ED	909	215	0	0	0	29	186	143	43
PCT7543	MV	909	467	0	0	0	44	423	334	89
PCT7544	ED	898	256	0	0	0	43	213	158	55
PCT7544	MV	898	479	0	0	0	73	406	316	90
PCT7545	ED	918	273	0	0	0	39	234	180	54
PCT7545	MV	918	480	0	0	0	65	415	321	94
PCT7546	ED	982	304	0	0	0	56	248	186	62
PCT7546	MV	982	517	0	0	0	56	461	350	111
PCT7547	ED	1029	314	0	0	0	58	256	185	71
PCT7547	MV	1029	505	0	0	0	75	430	318	112
PCT7548	ED	1073	317	1	0	1	47	268	186	82
PCT7548	MV	1073	512	0	0	0	47	465	354	111
PCT7549	ED	811	215	0	0	0	39	176	134	42
PCT7549	MV	811	431	0	0	1	49	381	312	69
PCT7551	ED	741	239	0	0	0	30	209	158	51
PCT7551	MV	741	394	0	0	1	58	335	284	51
PCT7552	ED	727	241	0	0	0	31	210	159	51
PCT7552	MV	727	360	0	0	0	54	306	246	60
PCT7553	MV	180	126	0	0	0	14	112	86	26
PCT7554	ED	808	247	0	0	0	39	208	153	55
PCT7554	MV	808	442	0	0	0	63	379	313	66
PCT7555	ED	886	289	0	0	0	39	250	207	43
PCT7555	MV	886	459	0	0	1	60	398	330	68
PCT7556	ED	969	275	0	0	0	45	230	170	60
PCT7556	MV	969	573	0	0	2	58	513	444	69
PCT7601	ED	767	190	0	0	1	35	154	111	43
PCT7601	MV	767	290	0	0	0	34	256	175	81
PCT7602	ED	901	210	0	0	1	35	174	120	54
PCT7602	MV	901	379	0	0	2	48	329	227	102
PCT7603	ED	830	249	0	0	0	33	216	145	71
PCT7603	MV	830	376	0	0	0	49	327	247	80
PCT7604	ED	954	265	0	0	1	45	219	140	79
PCT7604	MV	954	352	0	0	0	44	308	215	93
PCT7605	ED	648	120	0	0	1	11	108	77	31
PCT7605	MV	648	203	0	0	1	30	172	127	45
PCT7606	ED	924	204	0	0	1	36	167	110	57
PCT7606	MV	924	330	0	0	1	42	287	210	77
PCT7607	ED	960	215	0	0	2	37	176	117	59
PCT7607	MV	960	407	0	0	2	47	358	264	94
PCT7608	ED	392	70	0	0	1	10	59	43	16
PCT7608	MV	392	136	0	0	0	19	117	94	23
PCT7609	ED	926	120	0	0	1	18	101	67	34
PCT7609	MV	926	352	0	0	0	51	301	248	53
PCT7611	ED	755	126	0	0	0	23	103	70	33
PCT7611	MV	755	269	0	0	0	41	228	184	44
PCT7612	ED	583	97	0	0	1	24	72	51	21
PCT7612	MV	583	265	0	0	0	36	229	189	40
PCT7613	ED	908	202	0	0	1	35	166	111	55
PCT7613	MV	908	340	0	0	0	43	297	210	87
PCT7614	ED	1029	223	0	0	1	40	182	120	62
PCT7614	MV	1029	375	0	0	1	31	343	232	111
PCT7615	ED	762	162	0	0	0	33	129	91	38
PCT7615	MV	762	237	0	0	0	40	197	151	46
PCT7616	ED	1203	322	0	0	0	56	266	166	100
PCT7616	MV	1203	686	0	0	0	74	612	475	137
PCT7617	ED	768	102	0	0	0	14	88	45	43
PCT7617	MV	768	261	0	0	0	29	232	168	64
PCT7618	ED	862	168	0	0	0	32	136	93	43
PCT7618	MV	862	407	0	0	1	49	357	280	77
PCT7619	ED	1063	219	0	0	0	30	189	139	50
PCT7619	MV	1063	563	0	0	0	66	497	377	120
PCT7621	ED	1320	287	0	0	1	40	246	171	75
PCT7621	MV	1320	668	0	0	0	83	585	447	138
PCT7622	ED	988	170	0	0	0	24	146	106	40
PCT7622	MV	988	301	0	0	2	38	261	180	81
PCT7623	ED	746	182	0	0	1	37	144	85	59
PCT7623	MV	746	297	0	0	0	41	256	182	74
PCT7624	ED	859	142	0	0	1	20	121	88	33
PCT7624	MV	859	290	0	0	1	32	257	191	66
PCT7625	ED	822	66	0	0	0	14	52	34	18
PCT7625	MV	822	475	0	0	2	80	393	321	72
PCT7626	ED	1114	224	0	0	1	28	195	138	57
PCT7626	MV	1114	612	0	0	0	70	542	422	120
PCT7627	ED	1187	266	0	0	0	45	221	153	68
PCT7627	MV	1187	582	0	0	0	104	478	366	112
PCT7628	ED	960	239	0	0	1	29	209	135	74
PCT7628	MV	960	428	0	0	1	38	389	284	105
PCT7629	ED	809	208	0	0	1	38	169	126	43
PCT7629	MV	809	343	0	0	0	43	300	219	81
PCT7631	ED	1155	266	0	0	0	45	221	159	62
PCT7631	MV	1155	576	0	0	2	72	502	386	116
PCT7632	ED	1124	288	0	0	0	57	231	160	71
PCT7632	MV	1124	561	0	0	0	63	498	380	118
PCT7633	ED	741	137	0	0	0	20	117	80	37
PCT7633	MV	741	392	0	0	0	46	346	283	63
PCT7634	ED	900	194	0	0	0	39	155	112	43
PCT7634	MV	900	421	0	0	0	50	371	290	81
PCT7635	ED	840	157	0	0	0	26	131	88	43
PCT7635	MV	840	382	0	0	1	60	321	245	76
PCT7636	ED	938	246	0	0	0	37	209	148	61
PCT7636	MV	938	465	0	0	0	50	415	336	79
PCT7637	ED	809	193	0	0	0	31	162	121	41
PCT7637	MV	809	404	0	0	0	50	354	279	75
PCT7638	ED	1467	294	0	0	0	42	252	185	67
PCT7638	MV	1467	871	1	0	0	118	752	620	132
PCT7639	ED	1011	241	0	0	0	46	195	137	58
PCT7639	MV	1011	559	0	0	0	89	470	370	100
PCT7641	ED	972	204	0	0	0	41	163	121	42
PCT7641	MV	972	549	0	0	2	66	481	393	88
PCT7642	ED	937	152	0	0	0	19	133	97	36
PCT7642	MV	937	394	0	0	0	62	332	224	108
PCT7643	ED	920	168	0	0	1	25	142	112	30
PCT7643	MV	920	507	0	0	1	48	458	356	102
PCT7644	ED	1175	329	0	0	1	47	281	210	71
