area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	097:PHIL TING	098:KEITH BOGDON
PCT9725	ED	970	213	0	0	23	190	143	47
PCT9725	MV	970	499	0	0	35	464	347	117
PCT9726	ED	655	262	0	0	12	250	215	35
PCT9726	MV	655	241	0	0	11	230	194	36
PCT9727	ED	459	79	0	0	4	75	54	21
PCT9727	MV	459	271	0	0	21	250	179	71
PCT9728	ED	926	230	0	0	14	216	165	51
PCT9728	MV	926	503	0	0	26	477	350	127
PCT9729	ED	800	191	0	0	17	174	125	49
PCT9729	MV	800	442	0	0	20	422	314	108
PCT9731	ED	556	167	0	1	13	153	114	39
PCT9731	MV	556	282	0	0	18	264	204	60
PCT9732	MV	70	56	0	0	0	56	48	8
PCT9733	MV	235	191	0	0	3	188	167	21
PCT9734	ED	603	154	0	0	6	148	107	41
PCT9734	MV	603	341	0	0	13	328	261	67
PCT9735	ED	809	206	0	0	19	187	141	46
PCT9735	MV	809	449	0	0	19	430	345	85
PCT9736	ED	713	173	0	0	12	161	127	34
PCT9736	MV	713	410	0	0	11	399	352	47
PCT9737	ED	818	208	0	0	15	193	169	24
PCT9737	MV	818	476	0	0	20	456	404	52
PCT9738	ED	848	185	0	0	11	174	142	32
PCT9738	MV	848	404	0	0	24	380	316	64
PCT9739	ED	828	220	0	0	10	210	189	21
PCT9739	MV	828	335	0	0	11	324	279	45
PCT9741	ED	552	227	0	0	7	220	213	7
PCT9741	MV	552	105	0	0	2	103	99	4
PCT9742	ED	677	180	4	0	10	166	127	39
PCT9742	MV	677	289	0	0	18	271	209	62
PCT9743	ED	1163	310	0	0	24	286	250	36
PCT9743	MV	1163	501	0	0	16	485	426	59
PCT9744	ED	911	244	1	0	13	230	194	36
PCT9744	MV	911	390	0	0	11	379	312	67
PCT9745	ED	991	281	0	0	27	254	219	35
PCT9745	MV	991	346	0	0	8	338	297	41
PCT9746	ED	884	231	0	0	9	222	163	59
PCT9746	MV	884	451	0	0	14	437	347	90
