area_id	voting_group_ids
NEIG8	MV ED TO
NEIG11	MV ED TO
NEIG12	MV ED TO
NEIG14	MV ED TO
NEIG15	MV ED TO
NEIG13	MV ED TO
NEIG26	MV ED TO
NEIG16	MV ED TO
NEIG19	MV ED TO
NEIG20	MV ED TO
NEIG22	MV ED TO
NEIG23	MV ED TO
NEIG24	MV ED TO
NEIG25	MV ED TO
PCT1101	MV ED TO
PCT1102	MV ED TO
PCT1103	MV ED TO
PCT1104	MV ED TO
PCT1106	MV ED TO
PCT1107	MV ED TO
PCT1108	MV ED TO
PCT1109	MV ED TO
PCT1111	MV ED TO
PCT1112	MV ED TO
PCT1113	MV ED TO
PCT1114	MV ED TO
PCT1115	MV ED TO
PCT1116	MV ED TO
PCT1117	MV ED TO
PCT1118	MV ED TO
PCT1119	MV ED TO
PCT1121	MV ED TO
PCT1122	MV ED TO
PCT1123	MV ED TO
PCT1124	MV ED TO
PCT1125	MV ED TO
PCT1126	MV ED TO
PCT1127	MV ED TO
PCT1128	MV ED TO
PCT1129	MV ED TO
PCT1131	MV ED TO
PCT1132	MV ED TO
PCT1133	MV ED TO
PCT1134	MV ED TO
PCT1135	MV ED TO
PCT1136	MV ED TO
PCT9001	MV ED TO
PCT9453	MV ED TO
PCT9712	MV ED TO
PCT9714	MV ED TO
PCT9715	MV ED TO
PCT9718	MV ED TO
PCT9719	MV ED TO
PCT9721	MV ED TO
PCT9722	MV ED TO
PCT9723	MV ED TO
PCT9724	MV ED TO
PCT9725	MV ED TO
PCT9726	MV ED TO
PCT9727	MV ED TO
PCT9728	MV ED TO
PCT9729	MV ED TO
PCT9731	MV ED TO
PCT9733	MV ED TO
PCT9734	MV ED TO
PCT9735	MV ED TO
PCT9736	MV ED TO
PCT9737	MV ED TO
PCT9738	MV ED TO
PCT9739	MV ED TO
PCT9741	MV ED TO
PCT9742	MV ED TO
PCT9743	MV ED TO
PCT9744	MV ED TO
PCT9745	MV ED TO
PCT9746	MV ED TO
PCT9747	MV ED TO
PCT9748	MV ED TO
PCT9749	MV ED TO
PCT9751	MV ED TO
PCT9752	MV ED TO
PCT9753	MV ED TO
PCT9754	MV ED TO
PCT9755	MV ED TO
PCT9756	MV ED TO
PCT9801	MV ED TO
ASSM19	MV ED TO
SUPV4	MV ED TO
NEIG7	MV ED TO
NEIG9	MV ED TO
NEIG21	MV ED TO
PCT9101	MV ED TO
PCT9102	MV ED TO
PCT9103	MV ED TO
PCT9104	MV ED TO
PCT9105	MV ED TO
PCT9106	MV ED TO
PCT9107	MV ED TO
PCT9108	MV ED TO
PCT9109	MV ED TO
PCT9111	MV ED TO
PCT9112	MV ED TO
PCT9113	MV ED TO
PCT9114	MV ED TO
PCT9115	MV ED TO
PCT9116	MV ED TO
PCT9117	MV ED TO
PCT9118	MV ED TO
PCT9119	MV ED TO
PCT9121	MV ED TO
PCT9122	MV ED TO
PCT9123	MV ED TO
PCT9124	MV ED TO
PCT9125	MV ED TO
PCT9126	MV ED TO
PCT9127	MV ED TO
PCT9128	MV ED TO
PCT9129	MV ED TO
PCT9131	MV ED TO
PCT9132	MV ED TO
PCT9133	MV ED TO
PCT9134	MV ED TO
PCT9135	MV ED TO
PCT9136	MV ED TO
PCT9137	MV ED TO
PCT9138	MV ED TO
PCT9139	MV ED TO
PCT9141	MV ED TO
PCT9142	MV ED TO
PCT9143	MV ED TO
PCT9144	MV ED TO
PCT9145	MV ED TO
PCT9146	MV ED TO
PCT9147	MV ED TO
PCT9148	MV ED TO
PCT9149	MV ED TO
PCT9151	MV ED TO
PCT9152	MV ED TO
PCT9201	MV ED TO
PCT9202	MV ED TO
PCT9203	MV ED TO
PCT9204	MV ED TO
PCT9205	MV ED TO
PCT9206	MV ED TO
PCT9207	MV ED TO
PCT9208	MV ED TO
PCT9209	MV ED TO
PCT9211	MV ED TO
PCT9212	MV ED TO
PCT9213	MV ED TO
PCT9214	MV ED TO
PCT9215	MV ED TO
PCT9216	MV ED TO
PCT9217	MV ED TO
PCT9218	MV ED TO
PCT9219	MV ED TO
PCT9221	MV ED TO
PCT9222	MV ED TO
PCT9223	MV ED TO
PCT9224	MV ED TO
PCT9225	MV ED TO
