County	Eligible	Total Registered	Democratic	Republican	American Independent	Green	Libertarian	Peace and Freedom	Unknown	Other	No Party Preference
Percent		0.7672634720802307	0.47240492701530457	0.19766853749752045	0.03343385085463524	0.021412236616015434	0.010341826826334	0.004432211630046368	0.007872740738093853	0.003076238092035055	0.2493574321269989
											
Merced	160905	97584	42215	26729	2971	322	718	253	16	111	24249
Percent		0.6064696311950684	0.432601660490036	0.2739076018333435	0.030445564538240433	0.003299721283838153	0.007357763592153788	0.00259263813495636	0.00016396130376961082	0.0011374815367162228	0.24849361181259155
											
Modoc	7392	5118	1105	2521	255	21	45	16	5	13	1137
Percent		0.6923701167106628	0.21590465307235718	0.4925752282142639	0.049824148416519165	0.004103165119886398	0.008792497217655182	0.0031262212432920933	0.0009769441094249487	0.0025400547310709953	0.2221570909023285
											
Mono	9542	6597	2280	2011	257	53	66	29	2	9	1890
Percent		0.6913644671440125	0.3456116318702698	0.3048355281352997	0.03895710036158562	0.008033954538404942	0.01000454742461443	0.004395937547087669	0.00030316811171360314	0.001364256488159299	0.28649386763572693
											
Monterey	244901	187350	92224	38480	4438	957	1292	621	573	184	48581
Percent		0.7650030255317688	0.49225515127182007	0.20539097487926483	0.023688284680247307	0.00510808639228344	0.006896183826029301	0.003314651781693101	0.003058446804061532	0.0009821190033107996	0.2593061029911041
											
Napa	92369	78135	35557	17265	2341	566	677	210	237	323	20959
Percent		0.8459006547927856	0.455071359872818	0.220963716506958	0.029960965737700462	0.007243872620165348	0.008664490655064583	0.0026876560878008604	0.003033211687579751	0.004133870825171471	0.26824086904525757
											
Nevada	78603	68954	24938	22758	2443	792	866	192	7	10349	6609
Percent		0.8772438764572144	0.3616614043712616	0.3300461173057556	0.035429418087005615	0.011485918425023556	0.01255909726023674	0.0027844649739563465	0.000101516954600811	0.15008556842803955	0.0958465039730072
											
Orange	2028366	1560111	523624	541665	39268	4816	13634	3913	202	3314	429675
Percent		0.7691466808319092	0.3356325328350067	0.34719645977020264	0.02517000399529934	0.003086959943175316	0.008739122189581394	0.0025081548374146223	0.00012947796494700015	0.002124207792803645	0.2754130959510803
											
Placer	276613	234732	66303	97895	7038	909	3803	446	570	951	56817
Percent		0.848593533039093	0.28246256709098816	0.4170500934123993	0.02998312935233116	0.0038725014310330153	0.016201455146074295	0.0019000391475856304	0.0024283011443912983	0.0040514287538826466	0.24205051362514496
											
Plumas	15930	12480	3512	5280	599	54	142	35	0	4	2854
Percent		0.7834274768829346	0.28141024708747864	0.42307692766189575	0.047996796667575836	0.004326923284679651	0.011378205381333828	0.002804487245157361	0	0.00032051283051259816	0.2286859005689621
											
Riverside	1481361	1035957	385153	340917	31880	2840	7900	3615	3435	4828	255389
Percent		0.699327826499939	0.3717847466468811	0.3290841281414032	0.030773477628827095	0.0027414264623075724	0.007625799160450697	0.003489527152851224	0.0033157747238874435	0.004660425242036581	0.24652470648288727
											
Sacramento	1013368	765965	325031	197510	23141	3527	7218	4371	1921	1618	201628
Percent		0.7558606266975403	0.4243418574333191	0.2578577399253845	0.030211562290787697	0.004604649264365435	0.009423406794667244	0.005706527270376682	0.0025079473853111267	0.002112368121743202	0.2632339596748352
											
San Benito	34253	30064	13647	7787	801	111	231	95	3	40	7349
