County	Total Registered	17.5* - 25	26 - 35	36 - 45	46 - 55	56 - 65	66+
Percent		0.05959359183907509	0.12270417809486389	0.10922235250473022	0.1385306715965271	0.21453693509101868	0.3554122745990753
							
Mono	6597	464	1064	939	1060	1512	1558
Percent		0.07033500075340271	0.1612854301929474	0.14233742654323578	0.16067910194396973	0.22919508814811707	0.23616795241832733
							
Monterey	187350	25029	32092	25925	27920	33548	42836
Percent		0.13359487590072058	0.17129436882839605	0.1383773685615159	0.1490258873765679	0.1790659194021884	0.22864157993061116
							
Napa	78135	8099	11106	10644	12510	14704	21072
Percent		0.1036539301276207	0.14213860034942627	0.13622575998306274	0.16010750830173492	0.1881871074438095	0.26968708634376526
							
Nevada	68954	4705	8111	8918	9661	14932	22627
Percent		0.06823389232158661	0.11762914061546326	0.12933260202407837	0.1401078999042511	0.21655015647411346	0.3281463086605072
							
Orange	1560111	217564	247324	219548	268771	274372	332532
Percent		0.139454185962677	0.15852974355220795	0.14072588086128235	0.1722768396139145	0.1758669763803482	0.21314637362957
							
Placer	234732	25976	28568	35134	40762	43050	61242
Percent		0.11066237092018127	0.12170474976301193	0.1496770828962326	0.17365336418151855	0.18340064585208893	0.2609018087387085
							
Plumas	12480	854	1311	1251	1529	2950	4585
Percent		0.06842948496341705	0.10504807531833649	0.10024038702249527	0.12251602858304977	0.23637820780277252	0.3673878312110901
							
Riverside	1035957	149402	166918	152348	166988	177187	223114
Percent		0.1442164033651352	0.16112445294857025	0.14706015586853027	0.16119201481342316	0.17103701829910278	0.21536993980407715
							
Sacramento	765965	88840	138604	121667	127493	134290	155071
Percent		0.11598441004753113	0.18095344305038452	0.15884146094322205	0.16644755005836487	0.1753213256597519	0.20245181024074554
							
San Benito	30064	4009	4926	4529	5331	5539	5730
Percent		0.13334885239601135	0.16385045647621155	0.15064528584480286	0.17732171714305878	0.18424028158187866	0.1905934065580368
							
San Bernardino	937316	140180	175146	143015	151480	162318	165177
Percent		0.14955468475818634	0.18685907125473022	0.15257927775382996	0.16161037981510162	0.173173189163208	0.17622338235378265
							
San Diego	1741707	220904	318873	275921	283933	297469	344607
Percent		0.12683188915252686	0.1830807328224182	0.1584198772907257	0.16301995515823364	0.1707916408777237	0.1978558897972107
							
San Francisco	500051	49167	132617	88528	76788	65186	87765
Percent		0.09832397103309631	0.2652069628238678	0.17703793942928314	0.1535603404045105	0.13035869598388672	0.17551209032535553
							
San Joaquin	344891	45882	62251	54348	57708	58267	66435
Percent		0.13303333520889282	0.18049471080303192	0.15758022665977478	0.16732242703437805	0.16894322633743286	0.19262607395648956
							
San Luis Obispo	172544	22354	23675	21388	23614	34216	47297
Percent		0.1295553594827652	0.1372113823890686	0.12395678460597992	0.13685785233974457	0.19830304384231567	0.27411559224128723
							
San Mateo	399351	41024	65182	63576	71164	70078	88327
Percent		0.10272667557001114	0.16321982443332672	0.15919829905033112	0.17819912731647491	0.1754797101020813	0.2211763560771942
							
Santa Barbara	217417	39969	32487	25719	29418	37766	52058
Percent		0.18383567035198212	0.1494225412607193	0.11829341948032379	0.13530680537223816	0.17370307445526123	0.2394385039806366
							
Santa Clara	885764	111910	142168	138212	165605	152807	175062
Percent		0.12634290754795074	0.16050325334072113	0.15603704750537872	0.18696288764476776	0.17251434922218323	0.1976395547389984
							
Santa Cruz	159499	21894	25218	21724	24764	29854	36045
Percent		0.1372673213481903	0.15810757875442505	0.13620148599147797	0.15526115894317627	0.18717359006404877	0.22598887979984283
							
Shasta	101782	8976	13906	13242	15409	20642	29607
Percent		0.0881884812638777	0.1366253365035075	0.13010158967204416	0.1513921911536421	0.20280599713112338	0.29088640427580514
							
Sierra	2190	104	227	259	307	517	776
Percent		0.047488585114479065	0.1036529690027237	0.11826483905315399	0.14018264412879944	0.2360730618238449	0.3543379008769989
							
Siskiyou	27566	1844	3320	3164	3721	6272	9245
Percent		0.06689400225877762	0.12043821811676025	0.11477907747030258	0.13498513400554657	0.22752666473388672	0.33537691831588745
							
Solano	231510	24304	38575	33906	38284	45256	51185
Percent		0.10498034954071045	0.16662347316741943	0.14645588397979736	0.1653665006160736	0.19548183679580688	0.22109195590019226
							
Sonoma	274292	27128	38010	36164	42078	55055	75857
Percent		0.0989018976688385	0.13857494294643402	0.1318448930978775	0.15340586006641388	0.2007167488336563	0.2765556275844574
							
Stanislaus	248466	34878	45552	38334	39413	41832	48457
Percent		0.1403733342885971	0.18333293497562408	0.15428267419338226	0.15862531960010529	0.16836106777191162	0.19502466917037964
							
Sutter	46087	5322	7456	7009	7624	8218	10458
Percent		0.11547724902629852	0.16178098320960999	0.1520819365978241	0.16542625427246094	0.1783149242401123	0.22691865265369415
							
Tehama	33286	2990	4630	4266	5056	6817	9527
Percent		0.08982755243778229	0.13909751176834106	0.12816199660301208	0.1518956869840622	0.2048008143901825	0.2862164378166199
							
Trinity	7656	442	865	973	992	1809	2575
Percent		0.05773249641060829	0.11298327893018723	0.12708985805511475	0.1295715719461441	0.2362852692604065	0.33633750677108765
							
Tulare	169367	28125	31845	26107	24302	26163	32825
Percent		0.16605950891971588	0.188023641705513	0.1541445553302765	0.14348721504211426	0.15447519719600677	0.1938098967075348
							
Tuolumne	31999	2279	3540	3541	4099	7241	11299
Percent		0.07122097909450531	0.11062845587730408	0.11065971106290817	0.1280977576971054	0.2262883186340332	0.35310477018356323
							
Ventura	448174	58486	67402	61491	76323	84981	99491
Percent		0.13049842417240143	0.15039248764514923	0.1372034102678299	0.17029769718647003	0.18961608409881592	0.2219919115304947
							
