area_id	total_registration	ed_registration	mv_registration	total_ballots	ed_ballots	mv_ballots
PCT7807	827	185	642	541	176	365
PCT7808	654	129	525	428	132	296
PCT7809	764	140	624	488	137	351
PCT7811	758	176	582	468	158	310
PCT7812	897	217	680	538	168	370
PCT7813	1068	225	843	700	217	483
PCT7814	901	241	660	401	120	281
PCT7815	917	168	749	645	181	464
PCT7816	872	148	724	623	152	471
PCT7817	838	186	652	582	185	397
PCT7818	839	171	668	544	150	394
PCT7819	774	139	635	444	91	353
PCT7821	976	170	806	710	190	520
PCT7822	892	219	673	619	224	395
PCT7823	883	177	706	597	189	408
PCT7824	768	153	615	491	160	331
PCT7825	608	151	457	385	132	253
PCT7826	690	204	486	428	163	265
PCT7827	826	219	607	467	148	319
PCT7828	1028	171	857	662	183	479
PCT7829	891	149	742	615	152	463
PCT7831	902	139	763	624	139	485
PCT7832	781	118	663	542	128	414
PCT7833	733	146	587	489	146	343
PCT7834	894	194	700	555	179	376
PCT7835	863	142	721	575	148	427
PCT7836	1043	193	850	678	172	506
PCT7837	923	205	718	626	202	424
PCT7838	895	143	752	653	158	495
PCT7839	861	130	731	596	140	456
PCT7841	950	198	752	665	207	458
PCT7842	879	177	702	549	155	394
PCT7843	729	183	546	461	165	296
PCT7844	651	152	499	420	138	282
PCT7845	880	204	676	583	178	405
PCT7846	908	172	736	636	171	465
PCT7847	891	193	698	615	184	431
PCT7848	847	182	665	608	169	439
PCT7849	901	172	729	634	189	445
PCT7851	526	112	414	358	85	273
PCT7852	644	111	533	453	103	350
PCT7853	855	161	694	531	139	392
PCT7854	878	175	703	603	173	430
PCT7855	974	211	763	655	204	451
PCT7856	847	204	643	571	193	378
PCT7857	906	158	748	594	156	438
PCT7858	779	157	622	501	152	349
PCT7859	899	152	747	631	167	464
PCT7861	863	164	699	603	171	432
PCT7862	864	195	669	599	198	401
PCT7863	901	208	693	583	208	375
PCT7864	814	153	661	530	157	373
PCT7865	840	163	677	569	160	409
PCT7866	848	158	690	587	144	443
PCT7867	978	212	766	657	183	474
PCT7868	876	217	659	536	162	374
PCT7869	861	178	683	632	191	441
PCT7871	902	200	702	622	158	464
PCT7872	874	199	675	608	188	420
PCT7873	891	202	689	659	214	445
PCT7874	489	119	370	300	108	192
PCT7875	647	147	500	368	115	253
PCT7876	568	106	462	353	93	260
PCT7901	549	150	399	258	67	191
PCT7902	912	232	680	435	145	290
PCT7903	852	229	623	412	126	286
PCT7904	837	157	680	424	123	301
PCT7905	875	191	684	540	185	355
PCT7906	786	187	599	402	118	284
PCT7907	942	238	704	508	165	343
PCT7908	992	240	752	540	173	367
PCT7909	743	185	558	453	141	312
PCT7911	871	205	666	450	129	321
PCT7912	1059	259	800	560	183	377
PCT7913	923	263	660	566	216	350
PCT7914	902	187	715	531	143	388
PCT7915	843	238	605	473	183	290
PCT7916	858	219	639	499	164	335
PCT7917	987	271	716	549	188	361
PCT7918	824	227	597	443	145	298
PCT7919	866	258	608	486	177	309
PCT7921	911	229	682	413	103	310
PCT7922	858	210	648	473	157	316
PCT7923	880	214	666	511	172	339
PCT7924	851	202	649	427	124	303
PCT7925	544	110	434	317	89	228
PCT7926	788	178	610	486	150	336
PCT7927	742	162	580	489	154	335
PCT7928	917	217	700	603	209	394
PCT7929	847	169	678	596	171	425
PCT7931	751	141	610	527	150	377
PCT7932	561	118	443	375	98	277
PCT7933	8	-1	9	6	0	6
PCT7934	884	182	702	564	155	409
PCT7935	943	227	716	659	227	432
PCT7936	856	236	620	589	221	368
PCT7937	900	202	698	579	173	406
PCT7938	751	215	536	427	122	305
PCT7939	686	205	481	479	191	288
PCT7941	772	196	576	478	173	305
PCT7942	932	274	658	474	141	333
PCT7943	900	213	687	526	158	368
PCT7944	814	230	584	539	197	342
PCT7945	954	228	726	422	82	340
PCT7946	985	206	779	480	115	365
PCT7947	986	194	792	428	96	332
PCT7948	930	200	730	493	120	373
PCT7949	590	106	484	288	57	231
PCT7951	887	156	731	455	90	365
PCT7952	912	182	730	379	86	293
PCT7953	830	161	669	439	106	333
PCT7955	947	173	774	448	101	347
PCT7956	869	170	699	309	42	267
PCT7957	673	135	538	345	85	260
PCT7958	297	-23	320	105	0	105
PCT7959	686	145	541	295	68	227
PCT9001	284	-30	314	100	0	100
PCT9101	913	201	712	573	194	379
PCT9102	992	204	788	567	175	392
PCT9103	957	238	719	574	195	379
PCT9104	1030	220	810	567	181	386
PCT9105	918	199	719	637	222	415
PCT9106	946	198	748	624	226	398
PCT9107	844	208	636	472	167	305
PCT9108	810	200	610	480	143	337
