cons_precinct_id	cons_precinct_name	is_vbm	no_voters	precinct_ids
7801	Precinct 7801	N	N	7801
7802	Precinct 7802	N	N	7802
7803	Precinct 7803	N	N	7803
7804	Precinct 7804	N	N	7804
7805	Precinct 7805	N	N	7805
7806	Precinct 7806	N	N	7806
7807	Precinct 7807	N	N	7807
7808	Precinct 7808	N	N	7808
7809	Precinct 7809	N	N	7809
7811	Precinct 7811	N	N	7811
7812	Precinct 7812	N	N	7812
7813	Precinct 7813	N	N	7813
7814	Precinct 7814	N	N	7814
7815	Precinct 7815	N	N	7815
7816	Precinct 7816	N	N	7816
7817	Precinct 7817	N	N	7817
7818	Precinct 7818	N	N	7818
7819	Precinct 7819	N	N	7819
7821	Precinct 7821	N	N	7821
7822	Precinct 7822	N	N	7822
7823	Precinct 7823	N	N	7823
7824	Precinct 7824	N	N	7824
7825	Precinct 7825	N	N	7825
7826	Precinct 7826	N	N	7826
7827	Precinct 7827	N	N	7827
7828	Precinct 7828	N	N	7828
7829	Precinct 7829	N	N	7829
7831	Precinct 7831	N	N	7831
7832	Precinct 7832	N	N	7832
7833	Precinct 7833	N	N	7833
7834	Precinct 7834	N	N	7834
7835	Precinct 7835	N	N	7835
7836	Precinct 7836	N	N	7836
7837	Precinct 7837	N	N	7837
7838	Precinct 7838	N	N	7838
7839	Precinct 7839	N	N	7839
7841	Precinct 7841	N	N	7841
7842	Precinct 7842	N	N	7842
7843	Precinct 7843	N	N	7843
7844	Precinct 7844	N	N	7844
7845	Precinct 7845	N	N	7845
7846	Precinct 7846	N	N	7846
7847	Precinct 7847	N	N	7847
7848	Precinct 7848	N	N	7848
7849	Precinct 7849	N	N	7849
7851	Precinct 7851	N	N	7851
7852	Precinct 7852	N	N	7852
7853	Precinct 7853	N	N	7853
7854	Precinct 7854	N	N	7854
7855	Precinct 7855	N	N	7855
7856	Precinct 7856	N	N	7856
7857	Precinct 7857	N	N	7857
7858	Precinct 7858	N	N	7858
7859	Precinct 7859	N	N	7859
7861	Precinct 7861	N	N	7861
7862	Precinct 7862	N	N	7862
7863	Precinct 7863	N	N	7863
7864	Precinct 7864	N	N	7864
7865	Precinct 7865	N	N	7865
7866	Precinct 7866	N	N	7866
7867	Precinct 7867	N	N	7867
7868	Precinct 7868	N	N	7868
7869	Precinct 7869	N	N	7869
7871	Precinct 7871	N	N	7871
7872	Precinct 7872	N	N	7872
7873	Precinct 7873	N	N	7873
7874	Precinct 7874	N	N	7874
7875	Precinct 7875	N	N	7875
7876	Precinct 7876	N	N	7876
7901	Precinct 7901	N	N	7901
7902	Precinct 7902	N	N	7902
7903	Precinct 7903	N	N	7903
7904	Precinct 7904	N	N	7904
7905	Precinct 7905	N	N	7905
7906	Precinct 7906	N	N	7906
7907	Precinct 7907	N	N	7907
7908	Precinct 7908	N	N	7908
7909	Precinct 7909	N	N	7909
7911	Precinct 7911	N	N	7911
7912	Precinct 7912	N	N	7912
7913	Precinct 7913	N	N	7913
7914	Precinct 7914	N	N	7914
7915	Precinct 7915	N	N	7915
7916	Precinct 7916	N	N	7916
7917	Precinct 7917	N	N	7917
7918	Precinct 7918	N	N	7918
7919	Precinct 7919	N	N	7919
7921	Precinct 7921	N	N	7921
7922	Precinct 7922	N	N	7922
7923	Precinct 7923	N	N	7923
7924	Precinct 7924	N	N	7924
7925	Precinct 7925	N	N	7925
7926	Precinct 7926	N	N	7926
7927	Precinct 7927	N	N	7927
7928	Precinct 7928	N	N	7928
7929	Precinct 7929	N	N	7929
7931	Precinct 7931	N	N	7931
7932	Precinct 7932	N	N	7932
7933	Precinct 7933 MB	Y	N	7933
7934	Precinct 7934	N	N	7934
7935	Precinct 7935	N	N	7935
7936	Precinct 7936	N	N	7936
7937	Precinct 7937	N	N	7937
7938	Precinct 7938	N	N	7938
7939	Precinct 7939	N	N	7939
7941	Precinct 7941	N	N	7941
7942	Precinct 7942	N	N	7942
7943	Precinct 7943	N	N	7943
7944	Precinct 7944	N	N	7944
7945	Precinct 7945	N	N	7945
7946	Precinct 7946	N	N	7946
7947	Precinct 7947	N	N	7947
7948	Precinct 7948	N	N	7948
7949	Precinct 7949	N	N	7949
7951	Precinct 7951	N	N	7951
7952	Precinct 7952	N	N	7952
7953	Precinct 7953	N	N	7953
7954	Precinct 7954 MB	Y	Y	7954
7955	Precinct 7955	N	N	7955
7956	Precinct 7956	N	N	7956
7957	Precinct 7957	N	N	7957
7958	Precinct 7958 MB	Y	N	7958
7959	Precinct 7959	N	N	7959
9001	Precinct 9001 MB	Y	N	9001
9101	Precinct 9101	N	N	9101
9102	Precinct 9102	N	N	9102
9103	Precinct 9103	N	N	9103
