Description	Id	ExternalId	ContestId	Type
JACOB HORNBERGER	57		12	Regular
JAMES ORLANDO OGLE	190		12	QualifiedWriteIn
JANE KIM	131		23	Regular
JANE NATOLI	99		22	Regular
JANICE LI	98		22	Regular
JEFFREY H. DROBMAN	182		7	QualifiedWriteIn
JO JORGENSEN	62		12	Regular
JOE SESTAK	22		7	Regular
JOE WALSH	34		8	Regular
JOHN AVALOS	111		23	Regular
JOHN DENNIS	65		13	Regular
JOHN K. DELANEY	19		7	Regular
JOHN P. MCDONNELL	80		17	Regular
JOSEPH C ROBERTS	146		24	Regular
JOSEPH R. BIDEN	30		7	Regular
JOSH YORK	151		24	Regular
JULIÁN CASTRO	13		7	Regular
KAT ANDERSON	89		22	Regular
KEENAN WALLACE DUNHAM	59		12	Regular
KEITH BARAKA	106		22	Regular
KELLY AKEMI GROTH	107		22	Regular
KEN ARMSTRONG	52		12	Regular
KENT MESPLAY	187		10	QualifiedWriteIn
KEVIN ORTIZ	125		23	Regular
KIM RUFF	55		12	Regular
KRISTA GARVERICK	158		24	Regular
KRISTEN ASATO-WEBB	110		23	Regular
KULVINDAR "RANI" SINGH	87		21	Regular
LARRY MARSO	155		24	Regular
LEAH LACROIX	95		22	Regular
LEO LACAYO	148		24	Regular
LI MIAO LOVETT	97		22	Regular
LISA REMMER	145		24	Regular
MANO RAJU	91		22	Regular
MARIA ELENA EVANGELISTA	83		19	Regular
MARIANNE WILLIAMSON	16		7	Regular
MARK STEWART GREENSTEIN	32		7	Regular
MARY JUNG	105		22	Regular
MATT HANEY	117		23	Regular
MATTHEW JOHN MATERN	37		8	Regular
MAWULI TUGBENYOH	109		22	Regular
MAX ABRAMSON	53		12	Regular
MICHAEL A. ELLINGER	14		7	Regular
MICHAEL BENNET	25		7	Regular
MICHAEL DENAME	181		7	QualifiedWriteIn
MICHAEL R. BLOOMBERG	26		7	Regular
MICHELLE TONG	86		20	Regular
MICK DEL ROSARIO	129		23	Regular
MIKE CHEN	116		23	Regular
MOSIE BOYD	27		7	Regular
NADIA RAHMAN	90		22	Regular
NAKIA L. ANTHONY	178		7	QualifiedWriteIn
NANCY PELOSI	66		13	Regular
NANCY TUNG	144		23	Regular
NICHOLAS D'ARTAGNAN DUMAS	188		12	QualifiedWriteIn
NICOLE GARAY	156		24	Regular
NIKKA PITERMAN	72		14	Regular
NIMA RAHIMI	112		23	Regular
NO	10		5	Regular
NO	12		6	Regular
NO	2		1	Regular
NO	4		2	Regular
NO	6		3	Regular
NO	8		4	Regular
NOMVULA O'MEARA	127		23	Regular
PANG LY	84		19	Regular
PAUL MIYAMOTO	104		22	Regular
PETE BUTTIGIEG	29		7	Regular
PETER GALLOTTA	142		23	Regular
PHIL COLLINS	40		9	Regular
PHIL TING	81		17	Regular
QUEENA CHEN	93		22	Regular
RAFAEL MANDELMAN	132		23	Regular
RAN S. PETEL	74		15	Regular
RICK HAUPTMAN	118		23	Regular
ROBERT ARDINI	33		8	Regular
ROBERT JORDAN	183		7	QualifiedWriteIn
ROBERT LEE MANNING JR.	186		8	QualifiedWriteIn
ROQUE "ROCKY" DE LA FUENTE	36		8	Regular
ROQUE "ROCKY" DE LA FUENTE	41		9	Regular
ROQUE "ROCKY" DE LA FUENTE III	18		7	Regular
RYAN LAM	149		24	Regular
SAM ROBB	54		12	Regular
SCOTT WIENER	78		16	Regular
SEDINAM MOYOWASIFZA-CURRY	49		10	Regular
SEEYEW MO	102		22	Regular
SHAHID BUTTAR	68		13	Regular
SHAMANN WALTON	122		23	Regular
SHANELL WILLIAMS	123		23	Regular
SHAUN HAINES	119		23	Regular
SOPHIE MAXWELL	133		23	Regular
SORINNE ARDELEANU	191		12	QualifiedWriteIn
SOURAYA FAAS	58		12	Regular
STARCHILD	177		18	QualifiedWriteIn
STEPHEN WAID	147		24	Regular
STEVEN A RICHEY	56		12	Regular
STEVEN BUSS	141		23	Regular
SUZY LOFTUS	96		22	Regular
TAMI BRYANT	138		23	Regular
TOM GALLAGHER	69		13	Regular
TOM STEYER	23		7	Regular
TULSI GABBARD	31		7	Regular
TYRA FENNELL	124		23	Regular
VALLIE BROWN	139		23	Regular
VERMIN SUPREME	61		12	Regular
VICTOR OLIVIERI	126		23	Regular
WILLIAM (ANUBIS) DAUGHERTY	128		23	Regular
WILLIE FELIX CARTER	180		7	QualifiedWriteIn
Write-in	159		22	WriteIn
Write-in	160		20	WriteIn
Write-in	161		7	WriteIn
Write-in	162		17	WriteIn
Write-in	163		10	WriteIn
Write-in	164		16	WriteIn
Write-in	165		21	WriteIn
Write-in	166		14	WriteIn
Write-in	167		23	WriteIn
Write-in	168		18	WriteIn
Write-in	169		19	WriteIn
Write-in	170		11	WriteIn
Write-in	171		24	WriteIn
Write-in	172		9	WriteIn
Write-in	173		13	WriteIn
Write-in	174		15	WriteIn
Write-in	175		8	WriteIn
Write-in	176		12	WriteIn
YES	1		1	Regular
YES	11		6	Regular
YES	3		2	Regular
YES	5		3	Regular
YES	7		4	Regular
YES	9		5	Regular
ZOLTAN G. ISTVAN	38		8	Regular
