area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	079:JEFF BLEICH	080:ELENI KOUNALAKIS	081:CAMERON GHARABIKLOU	082:TIM FERREIRA	083:DAVID FENNELL	084:DANNY THOMAS	085:COLE HARRIS	086:ED HERNANDEZ	087:DAVID R. HERNANDEZ	088:LYDIA ORTEGA	089:GAYLE MCLAUGHLIN	194:MARJAN S. FARIBA
PCT1122	MV	607	213	0	1	52	160	1	20	33	1	2	7	2	25	30	7	12	20	0
PCT1123	ED	876	118	0	0	15	103	2	14	38	1	2	1	3	4	20	5	1	12	0
PCT1123	MV	876	254	0	1	20	233	2	29	56	2	1	5	0	27	61	14	16	20	0
PCT1124	ED	773	109	0	1	20	88	1	11	28	4	1	1	1	1	25	5	4	6	0
PCT1124	MV	773	200	0	0	19	181	0	21	44	1	5	7	1	8	62	6	9	17	0
PCT1125	ED	987	80	0	0	11	69	1	9	9	2	0	1	1	3	24	2	6	11	0
PCT1125	MV	987	329	0	5	31	293	2	42	61	6	6	10	1	28	91	9	18	19	0
PCT1126	ED	900	92	0	0	10	82	0	16	21	0	0	1	0	3	24	3	2	12	0
PCT1126	MV	900	292	0	4	39	249	3	42	48	7	1	8	1	15	88	8	10	18	0
PCT1127	ED	875	141	0	2	17	122	2	20	31	1	3	4	0	3	30	7	4	17	0
PCT1127	MV	875	277	0	2	41	234	0	35	46	3	0	9	0	22	69	19	11	20	0
PCT1128	ED	813	104	0	0	16	88	1	12	16	1	2	2	1	6	22	8	4	13	0
PCT1128	MV	813	246	0	1	30	215	0	29	35	4	5	8	4	25	67	10	13	15	0
PCT1129	ED	924	120	0	0	11	109	1	18	30	3	3	2	0	8	21	6	2	15	0
PCT1129	MV	924	274	0	0	24	250	0	24	41	2	1	8	2	18	95	10	23	26	0
PCT1131	ED	783	85	0	0	9	76	1	19	12	1	1	5	1	4	15	5	5	7	0
PCT1131	MV	783	288	0	1	21	266	0	45	50	2	6	14	3	23	78	13	16	16	0
PCT1132	ED	910	112	0	0	17	95	0	17	20	3	4	2	0	6	20	4	2	17	0
PCT1132	MV	910	324	0	4	52	268	0	43	67	3	2	14	2	21	61	12	24	19	0
PCT1133	ED	826	99	0	0	11	88	0	13	22	0	1	2	4	3	19	6	2	16	0
PCT1133	MV	826	292	0	0	35	257	3	47	62	3	4	16	3	5	56	7	17	34	0
PCT1134	ED	727	126	0	0	11	115	2	19	32	1	5	0	1	2	26	7	1	19	0
PCT1134	MV	727	241	0	0	50	191	0	39	35	1	1	6	0	7	61	12	12	17	0
PCT1135	ED	511	71	0	0	9	62	0	8	19	1	1	0	0	2	15	1	5	10	0
PCT1135	MV	511	217	0	0	29	188	1	23	55	4	4	1	2	16	41	8	14	19	0
PCT1136	ED	807	97	0	1	11	85	1	9	22	1	2	2	0	6	19	6	6	11	0
PCT1136	MV	807	287	0	0	38	249	2	39	57	2	6	9	3	21	66	15	8	21	0
PCT1141	ED	998	149	0	0	18	131	1	18	36	1	0	2	0	10	32	2	5	24	0
PCT1141	MV	998	368	0	2	36	330	0	57	74	4	1	16	5	23	84	3	17	46	0
PCT1142	ED	822	120	0	0	15	105	0	15	23	1	2	0	4	9	27	5	1	18	0
PCT1142	MV	822	266	0	0	27	239	0	37	49	2	3	8	5	17	56	8	12	42	0
PCT1143	ED	989	147	0	0	10	137	1	18	19	2	1	1	3	4	42	4	9	33	0
PCT1143	MV	989	311	0	1	50	260	2	27	51	4	4	10	2	22	67	7	21	43	0
PCT1144	ED	870	148	0	1	14	133	0	21	35	2	2	0	1	11	29	5	3	24	0
PCT1144	MV	870	264	0	0	29	235	0	22	55	7	3	10	8	29	40	8	11	42	0
PCT1145	ED	879	136	0	0	16	120	0	20	33	1	1	4	0	5	21	4	4	27	0
PCT1145	MV	879	370	0	1	37	332	1	63	94	1	4	9	7	18	55	2	18	60	0
PCT1146	ED	971	124	0	0	10	114	2	18	21	0	1	4	3	4	20	5	5	31	0
PCT1146	MV	971	326	0	3	39	284	0	38	68	1	2	5	7	23	84	10	10	36	0
PCT1147	ED	853	166	0	0	25	141	1	15	29	0	1	2	1	7	29	12	4	40	0
PCT1147	MV	853	279	0	3	36	240	0	29	48	1	2	16	5	13	58	3	18	47	0
PCT1148	ED	918	121	0	0	13	108	0	24	13	0	3	6	4	4	30	6	4	14	0
PCT1148	MV	918	314	0	0	44	270	0	35	61	3	5	13	9	34	58	9	12	31	0
PCT1149	ED	873	148	0	1	15	132	0	12	30	4	2	5	1	7	30	6	11	24	0
PCT1149	MV	873	285	0	2	27	256	0	32	54	4	3	2	5	32	66	7	13	38	0
PCT1152	ED	838	125	0	0	16	109	1	22	23	0	0	7	1	9	9	4	9	24	0
PCT1152	MV	838	286	0	1	26	259	0	36	56	3	6	7	10	24	68	9	18	22	0
PCT1153	ED	909	139	0	3	16	120	0	21	34	1	0	7	0	5	29	8	6	9	0
PCT1153	MV	909	306	0	1	34	271	3	32	77	4	3	6	4	30	59	13	15	25	0
PCT7001	ED	735	119	0	0	17	102	1	20	26	1	0	0	2	2	19	2	2	27	0
PCT7001	MV	735	266	0	0	31	235	1	53	77	2	2	2	2	8	38	3	2	45	0
PCT7002	ED	641	132	0	0	10	122	0	25	35	0	1	1	0	1	24	1	3	31	0
PCT7002	MV	641	173	0	1	7	165	0	38	48	0	1	2	2	11	23	1	4	35	0
PCT7003	ED	864	188	0	0	17	171	0	51	46	3	1	0	2	6	17	1	2	42	0
PCT7003	MV	864	340	0	0	27	313	0	74	114	2	5	8	0	8	30	3	6	63	0
PCT7004	ED	835	175	0	0	19	156	0	47	48	2	5	5	0	5	19	1	4	20	0
PCT7004	MV	835	306	0	0	35	271	0	59	85	0	4	11	0	5	34	5	9	59	0
PCT7005	ED	812	180	0	0	21	159	0	31	47	1	2	1	0	3	25	1	2	46	0
PCT7005	MV	812	295	0	0	26	269	0	74	84	0	4	3	1	9	36	1	4	53	0
PCT7006	ED	884	213	0	0	24	189	0	27	46	1	3	3	0	4	26	3	1	75	0
PCT7006	MV	884	290	0	0	23	267	0	50	75	3	2	2	1	10	39	0	5	80	0
PCT7007	ED	916	233	0	0	26	207	0	54	57	0	5	2	0	1	37	1	4	46	0
PCT7007	MV	916	323	0	1	33	289	0	89	91	2	1	2	0	7	38	0	5	54	0
PCT7008	ED	861	187	0	0	28	159	0	35	47	1	5	3	0	2	18	0	5	43	0
PCT7008	MV	861	345	0	1	39	305	0	87	115	4	2	8	0	6	44	1	7	31	0
PCT7009	ED	864	133	0	0	13	120	0	26	22	4	3	0	3	8	20	1	3	30	0
PCT7009	MV	864	312	0	0	31	281	0	42	101	2	2	9	1	11	55	6	4	48	0
PCT7011	ED	976	141	0	1	19	121	2	27	33	4	2	2	2	3	19	2	3	22	0
PCT7011	MV	976	205	0	2	26	177	1	38	61	4	2	2	1	6	25	5	1	31	0
PCT7012	ED	1061	224	0	0	22	202	0	30	65	2	6	3	0	16	36	2	2	40	0
PCT7012	MV	1061	383	0	1	52	330	0	64	118	3	5	4	2	13	56	1	10	54	0
PCT7013	ED	805	132	0	1	11	120	0	27	33	0	4	1	1	1	24	4	1	24	0
PCT7013	MV	805	251	0	0	31	220	1	53	79	1	7	3	0	12	20	2	4	38	0
PCT7014	ED	1213	188	0	0	16	172	0	38	59	1	9	1	1	2	20	2	4	35	0
PCT7014	MV	1213	434	0	0	35	399	1	118	133	2	9	2	2	11	54	2	7	58	0
PCT7015	MV	93	34	0	0	2	32	0	8	7	0	0	0	0	2	4	0	0	11	0
PCT7016	ED	891	112	0	1	24	87	0	4	31	1	2	0	4	1	22	3	5	14	0
PCT7016	MV	891	221	0	2	37	182	1	30	47	3	4	0	8	16	51	3	7	12	0
PCT7017	ED	734	79	0	1	24	54	0	4	19	2	1	2	0	2	20	1	1	2	0
PCT7017	MV	734	167	0	1	26	140	0	14	61	3	0	2	1	4	24	4	7	20	0
PCT7018	ED	908	88	0	0	16	72	0	13	21	1	0	1	1	6	15	2	1	11	0
PCT7018	MV	908	343	0	2	61	280	3	31	73	2	2	6	13	28	80	6	16	20	0
PCT7019	ED	864	111	0	0	17	94	0	12	28	2	1	1	0	1	26	2	4	17	0
PCT7019	MV	864	349	0	0	39	310	1	33	99	2	7	7	8	33	71	5	14	30	0
PCT7021	ED	927	129	0	0	21	108	0	8	28	2	2	0	2	7	27	1	3	28	0
PCT7021	MV	927	220	0	0	28	192	0	31	59	2	4	0	4	6	47	6	11	22	0
PCT7022	ED	923	164	0	0	18	146	0	15	47	3	4	0	0	4	43	1	3	26	0
PCT7022	MV	923	270	0	3	30	237	1	33	65	3	9	1	4	10	74	3	7	27	0
PCT7023	ED	906	131	0	2	20	109	1	15	46	2	0	0	3	8	23	2	2	7	0
PCT7023	MV	906	301	0	0	38	263	1	52	93	1	0	3	2	15	62	1	7	26	0
PCT7024	ED	386	30	0	0	7	23	0	6	8	0	1	0	1	1	1	2	3	0	0
PCT7024	MV	386	47	0	1	4	42	0	5	17	0	0	1	2	3	8	2	2	2	0
PCT7025	ED	448	66	0	0	10	56	0	6	14	0	7	1	1	5	11	2	1	8	0
PCT7025	MV	448	78	0	0	10	68	0	14	17	3	0	0	1	3	11	0	4	15	0
PCT7026	ED	971	90	0	0	13	77	0	16	16	2	1	0	2	2	23	0	6	9	0
PCT7026	MV	971	350	0	0	65	285	2	47	54	2	4	12	8	31	93	5	10	17	0
PCT7027	ED	845	136	0	0	25	111	1	13	39	1	1	2	2	6	24	4	3	15	0
PCT7027	MV	845	271	0	1	39	231	2	23	85	3	2	12	3	21	38	4	16	22	0
PCT7028	ED	835	157	0	0	17	140	0	16	58	1	2	2	0	6	35	3	1	16	0
PCT7028	MV	835	180	0	0	15	165	1	22	54	2	1	2	0	4	51	1	6	21	0
PCT7029	ED	855	115	0	1	19	95	0	20	39	4	3	0	0	3	15	3	3	5	0
PCT7029	MV	855	166	0	1	16	149	1	29	54	0	2	2	4	8	20	2	4	23	0
PCT7030	ED	729	94	0	0	17	77	0	10	15	0	3	5	1	6	13	7	5	12	0
PCT7030	MV	729	277	0	1	40	236	1	29	49	3	7	15	6	19	44	10	24	29	0
PCT7031	ED	611	50	0	0	11	39	0	3	13	0	3	0	3	1	11	0	2	3	0
PCT7031	MV	611	224	0	1	44	179	0	20	52	8	7	6	4	20	40	4	9	9	0
PCT7032	ED	867	126	0	1	24	101	0	14	30	1	2	2	3	2	24	4	4	15	0
PCT7032	MV	867	238	0	1	32	205	0	22	59	5	3	4	4	13	60	4	10	21	0
PCT7033	ED	765	135	0	1	19	115	3	20	28	5	3	2	3	4	22	4	6	15	0
PCT7033	MV	765	181	0	2	20	159	0	24	57	3	2	5	1	4	35	6	6	16	0
PCT7034	ED	914	97	0	3	16	78	0	13	23	3	2	1	4	3	16	3	2	8	0
PCT7034	MV	914	154	0	0	19	135	2	13	60	3	2	1	4	5	30	1	4	10	0
PCT7035	ED	553	73	0	0	12	61	1	9	21	1	0	2	2	4	13	0	1	7	0
PCT7035	MV	553	170	0	0	17	153	1	18	61	1	3	4	3	8	33	1	6	14	0
PCT7036	ED	898	52	0	0	9	43	0	4	11	0	4	1	1	3	8	3	3	5	0
PCT7036	MV	898	265	0	2	29	234	0	33	50	6	1	7	5	27	65	10	17	13	0
PCT7037	ED	730	73	0	0	18	55	0	12	16	1	1	0	5	1	10	2	2	5	0
PCT7037	MV	730	64	0	0	5	59	0	7	21	0	1	1	1	4	14	2	5	3	0
PCT7038	ED	880	84	0	0	11	73	0	10	22	0	0	1	2	10	17	1	3	7	0
PCT7038	MV	880	255	0	2	43	210	2	26	37	4	7	6	4	24	65	10	10	15	0
PCT7039	ED	768	111	0	0	14	97	0	13	24	0	0	3	0	12	18	6	8	13	0
PCT7039	MV	768	225	0	0	31	194	1	24	53	1	2	7	9	32	44	3	5	13	0
PCT7041	MV	60	24	0	0	2	22	0	3	4	0	0	4	0	0	5	0	0	6	0
PCT7042	ED	632	75	0	0	10	65	0	9	15	1	2	0	0	6	15	5	3	9	0
PCT7042	MV	632	191	0	3	20	168	0	26	47	0	3	3	6	19	37	4	6	17	0
PCT7043	ED	915	97	0	1	16	80	0	7	34	0	1	0	0	2	17	0	1	18	0
PCT7043	MV	915	282	0	1	39	242	0	29	78	7	0	2	5	9	67	4	13	28	0
PCT7044	ED	805	86	0	0	23	63	1	13	12	1	1	1	2	4	21	1	2	4	0
PCT7044	MV	805	125	0	1	13	111	0	14	30	1	0	2	2	12	32	5	7	6	0
PCT7045	ED	763	87	0	0	20	67	0	5	15	1	1	2	1	8	19	3	2	10	0
PCT7045	MV	763	282	0	2	57	223	2	22	52	3	1	3	6	27	63	13	12	19	0
PCT7046	ED	385	54	0	0	7	47	1	6	13	0	1	2	0	3	12	2	0	7	0
PCT7046	MV	385	136	0	1	12	123	1	13	34	5	7	1	1	18	21	5	5	12	0
PCT7047	ED	781	68	0	0	13	55	0	12	18	1	1	0	1	1	7	2	1	11	0
PCT7047	MV	781	298	0	2	35	261	3	29	64	5	1	3	5	30	72	9	14	26	0
PCT7048	ED	815	94	0	0	11	83	0	8	17	3	2	2	0	5	34	4	3	5	0
PCT7048	MV	815	248	0	0	37	211	2	23	47	3	4	5	5	16	70	5	16	15	0
PCT7049	ED	751	108	0	0	13	95	1	11	22	0	1	7	9	10	21	4	2	7	0
PCT7049	MV	751	241	0	0	41	200	1	26	37	4	4	10	15	29	40	8	13	13	0
PCT7051	ED	839	70	0	1	11	58	0	5	14	1	3	2	3	3	15	0	3	9	0
PCT7051	MV	839	302	0	1	48	253	1	37	43	10	2	7	8	39	71	5	14	16	0
PCT7052	ED	806	120	0	0	18	102	0	26	22	1	1	0	1	9	21	7	3	11	0
PCT7052	MV	806	278	0	2	43	233	0	27	70	3	2	10	8	29	47	6	18	13	0
PCT7053	ED	548	44	0	0	10	34	1	3	16	0	2	0	1	2	5	0	1	3	0
PCT7053	MV	548	205	0	0	22	183	0	42	53	4	2	7	3	16	37	2	8	9	0
PCT7054	ED	1024	141	0	2	16	123	0	15	34	2	2	2	1	2	30	2	6	27	0
PCT7054	MV	1024	275	0	1	28	246	0	26	89	2	2	5	2	8	58	14	10	30	0
PCT7055	ED	699	83	0	0	14	69	1	18	24	1	0	0	0	1	10	2	0	12	0
PCT7055	MV	699	256	0	0	40	216	0	37	70	2	5	14	2	9	37	3	8	29	0
PCT7101	MV	141	83	0	0	10	73	0	27	23	0	1	0	0	0	11	0	0	11	0
PCT7201	ED	900	147	0	0	19	128	0	35	44	0	4	3	0	8	20	0	3	11	0
PCT7201	MV	900	333	0	2	39	292	0	67	101	2	9	6	1	23	40	6	6	31	0
PCT7202	ED	830	138	0	0	13	125	0	33	34	3	3	4	0	11	16	3	2	16	0
PCT7202	MV	830	271	0	1	25	245	0	44	84	0	1	18	0	35	37	3	10	13	0
PCT7203	ED	867	174	0	0	23	151	0	32	54	2	2	1	0	12	18	1	5	24	0
PCT7203	MV	867	243	0	0	22	221	0	49	81	3	1	8	1	9	34	3	12	20	0
PCT7204	ED	888	157	0	1	18	138	0	42	36	1	4	2	1	5	22	2	7	16	0
PCT7204	MV	888	340	0	1	41	298	0	92	95	1	4	10	1	17	44	4	4	26	0
PCT7205	ED	847	183	0	0	16	167	0	47	55	0	4	3	1	6	20	5	7	19	0
PCT7205	MV	847	309	0	2	27	280	0	85	78	2	1	4	1	28	42	2	13	24	0
PCT7206	ED	375	88	0	1	12	75	1	20	24	1	3	1	1	1	12	1	0	10	0
PCT7206	MV	375	124	0	3	20	101	0	26	38	2	4	1	0	6	15	0	1	8	0
PCT7207	ED	744	119	0	0	17	102	0	24	29	0	1	1	2	7	19	1	7	11	0
PCT7207	MV	744	231	0	0	28	203	0	50	77	4	3	5	1	10	28	4	5	16	0
PCT7208	ED	567	76	0	0	11	65	0	9	26	0	0	1	0	2	10	0	3	14	0
PCT7208	MV	567	206	0	5	21	180	0	38	63	2	3	8	1	11	28	3	4	19	0
PCT7209	ED	586	69	0	0	10	59	0	17	20	0	1	0	2	2	13	1	1	2	0
PCT7209	MV	586	326	0	0	38	288	0	69	102	1	2	11	3	24	44	1	9	22	0
PCT7301	ED	1002	150	0	1	25	124	0	19	36	2	1	6	7	9	23	3	4	14	0
PCT7301	MV	1002	299	0	1	46	252	0	50	57	5	3	16	4	16	62	9	17	13	0
PCT7302	ED	806	121	0	0	18	103	0	27	21	0	0	2	1	7	19	3	2	21	0
PCT7302	MV	806	352	0	2	37	313	0	72	96	2	5	14	7	19	57	4	10	27	0
PCT7303	ED	986	167	0	0	27	140	1	38	34	1	5	1	0	5	20	1	7	27	0
PCT7303	MV	986	318	0	2	38	278	0	58	97	1	7	9	1	12	51	4	13	25	0
PCT7304	ED	972	203	0	0	23	180	1	45	58	1	2	5	2	10	26	4	6	20	0
PCT7304	MV	972	330	0	1	42	287	2	80	89	4	1	13	2	23	43	3	3	24	0
PCT7305	ED	851	171	0	0	8	163	1	40	41	0	3	3	2	16	20	4	6	27	0
PCT7305	MV	851	306	0	0	46	260	0	50	89	0	5	10	1	26	36	3	9	31	0
PCT7306	ED	1014	179	0	0	34	145	1	27	30	0	6	3	5	9	30	1	2	31	0
PCT7306	MV	1014	302	0	1	47	254	0	58	72	3	4	6	0	16	44	6	11	34	0
PCT7307	ED	726	143	0	0	11	132	0	31	37	3	4	0	1	5	25	1	4	21	0
PCT7307	MV	726	226	0	0	25	201	0	42	60	0	5	3	4	21	35	4	5	22	0
PCT7308	ED	598	133	0	0	16	117	0	34	32	1	3	2	1	9	16	0	2	17	0
PCT7308	MV	598	204	0	1	20	183	0	43	56	1	2	4	1	9	29	2	13	23	0
PCT7309	ED	826	160	0	0	16	144	0	41	37	0	4	1	0	11	22	2	1	25	0
PCT7309	MV	826	209	0	0	34	175	0	38	53	1	4	5	2	13	30	0	4	25	0
PCT7311	ED	901	175	0	0	23	152	1	48	44	0	3	2	0	7	17	1	5	24	0
PCT7311	MV	901	266	0	1	30	235	0	62	82	0	1	5	1	8	40	3	7	26	0
PCT7312	ED	810	128	0	0	14	114	0	36	34	0	4	6	2	5	11	1	4	11	0
PCT7312	MV	810	332	0	1	45	286	0	90	91	3	2	10	1	20	34	6	10	19	0
PCT7313	ED	925	135	0	0	24	111	0	27	30	0	3	1	3	4	17	1	1	24	0
PCT7313	MV	925	315	0	1	41	273	0	67	71	2	4	9	2	28	52	7	7	24	0
PCT7314	ED	760	92	0	2	26	64	0	12	12	2	3	4	1	5	11	1	5	8	0
PCT7314	MV	760	213	0	0	64	149	1	19	26	11	3	1	12	12	40	2	6	16	0
PCT7315	ED	725	119	0	0	15	104	0	18	23	3	0	4	3	5	16	1	2	29	0
PCT7315	MV	725	178	0	0	32	146	0	27	35	1	3	4	0	7	35	6	11	17	0
PCT7316	ED	824	122	0	0	16	106	0	18	29	3	3	2	1	7	19	0	3	21	0
PCT7316	MV	824	266	0	0	44	222	0	46	60	3	5	5	0	15	52	5	5	26	0
PCT7317	ED	886	117	0	0	14	103	0	27	31	0	0	5	2	6	11	1	3	17	0
PCT7317	MV	886	340	0	0	44	296	1	70	82	3	4	8	5	27	49	6	11	30	0
PCT7318	ED	709	123	0	0	21	102	0	23	34	0	1	3	2	6	13	2	3	15	0
PCT7318	MV	709	243	0	1	31	211	1	34	56	10	5	3	9	10	60	2	6	15	0
PCT7319	ED	1035	182	0	0	23	159	0	38	41	3	4	6	1	8	29	1	5	23	0
PCT7319	MV	1035	296	0	0	53	243	1	53	63	2	3	12	2	23	41	5	13	25	0
PCT7321	ED	644	100	0	0	26	74	1	16	13	0	1	2	3	7	20	0	4	7	0
PCT7321	MV	644	211	0	0	28	183	0	35	36	4	5	5	7	23	33	7	13	15	0
PCT7322	ED	859	60	0	0	15	45	0	6	12	1	1	2	2	2	6	3	0	10	0
PCT7322	MV	859	304	0	0	79	225	0	30	31	5	1	4	10	24	79	8	17	16	0
PCT7323	ED	881	146	0	1	15	130	0	32	44	1	2	3	2	7	17	3	4	15	0
PCT7323	MV	881	273	0	0	49	224	0	48	67	2	7	7	0	9	53	7	11	13	0
PCT7324	ED	687	125	0	0	18	107	0	21	28	1	2	2	1	7	15	4	7	19	0
PCT7324	MV	687	198	0	0	46	152	2	30	56	0	3	3	0	11	29	2	6	10	0
PCT7325	ED	870	150	0	0	28	122	0	26	42	6	1	3	0	3	18	3	1	19	0
PCT7325	MV	870	276	0	0	56	220	2	41	89	1	3	3	6	15	39	2	2	17	0
PCT7326	ED	853	150	0	0	24	126	1	20	36	2	5	1	2	9	21	3	4	22	0
PCT7326	MV	853	256	0	1	43	212	0	30	51	3	3	9	6	12	49	7	12	30	0
PCT7327	ED	684	62	0	1	16	45	0	11	12	0	0	2	4	2	4	1	1	8	0
PCT7327	MV	684	277	0	0	68	209	2	17	21	6	1	8	10	28	77	6	13	20	0
PCT7328	ED	950	70	0	1	22	47	0	12	13	0	2	1	1	2	8	3	0	5	0
PCT7328	MV	950	391	0	2	119	270	0	43	37	5	4	7	14	26	90	10	16	18	0
PCT7329	ED	610	71	0	0	11	60	0	17	16	1	1	0	0	8	7	0	7	3	0
PCT7329	MV	610	205	0	1	27	177	0	45	41	1	1	10	5	30	22	2	6	14	0
PCT7331	ED	860	130	0	0	10	120	1	31	24	1	3	5	1	20	18	2	4	10	0
PCT7331	MV	860	357	0	2	33	322	0	89	99	4	4	16	7	30	38	4	13	18	0
PCT7332	ED	799	154	0	1	26	127	0	18	44	0	3	2	1	3	25	2	0	29	0
PCT7332	MV	799	209	0	1	14	194	2	30	54	3	4	6	4	13	33	1	7	37	0
PCT7333	ED	974	174	0	0	23	151	0	26	49	1	3	2	3	6	28	2	2	29	0
PCT7333	MV	974	323	0	2	58	263	0	62	75	2	5	10	4	17	45	3	9	31	0
PCT7334	ED	854	113	0	0	16	97	0	22	23	1	6	4	0	2	9	3	1	26	0
PCT7334	MV	854	275	0	1	40	234	2	55	61	3	3	5	1	18	42	1	9	34	0
PCT7335	ED	936	144	0	0	19	125	0	32	39	4	0	1	0	6	19	2	2	20	0
PCT7335	MV	936	354	0	1	37	316	1	82	104	3	7	7	2	26	46	7	10	21	0
PCT7336	ED	920	155	0	0	17	138	0	28	33	2	2	1	1	5	32	1	2	31	0
PCT7336	MV	920	324	0	1	32	291	0	72	78	0	4	15	0	28	42	6	9	37	0
PCT7337	ED	825	115	0	0	17	98	0	23	30	1	4	3	2	7	9	2	3	14	0
PCT7337	MV	825	305	0	0	44	261	1	60	70	0	1	8	5	33	42	6	3	32	0
PCT7338	ED	884	100	0	0	16	84	0	19	24	1	1	3	3	8	9	0	0	16	0
PCT7338	MV	884	364	0	0	90	274	0	35	47	7	4	9	4	41	85	6	18	18	0
PCT7339	ED	618	111	0	0	16	95	0	17	29	0	3	0	0	6	15	3	3	19	0
PCT7339	MV	618	181	0	1	24	156	1	28	48	2	2	7	3	7	35	1	4	18	0
PCT7341	ED	877	124	0	0	15	109	0	18	29	3	3	2	1	3	22	1	2	25	0
PCT7341	MV	877	246	0	1	21	224	0	38	67	0	2	2	5	11	45	3	9	42	0
PCT7342	ED	911	234	0	0	21	213	0	40	61	3	2	9	2	4	37	6	2	47	0
PCT7342	MV	911	251	0	0	25	226	0	48	72	1	3	4	3	5	43	8	4	35	0
PCT7343	ED	707	144	0	0	21	123	0	20	35	1	3	0	3	3	21	3	0	34	0
PCT7343	MV	707	186	0	1	29	156	0	27	50	1	5	4	2	8	18	4	2	35	0
PCT7344	ED	1039	179	0	0	23	156	0	22	52	3	2	7	3	9	28	0	4	26	0
