area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	101:VIVEK VISWANATHAN	102:JACK M. GUERRERO	103:KEVIN AKIN	104:GREG CONLON	105:FIONA MA
PCT7021	ED	927	129	0	0	22	107	0	14	4	17	4	68
PCT7021	MV	927	220	0	0	25	195	0	17	14	22	7	135
PCT7022	ED	923	164	0	1	17	146	0	13	5	15	3	110
PCT7022	MV	923	270	0	0	32	238	1	24	23	19	8	163
PCT7023	ED	906	131	0	1	22	108	1	7	5	9	4	82
PCT7023	MV	906	301	0	0	42	259	1	12	16	22	6	202
PCT7024	ED	386	30	0	0	12	18	0	3	1	1	0	13
PCT7024	MV	386	47	0	0	4	43	0	4	3	5	4	27
PCT7025	ED	448	66	0	0	9	57	0	7	1	10	3	36
PCT7025	MV	448	78	0	0	11	67	0	6	3	10	2	46
PCT7026	ED	971	90	0	0	14	76	0	7	6	5	2	56
PCT7026	MV	971	350	0	0	47	303	0	37	41	7	17	201
PCT7027	ED	845	136	0	0	30	106	0	9	9	9	1	78
PCT7027	MV	845	271	0	0	37	234	1	24	28	19	14	148
PCT7028	ED	835	157	0	0	24	133	1	16	4	9	4	99
PCT7028	MV	835	180	0	0	20	160	1	22	9	14	3	111
PCT7029	ED	855	115	0	0	20	95	0	7	4	14	2	68
PCT7029	MV	855	166	0	1	16	149	1	14	10	13	3	108
PCT7030	ED	729	94	0	0	11	83	0	10	11	7	7	48
PCT7030	MV	729	277	0	0	30	247	0	21	44	10	22	150
PCT7031	ED	611	50	0	0	9	41	0	5	3	3	1	29
PCT7031	MV	611	224	0	0	34	190	0	15	27	8	15	125
PCT7032	ED	867	126	0	0	31	95	0	11	7	14	5	58
PCT7032	MV	867	238	0	0	32	206	0	22	22	8	14	140
PCT7033	ED	765	135	0	0	21	114	1	13	11	19	4	66
PCT7033	MV	765	181	0	0	19	162	0	5	11	18	4	124
PCT7034	ED	914	97	0	1	18	78	0	9	4	8	3	54
PCT7034	MV	914	154	0	0	23	131	0	4	6	5	3	113
PCT7035	ED	553	73	0	0	12	61	1	5	3	7	2	43
PCT7035	MV	553	170	0	0	17	153	0	16	11	8	6	112
PCT7036	ED	898	52	0	0	7	45	0	2	2	7	5	29
PCT7036	MV	898	265	0	0	20	245	0	17	32	8	21	167
PCT7037	ED	730	73	0	0	21	52	1	1	3	7	2	38
PCT7037	MV	730	64	0	1	7	56	0	7	9	1	2	37
PCT7038	ED	880	84	0	0	14	70	2	1	15	4	1	47
PCT7038	MV	880	255	0	2	41	212	1	20	24	10	14	143
PCT7039	ED	768	111	0	0	12	99	0	8	21	6	5	59
PCT7039	MV	768	225	0	0	41	184	3	20	20	10	13	118
PCT7041	MV	60	24	0	0	2	22	0	0	10	1	0	11
PCT7042	ED	632	75	0	0	9	66	0	6	6	12	1	41
PCT7042	MV	632	191	0	0	26	165	0	22	22	8	9	104
PCT7043	ED	915	97	0	0	22	75	0	6	1	13	1	54
PCT7043	MV	915	282	0	1	48	233	0	23	23	13	4	170
PCT7044	ED	805	86	0	0	26	60	0	9	4	1	2	44
PCT7044	MV	805	125	0	1	20	104	0	8	19	4	8	65
PCT7045	ED	763	87	0	0	20	67	0	2	10	6	7	42
PCT7045	MV	763	282	0	0	49	233	2	17	34	12	26	142
PCT7046	ED	385	54	0	0	9	45	0	2	6	4	0	33
PCT7046	MV	385	136	0	0	17	119	0	8	13	8	9	81
PCT7047	ED	781	68	0	0	13	55	0	4	4	8	0	39
PCT7047	MV	781	298	0	0	27	271	1	31	42	15	6	176
PCT7048	ED	815	94	0	0	12	82	0	5	11	3	0	63
PCT7048	MV	815	248	0	0	38	210	0	33	25	11	14	127
PCT7049	ED	751	108	0	0	16	92	1	7	11	3	7	63
PCT7049	MV	751	241	0	0	40	201	0	15	26	10	15	135
PCT7051	ED	839	70	0	0	11	59	0	3	5	6	2	43
PCT7051	MV	839	302	0	0	51	251	0	33	47	11	25	135
PCT7052	ED	806	120	0	0	15	105	0	10	7	5	2	81
PCT7052	MV	806	278	0	0	34	244	0	14	26	9	25	170
PCT7053	ED	548	44	0	0	7	37	0	3	4	4	0	26
PCT7053	MV	548	205	0	0	25	180	0	22	19	9	13	117
PCT7054	ED	1024	141	0	0	18	123	0	13	7	19	5	79
PCT7054	MV	1024	275	0	0	33	242	0	31	26	16	9	160
PCT7055	ED	699	83	0	0	15	68	1	10	6	7	1	43
PCT7055	MV	699	256	0	0	34	222	0	36	28	15	10	133
PCT7101	MV	141	83	0	0	6	77	0	13	1	7	0	56
PCT7201	ED	900	147	0	0	23	124	1	16	14	7	4	82
PCT7201	MV	900	333	0	0	38	295	0	39	22	19	27	188
PCT7202	ED	830	138	0	1	22	115	1	18	5	7	14	70
PCT7202	MV	830	271	0	0	30	241	1	31	35	2	30	142
PCT7203	ED	867	174	0	0	33	141	0	14	8	12	10	97
PCT7203	MV	867	243	0	0	35	208	0	42	19	10	9	128
PCT7204	ED	888	157	0	0	32	125	0	15	16	9	5	80
PCT7204	MV	888	340	0	0	49	291	0	38	32	10	18	193
PCT7205	ED	847	183	0	0	21	162	0	13	15	14	13	107
PCT7205	MV	847	309	0	0	36	273	0	34	25	7	26	181
PCT7206	ED	375	88	0	0	12	76	1	7	6	10	4	48
PCT7206	MV	375	124	0	1	24	99	0	20	11	5	4	59
PCT7207	ED	744	119	0	0	21	98	1	8	8	9	6	66
PCT7207	MV	744	231	0	0	26	205	1	25	29	4	12	134
PCT7208	ED	567	76	0	0	8	68	0	11	2	10	2	43
PCT7208	MV	567	206	0	4	21	181	1	32	20	5	10	113
PCT7209	ED	586	69	0	0	9	60	0	7	4	2	2	45
PCT7209	MV	586	326	0	0	50	276	0	26	19	11	24	196
PCT7301	ED	1002	150	0	0	28	122	2	17	6	10	10	77
PCT7301	MV	1002	299	0	1	47	251	0	25	41	8	22	155
PCT7302	ED	806	121	0	0	20	101	0	7	13	12	7	62
PCT7302	MV	806	352	0	0	47	305	0	34	39	6	23	203
PCT7303	ED	986	167	0	0	33	134	0	14	13	15	6	86
PCT7303	MV	986	318	0	1	39	278	0	29	25	10	19	195
PCT7304	ED	972	203	0	0	30	173	0	15	20	14	6	118
PCT7304	MV	972	330	0	0	47	283	1	36	23	11	21	191
PCT7305	ED	851	171	0	0	18	153	0	22	17	14	17	83
PCT7305	MV	851	306	0	0	45	261	1	33	32	14	29	152
PCT7306	ED	1014	179	0	0	38	141	1	9	15	21	8	87
PCT7306	MV	1014	302	0	1	40	261	1	24	24	21	17	174
PCT7307	ED	726	143	0	0	20	123	0	11	12	14	4	82
PCT7307	MV	726	226	0	0	28	198	0	26	17	11	14	130
PCT7308	ED	598	133	0	0	18	115	0	15	8	9	8	75
PCT7308	MV	598	204	0	0	23	181	0	28	22	5	13	113
PCT7309	ED	826	160	0	0	24	136	0	20	8	12	9	87
PCT7309	MV	826	209	0	0	36	173	0	20	12	7	16	118
PCT7311	ED	901	175	0	0	31	144	0	21	12	14	10	87
PCT7311	MV	901	266	0	0	26	240	1	32	22	15	14	156
PCT7312	ED	810	128	0	0	16	112	0	12	8	10	6	76
PCT7312	MV	810	332	0	0	52	280	0	28	30	14	26	182
PCT7313	ED	925	135	0	0	25	110	0	17	9	12	3	69
PCT7313	MV	925	315	0	0	43	272	0	43	38	13	15	163
PCT7314	ED	760	92	0	1	25	66	0	6	6	9	6	39
PCT7314	MV	760	213	0	1	53	159	0	22	14	11	9	103
PCT7315	ED	725	119	0	0	16	103	0	14	8	17	4	60
PCT7315	MV	725	178	0	0	21	157	0	24	16	6	5	106
PCT7316	ED	824	122	0	0	19	103	0	11	4	16	5	67
PCT7316	MV	824	266	0	0	48	218	0	23	26	22	12	135
PCT7317	ED	886	117	0	0	20	97	0	17	7	5	5	63
PCT7317	MV	886	340	0	2	47	291	0	34	29	21	26	181
PCT7318	ED	709	123	0	0	25	98	0	13	10	8	7	60
PCT7318	MV	709	243	0	0	42	201	1	48	19	5	8	120
PCT7319	ED	1035	182	0	0	27	155	0	24	5	10	12	104
PCT7319	MV	1035	296	0	0	48	248	0	36	26	12	27	147
PCT7321	ED	644	100	0	0	24	76	0	7	9	10	5	45
PCT7321	MV	644	211	0	1	32	178	0	27	22	12	15	102
PCT7322	ED	859	60	0	0	14	46	0	4	6	11	3	22
PCT7322	MV	859	304	0	1	75	228	0	39	36	12	4	137
PCT7323	ED	881	146	0	1	22	123	0	21	12	7	5	78
PCT7323	MV	881	273	0	1	48	224	0	38	22	11	9	144
PCT7324	ED	687	125	0	0	24	101	0	19	9	11	5	57
PCT7324	MV	687	198	0	0	43	155	2	29	14	4	6	100
PCT7325	ED	870	150	0	0	32	118	0	22	10	12	7	67
PCT7325	MV	870	276	0	0	46	230	2	33	18	13	13	151
PCT7326	ED	853	150	0	0	27	123	1	6	12	12	5	87
PCT7326	MV	853	256	0	1	38	217	0	29	32	15	14	127
PCT7327	ED	684	62	0	0	17	45	0	4	3	5	2	31
PCT7327	MV	684	277	0	0	52	225	1	34	51	17	14	108
PCT7328	ED	950	70	0	0	16	54	0	7	7	5	1	34
PCT7328	MV	950	391	0	1	103	287	0	43	56	11	17	160
PCT7329	ED	610	71	0	0	11	60	0	4	9	6	7	34
PCT7329	MV	610	205	0	0	25	180	0	13	33	13	22	99
PCT7331	ED	860	130	0	0	15	115	0	10	17	1	15	72
PCT7331	MV	860	357	0	1	42	314	0	32	41	8	32	201
PCT7332	ED	799	154	0	0	26	128	0	23	4	15	3	83
PCT7332	MV	799	209	0	0	21	188	0	29	21	20	9	109
PCT7333	ED	974	174	0	0	30	144	0	19	10	12	6	97
PCT7333	MV	974	323	0	0	60	263	1	39	30	15	15	163
PCT7334	ED	854	113	0	1	16	96	0	10	7	18	6	55
PCT7334	MV	854	275	0	0	41	234	1	36	30	13	13	141
PCT7335	ED	936	144	0	0	27	117	2	19	5	6	7	78
PCT7335	MV	936	354	0	1	37	316	1	40	34	15	31	195
PCT7336	ED	920	155	0	0	24	131	0	24	8	13	7	79
PCT7336	MV	920	324	0	1	39	284	0	37	33	11	28	175
PCT7337	ED	825	115	0	0	21	94	0	10	10	5	4	65
PCT7337	MV	825	305	0	1	43	261	0	30	34	16	19	162
PCT7338	ED	884	100	0	0	23	77	0	8	2	9	4	54
PCT7338	MV	884	364	0	0	75	289	0	51	44	13	23	158
PCT7339	ED	618	111	0	0	21	90	0	9	7	12	5	57
PCT7339	MV	618	181	0	1	23	157	1	34	7	11	11	93
PCT7341	ED	877	124	0	0	20	104	0	20	6	21	3	54
PCT7341	MV	877	246	0	0	26	220	2	37	14	18	12	137
PCT7342	ED	911	234	0	0	29	205	0	24	12	23	12	134
PCT7342	MV	911	251	0	0	36	215	0	23	21	18	13	140
PCT7343	ED	707	144	0	0	27	117	0	15	7	23	3	69
PCT7343	MV	707	186	0	0	28	158	0	26	8	22	10	92
PCT7344	ED	1039	179	0	0	28	151	0	16	14	21	5	95
PCT7344	MV	1039	334	0	0	41	293	0	52	23	27	13	178
PCT7345	ED	1077	183	0	0	24	159	0	22	5	29	7	96
PCT7345	MV	1077	283	0	0	39	244	1	40	12	21	11	159
PCT7346	ED	877	168	0	0	20	148	0	21	5	24	11	87
PCT7346	MV	877	221	0	0	31	190	1	28	18	18	8	117
PCT7347	ED	968	137	0	0	14	123	1	13	5	23	4	77
PCT7347	MV	968	279	0	0	24	255	0	36	15	29	11	164
PCT7348	ED	832	139	0	0	14	125	0	12	9	12	8	84
PCT7348	MV	832	202	0	0	25	177	0	28	12	18	9	110
PCT7349	ED	921	147	0	1	21	125	0	10	10	18	7	80
PCT7349	MV	921	282	0	0	31	251	0	36	25	19	17	154
PCT7501	ED	554	118	0	0	23	95	0	8	6	5	3	73
PCT7501	MV	554	168	0	0	34	134	0	14	17	3	7	93
PCT7502	ED	741	113	0	0	15	98	0	14	8	13	2	61
PCT7502	MV	741	349	0	1	41	307	2	58	19	13	27	188
PCT7503	ED	727	132	0	0	20	112	0	14	11	15	2	70
PCT7503	MV	727	226	0	2	25	199	0	32	16	13	7	131
PCT7504	ED	484	76	0	0	16	60	0	8	1	4	3	44
PCT7504	MV	484	158	0	0	22	136	2	19	4	6	12	93
PCT7505	ED	871	131	0	0	15	116	0	16	4	3	7	86
PCT7505	MV	871	417	0	0	65	352	0	42	20	12	31	247
PCT7506	ED	920	133	0	0	19	114	0	18	5	11	4	76
PCT7506	MV	920	252	0	0	37	215	0	25	20	11	8	151
PCT7507	ED	919	158	0	0	37	121	2	8	7	11	2	91
PCT7507	MV	919	255	0	2	39	214	0	31	13	18	11	141
PCT7508	ED	702	106	0	0	22	84	0	8	7	9	6	54
PCT7508	MV	702	340	0	0	49	291	0	23	26	17	20	205
