area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	110:STEVE POIZNER	111:RICARDO LARA	112:NATHALIE HRIZI	113:ASIF MAHMOOD
PCT1133	MV	826	292	-2	1	49	244	2	67	110	25	40
PCT1134	ED	727	126	0	0	13	113	0	21	52	24	16
PCT1134	MV	727	241	0	1	57	183	0	39	102	22	20
PCT1135	ED	511	71	0	0	9	62	0	12	35	3	12
PCT1135	MV	511	217	0	1	43	173	0	45	77	20	31
PCT1136	ED	807	97	0	1	16	80	2	16	35	10	17
PCT1136	MV	807	287	1	0	47	239	1	74	98	19	47
PCT1141	ED	998	149	0	0	19	130	1	31	64	22	12
PCT1141	MV	998	368	0	0	54	314	1	78	149	40	46
PCT1142	ED	822	120	0	0	16	104	0	28	48	17	11
PCT1142	MV	822	266	1	0	29	236	0	60	108	38	30
PCT1143	ED	989	147	-1	0	19	129	2	30	65	18	14
PCT1143	MV	989	311	0	1	59	251	4	55	117	40	35
PCT1144	ED	870	148	-1	1	17	131	0	29	55	25	22
PCT1144	MV	870	264	-2	0	44	222	1	67	93	36	25
PCT1145	ED	879	136	1	0	24	111	0	30	47	16	18
PCT1145	MV	879	370	0	0	46	324	1	81	149	43	50
PCT1146	ED	971	124	1	0	11	112	1	18	39	34	20
PCT1146	MV	971	326	0	2	40	284	2	64	147	38	33
PCT1147	ED	853	166	1	0	40	125	2	29	50	30	14
PCT1147	MV	853	279	-1	3	44	233	1	53	96	41	42
PCT1148	ED	918	121	0	0	20	101	0	30	45	11	15
PCT1148	MV	918	314	1	0	53	260	0	77	117	35	31
PCT1149	ED	873	148	-2	0	15	135	0	30	58	34	13
PCT1149	MV	873	285	0	1	32	252	0	72	112	35	33
PCT1152	ED	838	125	-1	0	17	109	2	25	43	22	17
PCT1152	MV	838	286	1	0	33	252	0	76	111	27	38
PCT1153	ED	909	139	0	0	23	116	0	29	60	11	16
PCT1153	MV	909	306	0	2	47	257	3	66	112	30	46
PCT7001	ED	735	119	-2	0	23	98	1	22	39	20	16
PCT7001	MV	735	266	6	1	35	224	1	71	90	39	23
PCT7002	ED	641	132	1	0	18	113	0	16	56	27	14
PCT7002	MV	641	173	0	0	14	159	0	48	65	17	29
PCT7003	ED	864	188	-1	0	33	156	0	50	50	35	21
PCT7003	MV	864	340	1	0	47	292	0	101	109	40	42
PCT7004	ED	835	175	-1	0	40	136	0	42	58	17	19
PCT7004	MV	835	306	6	0	43	257	0	95	101	32	29
PCT7005	ED	812	180	-1	0	37	144	1	33	56	28	26
PCT7005	MV	812	295	2	0	44	249	1	78	107	31	32
PCT7006	ED	884	213	-1	0	49	165	0	40	51	53	21
PCT7006	MV	884	290	1	0	46	243	3	62	82	55	41
PCT7007	ED	916	233	-4	0	35	202	2	60	73	39	28
PCT7007	MV	916	323	2	0	56	265	1	81	120	34	29
PCT7008	ED	861	187	0	0	43	144	0	35	73	17	19
PCT7008	MV	861	345	0	1	48	296	0	97	129	26	44
PCT7009	ED	864	133	-1	0	19	115	0	38	44	19	14
PCT7009	MV	864	312	-2	0	43	271	0	60	134	44	33
PCT7011	ED	976	141	0	0	30	111	1	34	53	16	7
PCT7011	MV	976	205	1	0	37	167	0	47	78	25	17
PCT7012	ED	1061	224	0	0	53	171	0	43	73	30	25
PCT7012	MV	1061	383	0	1	67	315	1	87	136	49	42
PCT7013	ED	805	132	0	0	21	111	0	31	41	25	14
PCT7013	MV	805	251	2	0	37	212	1	64	82	24	41
PCT7014	ED	1213	188	-2	0	27	163	0	33	74	27	29
PCT7014	MV	1213	434	-1	1	53	381	0	107	162	46	66
PCT7015	MV	93	34	0	0	2	32	0	4	16	8	4
PCT7016	ED	891	112	2	0	22	88	0	17	42	17	12
PCT7016	MV	891	221	2	0	45	174	1	42	100	16	15
PCT7017	ED	734	79	0	1	26	52	0	3	34	4	11
PCT7017	MV	734	167	1	0	21	145	0	29	75	15	26
PCT7018	ED	908	88	-1	0	20	69	0	18	35	12	4
PCT7018	MV	908	343	5	1	78	259	0	45	140	28	46
PCT7019	ED	864	111	2	0	22	87	0	20	48	7	12
PCT7019	MV	864	349	-1	1	48	301	2	81	151	26	41
PCT7021	ED	927	129	0	1	27	101	0	18	46	18	19
PCT7021	MV	927	220	-1	0	29	192	0	35	95	29	33
PCT7022	ED	923	164	-1	0	22	143	1	18	83	23	18
PCT7022	MV	923	270	2	1	36	231	0	36	128	24	43
PCT7023	ED	906	131	-1	0	23	109	3	16	53	15	22
PCT7023	MV	906	301	-3	1	46	257	2	45	129	26	55
PCT7024	ED	386	30	0	0	7	23	0	5	13	2	3
PCT7024	MV	386	47	1	0	1	45	0	10	21	4	10
PCT7025	ED	448	66	1	1	14	50	0	11	19	10	10
PCT7025	MV	448	78	2	0	7	69	0	14	34	13	8
PCT7026	ED	971	90	-1	0	11	80	0	14	41	14	11
PCT7026	MV	971	350	8	1	62	279	1	76	136	20	46
PCT7027	ED	845	136	2	0	24	110	0	24	55	14	17
PCT7027	MV	845	271	2	0	50	219	2	43	110	21	43
PCT7028	ED	835	157	-1	1	23	134	0	17	74	17	26
PCT7028	MV	835	180	0	0	21	159	1	22	102	18	16
PCT7029	ED	855	115	1	0	17	97	0	12	51	11	23
PCT7029	MV	855	166	2	2	20	142	3	23	75	18	23
PCT7030	ED	729	94	0	0	15	79	0	29	24	12	14
PCT7030	MV	729	277	0	1	46	230	2	76	89	39	24
PCT7031	ED	611	50	0	0	11	39	0	7	24	1	7
PCT7031	MV	611	224	0	0	39	185	1	47	89	15	33
PCT7032	ED	867	126	-2	0	23	105	2	21	54	14	14
PCT7032	MV	867	238	1	0	33	204	1	36	115	16	36
PCT7033	ED	765	135	0	1	24	110	2	13	51	23	21
PCT7033	MV	765	181	0	1	25	155	0	20	93	12	30
PCT7034	ED	914	97	0	2	20	75	1	18	32	11	13
PCT7034	MV	914	154	-1	0	24	131	1	23	75	15	17
PCT7035	ED	553	73	-1	0	16	58	1	14	26	6	11
PCT7035	MV	553	170	1	0	24	145	1	35	66	17	26
PCT7036	ED	898	52	0	1	9	42	0	13	20	6	3
PCT7036	MV	898	265	0	1	28	236	1	62	118	25	30
PCT7037	ED	730	73	0	0	17	56	0	11	32	4	9
PCT7037	MV	730	64	1	0	8	55	0	13	25	5	12
PCT7038	ED	880	84	0	0	15	69	1	9	42	9	8
PCT7038	MV	880	255	0	1	45	209	2	56	92	24	35
PCT7039	ED	768	111	0	0	17	94	0	26	32	17	19
PCT7039	MV	768	225	3	0	45	177	0	50	84	21	22
PCT7041	MV	60	24	1	0	5	18	0	2	9	1	6
PCT7042	ED	632	75	0	0	8	67	1	18	26	12	10
PCT7042	MV	632	191	0	0	29	162	0	44	86	17	15
PCT7043	ED	915	97	0	0	18	79	0	9	31	19	20
PCT7043	MV	915	282	0	1	41	240	0	42	128	26	44
PCT7044	ED	805	86	-1	0	20	67	2	7	37	3	18
PCT7044	MV	805	125	-1	0	21	105	1	26	48	8	22
PCT7045	ED	763	87	0	0	21	66	1	14	32	11	8
PCT7045	MV	763	282	1	1	78	202	1	55	92	20	34
PCT7046	ED	385	54	0	0	8	46	1	10	25	3	7
PCT7046	MV	385	136	-1	0	21	116	1	31	54	18	12
PCT7047	ED	781	68	-1	0	12	57	0	16	23	11	7
PCT7047	MV	781	298	2	1	42	253	3	49	137	29	35
PCT7048	ED	815	94	0	1	9	84	1	11	54	6	12
PCT7048	MV	815	248	1	0	39	208	2	46	112	21	27
PCT7049	ED	751	108	0	0	19	89	1	16	43	9	20
PCT7049	MV	751	241	0	0	51	190	0	65	76	21	28
PCT7051	ED	839	70	-1	0	13	58	0	8	24	10	16
PCT7051	MV	839	302	2	0	52	248	0	58	110	48	32
PCT7052	ED	806	120	-1	0	25	96	0	30	50	5	11
PCT7052	MV	806	278	1	0	44	233	0	70	108	20	35
PCT7053	ED	548	44	0	0	10	34	0	3	19	5	7
PCT7053	MV	548	205	3	1	24	177	2	48	78	17	32
PCT7054	ED	1024	141	0	0	22	119	0	17	48	32	22
PCT7054	MV	1024	275	1	0	33	241	2	42	129	18	50
PCT7055	ED	699	83	-1	0	17	67	1	18	25	12	11
PCT7055	MV	699	256	2	0	50	204	0	64	81	21	38
PCT7101	MV	141	83	0	0	11	72	0	27	28	5	12
PCT7201	ED	900	147	0	0	35	112	1	50	40	9	12
PCT7201	MV	900	333	0	0	52	281	0	111	98	27	45
PCT7202	ED	830	138	-1	0	27	112	0	45	42	11	14
PCT7202	MV	830	271	-2	2	39	232	2	107	84	15	24
PCT7203	ED	867	174	0	0	39	135	1	42	48	21	23
PCT7203	MV	867	243	1	1	41	200	2	76	82	12	28
PCT7204	ED	888	157	0	0	37	120	0	37	55	9	19
PCT7204	MV	888	340	2	0	51	287	0	131	119	14	23
PCT7205	ED	847	183	0	0	29	154	0	72	54	15	13
PCT7205	MV	847	309	0	0	43	266	0	123	99	15	29
PCT7206	ED	375	88	0	0	16	72	1	29	30	9	3
PCT7206	MV	375	124	1	0	22	101	0	33	42	9	17
PCT7207	ED	744	119	0	0	28	91	0	30	35	12	14
PCT7207	MV	744	231	2	0	38	191	1	77	78	7	28
PCT7208	ED	567	76	0	0	12	64	0	10	33	15	6
PCT7208	MV	567	206	1	1	32	172	1	56	63	17	35
PCT7209	ED	586	69	0	0	12	57	0	20	25	4	8
PCT7209	MV	586	326	3	0	56	267	0	130	95	19	23
PCT7301	ED	1002	150	0	0	20	130	1	37	65	12	15
PCT7301	MV	1002	299	3	0	58	238	0	80	102	25	31
PCT7302	ED	806	121	0	0	27	94	1	35	30	14	14
PCT7302	MV	806	352	0	0	51	301	0	128	102	12	59
PCT7303	ED	986	167	-1	1	42	125	1	39	55	17	13
PCT7303	MV	986	318	1	0	56	261	0	90	104	22	45
PCT7304	ED	972	203	1	0	42	160	0	58	60	18	24
PCT7304	MV	972	330	0	1	61	268	1	101	114	17	35
PCT7305	ED	851	171	0	0	23	148	0	47	54	24	23
PCT7305	MV	851	306	-1	0	71	236	2	80	101	22	31
PCT7306	ED	1014	179	0	1	49	129	1	39	43	23	23
PCT7306	MV	1014	302	-2	0	65	239	2	82	97	31	27
PCT7307	ED	726	143	0	0	22	121	0	38	47	19	17
PCT7307	MV	726	226	2	0	43	181	0	75	67	18	21
PCT7308	ED	598	133	0	1	22	110	0	41	38	12	19
PCT7308	MV	598	204	-1	0	22	183	1	67	75	12	28
PCT7309	ED	826	160	-2	1	33	128	0	39	55	15	19
PCT7309	MV	826	209	0	0	32	177	0	59	74	15	29
PCT7311	ED	901	175	-1	0	38	138	1	42	58	18	19
PCT7311	MV	901	266	0	0	37	229	0	84	103	17	25
PCT7312	ED	810	128	0	0	19	109	0	48	32	15	14
PCT7312	MV	810	332	3	0	54	275	0	127	106	22	20
PCT7313	ED	925	135	0	0	33	102	0	33	35	17	17
PCT7313	MV	925	315	-1	0	55	261	0	92	106	23	40
PCT7314	ED	760	92	0	0	31	61	0	19	22	10	10
PCT7314	MV	760	213	-1	0	64	150	1	27	83	20	19
PCT7315	ED	725	119	0	0	19	100	2	26	35	18	19
PCT7315	MV	725	178	1	0	35	142	0	32	60	11	39
PCT7316	ED	824	122	0	1	18	103	0	19	49	21	14
PCT7316	MV	824	266	0	0	58	208	0	52	95	27	34
PCT7317	ED	886	117	0	0	25	92	0	26	37	13	16
PCT7317	MV	886	340	2	0	45	293	0	127	107	21	38
PCT7318	ED	709	123	0	0	34	89	1	30	36	9	13
PCT7318	MV	709	243	-2	1	41	203	1	60	94	14	34
PCT7319	ED	1035	182	0	0	34	148	0	46	64	16	22
PCT7319	MV	1035	296	0	0	68	228	1	84	91	23	29
PCT7321	ED	644	100	0	0	29	71	1	18	33	8	11
PCT7321	MV	644	211	0	0	29	182	0	67	67	21	27
PCT7322	ED	859	60	0	0	19	41	0	9	17	10	5
PCT7322	MV	859	304	-1	0	88	217	0	42	105	23	47
PCT7323	ED	881	146	1	1	24	120	0	40	49	9	22
PCT7323	MV	881	273	0	0	58	215	0	82	81	13	39
PCT7324	ED	687	125	0	0	32	93	0	19	34	26	14
PCT7324	MV	687	198	0	0	55	143	1	47	66	6	23
PCT7325	ED	870	150	0	1	42	107	0	22	56	17	12
PCT7325	MV	870	276	0	0	80	196	2	56	89	15	34
PCT7326	ED	853	150	1	0	29	120	1	30	48	20	21
PCT7326	MV	853	256	-1	0	52	205	0	62	81	31	31
PCT7327	ED	684	62	0	0	14	48	0	13	17	9	9
PCT7327	MV	684	277	1	0	63	213	0	47	102	23	41
PCT7328	ED	950	70	0	0	21	49	1	15	16	7	10
PCT7328	MV	950	391	0	1	119	271	2	70	128	28	43
PCT7329	ED	610	71	-1	0	16	56	3	23	18	4	8
PCT7329	MV	610	205	-2	0	33	174	0	89	41	18	26
PCT7331	ED	860	130	0	1	20	109	1	55	31	7	15
PCT7331	MV	860	357	-1	1	49	308	1	143	102	12	50
PCT7332	ED	799	154	0	1	28	125	1	30	56	17	21
PCT7332	MV	799	209	0	0	24	185	2	43	88	27	25
PCT7333	ED	974	174	1	0	34	139	0	32	69	17	21
PCT7333	MV	974	323	0	0	68	255	2	78	117	20	38
PCT7334	ED	854	113	0	0	22	91	0	27	34	20	10
PCT7334	MV	854	275	-2	0	46	231	1	74	94	26	36
PCT7335	ED	936	144	0	0	34	110	0	33	55	8	14
PCT7335	MV	936	354	-2	1	57	298	2	134	107	15	40
PCT7336	ED	920	155	2	0	24	129	0	41	54	16	18
PCT7336	MV	920	324	0	0	52	272	0	118	100	21	33
PCT7337	ED	825	115	0	0	25	90	0	40	25	9	16
PCT7337	MV	825	305	0	1	59	245	0	104	77	24	40
PCT7338	ED	884	100	1	0	24	75	0	22	28	10	15
PCT7338	MV	884	364	-3	1	91	275	0	101	129	16	29
PCT7339	ED	618	111	-1	0	25	87	0	27	31	15	14
PCT7339	MV	618	181	1	1	22	157	0	32	79	12	34
PCT7341	ED	877	124	0	0	22	102	2	22	36	23	19
PCT7341	MV	877	246	-2	0	28	220	0	50	91	35	44
PCT7342	ED	911	234	3	2	45	184	1	42	84	27	30
PCT7342	MV	911	251	0	0	43	208	0	70	82	26	30
PCT7343	ED	707	144	0	0	29	115	0	19	50	25	21
PCT7343	MV	707	186	3	1	25	157	0	37	59	29	32
PCT7344	ED	1039	179	-1	0	31	149	2	35	63	28	21
PCT7344	MV	1039	334	-1	0	43	292	0	79	131	39	43
PCT7345	ED	1077	183	0	0	26	157	0	44	58	30	25
PCT7345	MV	1077	283	2	1	42	238	1	61	112	24	40
PCT7346	ED	877	168	1	0	27	140	1	33	56	29	21
PCT7346	MV	877	221	-1	1	36	185	1	47	78	32	27
PCT7347	ED	968	137	0	0	20	117	0	16	54	28	19
PCT7347	MV	968	279	0	0	28	251	3	51	121	37	39
PCT7348	ED	832	139	-1	0	19	121	1	30	53	18	19
PCT7348	MV	832	202	1	0	25	176	0	56	77	18	25
PCT7349	ED	921	147	-1	1	23	124	1	29	48	17	29
PCT7349	MV	921	282	0	0	49	233	1	68	112	27	25
PCT7501	ED	554	118	-1	0	24	95	1	47	31	5	11
PCT7501	MV	554	168	0	0	35	133	0	56	56	6	15
PCT7502	ED	741	113	1	0	21	91	2	27	29	15	18
PCT7502	MV	741	349	-4	1	62	290	3	99	110	29	49
PCT7503	ED	727	132	1	0	23	108	0	33	44	12	19
PCT7503	MV	727	226	2	1	42	181	0	62	73	16	30
PCT7504	ED	484	76	0	0	15	61	0	17	28	6	10
PCT7504	MV	484	158	1	0	27	130	3	37	58	10	22
PCT7505	ED	871	131	0	0	24	107	1	45	41	8	12
PCT7505	MV	871	417	1	1	79	336	0	125	153	21	37
PCT7506	ED	920	133	1	0	23	109	0	31	46	15	17
PCT7506	MV	920	252	2	0	35	215	0	62	108	17	28
PCT7507	ED	919	158	-1	0	34	125	1	24	67	14	19
PCT7507	MV	919	255	4	0	42	209	0	34	108	33	34
PCT7508	ED	702	106	0	1	22	83	0	26	39	11	7
PCT7508	MV	702	340	0	2	50	288	1	72	130	34	51
PCT7509	ED	909	171	-2	0	21	152	0	37	73	21	21
PCT7509	MV	909	319	0	0	37	282	1	55	141	39	46
PCT7512	ED	604	96	2	0	16	78	0	22	30	11	15
PCT7512	MV	604	196	2	2	26	166	0	51	74	22	19
PCT7513	ED	790	142	0	0	30	112	0	24	46	23	19
PCT7513	MV	790	208	0	2	37	169	1	40	76	26	26
PCT7514	ED	863	95	-2	0	21	76	1	9	41	10	15
PCT7514	MV	863	235	2	1	39	193	0	29	100	25	39
PCT7515	ED	845	150	0	0	33	117	1	21	59	17	19
PCT7515	MV	845	289	3	0	56	230	0	55	111	20	44
PCT7516	ED	886	145	0	0	30	115	0	39	47	9	20
PCT7516	MV	886	378	0	0	48	330	1	92	160	24	53
PCT7517	ED	863	228	-1	1	39	189	1	28	91	48	21
PCT7517	MV	863	251	0	0	43	208	0	44	91	35	38
PCT7518	ED	939	235	0	0	43	192	0	39	78	41	34
PCT7518	MV	939	298	0	0	55	243	0	51	106	51	35
PCT7519	ED	726	179	0	0	31	148	0	23	60	45	20
PCT7519	MV	726	185	1	0	38	146	0	43	53	28	22
PCT7521	ED	802	211	0	0	39	172	1	36	69	45	21
PCT7521	MV	802	215	-1	0	49	167	0	42	68	38	19
PCT7522	ED	743	175	-1	0	33	143	0	30	55	36	22
PCT7522	MV	743	240	-2	1	42	199	0	45	82	53	19
PCT7523	ED	737	208	0	0	32	176	0	23	63	63	27
PCT7523	MV	737	223	-2	0	37	188	0	42	85	32	29
PCT7524	ED	646	143	2	0	27	114	0	36	46	20	12
PCT7524	MV	646	165	1	1	19	144	1	29	66	24	24
PCT7525	ED	779	145	-3	0	35	113	1	19	60	21	12
PCT7525	MV	779	214	4	0	33	177	0	37	89	27	24
PCT7526	ED	947	197	1	0	26	170	1	41	71	35	22
PCT7526	MV	947	313	2	0	50	261	0	69	109	40	43
PCT7527	ED	729	162	0	0	35	127	0	36	44	31	16
PCT7527	MV	729	237	4	1	45	187	0	53	89	24	21
PCT7529	ED	925	214	-1	0	41	174	1	35	67	47	24
PCT7529	MV	925	300	2	0	51	247	0	54	100	45	48
PCT7531	ED	847	179	0	0	34	145	0	19	71	37	18
PCT7531	MV	847	263	0	0	37	226	0	50	95	35	46
PCT7532	ED	823	172	1	1	31	139	0	35	62	24	18
PCT7532	MV	823	226	0	1	25	200	1	67	78	26	28
PCT7533	ED	951	268	-1	0	38	231	1	42	79	69	40
PCT7533	MV	951	297	0	0	51	246	0	63	82	57	44
PCT7534	ED	883	241	0	0	43	198	0	38	75	54	31
PCT7534	MV	883	240	-1	1	33	207	0	59	82	44	22
PCT7535	ED	743	201	0	0	38	163	3	36	65	34	25
PCT7535	MV	743	251	0	0	46	205	0	47	79	47	32
PCT7536	ED	856	206	-1	0	43	164	0	29	68	49	18
PCT7536	MV	856	279	0	0	43	236	0	59	107	33	37
PCT7537	ED	734	187	0	0	44	143	0	33	49	40	21
PCT7537	MV	734	225	1	0	45	179	3	41	66	38	31
PCT7538	ED	757	223	0	0	40	183	2	33	80	48	20
PCT7538	MV	757	256	0	0	39	217	0	50	104	36	27
PCT7539	ED	884	250	1	0	53	196	0	24	73	70	29
PCT7539	MV	884	286	-1	0	46	241	2	59	102	48	30
PCT7541	ED	791	215	1	0	50	164	2	26	61	44	31
PCT7541	MV	791	245	1	1	30	213	1	45	93	48	26
PCT7542	ED	787	183	0	0	40	143	1	21	56	50	15
PCT7542	MV	787	247	1	0	34	212	0	36	89	54	33
PCT7543	ED	910	187	-2	0	39	150	1	31	63	26	29
PCT7543	MV	910	332	0	0	46	286	1	67	140	45	33
PCT7544	ED	877	186	0	0	33	153	2	25	69	38	19
PCT7544	MV	877	331	-3	1	54	279	1	66	124	44	44
PCT7545	ED	877	179	-1	0	32	148	0	26	62	41	19
PCT7545	MV	877	291	0	0	54	237	1	64	101	33	38
PCT7546	ED	913	219	0	0	35	184	1	57	72	39	15
PCT7546	MV	913	310	1	0	42	267	1	68	103	53	42
PCT7547	ED	987	244	-2	1	64	181	0	43	64	41	33
PCT7547	MV	987	322	5	0	55	262	1	52	109	57	43
PCT7548	ED	1054	236	1	0	43	192	2	45	83	38	24
PCT7548	MV	1054	345	4	1	35	305	2	81	122	56	44
PCT7549	ED	785	165	-2	0	41	126	0	24	56	23	23
PCT7549	MV	785	281	1	0	41	239	1	59	102	36	41
PCT7551	ED	705	199	-1	0	42	158	0	39	67	28	24
PCT7551	MV	705	240	2	0	41	197	0	51	93	35	18
PCT7552	ED	718	191	0	0	32	159	0	40	70	28	21
PCT7552	MV	718	232	0	0	33	199	0	57	97	20	25
PCT7553	MV	171	87	2	0	10	75	0	35	26	3	11
PCT7554	ED	785	179	-1	0	41	139	2	43	52	24	18
PCT7554	MV	785	323	0	1	61	261	0	104	99	21	37
PCT7555	ED	847	242	0	1	46	195	2	74	73	23	23
PCT7555	MV	847	304	1	0	43	260	0	93	98	38	31
PCT7556	ED	961	223	-3	1	54	171	0	60	60	26	25
PCT7556	MV	961	422	1	0	65	356	0	147	132	41	36
PCT7601	ED	744	128	-1	1	20	108	2	24	43	25	14
PCT7601	MV	744	185	3	0	25	157	1	27	75	33	21
PCT7602	ED	880	147	-3	0	25	125	1	27	45	33	19
PCT7602	MV	880	243	3	2	35	203	1	34	99	44	25
PCT7603	ED	826	152	1	0	31	120	0	23	51	28	18
PCT7603	MV	826	215	0	0	30	185	2	39	75	28	41
PCT7604	ED	906	133	0	0	18	115	2	29	42	25	17
PCT7604	MV	906	233	-2	0	30	205	1	44	86	34	40
PCT7605	ED	651	77	0	0	11	66	0	12	28	12	14
PCT7605	MV	651	155	3	1	28	123	1	22	61	17	22
PCT7606	ED	895	127	1	0	21	105	1	29	39	18	18
PCT7606	MV	895	212	1	0	30	181	2	35	79	44	21
PCT7607	ED	955	120	0	0	20	100	0	18	36	21	25
PCT7607	MV	955	265	-4	1	27	241	0	53	120	40	28
PCT7608	ED	388	46	1	0	11	34	0	8	16	3	7
PCT7608	MV	388	119	-2	1	21	99	1	30	43	11	14
PCT7609	ED	916	101	0	0	25	76	1	20	35	11	9
PCT7609	MV	916	297	2	0	59	236	1	60	113	19	43
PCT7611	ED	756	76	0	1	19	56	1	9	25	10	11
PCT7611	MV	756	204	2	0	40	162	2	33	73	23	31
PCT7612	ED	574	76	0	3	17	56	0	11	24	6	15
PCT7612	MV	574	210	-1	0	41	170	1	49	74	16	30
PCT7613	ED	887	140	0	0	18	122	0	21	57	23	21
PCT7613	MV	887	215	2	2	32	179	0	39	83	19	38
PCT7614	ED	1015	123	-2	0	26	99	0	16	49	21	13
PCT7614	MV	1015	238	0	1	34	203	1	41	83	41	37
PCT7615	ED	832	108	0	4	19	85	2	20	36	13	14
PCT7615	MV	832	170	0	0	24	146	1	29	69	17	30
PCT7616	ED	951	129	-1	0	20	110	1	26	51	14	18
PCT7616	MV	951	331	2	0	54	275	0	61	135	28	51
PCT7617	ED	751	84	-1	1	18	66	0	24	22	10	10
PCT7617	MV	751	223	2	0	43	178	0	46	86	27	19
PCT7618	ED	866	123	1	0	24	98	3	23	30	23	19
PCT7618	MV	866	272	-3	0	49	226	2	53	100	37	34
PCT7619	ED	993	154	-1	0	32	123	0	27	44	36	16
PCT7619	MV	993	308	-1	1	42	266	0	73	113	41	39
PCT7621	ED	1132	163	-1	0	31	133	0	32	55	30	16
PCT7621	MV	1132	346	3	1	42	300	0	83	131	35	51
PCT7622	ED	964	99	2	1	17	79	1	16	32	13	17
PCT7622	MV	964	193	1	2	32	158	0	35	76	28	19
PCT7623	ED	712	122	-15	1	18	118	9	18	44	25	22
PCT7623	MV	712	196	2	0	24	170	0	38	78	25	29
PCT7624	ED	905	104	1	0	13	90	0	23	42	13	12
PCT7624	MV	905	195	1	0	24	170	1	39	77	21	32
