area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	167:CURTIS KARNOW	168:MARIA EVANGELISTA
PCT7011	MV	976	205	1	0	36	168	2	72	94
PCT7012	ED	1061	224	0	0	40	184	2	81	101
PCT7012	MV	1061	383	0	0	66	317	2	162	153
PCT7013	ED	805	132	0	0	29	103	1	44	58
PCT7013	MV	805	251	2	0	41	208	1	106	101
PCT7014	ED	1213	188	-2	0	38	152	0	63	89
PCT7014	MV	1213	434	-1	0	72	363	1	190	172
PCT7015	MV	93	34	0	0	2	32	0	8	24
PCT7016	ED	891	112	2	0	35	75	0	19	56
PCT7016	MV	891	221	2	0	42	177	1	93	83
PCT7017	ED	734	79	0	0	30	49	0	25	24
PCT7017	MV	734	167	1	0	34	132	0	59	73
PCT7018	ED	908	88	-1	0	26	63	0	20	43
PCT7018	MV	908	343	5	0	70	268	2	163	103
PCT7019	ED	864	111	2	0	31	78	0	31	47
PCT7019	MV	864	349	-1	0	60	290	2	179	109
PCT7021	ED	927	129	0	0	28	101	1	34	66
PCT7021	MV	927	220	-1	0	49	172	2	83	87
PCT7022	ED	923	164	-1	0	32	133	1	44	88
PCT7022	MV	923	270	2	0	45	223	1	103	119
PCT7023	ED	906	131	-1	0	32	100	3	27	70
PCT7023	MV	906	301	-3	0	52	252	1	121	130
PCT7024	ED	386	30	0	0	10	20	0	7	13
PCT7024	MV	386	47	1	0	6	40	0	19	21
PCT7025	ED	448	66	1	0	13	52	1	16	35
PCT7025	MV	448	78	2	0	8	68	0	27	41
PCT7026	ED	971	90	-1	1	22	68	1	27	40
PCT7026	MV	971	350	8	0	58	284	1	185	98
PCT7027	ED	845	136	2	0	46	88	1	40	47
PCT7027	MV	845	271	2	0	65	204	1	106	97
PCT7028	ED	835	157	-1	0	34	124	0	47	77
PCT7028	MV	835	180	0	0	34	146	3	71	72
PCT7029	ED	855	115	1	0	28	86	0	26	60
PCT7029	MV	855	166	2	0	30	134	1	59	74
PCT7030	ED	729	94	0	0	18	76	2	29	45
PCT7030	MV	729	277	0	0	62	215	1	117	97
PCT7031	ED	611	50	0	0	11	39	1	17	21
PCT7031	MV	611	224	0	0	54	170	1	106	63
PCT7032	ED	867	126	-2	0	41	87	1	31	55
PCT7032	MV	867	238	1	0	48	189	0	95	94
PCT7033	ED	765	135	0	0	35	100	3	36	61
PCT7033	MV	765	181	0	1	29	151	0	69	82
PCT7034	ED	914	97	0	1	30	66	1	27	38
PCT7034	MV	914	154	-1	0	37	118	2	49	67
PCT7035	ED	553	73	-1	0	20	54	0	20	34
PCT7035	MV	553	170	1	0	33	136	2	60	74
PCT7036	ED	898	52	0	0	11	41	0	14	27
PCT7036	MV	898	265	0	0	42	223	5	121	97
PCT7037	ED	730	73	0	0	24	49	0	20	29
PCT7037	MV	730	64	1	0	11	52	0	22	30
PCT7038	ED	880	84	0	0	25	59	2	27	30
PCT7038	MV	880	255	0	0	52	203	1	119	83
PCT7039	ED	768	111	0	0	22	89	3	37	49
PCT7039	MV	768	225	3	0	58	164	3	100	61
PCT7041	MV	60	24	1	0	4	19	0	13	6
PCT7042	ED	632	75	0	0	11	64	2	26	36
PCT7042	MV	632	191	0	0	37	154	0	67	87
PCT7043	ED	915	97	0	0	25	72	1	18	53
PCT7043	MV	915	282	0	0	49	233	1	113	119
PCT7044	ED	805	86	-1	0	34	53	1	18	34
PCT7044	MV	805	125	-1	0	25	101	0	48	53
PCT7045	ED	763	87	0	0	28	59	0	14	45
PCT7045	MV	763	282	1	0	84	197	1	134	62
PCT7046	ED	385	54	0	0	10	44	1	18	25
PCT7046	MV	385	136	-1	0	22	115	0	63	52
PCT7047	ED	781	68	-1	1	20	48	0	19	29
PCT7047	MV	781	298	2	0	45	251	3	130	118
PCT7048	ED	815	94	0	0	18	76	2	21	53
PCT7048	MV	815	248	1	0	53	194	5	102	87
PCT7049	ED	751	108	0	0	29	79	2	39	38
PCT7049	MV	751	241	0	0	54	187	2	116	69
PCT7051	ED	839	70	-1	1	16	54	0	19	35
PCT7051	MV	839	302	2	0	69	231	0	168	63
PCT7052	ED	806	120	-1	0	22	99	0	54	45
PCT7052	MV	806	278	1	0	51	226	0	143	83
PCT7053	ED	548	44	0	0	10	34	0	16	18
PCT7053	MV	548	205	3	0	37	165	0	102	63
PCT7054	ED	1024	141	0	0	31	110	0	23	87
PCT7054	MV	1024	275	1	0	49	225	0	105	120
PCT7055	ED	699	83	-1	0	21	63	0	29	34
PCT7055	MV	699	256	2	0	58	196	0	108	88
PCT7101	MV	141	83	0	0	19	64	0	38	26
PCT7201	ED	900	147	0	0	47	100	2	60	38
PCT7201	MV	900	333	0	0	74	259	0	151	108
PCT7202	ED	830	138	-1	0	36	103	1	63	39
PCT7202	MV	830	271	-2	0	52	221	0	153	68
PCT7203	ED	867	174	0	0	38	136	0	72	64
PCT7203	MV	867	243	1	1	51	190	1	111	78
PCT7204	ED	888	157	0	0	44	113	0	64	49
PCT7204	MV	888	340	2	0	56	282	0	179	103
PCT7205	ED	847	183	0	0	40	143	1	89	53
PCT7205	MV	847	309	0	1	49	259	0	188	71
PCT7206	ED	375	88	0	0	16	72	2	36	34
PCT7206	MV	375	124	1	0	32	91	0	46	45
PCT7207	ED	744	119	0	0	32	87	0	49	38
PCT7207	MV	744	231	2	1	43	185	0	112	73
PCT7208	ED	567	76	0	0	18	58	0	27	31
PCT7208	MV	567	206	1	0	39	166	0	102	64
PCT7209	ED	586	69	0	0	20	49	0	30	19
PCT7209	MV	586	326	3	1	62	260	0	198	62
PCT7301	ED	1002	150	0	0	32	118	2	66	50
PCT7301	MV	1002	299	3	0	67	229	1	151	77
PCT7302	ED	806	121	0	2	22	97	1	60	36
PCT7302	MV	806	352	0	1	62	289	1	212	76
PCT7303	ED	986	167	-1	0	50	118	0	55	63
PCT7303	MV	986	318	1	0	64	253	0	164	89
PCT7304	ED	972	203	1	0	49	153	1	87	65
PCT7304	MV	972	330	0	0	66	264	1	172	91
PCT7305	ED	851	171	0	0	45	126	0	65	61
PCT7305	MV	851	306	-1	1	65	241	3	153	85
PCT7306	ED	1014	179	0	0	54	125	0	63	62
PCT7306	MV	1014	302	-2	0	78	226	1	133	92
PCT7307	ED	726	143	0	0	38	105	0	56	49
PCT7307	MV	726	226	2	0	58	166	0	111	55
PCT7308	ED	598	133	0	0	28	105	0	65	40
PCT7308	MV	598	204	-1	0	38	167	0	122	45
PCT7309	ED	826	160	-2	0	44	118	0	66	52
PCT7309	MV	826	209	0	0	46	163	0	98	65
PCT7311	ED	901	175	-1	0	41	135	1	64	70
PCT7311	MV	901	266	0	0	54	212	0	128	84
PCT7312	ED	810	128	0	0	35	93	0	58	35
PCT7312	MV	810	332	3	1	66	262	0	195	67
PCT7313	ED	925	135	0	0	30	105	0	53	52
PCT7313	MV	925	315	-1	0	64	252	0	188	64
PCT7314	ED	760	92	0	0	38	54	0	24	30
PCT7314	MV	760	213	-1	0	60	154	0	116	38
PCT7315	ED	725	119	0	0	34	85	1	32	52
PCT7315	MV	725	178	1	0	32	145	0	95	50
PCT7316	ED	824	122	0	0	26	96	1	40	55
PCT7316	MV	824	266	0	0	52	214	0	130	84
PCT7317	ED	886	117	0	0	26	91	0	45	46
PCT7317	MV	886	340	2	0	59	279	0	201	78
PCT7318	ED	709	123	0	0	43	80	0	42	38
PCT7318	MV	709	243	-2	0	48	197	0	135	62
PCT7319	ED	1035	182	0	1	46	135	0	65	70
PCT7319	MV	1035	296	0	0	85	211	0	129	82
PCT7321	ED	644	100	0	0	27	73	1	38	34
PCT7321	MV	644	211	0	0	45	166	1	116	49
PCT7322	ED	859	60	0	0	13	47	0	24	23
PCT7322	MV	859	304	-1	0	71	234	1	190	43
PCT7323	ED	881	146	1	0	36	109	0	64	45
PCT7323	MV	881	273	0	0	62	211	0	132	79
PCT7324	ED	687	125	0	0	35	90	0	48	42
PCT7324	MV	687	198	0	0	54	144	1	98	45
PCT7325	ED	870	150	0	0	48	102	0	48	54
PCT7325	MV	870	276	0	0	81	195	2	135	58
PCT7326	ED	853	150	1	0	35	114	1	63	50
PCT7326	MV	853	256	-1	0	65	192	0	118	74
PCT7327	ED	684	62	0	0	18	44	0	24	20
PCT7327	MV	684	277	1	0	54	222	1	173	48
PCT7328	ED	950	70	0	0	25	45	0	24	21
PCT7328	MV	950	391	0	1	110	280	4	214	62
PCT7329	ED	610	71	-1	0	21	51	0	32	19
PCT7329	MV	610	205	-2	0	36	171	1	131	39
PCT7331	ED	860	130	0	0	26	104	1	71	32
PCT7331	MV	860	357	-1	0	70	288	1	203	84
PCT7332	ED	799	154	0	0	34	120	2	55	63
PCT7332	MV	799	209	0	0	38	171	1	91	79
PCT7333	ED	974	174	1	0	34	139	0	71	68
PCT7333	MV	974	323	0	0	84	239	3	141	95
PCT7334	ED	854	113	0	0	26	87	0	42	45
PCT7334	MV	854	275	-2	0	52	225	1	142	82
PCT7335	ED	936	144	0	0	42	102	0	51	51
PCT7335	MV	936	354	-2	0	57	299	1	199	99
PCT7336	ED	920	155	2	0	37	116	0	62	54
PCT7336	MV	920	324	0	0	59	265	1	164	100
PCT7337	ED	825	115	0	0	29	86	0	42	44
PCT7337	MV	825	305	0	0	67	238	1	171	66
PCT7338	ED	884	100	1	0	28	71	0	31	40
PCT7338	MV	884	364	-3	0	83	284	0	231	53
PCT7339	ED	618	111	-1	0	34	78	0	38	40
PCT7339	MV	618	181	1	1	30	149	1	85	63
PCT7341	ED	877	124	0	0	31	93	0	35	58
PCT7341	MV	877	246	-2	0	49	199	0	108	91
PCT7342	ED	911	234	3	0	48	183	1	79	103
PCT7342	MV	911	251	0	0	50	201	1	115	85
PCT7343	ED	707	144	0	0	34	110	1	39	70
PCT7343	MV	707	186	3	0	39	144	0	55	89
PCT7344	ED	1039	179	-1	0	38	142	1	71	70
PCT7344	MV	1039	334	-1	0	53	282	0	166	116
PCT7345	ED	1077	183	0	0	39	144	1	54	89
PCT7345	MV	1077	283	2	0	59	222	3	117	102
PCT7346	ED	877	168	1	0	34	133	1	53	79
PCT7346	MV	877	221	-1	0	37	185	1	92	92
PCT7347	ED	968	137	0	0	25	112	2	41	69
PCT7347	MV	968	279	0	0	37	242	0	115	127
PCT7348	ED	832	139	-1	1	25	114	2	53	59
PCT7348	MV	832	202	1	0	38	163	0	84	79
PCT7349	ED	921	147	-1	1	33	114	1	50	63
PCT7349	MV	921	282	0	0	59	223	3	126	94
PCT7501	ED	554	118	-1	0	33	86	0	53	33
PCT7501	MV	554	168	0	0	37	131	0	91	40
PCT7502	ED	741	113	1	0	29	83	1	35	47
PCT7502	MV	741	349	-4	0	70	283	3	166	114
PCT7503	ED	727	132	1	0	31	100	1	53	46
PCT7503	MV	727	226	2	0	44	180	0	101	79
PCT7504	ED	484	76	0	0	17	59	0	29	30
PCT7504	MV	484	158	1	0	40	117	3	80	34
PCT7505	ED	871	131	0	0	29	102	2	69	31
PCT7505	MV	871	417	1	0	72	344	1	261	82
PCT7506	ED	920	133	1	0	34	98	1	39	58
PCT7506	MV	920	252	2	0	60	190	1	106	83
PCT7507	ED	919	158	-1	1	46	112	2	47	63
PCT7507	MV	919	255	4	0	44	207	3	102	102
PCT7508	ED	702	106	0	0	23	83	1	56	26
PCT7508	MV	702	340	0	1	82	257	1	164	92
PCT7509	ED	909	171	-2	0	31	142	1	70	71
PCT7509	MV	909	319	0	0	55	264	0	159	105
PCT7512	ED	604	96	2	0	28	66	2	24	40
PCT7512	MV	604	196	2	0	33	161	0	95	66
PCT7513	ED	790	142	0	0	31	111	0	43	68
PCT7513	MV	790	208	0	0	48	160	2	77	81
PCT7514	ED	863	95	-2	0	37	60	2	21	37
PCT7514	MV	863	235	2	1	42	190	0	92	98
PCT7515	ED	845	150	0	0	41	109	1	43	65
PCT7515	MV	845	289	3	0	64	222	0	114	108
PCT7516	ED	886	145	0	0	32	113	1	60	52
PCT7516	MV	886	378	0	0	67	311	2	191	118
PCT7517	ED	863	228	-1	0	54	175	0	59	116
PCT7517	MV	863	251	0	0	54	197	1	91	105
PCT7518	ED	939	235	0	0	51	184	2	75	107
PCT7518	MV	939	298	0	0	53	245	0	105	140
PCT7519	ED	726	179	0	0	31	148	0	47	101
PCT7519	MV	726	185	1	0	44	140	0	62	78
PCT7521	ED	802	211	0	0	51	160	0	64	96
PCT7521	MV	802	215	-1	0	50	166	0	86	80
PCT7522	ED	743	175	-1	0	39	137	0	51	86
PCT7522	MV	743	240	-2	0	48	194	0	78	116
PCT7523	ED	737	208	0	0	35	173	1	44	128
PCT7523	MV	737	223	-2	0	42	183	1	91	91
PCT7524	ED	646	143	2	0	36	105	1	48	56
PCT7524	MV	646	165	1	0	30	134	1	57	76
PCT7525	ED	779	145	-3	0	40	108	2	36	70
PCT7525	MV	779	214	4	1	51	158	0	82	76
PCT7526	ED	947	197	1	0	33	163	1	67	95
PCT7526	MV	947	313	2	1	62	248	1	141	106
PCT7527	ED	729	162	0	0	44	118	0	44	74
PCT7527	MV	729	237	4	0	48	185	2	95	88
PCT7529	ED	925	214	-1	0	39	176	4	56	116
PCT7529	MV	925	300	2	0	58	240	0	99	141
PCT7531	ED	847	179	0	0	48	131	0	46	85
PCT7531	MV	847	263	0	0	58	205	1	91	113
PCT7532	ED	823	172	1	0	43	128	1	54	73
PCT7532	MV	823	226	0	0	45	181	1	106	74
PCT7533	ED	951	268	-1	0	52	217	1	78	138
PCT7533	MV	951	297	0	0	49	248	0	109	139
PCT7534	ED	883	241	0	0	41	200	0	69	131
PCT7534	MV	883	240	-1	0	38	203	0	94	109
PCT7535	ED	743	201	0	0	41	160	2	60	98
PCT7535	MV	743	251	0	0	43	208	0	102	106
PCT7536	ED	856	206	-1	0	49	158	1	58	99
PCT7536	MV	856	279	0	0	61	218	0	111	107
PCT7537	ED	734	187	0	0	43	144	2	57	85
PCT7537	MV	734	225	1	0	45	179	0	90	89
PCT7538	ED	757	223	0	0	53	170	0	57	113
PCT7538	MV	757	256	0	0	47	209	1	111	97
PCT7539	ED	884	250	1	0	54	195	0	61	134
PCT7539	MV	884	286	-1	0	62	225	0	103	122
PCT7541	ED	791	215	1	0	58	156	0	60	96
PCT7541	MV	791	245	1	0	48	196	0	105	91
PCT7542	ED	787	183	0	0	40	143	0	56	87
PCT7542	MV	787	247	1	0	47	199	0	81	118
PCT7543	ED	910	187	-2	0	45	144	1	61	82
PCT7543	MV	910	332	0	0	52	280	0	138	142
PCT7544	ED	877	186	0	0	40	146	2	62	82
PCT7544	MV	877	331	-3	0	68	266	3	130	133
PCT7545	ED	877	179	-1	0	33	147	0	62	85
PCT7545	MV	877	291	0	1	60	230	1	120	109
PCT7546	ED	913	219	0	0	41	178	2	82	94
PCT7546	MV	913	310	1	0	43	266	0	141	125
PCT7547	ED	987	244	-2	0	64	182	1	68	113
PCT7547	MV	987	322	5	0	64	253	0	98	155
PCT7548	ED	1054	236	1	0	46	189	1	80	108
PCT7548	MV	1054	345	4	0	49	292	2	165	125
PCT7549	ED	785	165	-2	0	34	133	0	61	72
PCT7549	MV	785	281	1	0	59	221	0	109	112
PCT7551	ED	705	199	-1	0	38	162	0	79	83
PCT7551	MV	705	240	2	0	48	190	0	102	88
PCT7552	ED	718	191	0	0	38	153	1	75	77
PCT7552	MV	718	232	0	0	41	191	0	116	75
PCT7553	MV	171	87	2	0	7	78	0	51	27
PCT7554	ED	785	179	-1	0	45	135	2	75	58
PCT7554	MV	785	323	0	1	78	244	0	176	68
PCT7555	ED	847	242	0	0	54	188	1	113	74
PCT7555	MV	847	304	1	0	44	259	0	161	98
PCT7556	ED	961	223	-3	0	56	170	0	100	70
PCT7556	MV	961	422	1	0	72	349	1	246	102
PCT7601	ED	744	128	-1	0	28	101	0	42	59
PCT7601	MV	744	185	3	1	36	145	1	67	77
PCT7602	ED	880	147	-3	0	34	116	1	35	80
PCT7602	MV	880	243	3	0	45	195	0	84	111
PCT7603	ED	826	152	1	0	35	116	0	38	78
PCT7603	MV	826	215	0	0	35	180	1	82	97
PCT7604	ED	906	133	0	0	31	102	3	36	63
PCT7604	MV	906	233	-2	0	39	196	1	84	111
PCT7605	ED	651	77	0	0	17	60	0	26	34
PCT7605	MV	651	155	3	0	34	118	1	64	53
PCT7606	ED	895	127	1	0	27	99	0	36	63
PCT7606	MV	895	212	1	0	41	170	2	67	101
PCT7607	ED	955	120	0	0	23	97	0	33	64
PCT7607	MV	955	265	-4	0	41	228	0	103	125
PCT7608	ED	388	46	1	0	12	33	0	18	15
PCT7608	MV	388	119	-2	0	21	100	0	58	42
PCT7609	ED	916	101	0	0	31	70	1	22	47
PCT7609	MV	916	297	2	0	58	237	0	137	100
PCT7611	ED	756	76	0	0	17	59	1	23	35
PCT7611	MV	756	204	2	0	36	166	2	93	71
PCT7612	ED	574	76	0	0	18	58	0	31	27
PCT7612	MV	574	210	-1	0	46	165	0	108	57
PCT7613	ED	887	140	0	0	30	110	0	34	76
PCT7613	MV	887	215	2	1	39	173	0	76	97
PCT7614	ED	1015	123	-2	0	26	99	0	33	66
PCT7614	MV	1015	238	0	0	36	202	4	76	122
PCT7615	ED	832	108	0	1	32	75	2	26	47
PCT7615	MV	832	170	0	0	37	133	2	74	57
PCT7616	ED	951	129	-1	0	25	105	2	51	52
PCT7616	MV	951	331	2	0	63	266	0	147	119
PCT7617	ED	751	84	-1	1	26	58	0	22	36
PCT7617	MV	751	223	2	0	55	166	0	79	87
PCT7618	ED	866	123	1	0	32	90	0	30	60
PCT7618	MV	866	272	-3	0	47	228	2	103	123
PCT7619	ED	993	154	-1	0	34	121	0	30	91
PCT7619	MV	993	308	-1	1	52	256	0	118	138
PCT7621	ED	1132	163	-1	1	28	135	1	54	80
PCT7621	MV	1132	346	3	1	67	275	4	140	131
PCT7622	ED	964	99	2	0	23	74	0	29	45
PCT7622	MV	964	193	1	1	38	153	0	71	82
PCT7623	ED	712	122	-15	1	25	111	0	27	84
PCT7623	MV	712	196	2	0	32	162	0	80	82
PCT7624	ED	905	104	1	0	19	84	0	36	48
PCT7624	MV	905	195	1	0	38	156	1	63	92
PCT7625	ED	821	73	0	0	25	48	0	26	22
PCT7625	MV	821	415	0	1	84	330	0	246	84
PCT7626	ED	1081	128	1	1	29	97	0	51	46
PCT7626	MV	1081	361	1	0	76	284	1	174	109
PCT7627	ED	1075	116	-1	0	31	86	0	45	41
PCT7627	MV	1075	319	0	0	74	245	0	158	87
PCT7628	ED	906	156	0	0	43	113	0	42	71
PCT7628	MV	906	267	0	0	43	224	1	103	120
PCT7629	ED	805	108	-1	0	25	84	0	29	55
PCT7629	MV	805	206	2	0	47	157	1	83	73
PCT7631	ED	1085	146	-1	0	35	112	2	50	60
PCT7631	MV	1085	339	2	0	62	275	1	171	103
PCT7632	ED	965	167	1	0	35	131	1	50	80
PCT7632	MV	965	286	0	0	38	248	2	111	135
PCT7633	ED	702	90	0	0	22	68	0	30	38
PCT7633	MV	702	253	0	0	48	205	0	138	67
PCT7634	ED	859	120	1	0	32	87	1	41	45
PCT7634	MV	859	291	2	0	40	249	0	146	103
PCT7635	ED	782	89	0	0	20	69	1	24	44
PCT7635	MV	782	242	3	0	32	207	3	94	110
PCT7636	ED	920	134	-1	0	34	101	0	59	42
PCT7636	MV	920	251	-1	0	57	195	0	95	100
PCT7637	ED	732	89	0	0	19	70	1	32	37
PCT7637	MV	732	249	0	0	48	201	0	126	75
PCT7638	ED	1365	129	0	0	37	92	0	54	38
PCT7638	MV	1365	492	2	0	107	383	2	278	103
PCT7639	ED	962	110	1	0	30	79	2	43	34
PCT7639	MV	962	319	-2	0	78	243	1	157	85
PCT7641	ED	931	114	0	0	29	85	0	51	34
PCT7641	MV	931	374	0	0	79	295	2	198	95
PCT7642	ED	909	84	0	0	29	55	1	23	31
PCT7642	MV	909	268	0	0	108	160	1	77	82
PCT7643	ED	871	99	0	0	36	63	0	28	35
PCT7643	MV	871	355	2	1	66	286	0	180	106
PCT7644	ED	1082	156	-2	0	41	117	0	55	62
PCT7644	MV	1082	291	1	1	68	221	0	142	79
PCT7645	ED	631	63	0	0	10	53	1	28	24
PCT7645	MV	631	241	-3	0	45	199	1	127	71
PCT7646	ED	1035	110	0	0	35	75	2	33	40
PCT7646	MV	1035	326	0	0	67	259	0	178	81
PCT7647	ED	1027	107	0	0	17	90	4	23	63
PCT7647	MV	1027	185	0	0	33	152	0	58	94
PCT7648	MV	2	0	0	0	0	0	0	0	0
PCT7649	ED	877	97	1	1	19	76	2	34	40
PCT7649	MV	877	234	2	0	45	187	1	101	85
PCT7651	ED	555	48	0	0	8	40	0	20	20
PCT7651	MV	555	155	0	0	25	130	0	81	49
PCT7652	ED	580	68	-1	0	14	55	1	26	28
PCT7652	MV	580	163	-3	0	39	127	0	72	55
PCT7653	ED	1092	137	1	0	34	102	0	44	58
PCT7653	MV	1092	321	0	0	63	258	3	148	107
PCT7701	ED	1012	225	0	0	57	168	2	72	94
PCT7701	MV	1012	383	2	1	91	289	1	152	136
PCT7702	ED	704	117	0	0	21	96	0	55	41
PCT7702	MV	704	302	-1	0	60	243	1	171	71
PCT7703	MV	172	66	1	1	19	45	2	23	20
PCT7704	ED	977	208	0	0	46	162	2	89	71
PCT7704	MV	977	396	1	0	75	320	1	209	110
PCT7705	ED	547	123	0	0	28	95	0	62	33
PCT7705	MV	547	227	0	1	38	188	0	126	62
PCT7706	ED	821	189	0	0	27	162	0	97	65
PCT7706	MV	821	341	0	0	54	287	2	186	99
PCT7707	ED	839	200	1	0	42	157	0	93	64
PCT7707	MV	839	379	-1	0	81	299	0	215	84
PCT7708	ED	860	181	1	0	51	129	0	65	64
PCT7708	MV	860	400	-1	0	53	348	0	214	134
