area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	052:JOSH JONES	053:J. BRIBIESCA	054:GLORIA ESTELA LA RIVA	055:PETER Y LIU	056:ANTONIO VILLARAIGOSA	057:YVONNE GIRARD	058:ROBERT DAVIDSON GRIFFIS	059:SHUBHAM GOEL	060:TRAVIS ALLEN	061:AKINYEMI AGBEDE	062:JOHNNY WATTENBURG	063:NICKOLAS WILDSTAR	064:DESMOND SILVEIRA	065:MICHAEL SHELLENBERGER	066:ZOLTAN ISTVAN	067:CHRISTOPHER N. CARLSON	068:THOMAS JEFFERSON CARES	069:JOHN CHIANG	070:JOHN H. COX	071:AMANDA RENTERIA	072:DELAINE EASTIN	073:JEFFREY EDWARD TAYLOR	074:KLEMENT TINAJ	075:HAKAN ''HAWK'' MIKADO	076:ALBERT CAESAR MEZZETTI	077:GAVIN NEWSOM	078:ROBERT C. NEWMAN, II	189:K. PEARCE	190:VERONIKA FIMBRES	191:ARMANDO M. ARREOLA	192:ARMAN SOLTANI	193:PETER CRAWFORD VALENTINO
PCT1125	MV	987	329	0	13	11	305	0	0	0	0	1	29	1	1	0	24	0	0	0	0	2	0	0	0	41	28	3	9	0	1	0	0	164	1	0	0	0	0	0
PCT1126	ED	900	92	0	3	2	87	0	0	0	2	0	14	0	0	0	0	1	0	1	0	0	0	0	0	5	2	2	9	0	0	0	0	50	1	0	0	0	0	0
PCT1126	MV	900	292	0	12	4	276	2	1	0	0	2	27	0	1	0	10	0	1	0	1	0	0	1	0	33	17	4	11	0	0	1	0	161	3	0	0	0	0	0
PCT1127	ED	875	141	0	2	4	135	1	0	0	2	1	11	0	2	0	1	0	0	0	0	0	0	0	0	11	13	2	16	0	0	1	1	72	1	0	0	0	0	0
PCT1127	MV	875	277	0	10	9	258	0	1	0	4	4	12	0	0	0	14	0	0	0	0	0	0	0	0	26	34	5	16	0	1	0	0	139	2	0	0	0	0	0
PCT1128	ED	813	104	0	4	2	98	0	1	0	1	0	11	0	0	0	6	0	0	0	1	0	0	0	0	7	9	1	6	1	0	0	0	54	0	0	0	0	0	0
PCT1128	MV	813	246	0	14	4	228	0	0	0	0	0	23	0	2	0	14	2	1	1	1	1	1	0	0	25	29	2	8	1	0	0	2	112	3	0	0	0	0	0
PCT1129	ED	924	120	0	3	2	115	0	2	0	0	0	18	0	1	0	1	0	0	1	0	0	1	0	0	8	11	0	8	0	2	1	1	58	2	0	0	0	0	0
PCT1129	MV	924	274	0	13	2	259	1	0	0	0	1	26	0	2	0	20	0	0	0	0	0	0	0	0	38	17	5	18	1	0	0	1	126	3	0	0	0	0	0
PCT1131	ED	783	85	0	1	1	83	0	1	0	1	0	16	0	1	0	1	0	0	0	0	0	0	0	0	10	11	0	4	0	0	0	0	38	0	0	0	0	0	0
PCT1131	MV	783	288	0	16	5	267	1	0	0	0	5	22	0	0	0	14	0	0	0	0	1	0	0	0	46	23	5	11	2	0	0	0	135	2	0	0	0	0	0
PCT1132	ED	910	112	0	1	3	108	0	1	1	3	2	8	0	0	0	1	0	0	0	0	1	0	0	0	9	6	2	13	1	0	0	0	60	0	0	0	0	0	0
PCT1132	MV	910	324	0	17	18	289	0	0	0	2	2	25	0	1	0	18	0	0	0	0	1	0	1	0	40	38	1	15	1	0	0	0	141	3	0	0	0	0	0
PCT1133	ED	826	99	0	2	3	94	0	0	0	3	0	11	0	0	0	2	0	0	0	0	0	0	0	0	10	8	0	7	0	0	1	0	52	0	0	0	0	0	0
PCT1133	MV	826	292	0	9	8	275	1	0	0	1	2	24	1	1	0	6	0	0	0	1	0	0	0	0	29	24	3	26	0	0	0	0	156	0	0	0	0	0	0
PCT1134	ED	727	126	0	2	1	123	0	0	0	4	0	19	0	0	0	1	0	0	0	0	0	1	0	2	9	3	4	13	1	0	0	0	66	0	0	0	0	0	0
PCT1134	MV	727	241	0	2	7	232	0	0	0	0	3	15	0	0	0	9	0	0	0	0	0	0	0	0	26	24	2	15	0	0	0	1	136	1	0	0	0	0	0
PCT1135	ED	511	71	0	0	3	68	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	5	3	1	3	0	0	0	0	46	0	0	0	0	0	0
PCT1135	MV	511	217	0	9	9	199	0	1	1	0	0	14	1	0	0	6	0	0	1	0	1	0	0	0	31	17	3	20	0	0	0	0	103	0	0	0	0	0	0
PCT1136	ED	807	97	0	3	4	90	1	1	1	0	0	6	0	0	0	6	0	0	0	0	1	0	0	0	9	5	1	11	0	0	0	0	46	2	0	0	0	0	0
PCT1136	MV	807	287	0	11	4	272	0	0	0	1	1	20	0	1	0	15	0	0	1	1	0	2	0	0	17	28	4	15	1	0	0	2	161	2	0	0	0	0	0
PCT1141	ED	998	149	0	0	2	147	0	0	0	1	0	15	0	0	0	5	0	0	0	0	0	1	0	1	13	12	3	20	1	0	0	0	75	0	0	0	0	0	0
PCT1141	MV	998	368	0	15	5	348	0	0	0	1	0	40	0	0	0	12	0	0	0	0	0	0	0	4	44	24	7	42	0	0	0	0	174	0	0	0	0	0	0
PCT1142	ED	822	120	0	3	1	116	0	0	0	1	1	13	0	0	0	2	0	0	0	0	0	0	0	3	10	10	2	9	0	0	0	0	64	1	0	0	0	0	0
PCT1142	MV	822	266	0	7	3	256	0	0	0	1	1	29	1	0	0	8	0	0	0	0	1	0	0	1	41	22	1	31	1	0	0	0	118	0	0	0	0	0	0
PCT1143	ED	989	147	0	0	3	144	0	1	1	3	1	28	0	0	0	1	0	0	0	0	0	0	1	1	13	3	6	23	0	0	0	0	61	1	0	0	0	0	0
PCT1143	MV	989	311	0	13	5	293	0	1	0	3	2	37	0	0	0	15	0	0	0	0	0	0	0	3	28	25	7	35	0	0	0	2	130	5	0	0	0	0	0
PCT1144	ED	870	148	0	3	1	144	0	0	0	1	0	15	1	0	0	2	0	0	0	0	0	0	1	1	6	13	2	17	0	0	0	1	84	0	0	0	0	0	0
PCT1144	MV	870	264	0	12	8	244	0	0	0	1	0	20	0	0	0	18	0	0	0	0	0	0	1	0	28	29	3	30	0	0	0	0	114	0	0	0	0	0	0
PCT1145	ED	879	136	0	1	5	130	0	1	1	0	0	10	1	0	0	2	0	0	0	0	0	0	0	1	10	8	1	25	0	1	0	1	67	1	0	0	0	0	0
PCT1145	MV	879	370	0	8	5	357	0	0	0	2	0	32	0	0	0	6	0	0	0	0	0	0	0	0	47	27	5	40	0	0	0	1	197	0	0	0	0	0	0
PCT1146	ED	971	124	0	2	2	120	0	0	1	1	0	13	0	0	1	1	1	0	0	0	0	0	1	1	9	7	1	29	0	0	0	0	53	1	0	0	0	0	0
PCT1146	MV	971	326	0	15	9	302	0	0	0	1	0	26	0	0	0	9	0	0	0	0	0	0	0	0	54	19	1	31	0	0	0	0	161	0	0	0	0	0	0
PCT1147	ED	853	166	0	0	7	159	0	2	0	1	0	26	0	0	0	8	0	0	0	0	0	0	0	0	10	5	1	25	0	1	0	0	79	1	0	0	0	0	0
PCT1147	MV	853	279	0	15	6	258	0	1	0	1	0	18	0	1	0	9	0	0	0	0	1	0	1	1	50	15	3	32	1	0	0	0	122	2	0	0	0	0	0
PCT1148	ED	918	121	0	4	2	115	0	2	1	1	1	18	0	0	0	3	1	0	0	0	1	0	0	0	14	16	2	10	0	0	0	0	45	0	0	0	0	0	0
PCT1148	MV	918	314	0	13	3	298	0	3	0	0	0	21	0	0	0	21	0	0	1	0	1	0	0	3	62	19	6	20	0	0	2	0	137	2	0	0	0	0	0
PCT1149	ED	873	148	0	2	3	143	0	1	0	5	0	27	0	0	0	4	0	0	0	0	1	0	2	1	7	10	3	12	0	0	0	1	69	0	0	0	0	0	0
PCT1149	MV	873	285	0	14	7	264	0	2	0	3	0	28	1	0	0	19	0	0	0	0	0	1	0	0	35	13	0	24	4	0	0	0	134	0	0	0	0	0	0
PCT1152	ED	838	125	0	2	3	120	1	0	0	2	0	15	0	0	0	4	0	0	0	0	0	0	0	1	6	14	1	17	1	0	0	0	57	1	0	0	0	0	0
PCT1152	MV	838	286	0	13	4	269	0	0	0	4	1	27	0	1	0	7	0	0	0	0	1	0	0	2	43	24	2	20	0	1	0	0	134	2	0	0	0	0	0
PCT1153	ED	909	139	0	6	4	129	0	1	0	0	0	11	0	1	0	13	0	0	0	0	1	0	0	1	17	11	0	9	0	0	0	0	64	0	0	0	0	0	0
PCT1153	MV	909	306	0	12	4	290	0	0	0	0	0	29	0	0	0	17	1	0	0	0	0	0	0	0	47	21	2	18	0	0	0	0	155	0	0	0	0	0	0
PCT7001	ED	735	119	0	0	0	119	0	0	0	0	0	12	0	0	0	0	0	0	0	1	1	0	0	0	9	0	5	19	0	0	0	1	71	0	0	0	0	0	0
PCT7001	MV	735	266	0	0	3	263	0	3	0	1	0	31	0	0	0	0	0	0	0	0	0	0	1	0	22	8	3	37	0	0	0	0	157	0	0	0	0	0	0
PCT7002	ED	641	132	0	0	1	131	0	0	0	0	0	8	0	1	0	0	0	0	0	0	0	0	0	0	6	2	1	23	0	0	0	0	89	1	0	0	0	0	0
PCT7002	MV	641	173	0	1	2	170	0	0	2	1	0	13	0	0	0	1	0	0	1	0	1	1	1	1	13	15	2	29	0	0	0	0	89	0	0	0	0	0	0
PCT7003	ED	864	188	0	1	1	186	0	0	0	1	0	17	0	0	0	0	0	0	0	0	0	0	1	0	11	8	2	34	0	0	2	1	109	0	0	0	0	0	0
PCT7003	MV	864	340	0	4	5	331	0	3	0	0	0	40	0	0	0	6	0	0	0	0	4	0	1	0	23	16	3	45	0	0	0	0	190	0	0	0	0	0	0
PCT7004	ED	835	175	0	0	0	175	0	1	0	0	0	12	0	0	0	4	1	0	0	0	1	1	1	2	19	5	1	19	0	0	0	0	107	1	0	0	0	0	0
PCT7004	MV	835	306	0	0	6	300	0	0	1	0	0	27	1	0	0	5	0	0	0	0	0	1	0	0	19	18	1	44	0	0	0	0	182	1	0	0	0	0	0
PCT7005	ED	812	180	0	0	5	175	0	1	0	0	0	18	0	0	0	0	0	0	0	0	0	1	1	0	11	3	2	37	0	0	0	0	101	0	0	0	0	0	0
PCT7005	MV	812	295	0	2	1	292	2	1	1	0	0	34	0	0	0	1	0	1	0	0	0	1	0	0	25	7	2	45	0	0	0	0	172	0	0	0	0	0	0
PCT7006	ED	884	213	0	2	5	206	0	1	0	1	0	25	0	0	0	1	0	0	0	0	1	0	0	3	8	5	5	62	0	0	0	0	94	0	0	0	0	0	0
PCT7006	MV	884	290	0	3	6	281	0	3	1	1	0	44	1	1	0	3	0	0	0	0	1	2	0	0	25	10	4	47	0	0	0	0	138	0	0	0	0	0	0
PCT7007	ED	916	233	0	0	4	229	0	1	0	0	0	18	0	0	0	2	0	0	1	0	1	1	2	0	13	3	3	25	0	0	0	1	158	0	0	0	0	0	0
PCT7007	MV	916	323	0	0	6	317	0	1	0	0	0	39	0	0	0	0	0	0	0	0	0	1	0	0	19	9	3	41	0	0	0	0	203	1	0	0	0	0	0
PCT7008	ED	861	187	0	1	5	181	0	0	0	0	0	28	0	0	0	4	0	0	1	0	0	0	0	0	10	7	2	22	0	0	0	0	107	0	0	0	0	0	0
PCT7008	MV	861	345	0	4	10	331	1	1	0	1	0	25	1	1	0	2	0	0	1	0	1	0	0	0	19	14	5	31	0	0	1	1	226	0	0	0	0	0	0
PCT7009	ED	864	133	0	0	2	131	0	0	0	1	0	11	0	0	0	1	0	0	0	0	0	0	0	1	9	9	0	24	0	1	0	0	73	1	0	0	0	0	0
PCT7009	MV	864	312	0	1	8	303	0	0	0	0	3	31	0	0	0	2	1	0	1	0	0	0	2	2	27	15	3	43	0	0	0	0	173	0	0	0	0	0	0
PCT7011	ED	976	141	0	2	9	130	0	1	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	5	4	2	14	1	0	0	0	82	0	0	0	0	0	0
PCT7011	MV	976	205	0	4	3	198	0	1	2	0	0	21	0	0	0	1	1	0	2	0	0	1	1	2	12	6	1	25	0	0	0	0	122	0	0	0	0	0	0
PCT7012	ED	1061	224	0	0	4	220	0	1	0	0	0	17	0	0	0	6	1	0	0	0	1	0	0	0	11	19	3	30	0	0	0	0	131	0	0	0	0	0	0
PCT7012	MV	1061	383	0	4	11	368	0	3	0	1	1	36	0	0	0	5	0	0	0	0	3	0	0	1	31	14	4	39	1	0	1	0	227	1	0	0	0	0	0
PCT7013	ED	805	132	0	1	1	130	0	0	0	0	0	11	0	0	0	2	1	0	0	0	0	0	1	3	9	5	2	23	0	0	0	0	73	0	0	0	0	0	0
PCT7013	MV	805	251	0	0	4	247	0	0	0	0	0	34	0	0	0	4	0	0	1	0	0	1	2	1	17	9	1	36	0	0	0	0	140	1	0	0	0	0	0
PCT7014	ED	1213	188	0	1	2	185	1	0	0	0	0	32	0	0	0	1	0	0	0	0	0	4	0	1	10	4	2	24	0	0	0	0	106	0	0	0	0	0	0
PCT7014	MV	1213	434	0	1	11	422	1	0	0	0	0	34	1	0	0	4	0	0	0	0	2	1	0	0	41	13	9	53	1	0	0	0	262	0	0	0	0	0	0
PCT7015	MV	93	34	0	0	0	34	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	0	0	0	0	20	0	0	0	0	0	0
PCT7016	ED	891	112	0	5	12	95	0	1	0	2	1	19	0	1	0	3	0	0	0	0	0	0	0	1	8	1	2	6	0	1	0	1	48	0	0	0	0	0	0
PCT7016	MV	891	221	0	20	12	189	0	0	0	0	1	25	0	0	0	8	0	0	0	0	0	0	0	2	32	6	3	8	0	0	0	0	103	1	0	0	0	0	0
PCT7017	ED	734	79	0	8	4	67	0	1	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	2	0	0	0	1	50	1	0	0	0	0	0
PCT7017	MV	734	167	0	6	3	158	0	0	0	2	0	13	0	0	0	3	0	0	0	0	0	0	0	0	16	3	1	6	1	0	0	0	113	0	0	0	0	0	0
PCT7018	ED	908	88	0	2	1	85	0	0	0	1	0	12	0	0	0	1	0	0	0	0	0	0	0	0	9	3	0	11	0	0	0	0	47	1	0	0	0	0	0
