area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	174:LILY (ESPINOZA) PLOSKI	175:STEVEN IRELAND	176:TONY K. THURMOND	177:MARSHALL TUCK	198:DOUGLAS I. VIGIL	199:THOMAS L. WILLIAMS
PCT7021	ED	927	129	0	0	27	102	2	17	11	54	18	0	0
PCT7021	MV	927	220	-1	0	42	179	1	27	11	108	32	0	0
PCT7022	ED	923	164	-1	0	26	139	1	33	11	80	14	0	0
PCT7022	MV	923	270	2	0	44	224	2	46	12	122	42	0	0
PCT7023	ED	906	131	-1	0	26	106	3	13	5	68	17	0	0
PCT7023	MV	906	301	-3	0	39	265	2	42	11	163	47	0	0
PCT7024	ED	386	30	0	0	7	23	1	6	3	9	4	0	0
PCT7024	MV	386	47	1	0	3	43	0	17	7	14	5	0	0
PCT7025	ED	448	66	1	1	11	53	0	9	5	19	20	0	0
PCT7025	MV	448	78	2	0	9	67	0	16	7	27	17	0	0
PCT7026	ED	971	90	-1	0	20	71	0	12	7	37	15	0	0
PCT7026	MV	971	350	8	0	65	277	2	61	22	133	59	0	0
PCT7027	ED	845	136	2	1	36	97	0	15	8	60	14	0	0
PCT7027	MV	845	271	2	0	63	206	0	38	23	103	42	0	0
PCT7028	ED	835	157	-1	1	27	130	0	23	6	78	23	0	0
PCT7028	MV	835	180	0	0	25	155	1	29	7	93	25	0	0
PCT7029	ED	855	115	1	0	18	96	0	21	11	44	20	0	0
PCT7029	MV	855	166	2	1	25	138	1	23	10	79	25	0	0
PCT7030	ED	729	94	0	0	15	79	0	21	9	27	22	0	0
PCT7030	MV	729	277	0	0	63	214	3	54	30	87	40	0	0
PCT7031	ED	611	50	0	0	11	39	0	7	4	16	12	0	0
PCT7031	MV	611	224	0	0	57	167	1	36	12	91	27	0	0
PCT7032	ED	867	126	-2	0	30	98	2	25	9	47	15	0	0
PCT7032	MV	867	238	1	1	41	195	0	30	26	114	25	0	0
PCT7033	ED	765	135	0	0	28	107	2	23	8	51	23	0	0
PCT7033	MV	765	181	0	1	20	160	0	24	14	93	29	0	0
PCT7034	ED	914	97	0	1	26	70	0	15	4	35	16	0	0
PCT7034	MV	914	154	-1	0	33	122	1	24	7	64	26	0	0
PCT7035	ED	553	73	-1	0	15	59	0	8	4	33	14	0	0
PCT7035	MV	553	170	1	0	26	143	1	18	12	76	36	0	0
PCT7036	ED	898	52	0	0	7	45	0	11	3	21	10	0	0
PCT7036	MV	898	265	0	1	38	226	4	70	21	77	54	0	0
PCT7037	ED	730	73	0	0	20	53	0	10	6	21	16	0	0
PCT7037	MV	730	64	1	0	7	56	1	21	3	24	7	0	0
PCT7038	ED	880	84	0	0	14	70	4	19	10	25	12	0	0
PCT7038	MV	880	255	0	1	44	210	4	67	14	80	45	0	0
PCT7039	ED	768	111	0	0	20	91	0	21	15	40	15	0	0
PCT7039	MV	768	225	3	0	44	178	4	43	15	80	36	0	0
PCT7041	MV	60	24	1	0	5	18	0	2	1	13	2	0	0
PCT7042	ED	632	75	0	0	10	65	0	15	5	34	11	0	0
PCT7042	MV	632	191	0	0	30	161	1	41	9	75	35	0	0
PCT7043	ED	915	97	0	0	22	75	0	19	3	44	9	0	0
PCT7043	MV	915	282	0	0	51	231	1	54	18	119	39	0	0
PCT7044	ED	805	86	-1	0	28	59	3	9	7	24	16	0	0
PCT7044	MV	805	125	-1	0	24	102	0	36	12	40	14	0	0
PCT7045	ED	763	87	0	0	23	64	1	17	5	25	16	0	0
PCT7045	MV	763	282	1	0	80	201	1	53	27	74	46	0	0
PCT7046	ED	385	54	0	0	8	46	0	10	6	24	6	0	0
PCT7046	MV	385	136	-1	0	21	116	0	24	9	53	30	0	0
PCT7047	ED	781	68	-1	0	17	52	0	12	4	23	13	0	0
PCT7047	MV	781	298	2	0	53	243	3	49	14	131	46	0	0
PCT7048	ED	815	94	0	0	15	79	1	20	7	36	15	0	0
PCT7048	MV	815	248	1	0	44	203	3	46	28	92	34	0	0
PCT7049	ED	751	108	0	0	28	80	1	28	15	21	15	0	0
PCT7049	MV	751	241	0	0	56	185	1	47	30	54	53	0	0
PCT7051	ED	839	70	-1	0	16	55	0	16	8	21	10	0	0
PCT7051	MV	839	302	2	0	67	233	4	59	38	99	33	0	0
PCT7052	ED	806	120	-1	0	22	99	0	20	10	46	23	0	0
PCT7052	MV	806	278	1	0	58	219	0	53	18	85	63	0	0
PCT7053	ED	548	44	0	0	11	33	0	6	2	19	6	0	0
PCT7053	MV	548	205	3	0	42	160	1	40	15	64	40	0	0
PCT7054	ED	1024	141	0	0	22	119	0	31	7	61	20	0	0
PCT7054	MV	1024	275	1	1	44	229	0	47	11	127	44	0	0
PCT7055	ED	699	83	-1	0	24	60	0	14	2	26	18	0	0
PCT7055	MV	699	256	2	0	65	189	1	36	12	82	58	0	0
PCT7101	MV	141	83	0	0	17	66	0	3	0	36	27	0	0
PCT7201	ED	900	147	0	0	55	92	1	17	6	38	30	0	0
PCT7201	MV	900	333	0	1	85	247	0	33	19	114	81	0	0
PCT7202	ED	830	138	-1	0	44	95	1	14	5	50	25	0	0
PCT7202	MV	830	271	-2	0	71	202	0	34	11	72	85	0	0
PCT7203	ED	867	174	0	0	46	128	1	29	5	55	38	0	0
PCT7203	MV	867	243	1	1	63	178	3	22	7	89	57	0	0
PCT7204	ED	888	157	0	1	41	115	0	23	3	49	40	0	0
PCT7204	MV	888	340	2	1	75	262	1	24	10	109	118	0	0
PCT7205	ED	847	183	0	0	47	136	0	26	7	51	52	0	0
PCT7205	MV	847	309	0	0	62	247	1	24	11	107	104	0	0
PCT7206	ED	375	88	0	0	14	74	1	13	4	33	23	0	0
PCT7206	MV	375	124	1	0	33	90	1	22	2	33	32	0	0
PCT7207	ED	744	119	0	0	31	88	1	20	12	31	24	0	0
PCT7207	MV	744	231	2	0	49	180	1	29	10	78	62	0	0
PCT7208	ED	567	76	0	0	24	52	0	16	3	25	8	0	0
PCT7208	MV	567	206	1	0	37	168	1	24	20	71	52	0	0
PCT7209	ED	586	69	0	0	22	47	0	11	5	16	15	0	0
PCT7209	MV	586	326	3	0	67	256	1	26	11	101	117	0	0
PCT7301	ED	1002	150	0	0	36	114	1	25	20	38	30	0	0
PCT7301	MV	1002	299	3	0	78	218	1	38	23	96	60	0	0
PCT7302	ED	806	121	0	0	31	90	0	22	2	45	21	0	0
PCT7302	MV	806	352	0	1	73	278	1	44	29	135	69	0	0
PCT7303	ED	986	167	-1	0	56	112	1	23	9	46	33	0	0
PCT7303	MV	986	318	1	1	69	247	0	42	13	122	70	0	0
PCT7304	ED	972	203	1	0	50	152	1	25	15	65	46	0	0
PCT7304	MV	972	330	0	0	70	260	2	38	19	110	91	0	0
PCT7305	ED	851	171	0	0	40	131	0	22	12	66	31	0	0
PCT7305	MV	851	306	-1	0	80	227	1	32	17	106	71	0	0
PCT7306	ED	1014	179	0	0	51	128	0	32	15	51	30	0	0
PCT7306	MV	1014	302	-2	1	91	212	1	37	16	95	63	0	0
PCT7307	ED	726	143	0	0	41	102	0	25	3	43	31	0	0
PCT7307	MV	726	226	2	0	67	157	0	26	16	73	42	0	0
PCT7308	ED	598	133	0	0	39	94	0	17	7	44	26	0	0
PCT7308	MV	598	204	-1	0	50	155	2	15	4	71	63	0	0
PCT7309	ED	826	160	-2	0	43	119	0	20	8	58	33	0	0
PCT7309	MV	826	209	0	1	57	151	0	23	15	71	42	0	0
PCT7311	ED	901	175	-1	0	41	135	0	20	13	60	42	0	0
PCT7311	MV	901	266	0	1	59	206	1	36	12	89	68	0	0
PCT7312	ED	810	128	0	0	39	89	0	13	6	32	38	0	0
PCT7312	MV	810	332	3	0	80	249	1	35	24	97	92	0	0
PCT7313	ED	925	135	0	0	37	98	0	15	8	50	25	0	0
PCT7313	MV	925	315	-1	1	73	242	0	40	19	93	90	0	0
PCT7314	ED	760	92	0	0	34	58	0	20	7	24	7	0	0
PCT7314	MV	760	213	-1	0	73	141	0	31	13	69	28	0	0
PCT7315	ED	725	119	0	0	32	87	1	19	8	36	23	0	0
PCT7315	MV	725	178	1	0	42	135	0	29	10	66	30	0	0
PCT7316	ED	824	122	0	0	31	91	1	16	9	47	18	0	0
PCT7316	MV	824	266	0	0	68	198	0	46	17	85	50	0	0
PCT7317	ED	886	117	0	0	24	93	0	15	9	39	30	0	0
PCT7317	MV	886	340	2	0	71	267	1	38	15	129	84	0	0
PCT7318	ED	709	123	0	0	39	84	0	15	10	44	15	0	0
PCT7318	MV	709	243	-2	0	60	185	0	27	13	101	44	0	0
PCT7319	ED	1035	182	0	0	43	139	0	32	11	57	39	0	0
PCT7319	MV	1035	296	0	0	84	212	1	35	9	92	75	0	0
PCT7321	ED	644	100	0	0	36	64	2	16	6	25	15	0	0
PCT7321	MV	644	211	0	0	49	162	0	22	11	60	69	0	0
PCT7322	ED	859	60	0	0	18	42	0	9	3	21	9	0	0
PCT7322	MV	859	304	-1	0	97	208	1	43	16	106	42	0	0
PCT7323	ED	881	146	1	1	41	103	0	25	5	43	30	0	0
PCT7323	MV	881	273	0	0	77	196	1	39	15	93	48	0	0
PCT7324	ED	687	125	0	0	42	83	0	29	8	33	13	0	0
PCT7324	MV	687	198	0	0	60	138	2	17	11	72	36	0	0
PCT7325	ED	870	150	0	0	55	95	1	21	10	44	19	0	0
PCT7325	MV	870	276	0	0	91	185	2	23	17	86	57	0	0
PCT7326	ED	853	150	1	0	36	113	1	26	9	54	23	0	0
PCT7326	MV	853	256	-1	1	56	200	0	45	10	88	57	0	0
PCT7327	ED	684	62	0	0	21	41	0	8	4	17	12	0	0
PCT7327	MV	684	277	1	0	74	202	1	50	26	94	31	0	0
PCT7328	ED	950	70	0	1	22	47	0	14	5	13	15	0	0
PCT7328	MV	950	391	0	1	129	261	4	56	32	113	56	0	0
PCT7329	ED	610	71	-1	0	21	51	0	14	8	13	16	0	0
PCT7329	MV	610	205	-2	0	41	166	0	29	10	71	56	0	0
PCT7331	ED	860	130	0	0	26	104	0	17	6	38	43	0	0
PCT7331	MV	860	357	-1	0	75	283	1	35	15	137	95	0	0
PCT7332	ED	799	154	0	0	29	125	2	29	6	67	21	0	0
PCT7332	MV	799	209	0	2	38	169	2	30	13	88	36	0	0
PCT7333	ED	974	174	1	0	47	126	0	24	5	65	32	0	0
PCT7333	MV	974	323	0	0	81	242	2	47	19	119	55	0	0
PCT7334	ED	854	113	0	0	25	88	0	9	9	43	27	0	0
PCT7334	MV	854	275	-2	0	72	205	1	38	17	103	46	0	0
PCT7335	ED	936	144	0	0	33	111	0	27	5	46	33	0	0
PCT7335	MV	936	354	-2	2	65	289	1	40	18	129	101	0	0
PCT7336	ED	920	155	2	0	36	117	0	21	9	51	36	0	0
PCT7336	MV	920	324	0	0	70	254	2	34	19	118	81	0	0
PCT7337	ED	825	115	0	0	37	78	0	16	6	32	24	0	0
PCT7337	MV	825	305	0	0	75	230	0	21	17	112	80	0	0
PCT7338	ED	884	100	1	0	26	73	0	14	5	39	15	0	0
PCT7338	MV	884	364	-3	2	119	246	1	45	27	130	43	0	0
PCT7339	ED	618	111	-1	0	32	80	1	21	6	28	24	0	0
PCT7339	MV	618	181	1	1	34	145	2	33	9	66	35	0	0
PCT7341	ED	877	124	0	0	33	91	1	19	9	37	25	0	0
PCT7341	MV	877	246	-2	0	49	199	0	40	14	98	47	0	0
PCT7342	ED	911	234	3	0	52	179	1	39	7	96	36	0	0
PCT7342	MV	911	251	0	0	50	201	1	21	10	104	65	0	0
PCT7343	ED	707	144	0	0	32	112	0	22	13	52	25	0	0
PCT7343	MV	707	186	3	0	34	149	0	30	8	84	27	0	0
PCT7344	ED	1039	179	-1	0	44	136	3	32	11	60	30	0	0
PCT7344	MV	1039	334	-1	0	64	271	0	57	12	137	65	0	0
PCT7345	ED	1077	183	0	0	39	144	2	35	11	64	32	0	0
PCT7345	MV	1077	283	2	0	64	217	3	38	13	105	58	0	0
PCT7346	ED	877	168	1	0	30	137	0	32	12	58	35	0	0
PCT7346	MV	877	221	-1	0	42	180	1	32	10	91	46	0	0
PCT7347	ED	968	137	0	0	32	105	0	24	9	52	20	0	0
PCT7347	MV	968	279	0	0	45	234	0	43	9	129	53	0	0
PCT7348	ED	832	139	-1	1	23	116	2	21	10	58	25	0	0
PCT7348	MV	832	202	1	0	34	167	1	33	9	86	38	0	0
PCT7349	ED	921	147	-1	1	34	113	1	25	11	58	18	0	0
PCT7349	MV	921	282	0	0	61	221	2	39	16	104	60	0	0
PCT7501	ED	554	118	-1	0	30	89	1	18	0	33	37	0	0
PCT7501	MV	554	168	0	0	41	127	0	16	9	57	45	0	0
PCT7502	ED	741	113	1	0	27	85	1	13	3	40	28	0	0
PCT7502	MV	741	349	-4	1	80	272	1	44	11	128	88	0	0
PCT7503	ED	727	132	1	0	35	96	2	17	9	42	26	0	0
PCT7503	MV	727	226	2	0	52	172	1	20	10	91	50	0	0
PCT7504	ED	484	76	0	0	16	60	0	12	3	32	13	0	0
PCT7504	MV	484	158	1	0	33	124	2	20	12	52	38	0	0
PCT7505	ED	871	131	0	0	31	100	0	8	7	40	45	0	0
PCT7505	MV	871	417	1	0	89	327	1	43	16	146	121	0	0
PCT7506	ED	920	133	1	0	29	103	1	19	7	47	29	0	0
PCT7506	MV	920	252	2	0	57	193	2	26	13	86	66	0	0
PCT7507	ED	919	158	-1	0	46	113	1	18	11	58	25	0	0
PCT7507	MV	919	255	4	0	46	205	2	30	11	122	40	0	0
PCT7508	ED	702	106	0	0	23	83	1	17	10	34	21	0	0
PCT7508	MV	702	340	0	2	84	254	1	38	11	142	62	0	0
PCT7509	ED	909	171	-2	0	29	144	3	28	6	77	30	0	0
PCT7509	MV	909	319	0	0	66	253	3	43	21	128	58	0	0
PCT7512	ED	604	96	2	1	21	72	1	12	5	34	20	0	0
PCT7512	MV	604	196	2	1	41	152	1	17	13	73	48	0	0
PCT7513	ED	790	142	0	3	30	109	0	21	7	58	23	0	0
PCT7513	MV	790	208	0	2	45	161	2	17	10	98	34	0	0
PCT7514	ED	863	95	-2	0	25	72	0	12	10	36	14	0	0
PCT7514	MV	863	235	2	0	35	198	1	40	14	111	32	0	0
PCT7515	ED	845	150	0	1	32	117	2	20	8	64	23	0	0
PCT7515	MV	845	289	3	0	68	218	0	42	15	123	38	0	0
PCT7516	ED	886	145	0	0	37	108	1	18	6	49	34	0	0
PCT7516	MV	886	378	0	1	68	309	3	51	25	158	72	0	0
PCT7517	ED	863	228	-1	0	51	178	1	42	8	102	25	0	0
PCT7517	MV	863	251	0	0	58	193	1	32	5	117	38	0	0
PCT7518	ED	939	235	0	0	54	181	0	32	11	104	34	0	0
PCT7518	MV	939	298	0	0	66	232	0	29	10	148	45	0	0
PCT7519	ED	726	179	0	0	38	141	0	19	8	90	24	0	0
PCT7519	MV	726	185	1	0	49	135	0	15	2	76	42	0	0
PCT7521	ED	802	211	0	0	50	161	0	25	12	96	28	0	0
PCT7521	MV	802	215	-1	2	53	161	0	24	1	94	42	0	0
PCT7522	ED	743	175	-1	0	46	130	0	21	4	76	29	0	0
PCT7522	MV	743	240	-2	1	53	188	0	26	9	112	41	0	0
PCT7523	ED	737	208	0	0	41	167	1	27	14	95	30	0	0
PCT7523	MV	737	223	-2	0	41	184	0	26	5	109	44	0	0
PCT7524	ED	646	143	2	1	34	106	2	17	8	48	31	0	0
PCT7524	MV	646	165	1	0	27	137	0	26	12	69	30	0	0
PCT7525	ED	779	145	-3	0	35	113	2	21	10	56	24	0	0
PCT7525	MV	779	214	4	0	40	170	1	24	8	96	41	0	0
PCT7526	ED	947	197	1	0	28	168	2	34	8	87	37	0	0
PCT7526	MV	947	313	2	0	74	237	1	35	14	123	64	0	0
PCT7527	ED	729	162	0	0	44	118	0	18	13	63	24	0	0
PCT7527	MV	729	237	4	0	65	168	1	25	14	94	34	0	0
PCT7529	ED	925	214	-1	0	44	171	3	32	8	96	32	0	0
PCT7529	MV	925	300	2	0	62	236	0	34	15	136	51	0	0
PCT7531	ED	847	179	0	0	46	133	0	24	7	82	20	0	0
PCT7531	MV	847	263	0	0	53	210	0	28	7	123	52	0	0
PCT7532	ED	823	172	1	1	43	127	0	25	10	57	35	0	0
PCT7532	MV	823	226	0	0	58	168	1	20	8	79	60	0	0
PCT7533	ED	951	268	-1	0	48	221	2	55	12	126	26	0	0
PCT7533	MV	951	297	0	0	63	234	0	43	5	139	47	0	0
PCT7534	ED	883	241	0	0	52	189	0	32	11	106	40	0	0
PCT7534	MV	883	240	-1	0	41	200	0	27	11	113	49	0	0
PCT7535	ED	743	201	0	0	53	148	4	25	6	84	29	0	0
PCT7535	MV	743	251	0	0	53	198	0	26	3	133	36	0	0
PCT7536	ED	856	206	-1	0	50	157	0	34	10	89	24	0	0
PCT7536	MV	856	279	0	0	64	215	0	27	6	137	45	0	0
PCT7537	ED	734	187	0	0	49	138	0	31	8	77	22	0	0
PCT7537	MV	734	225	1	0	67	157	2	16	5	101	33	0	0
PCT7538	ED	757	223	0	1	58	164	2	19	8	108	27	0	0
PCT7538	MV	757	256	0	0	40	216	0	25	8	125	58	0	0
PCT7539	ED	884	250	1	0	57	192	0	38	12	117	25	0	0
PCT7539	MV	884	286	-1	0	64	223	2	32	4	130	55	0	0
PCT7541	ED	791	215	1	0	65	149	1	36	8	80	24	0	0
PCT7541	MV	791	245	1	0	48	196	0	21	10	126	39	0	0
PCT7542	ED	787	183	0	0	49	134	0	22	5	88	19	0	0
PCT7542	MV	787	247	1	0	59	187	1	15	8	132	31	0	0
PCT7543	ED	910	187	-2	0	54	135	1	32	5	75	22	0	0
PCT7543	MV	910	332	0	0	69	263	1	26	10	163	63	0	0
PCT7544	ED	877	186	0	0	41	145	2	24	10	90	19	0	0
PCT7544	MV	877	331	-3	0	72	262	2	42	5	160	53	0	0
PCT7545	ED	877	179	-1	0	41	139	2	44	10	60	23	0	0
PCT7545	MV	877	291	0	0	64	227	1	33	14	130	49	0	0
PCT7546	ED	913	219	0	0	54	165	2	25	9	94	35	0	0
PCT7546	MV	913	310	1	0	61	248	1	38	4	148	57	0	0
PCT7547	ED	987	244	-2	0	67	179	1	35	7	107	29	0	0
PCT7547	MV	987	322	5	0	59	258	1	34	17	162	44	0	0
PCT7548	ED	1054	236	1	0	54	181	2	35	16	85	43	0	0
PCT7548	MV	1054	345	4	0	52	289	3	31	19	163	73	0	0
PCT7549	ED	785	165	-2	0	39	128	1	22	8	71	26	0	0
PCT7549	MV	785	281	1	1	59	220	1	33	6	122	58	0	0
PCT7551	ED	705	199	-1	0	41	159	1	24	7	86	41	0	0
PCT7551	MV	705	240	2	0	49	189	0	18	7	120	44	0	0
PCT7552	ED	718	191	0	0	40	151	2	30	4	83	32	0	0
