area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	8:RYAN LAM	9:DEAN PRESTON	10:NOMVULA O'MEARA	11:VALLIE BROWN
PCT9501	MV	147	69	0	0	8	0	61	0	1	19	3	38
PCT9501	TO	147	71	0	0	9	0	62	0	1	19	3	39
PCT9502	ED	253	5	0	0	2	0	3	0	0	1	0	2
PCT9502	MV	253	104	0	0	4	0	100	0	3	41	2	54
PCT9502	TO	253	109	0	0	6	0	103	0	3	42	2	56
PCT9503	ED	667	86	0	0	2	0	84	0	4	39	1	40
PCT9503	MV	667	176	0	1	8	0	167	0	8	59	1	99
PCT9503	TO	667	262	0	1	10	0	251	0	12	98	2	139
PCT9505	ED	760	116	0	0	6	0	110	0	5	54	1	50
PCT9505	MV	760	246	0	1	10	0	235	0	15	105	2	113
PCT9505	TO	760	362	0	1	16	0	345	0	20	159	3	163
PCT9506	ED	750	95	0	0	8	0	87	0	5	33	2	47
PCT9506	MV	750	186	0	0	6	0	180	0	7	61	1	111
PCT9506	TO	750	281	0	0	14	0	267	0	12	94	3	158
PCT9507	ED	713	121	0	0	3	0	118	0	2	66	0	50
PCT9507	MV	713	212	0	0	10	0	202	0	2	81	2	117
PCT9507	TO	713	333	0	0	13	0	320	0	4	147	2	167
PCT9511	ED	1314	228	0	1	10	0	217	0	3	124	3	87
PCT9511	MV	1314	383	0	0	13	0	370	0	10	158	2	200
PCT9511	TO	1314	611	0	1	23	0	587	0	13	282	5	287
PCT9512	ED	1544	231	0	2	13	0	216	0	5	122	3	86
PCT9512	MV	1544	489	0	2	20	0	467	0	8	198	5	256
PCT9512	TO	1544	720	0	4	33	0	683	0	13	320	8	342
PCT9513	ED	872	163	0	0	6	0	157	0	1	87	3	66
PCT9513	MV	872	243	0	0	8	0	235	0	9	120	1	105
PCT9513	TO	872	406	0	0	14	0	392	0	10	207	4	171
PCT9514	ED	888	158	0	0	5	0	153	0	7	82	0	64
PCT9514	MV	888	270	0	0	16	0	254	0	6	104	2	142
PCT9514	TO	888	428	0	0	21	0	407	0	13	186	2	206
PCT9516	ED	1579	275	0	0	15	0	260	0	14	134	2	110
PCT9516	MV	1579	485	0	0	37	0	448	0	33	215	3	197
PCT9516	TO	1579	760	0	0	52	0	708	0	47	349	5	307
PCT9517	ED	1554	252	0	0	13	0	239	0	10	145	5	79
PCT9517	MV	1554	484	0	1	25	0	458	0	18	242	3	195
PCT9517	TO	1554	736	0	1	38	0	697	0	28	387	8	274
PCT9519	ED	882	148	0	0	7	0	141	0	9	66	3	63
PCT9519	MV	882	304	0	1	10	0	293	0	12	144	0	137
