area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	22:PAUL MIYAMOTO
PCT7034	TO	954	183	0	0	44	0	139	0	139
PCT7035	ED	681	46	0	0	14	0	32	0	32
PCT7035	MV	681	180	0	0	46	0	134	0	134
PCT7035	TO	681	226	0	0	60	0	166	0	166
PCT7037	ED	1676	80	0	0	24	0	56	0	56
PCT7037	MV	1676	268	0	0	63	0	205	0	205
PCT7037	TO	1676	348	0	0	87	0	261	0	261
PCT7038	ED	924	49	0	0	15	0	34	0	34
PCT7038	MV	924	243	0	0	69	0	174	0	174
PCT7038	TO	924	292	0	0	84	0	208	0	208
PCT7039	ED	830	84	0	0	23	0	61	0	61
PCT7039	MV	830	197	0	0	59	0	138	0	138
PCT7039	TO	830	281	0	0	82	0	199	0	199
PCT7041	ED	60	0	0	0	0	0	0	0	0
PCT7041	MV	60	13	0	0	2	0	11	0	11
PCT7041	TO	60	13	0	0	2	0	11	0	11
PCT7042	ED	1069	92	0	0	20	0	72	0	72
PCT7042	MV	1069	265	0	0	70	0	195	0	195
PCT7042	TO	1069	357	0	0	90	0	267	0	267
PCT7043	ED	961	61	0	0	16	0	45	0	45
PCT7043	MV	961	226	0	0	76	0	150	0	150
PCT7043	TO	961	287	0	0	92	0	195	0	195
PCT7044	ED	844	42	0	0	22	0	20	0	20
PCT7044	MV	844	115	0	0	28	0	87	0	87
PCT7044	TO	844	157	0	0	50	0	107	0	107
PCT7045	ED	783	49	0	0	14	0	35	0	35
PCT7045	MV	783	242	0	0	62	0	180	0	180
PCT7045	TO	783	291	0	0	76	0	215	0	215
PCT7047	ED	1727	102	0	0	38	0	64	0	64
PCT7047	MV	1727	507	0	1	152	0	354	0	354
PCT7047	TO	1727	609	0	1	190	0	418	0	418
PCT7048	ED	870	53	0	0	11	0	42	0	42
PCT7048	MV	870	209	0	0	44	0	165	0	165
PCT7048	TO	870	262	0	0	55	0	207	0	207
PCT7049	ED	815	68	0	0	13	0	55	0	55
PCT7049	MV	815	200	0	0	58	0	142	0	142
PCT7049	TO	815	268	0	0	71	0	197	0	197
PCT7052	ED	878	87	0	0	16	0	71	0	71
PCT7052	MV	878	247	0	0	69	0	178	0	178
PCT7052	TO	878	334	0	0	85	0	249	0	249
PCT7053	ED	568	38	0	0	11	0	27	0	27
PCT7053	MV	568	145	0	0	33	0	112	0	112
PCT7053	TO	568	183	0	0	44	0	139	0	139
PCT7054	ED	1111	87	0	0	23	0	64	0	64
PCT7054	MV	1111	243	0	0	54	0	189	0	189
PCT7054	TO	1111	330	0	0	77	0	253	0	253
PCT7055	ED	799	37	0	0	11	0	26	0	26
