area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	1:JOEL VENTRESCA	2:WILMA PANG	3:ROBERT L. JORDAN, JR.	4:PAUL YBARRA ROBERTSON	5:ELLEN LEE ZHOU	6:LONDON N. BREED	53:MARC ROTH
PCT7005	TO	850	207	0	1	36	0	170	6	16	8	3	4	12	121	0
PCT7006	ED	921	88	0	0	22	0	66	5	6	4	1	6	3	41	0
PCT7006	MV	921	106	0	0	16	0	90	0	13	2	1	2	8	64	0
PCT7006	TO	921	194	0	0	38	0	156	5	19	6	2	8	11	105	0
PCT7007	ED	1821	210	0	0	33	0	177	3	17	2	3	10	11	131	0
PCT7007	MV	1821	285	0	1	30	0	254	0	15	1	3	10	18	207	0
PCT7007	TO	1821	495	0	1	63	0	431	3	32	3	6	20	29	338	0
PCT7009	ED	874	46	0	0	3	0	43	2	4	4	1	3	5	24	0
PCT7009	MV	874	135	0	0	27	0	108	0	7	2	1	5	19	74	0
PCT7009	TO	874	181	0	0	30	0	151	2	11	6	2	8	24	98	0
PCT7011	ED	951	64	0	0	4	0	60	1	5	2	0	1	7	44	0
PCT7011	MV	951	66	0	1	7	0	58	0	0	1	0	3	1	53	0
PCT7011	TO	951	130	0	1	11	0	118	1	5	3	0	4	8	97	0
PCT7012	ED	1165	113	0	0	19	0	94	4	1	4	0	7	12	66	0
PCT7012	MV	1165	140	0	0	19	0	121	0	3	1	2	7	12	96	0
PCT7012	TO	1165	253	0	0	38	0	215	4	4	5	2	14	24	162	0
PCT7013	ED	1033	60	0	0	8	0	52	0	2	0	0	0	7	43	0
PCT7013	MV	1033	124	0	0	10	0	114	0	7	1	1	3	11	91	0
PCT7013	TO	1033	184	0	0	18	0	166	0	9	1	1	3	18	134	0
PCT7014	ED	1388	97	0	0	5	0	92	0	6	0	1	7	3	75	0
PCT7014	MV	1388	171	0	1	18	0	152	0	9	1	0	8	10	124	0
PCT7014	TO	1388	268	0	1	23	0	244	0	15	1	1	15	13	199	0
PCT7015	MV	104	14	0	0	2	0	12	0	0	1	1	0	2	8	0
PCT7015	TO	104	14	0	0	2	0	12	0	0	1	1	0	2	8	0
PCT7016	ED	912	57	0	0	3	0	54	2	2	0	0	4	7	39	0
PCT7016	MV	912	83	0	0	5	0	78	0	0	0	0	3	27	48	0
PCT7016	TO	912	140	0	0	8	0	132	2	2	0	0	7	34	87	0
PCT7017	ED	781	32	0	1	1	0	30	0	1	0	0	1	0	28	0
PCT7017	MV	781	62	0	1	1	0	60	0	0	0	0	2	5	53	0
PCT7017	TO	781	94	0	2	2	0	90	0	1	0	0	3	5	81	0
PCT7019	ED	1908	90	0	0	3	0	87	3	3	2	1	2	8	68	0
PCT7019	MV	1908	306	0	1	12	0	293	0	14	4	1	14	78	182	0
PCT7019	TO	1908	396	0	1	15	0	380	3	17	6	2	16	86	250	0
PCT7021	ED	955	68	0	1	2	0	65	1	5	3	1	3	4	48	0
PCT7021	MV	955	95	0	0	6	0	89	0	4	1	2	7	14	61	0
PCT7021	TO	955	163	0	1	8	0	154	1	9	4	3	10	18	109	0
PCT7022	ED	943	78	0	0	5	0	73	1	4	0	0	1	3	64	0
PCT7022	MV	943	122	0	1	7	0	114	0	6	6	4	6	18	74	0
PCT7022	TO	943	200	0	1	12	0	187	1	10	6	4	7	21	138	0
PCT7024	ED	448	14	0	0	0	0	14	1	0	0	0	0	0	13	0
PCT7024	MV	448	24	0	1	0	0	23	0	2	0	0	1	4	16	0
PCT7024	TO	448	38	0	1	0	0	37	1	2	0	0	1	4	29	0
PCT7025	ED	473	23	0	0	2	0	21	0	1	0	1	3	1	15	0
PCT7025	MV	473	36	0	0	1	0	35	0	1	0	1	3	3	27	0
PCT7025	TO	473	59	0	0	3	0	56	0	2	0	2	6	4	42	0
PCT7026	ED	1009	48	0	0	1	0	47	0	2	1	0	2	9	33	0
PCT7026	MV	1009	162	0	1	9	0	152	0	5	3	1	8	48	87	0
PCT7026	TO	1009	210	0	1	10	0	199	0	7	4	1	10	57	120	0
PCT7027	ED	883	66	0	3	2	0	61	0	5	0	0	3	5	48	0
PCT7027	MV	883	127	0	2	8	0	117	0	2	4	3	2	37	69	0
PCT7027	TO	883	193	0	5	10	0	178	0	7	4	3	5	42	117	0
PCT7028	ED	849	77	0	0	4	0	73	2	3	2	1	0	2	63	0
PCT7028	MV	849	78	0	0	4	0	74	0	1	0	0	2	19	52	0
PCT7028	TO	849	155	0	0	8	0	147	2	4	2	1	2	21	115	0
PCT7029	ED	1812	100	0	0	3	0	97	0	2	1	2	3	4	85	0
PCT7029	MV	1812	207	0	1	14	0	192	0	5	1	1	10	25	150	0
