area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	13:DENNIS J. HERRERA
PCT7045	TO	783	182	0	1	50	0	131	0	131
PCT7047	ED	1727	73	0	0	18	0	55	2	53
PCT7047	MV	1727	257	0	0	64	0	193	0	193
PCT7047	TO	1727	330	0	0	82	0	248	2	246
PCT7048	ED	870	37	0	0	4	0	33	0	33
PCT7048	MV	870	120	0	0	25	0	95	0	95
PCT7048	TO	870	157	0	0	29	0	128	0	128
PCT7049	ED	815	50	0	0	11	0	39	0	39
PCT7049	MV	815	123	0	0	33	0	90	0	90
PCT7049	TO	815	173	0	0	44	0	129	0	129
PCT7052	ED	878	67	0	0	8	0	59	0	59
PCT7052	MV	878	131	0	0	43	0	88	0	88
PCT7052	TO	878	198	0	0	51	0	147	0	147
PCT7053	ED	568	22	0	0	3	0	19	0	19
PCT7053	MV	568	84	0	0	15	0	69	0	69
PCT7053	TO	568	106	0	0	18	0	88	0	88
PCT7054	ED	1111	60	0	0	15	0	45	0	45
PCT7054	MV	1111	98	0	0	19	0	79	0	79
PCT7054	TO	1111	158	0	0	34	0	124	0	124
PCT7055	ED	799	21	0	0	6	0	15	1	14
PCT7055	MV	799	118	0	0	32	0	86	0	86
PCT7055	TO	799	139	0	0	38	0	101	1	100
PCT7101	MV	152	27	0	0	6	0	21	0	21
PCT7101	TO	152	27	0	0	6	0	21	0	21
PCT7202	ED	1747	118	0	0	21	0	97	1	96
PCT7202	MV	1747	264	0	0	58	0	206	0	206
PCT7202	TO	1747	382	0	0	79	0	303	1	302
PCT7203	ED	867	83	0	0	18	0	65	1	64
PCT7203	MV	867	85	0	0	15	0	70	0	70
PCT7203	TO	867	168	0	0	33	0	135	1	134
PCT7204	ED	890	73	0	0	14	0	59	1	58
PCT7204	MV	890	153	0	0	31	0	122	0	122
PCT7204	TO	890	226	0	0	45	0	181	1	180
PCT7205	ED	862	85	0	0	17	0	68	0	68
PCT7205	MV	862	134	0	0	27	0	107	0	107
PCT7205	TO	862	219	0	0	44	0	175	0	175
PCT7207	ED	1483	87	0	0	15	0	72	1	71
PCT7207	MV	1483	315	0	0	61	0	254	0	254
PCT7207	TO	1483	402	0	0	76	0	326	1	325
PCT7208	ED	560	36	0	0	9	0	27	1	26
PCT7208	MV	560	103	0	0	22	0	81	0	81
PCT7208	TO	560	139	0	0	31	0	108	1	107
PCT7301	ED	1993	161	0	0	39	0	122	0	122
PCT7301	MV	1993	298	0	0	66	0	232	0	232
PCT7301	TO	1993	459	0	0	105	0	354	0	354
PCT7302	ED	838	81	0	0	17	0	64	1	63
PCT7302	MV	838	199	0	0	50	0	149	0	149
PCT7302	TO	838	280	0	0	67	0	213	1	212
PCT7305	ED	1633	161	0	0	30	0	131	0	131
PCT7305	MV	1633	249	0	0	64	0	185	0	185
PCT7305	TO	1633	410	0	0	94	0	316	0	316
PCT7306	ED	2083	166	0	0	37	0	129	0	129
