area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	24:JOSÉ CISNEROS
PCT7021	TO	955	163	0	0	33	0	130	1	129
PCT7022	ED	943	78	0	0	17	0	61	0	61
PCT7022	MV	943	122	0	0	30	0	92	0	92
PCT7022	TO	943	200	0	0	47	0	153	0	153
PCT7024	ED	448	14	0	0	4	0	10	0	10
PCT7024	MV	448	24	0	0	2	0	22	0	22
PCT7024	TO	448	38	0	0	6	0	32	0	32
PCT7025	ED	473	23	0	0	5	0	18	0	18
PCT7025	MV	473	36	0	0	8	0	28	0	28
PCT7025	TO	473	59	0	0	13	0	46	0	46
PCT7026	ED	1009	48	0	0	8	0	40	0	40
PCT7026	MV	1009	162	0	0	39	0	123	0	123
PCT7026	TO	1009	210	0	0	47	0	163	0	163
PCT7027	ED	883	66	0	0	6	0	60	0	60
PCT7027	MV	883	127	0	0	34	0	93	0	93
PCT7027	TO	883	193	0	0	40	0	153	0	153
PCT7028	ED	849	77	0	0	17	0	60	1	59
PCT7028	MV	849	78	0	0	14	0	64	0	64
PCT7028	TO	849	155	0	0	31	0	124	1	123
PCT7029	ED	1812	100	0	0	14	0	86	2	84
PCT7029	MV	1812	207	0	0	51	0	156	0	156
PCT7029	TO	1812	307	0	0	65	0	242	2	240
PCT7030	ED	787	46	0	0	12	0	34	0	34
PCT7030	MV	787	132	0	0	38	0	94	0	94
PCT7030	TO	787	178	0	0	50	0	128	0	128
PCT7031	ED	680	24	0	0	2	0	22	0	22
PCT7031	MV	680	123	0	0	34	0	89	0	89
PCT7031	TO	680	147	0	0	36	0	111	0	111
PCT7032	ED	876	48	0	0	14	0	34	1	33
PCT7032	MV	876	107	0	0	21	0	86	0	86
PCT7032	TO	876	155	0	0	35	0	120	1	119
PCT7033	ED	770	61	0	0	12	0	49	0	49
PCT7033	MV	770	83	0	0	10	0	73	0	73
PCT7033	TO	770	144	0	0	22	0	122	0	122
PCT7034	ED	954	36	0	0	8	0	28	0	28
PCT7034	MV	954	57	0	0	15	0	42	0	42
PCT7034	TO	954	93	0	0	23	0	70	0	70
PCT7035	ED	681	26	0	0	5	0	21	0	21
PCT7035	MV	681	97	0	0	21	0	76	0	76
PCT7035	TO	681	123	0	0	26	0	97	0	97
PCT7037	ED	1676	59	0	0	16	0	43	0	43
PCT7037	MV	1676	143	0	0	32	0	111	0	111
PCT7037	TO	1676	202	0	0	48	0	154	0	154
PCT7038	ED	924	34	0	0	7	0	27	0	27
PCT7038	MV	924	129	0	0	20	0	109	0	109
PCT7038	TO	924	163	0	0	27	0	136	0	136
PCT7039	ED	830	71	0	0	19	0	52	1	51
PCT7039	MV	830	110	0	0	32	0	78	0	78
PCT7039	TO	830	181	0	0	51	0	130	1	129
PCT7041	MV	60	11	0	0	2	0	9	0	9
PCT7041	TO	60	11	0	0	2	0	9	0	9
PCT7042	ED	1069	67	0	0	11	0	56	2	54
PCT7042	MV	1069	110	0	0	27	0	83	0	83
PCT7042	TO	1069	177	0	0	38	0	139	2	137
PCT7043	ED	961	40	0	0	7	0	33	0	33
PCT7043	MV	961	104	0	0	30	0	74	0	74
PCT7043	TO	961	144	0	0	37	0	107	0	107
PCT7044	ED	844	23	0	0	8	0	15	0	15
PCT7044	MV	844	61	0	0	18	0	43	0	43
PCT7044	TO	844	84	0	0	26	0	58	0	58
PCT7045	ED	783	39	0	0	13	0	26	1	25
PCT7045	MV	783	143	0	0	33	0	110	0	110
PCT7045	TO	783	182	0	0	46	0	136	1	135
PCT7047	ED	1727	73	0	0	21	0	52	1	51
PCT7047	MV	1727	257	0	1	59	0	197	0	197
PCT7047	TO	1727	330	0	1	80	0	249	1	248
PCT7048	ED	870	37	0	0	5	0	32	0	32
PCT7048	MV	870	120	0	0	21	0	99	0	99
PCT7048	TO	870	157	0	0	26	0	131	0	131
PCT7049	ED	815	50	0	0	10	0	40	0	40
PCT7049	MV	815	123	0	0	34	0	89	0	89
PCT7049	TO	815	173	0	0	44	0	129	0	129
PCT7052	ED	878	67	0	0	11	0	56	0	56
PCT7052	MV	878	131	0	0	40	0	91	0	91
PCT7052	TO	878	198	0	0	51	0	147	0	147
PCT7053	ED	568	22	0	0	3	0	19	0	19
PCT7053	MV	568	84	0	0	19	0	65	0	65
PCT7053	TO	568	106	0	0	22	0	84	0	84
PCT7054	ED	1111	60	0	0	18	0	42	0	42
PCT7054	MV	1111	98	0	0	19	0	79	0	79
PCT7054	TO	1111	158	0	0	37	0	121	0	121
PCT7055	ED	799	21	0	0	6	0	15	1	14
PCT7055	MV	799	118	0	0	32	0	86	0	86
PCT7055	TO	799	139	0	0	38	0	101	1	100
PCT7101	MV	152	27	0	0	8	0	19	0	19
PCT7101	TO	152	27	0	0	8	0	19	0	19
PCT7202	ED	1747	118	0	0	24	0	94	0	94
PCT7202	MV	1747	264	0	0	61	0	203	0	203
PCT7202	TO	1747	382	0	0	85	0	297	0	297
PCT7203	ED	867	83	0	0	22	0	61	1	60
PCT7203	MV	867	85	0	0	19	0	66	0	66
PCT7203	TO	867	168	0	0	41	0	127	1	126
PCT7204	ED	890	73	0	0	15	0	58	0	58
PCT7204	MV	890	153	0	0	32	0	121	0	121
PCT7204	TO	890	226	0	0	47	0	179	0	179
PCT7205	ED	862	85	0	0	17	0	68	0	68
PCT7205	MV	862	134	0	0	28	0	106	0	106
PCT7205	TO	862	219	0	0	45	0	174	0	174
PCT7207	ED	1483	87	0	0	14	0	73	1	72
PCT7207	MV	1483	315	0	0	69	0	246	0	246
PCT7207	TO	1483	402	0	0	83	0	319	1	318
PCT7208	ED	560	36	0	0	8	0	28	1	27
PCT7208	MV	560	103	0	0	20	0	83	0	83
