area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	15:SUZY LOFTUS	16:LEIF DAUTCH	17:NANCY TUNG	18:CHESA BOUDIN
PCT7024	MV	448	30	0	0	1	0	29	0	6	5	9	9
PCT7024	TO	448	44	0	0	2	0	42	0	9	8	11	14
PCT7025	ED	473	23	0	0	1	0	22	0	6	5	2	9
PCT7025	MV	473	47	0	1	2	0	44	0	9	5	13	17
PCT7025	TO	473	70	0	1	3	0	66	0	15	10	15	26
PCT7026	ED	1009	48	0	0	1	0	47	1	19	6	12	9
PCT7026	MV	1009	268	0	2	22	0	244	0	62	51	90	41
PCT7026	TO	1009	316	0	2	23	0	291	1	81	57	102	50
PCT7027	ED	883	66	0	0	3	0	63	2	22	8	10	21
PCT7027	MV	883	205	0	2	15	0	188	0	39	30	67	52
PCT7027	TO	883	271	0	2	18	0	251	2	61	38	77	73
PCT7028	ED	849	77	0	0	4	0	73	0	27	11	4	31
PCT7028	MV	849	127	0	0	4	0	123	0	42	19	20	42
PCT7028	TO	849	204	0	0	8	0	196	0	69	30	24	73
PCT7029	ED	1812	100	0	0	9	0	91	1	30	10	8	42
PCT7029	MV	1812	323	0	0	33	0	290	0	107	40	57	86
PCT7029	TO	1812	423	0	0	42	0	381	1	137	50	65	128
PCT7030	ED	787	46	0	0	0	0	46	1	12	10	12	11
PCT7030	MV	787	215	0	0	19	0	196	0	34	38	89	35
PCT7030	TO	787	261	0	0	19	0	242	1	46	48	101	46
PCT7031	ED	680	24	0	0	0	0	24	1	8	1	5	9
PCT7031	MV	680	148	0	1	17	0	130	0	38	26	37	29
PCT7031	TO	680	172	0	1	17	0	154	1	46	27	42	38
PCT7032	ED	876	48	0	0	10	0	38	1	8	6	6	17
PCT7032	MV	876	172	0	2	22	0	148	0	23	35	47	43
PCT7032	TO	876	220	0	2	32	0	186	1	31	41	53	60
PCT7033	ED	770	61	0	0	5	0	56	0	21	4	3	28
PCT7033	MV	770	134	0	2	13	0	119	0	42	16	23	38
PCT7033	TO	770	195	0	2	18	0	175	0	63	20	26	66
PCT7034	ED	954	36	0	0	6	0	30	1	10	4	6	9
PCT7034	MV	954	110	0	0	16	0	94	0	38	10	17	29
PCT7034	TO	954	146	0	0	22	0	124	1	48	14	23	38
PCT7035	ED	681	26	0	0	2	0	24	0	8	1	3	12
PCT7035	MV	681	155	0	0	10	0	145	0	47	20	26	52
PCT7035	TO	681	181	0	0	12	0	169	0	55	21	29	64
PCT7037	ED	1676	59	0	0	9	0	50	1	13	9	6	21
PCT7037	MV	1676	215	0	2	12	0	201	0	39	57	56	49
PCT7037	TO	1676	274	0	2	21	0	251	1	52	66	62	70
PCT7038	ED	924	34	0	0	2	0	32	0	11	2	5	14
PCT7038	MV	924	216	0	3	13	0	200	0	46	41	72	41
PCT7038	TO	924	250	0	3	15	0	232	0	57	43	77	55
PCT7039	ED	830	71	0	0	4	0	67	0	10	11	12	34
PCT7039	MV	830	171	0	1	15	0	155	0	37	19	61	38
PCT7039	TO	830	242	0	1	19	0	222	0	47	30	73	72
PCT7041	MV	60	12	0	0	0	0	12	0	1	4	6	1
PCT7041	TO	60	12	0	0	0	0	12	0	1	4	6	1
PCT7042	ED	1069	67	0	0	0	0	67	1	18	12	11	25
PCT7042	MV	1069	224	0	1	22	0	201	0	54	53	50	44
PCT7042	TO	1069	291	0	1	22	0	268	1	72	65	61	69
PCT7043	ED	961	40	0	0	1	0	39	0	15	2	6	16
PCT7043	MV	961	178	0	1	15	0	162	0	53	24	42	43
PCT7043	TO	961	218	0	1	16	0	201	0	68	26	48	59
PCT7044	ED	844	23	0	0	5	0	18	1	9	1	3	4
PCT7044	MV	844	94	0	0	4	0	90	0	32	18	26	14
PCT7044	TO	844	117	0	0	9	0	108	1	41	19	29	18
PCT7045	ED	783	39	0	0	5	0	34	0	9	7	10	8
PCT7045	MV	783	213	0	4	19	0	190	0	32	38	89	31
PCT7045	TO	783	252	0	4	24	0	224	0	41	45	99	39
PCT7047	ED	1727	73	0	0	8	0	65	1	25	10	7	22
PCT7047	MV	1727	375	0	0	34	0	341	0	63	71	144	63
PCT7047	TO	1727	448	0	0	42	0	406	1	88	81	151	85
PCT7048	ED	870	37	0	0	1	0	36	0	14	3	6	13
PCT7048	MV	870	162	0	1	12	0	149	0	34	31	46	38
PCT7048	TO	870	199	0	1	13	0	185	0	48	34	52	51
PCT7049	ED	815	50	0	0	2	0	48	2	15	4	21	6
PCT7049	MV	815	182	0	0	20	0	162	0	44	46	53	19
PCT7049	TO	815	232	0	0	22	0	210	2	59	50	74	25
PCT7052	ED	878	67	0	0	1	0	66	0	16	7	12	31
PCT7052	MV	878	219	0	0	14	0	205	0	39	36	86	44
PCT7052	TO	878	286	0	0	15	0	271	0	55	43	98	75
PCT7053	ED	568	22	0	0	4	0	18	0	9	1	4	4
PCT7053	MV	568	107	0	0	12	0	95	0	32	14	37	12
PCT7053	TO	568	129	0	0	16	0	113	0	41	15	41	16
PCT7054	ED	1111	60	0	0	5	0	55	1	18	4	5	27
PCT7054	MV	1111	193	0	0	17	0	176	0	50	23	44	59
PCT7054	TO	1111	253	0	0	22	0	231	1	68	27	49	86
PCT7055	ED	799	21	0	0	0	0	21	0	4	1	3	13
PCT7055	MV	799	178	0	0	12	0	166	0	38	31	62	35
PCT7055	TO	799	199	0	0	12	0	187	0	42	32	65	48
PCT7101	MV	152	64	0	1	6	0	57	0	23	4	7	23
PCT7101	TO	152	64	0	1	6	0	57	0	23	4	7	23
PCT7202	ED	1747	118	0	0	7	0	111	0	36	30	18	27
PCT7202	MV	1747	410	0	2	25	0	383	0	145	84	70	84
PCT7202	TO	1747	528	0	2	32	0	494	0	181	114	88	111
PCT7203	ED	867	83	0	0	3	0	80	0	29	10	9	32
PCT7203	MV	867	172	0	0	16	0	156	0	58	37	22	39
PCT7203	TO	867	255	0	0	19	0	236	0	87	47	31	71
PCT7204	ED	890	73	0	0	1	0	72	0	29	16	10	17
PCT7204	MV	890	267	0	1	22	0	244	0	106	52	31	55
PCT7204	TO	890	340	0	1	23	0	316	0	135	68	41	72
PCT7205	ED	862	85	0	0	7	0	78	0	40	9	7	22
PCT7205	MV	862	234	0	0	15	0	219	0	99	42	32	46
PCT7205	TO	862	319	0	0	22	0	297	0	139	51	39	68
PCT7207	ED	1483	87	0	0	4	0	83	0	28	17	15	23
PCT7207	MV	1483	453	0	1	34	0	418	0	186	84	68	80
PCT7207	TO	1483	540	0	1	38	0	501	0	214	101	83	103
PCT7208	ED	560	36	0	0	1	0	35	1	13	4	2	15
PCT7208	MV	560	127	0	0	12	0	115	0	42	23	14	36
PCT7208	TO	560	163	0	0	13	0	150	1	55	27	16	51
PCT7301	ED	1993	161	0	0	5	0	156	1	50	16	25	64
PCT7301	MV	1993	487	0	2	39	0	446	0	119	74	126	127
PCT7301	TO	1993	648	0	2	44	0	602	1	169	90	151	191
PCT7302	ED	838	81	0	0	4	0	77	1	29	18	11	18
PCT7302	MV	838	277	0	1	22	0	254	0	92	56	62	44
PCT7302	TO	838	358	0	1	26	0	331	1	121	74	73	62
PCT7305	ED	1633	161	0	0	11	0	150	0	41	24	28	57
PCT7305	MV	1633	424	0	3	30	0	391	0	142	61	93	95
PCT7305	TO	1633	585	0	3	41	0	541	0	183	85	121	152
PCT7306	ED	2083	166	0	1	10	0	155	1	41	28	21	64
PCT7306	MV	2083	340	0	0	26	0	314	0	73	73	104	64
PCT7306	TO	2083	506	0	1	36	0	469	1	114	101	125	128
PCT7308	ED	614	75	0	0	6	0	69	0	24	10	8	27
PCT7308	MV	614	136	0	1	10	0	125	0	37	15	33	40
PCT7308	TO	614	211	0	1	16	0	194	0	61	25	41	67
PCT7311	ED	866	89	0	0	3	0	86	0	25	13	13	35
PCT7311	MV	866	208	0	0	21	0	187	0	64	39	42	42
PCT7311	TO	866	297	0	0	24	0	273	0	89	52	55	77
PCT7312	ED	801	69	0	0	1	0	68	0	34	9	9	16
PCT7312	MV	801	263	0	0	24	0	239	0	121	36	43	39
PCT7312	TO	801	332	0	0	25	0	307	0	155	45	52	55
PCT7314	ED	1749	106	0	0	9	0	97	0	16	18	19	44
PCT7314	MV	1749	428	0	1	48	0	379	0	94	64	111	110
PCT7314	TO	1749	534	0	1	57	0	476	0	110	82	130	154
PCT7315	ED	1584	130	0	0	4	0	126	0	22	13	20	71
PCT7315	MV	1584	268	0	0	23	0	245	0	57	38	82	68
PCT7315	TO	1584	398	0	0	27	0	371	0	79	51	102	139
PCT7317	ED	875	59	0	0	0	0	59	0	20	6	8	25
PCT7317	MV	875	234	0	0	17	0	217	0	73	55	37	52
PCT7317	TO	875	293	0	0	17	0	276	0	93	61	45	77
PCT7318	ED	1567	109	0	0	5	0	104	0	27	20	27	30
PCT7318	MV	1567	291	0	2	19	0	270	0	71	55	85	59
PCT7318	TO	1567	400	0	2	24	0	374	0	98	75	112	89
PCT7321	ED	1533	57	0	0	5	0	52	0	11	5	21	15
PCT7321	MV	1533	401	0	4	32	0	365	0	73	50	146	96
PCT7321	TO	1533	458	0	4	37	0	417	0	84	55	167	111
PCT7323	ED	1967	149	0	0	5	0	144	0	52	14	29	49
PCT7323	MV	1967	385	0	1	37	0	347	0	98	74	91	84
PCT7323	TO	1967	534	0	1	42	0	491	0	150	88	120	133
PCT7325	ED	1588	104	0	0	6	0	98	1	21	14	24	38
PCT7325	MV	1588	350	0	1	27	0	322	0	116	45	91	70
PCT7325	TO	1588	454	0	1	33	0	420	1	137	59	115	108
PCT7326	ED	1709	123	0	0	4	0	119	1	39	10	22	47
PCT7326	MV	1709	433	0	0	25	0	408	0	134	61	134	79
PCT7326	TO	1709	556	0	0	29	0	527	1	173	71	156	126
PCT7327	ED	668	26	0	0	4	0	22	0	4	3	6	9
PCT7327	MV	668	198	0	2	12	0	184	0	36	37	75	36
PCT7327	TO	668	224	0	2	16	0	206	0	40	40	81	45
PCT7328	ED	985	33	0	0	1	0	32	0	10	5	9	8
PCT7328	MV	985	291	0	0	26	0	265	0	59	41	95	70
PCT7328	TO	985	324	0	0	27	0	297	0	69	46	104	78
PCT7329	ED	638	31	0	0	2	0	29	0	12	3	5	9
PCT7329	MV	638	152	0	1	11	0	140	0	42	25	46	27
PCT7329	TO	638	183	0	1	13	0	169	0	54	28	51	36
PCT7331	ED	850	102	0	0	4	0	98	1	40	15	21	21
PCT7331	MV	850	238	0	1	29	0	208	0	81	42	51	34
PCT7331	TO	850	340	0	1	33	0	306	1	121	57	72	55
PCT7332	ED	1601	145	0	2	5	0	138	0	31	13	19	75
PCT7332	MV	1601	355	0	4	20	0	331	0	81	52	76	122
PCT7332	TO	1601	500	0	6	25	0	469	0	112	65	95	197
PCT7333	ED	1930	151	0	0	7	0	144	2	41	21	24	56
PCT7333	MV	1930	436	0	0	36	0	400	0	131	74	103	92
PCT7333	TO	1930	587	0	0	43	0	544	2	172	95	127	148
PCT7336	ED	2021	168	0	0	10	0	158	2	48	19	17	72
PCT7336	MV	2021	461	0	0	35	0	426	0	151	72	79	124
PCT7336	TO	2021	629	0	0	45	0	584	2	199	91	96	196
PCT7338	ED	1783	120	0	1	6	0	113	0	26	15	25	47
PCT7338	MV	1783	479	0	6	30	0	443	0	105	65	169	104
PCT7338	TO	1783	599	0	7	36	0	556	0	131	80	194	151
PCT7339	ED	1588	131	0	0	2	0	129	1	38	17	25	48
PCT7339	MV	1588	329	0	0	33	0	296	0	68	61	69	98
PCT7339	TO	1588	460	0	0	35	0	425	1	106	78	94	146
PCT7342	ED	909	132	0	0	8	0	124	0	31	20	20	53
PCT7342	MV	909	166	0	0	15	0	151	0	49	24	31	47
PCT7342	TO	909	298	0	0	23	0	275	0	80	44	51	100
PCT7343	ED	706	65	0	0	5	0	60	0	17	13	9	21
PCT7343	MV	706	82	0	0	6	0	76	0	23	6	17	30
PCT7343	TO	706	147	0	0	11	0	136	0	40	19	26	51
PCT7344	ED	1052	93	0	0	10	0	83	0	21	8	12	42
PCT7344	MV	1052	248	0	0	16	0	232	0	75	40	46	71
PCT7344	TO	1052	341	0	0	26	0	315	0	96	48	58	113
PCT7346	ED	879	83	0	0	2	0	81	1	22	13	13	32
PCT7346	MV	879	152	0	1	8	0	143	0	44	24	33	42
PCT7346	TO	879	235	0	1	10	0	224	1	66	37	46	74
PCT7348	ED	1826	121	0	0	5	0	116	0	26	11	27	52
PCT7348	MV	1826	326	0	0	29	0	297	0	82	42	70	103
PCT7348	TO	1826	447	0	0	34	0	413	0	108	53	97	155
PCT7502	ED	779	66	0	0	1	0	65	1	21	14	4	25
PCT7502	MV	779	211	0	1	18	0	192	0	66	34	38	54
PCT7502	TO	779	277	0	1	19	0	257	1	87	48	42	79
PCT7503	ED	725	56	0	0	2	0	54	0	17	8	3	26
PCT7503	MV	725	181	0	0	18	0	163	0	57	22	33	51
PCT7503	TO	725	237	0	0	20	0	217	0	74	30	36	77
PCT7504	ED	1019	95	0	0	7	0	88	0	36	13	18	21
PCT7504	MV	1019	263	0	1	22	0	240	0	85	43	49	63
PCT7504	TO	1019	358	0	1	29	0	328	0	121	56	67	84
PCT7505	ED	851	78	0	0	1	0	77	1	38	9	8	21
PCT7505	MV	851	338	0	0	33	0	305	0	150	42	56	57
PCT7505	TO	851	416	0	0	34	0	382	1	188	51	64	78
PCT7506	ED	1913	135	0	0	6	0	129	0	46	12	17	54
PCT7506	MV	1913	457	0	1	35	0	421	0	139	50	69	163
PCT7506	TO	1913	592	0	1	41	0	550	0	185	62	86	217
PCT7508	ED	720	75	0	0	2	0	73	0	18	11	16	28
PCT7508	MV	720	228	0	1	22	0	205	0	69	41	46	49
PCT7508	TO	720	303	0	1	24	0	278	0	87	52	62	77
PCT7509	ED	914	100	0	0	5	0	95	0	38	8	10	39
PCT7509	MV	914	236	0	2	19	0	215	0	79	46	33	57
PCT7509	TO	914	336	0	2	24	0	310	0	117	54	43	96
PCT7512	ED	588	58	0	0	6	0	52	0	21	13	6	12
PCT7512	MV	588	176	0	0	11	0	165	0	47	42	29	47
PCT7512	TO	588	234	0	0	17	0	217	0	68	55	35	59
PCT7513	ED	784	79	0	0	5	0	74	1	23	5	5	40
PCT7513	MV	784	174	0	0	20	0	154	0	44	30	18	62
PCT7513	TO	784	253	0	0	25	0	228	1	67	35	23	102
PCT7514	ED	901	54	0	0	7	0	47	0	30	0	3	14
PCT7514	MV	901	195	0	2	20	0	173	0	74	24	28	47
PCT7514	TO	901	249	0	2	27	0	220	0	104	24	31	61
PCT7515	ED	852	70	0	0	2	0	68	0	35	6	3	24
PCT7515	MV	852	196	0	1	13	0	182	0	57	21	35	69
PCT7515	TO	852	266	0	1	15	0	250	0	92	27	38	93
PCT7516	ED	906	89	0	0	3	0	86	0	31	10	13	32
PCT7516	MV	906	307	0	1	22	0	284	0	106	42	52	84
PCT7516	TO	906	396	0	1	25	0	370	0	137	52	65	116
PCT7518	ED	1754	221	0	0	2	0	219	2	50	17	12	138
PCT7518	MV	1754	466	0	1	24	0	441	0	142	38	40	221
PCT7518	TO	1754	687	0	1	26	0	660	2	192	55	52	359
PCT7519	ED	709	88	0	0	5	0	83	1	13	7	3	59
PCT7519	MV	709	169	0	0	14	0	155	0	47	14	13	81
PCT7519	TO	709	257	0	0	19	0	238	1	60	21	16	140
PCT7521	ED	761	98	0	0	5	0	93	1	25	13	5	49
PCT7521	MV	761	177	0	0	13	0	164	0	60	17	11	76
PCT7521	TO	761	275	0	0	18	0	257	1	85	30	16	125
PCT7522	ED	1464	203	0	0	6	0	197	0	52	16	10	119
PCT7522	MV	1464	323	0	0	15	0	308	0	95	32	27	154
PCT7522	TO	1464	526	0	0	21	0	505	0	147	48	37	273
PCT7524	ED	606	75	0	0	2	0	73	0	28	3	5	37
PCT7524	MV	606	130	0	0	10	0	120	0	37	13	16	54
PCT7524	TO	606	205	0	0	12	0	193	0	65	16	21	91
PCT7525	ED	762	67	0	0	3	0	64	1	19	1	4	39
PCT7525	MV	762	159	0	0	7	0	152	0	60	14	15	63
PCT7525	TO	762	226	0	0	10	0	216	1	79	15	19	102
PCT7526	ED	974	93	0	0	2	0	91	0	23	10	7	51
PCT7526	MV	974	232	0	0	23	0	209	0	77	31	25	76
PCT7526	TO	974	325	0	0	25	0	300	0	100	41	32	127
PCT7527	ED	689	92	0	0	5	0	87	1	30	10	6	40
PCT7527	MV	689	187	0	3	17	0	167	0	46	24	25	72
PCT7527	TO	689	279	0	3	22	0	254	1	76	34	31	112
