area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	26:JENNY LAM	27:KIRSTEN STROBEL	28:ROBERT K. COLEMAN
PCT7012	ED	1165	149	0	0	22	127	0	80	29	18
PCT7012	MV	1165	365	0	0	87	278	0	222	38	18
PCT7012	TO	1165	514	0	0	109	405	0	302	67	36
PCT7013	ED	1033	93	0	1	20	72	0	54	12	6
PCT7013	MV	1033	283	0	0	55	228	0	188	28	12
PCT7013	TO	1033	376	0	1	75	300	0	242	40	18
PCT7014	ED	1388	136	0	1	18	117	0	81	24	12
PCT7014	MV	1388	417	0	0	81	336	0	283	33	20
PCT7014	TO	1388	553	0	1	99	453	0	364	57	32
PCT7015	ED	104	1	0	0	0	1	0	0	0	1
PCT7015	MV	104	25	0	0	4	21	0	7	10	4
PCT7015	TO	104	26	0	0	4	22	0	7	10	5
PCT7016	ED	912	75	0	0	14	61	0	39	11	11
PCT7016	MV	912	174	0	0	24	150	0	113	18	19
PCT7016	TO	912	249	0	0	38	211	0	152	29	30
PCT7017	ED	781	50	0	1	10	39	0	18	8	13
PCT7017	MV	781	143	0	1	26	116	0	91	8	17
PCT7017	TO	781	193	0	2	36	155	0	109	16	30
PCT7019	ED	1908	121	0	0	17	104	0	56	28	20
PCT7019	MV	1908	558	0	3	76	479	0	368	56	55
PCT7019	TO	1908	679	0	3	93	583	0	424	84	75
PCT7021	ED	955	96	0	0	17	79	0	36	19	24
PCT7021	MV	955	212	0	1	26	185	0	137	26	22
PCT7021	TO	955	308	0	1	43	264	0	173	45	46
PCT7022	ED	943	94	0	0	18	76	0	47	18	11
PCT7022	MV	943	215	0	2	26	187	0	138	23	26
PCT7022	TO	943	309	0	2	44	263	0	185	41	37
PCT7024	ED	448	39	0	0	7	32	0	14	11	7
PCT7024	MV	448	34	0	0	2	32	0	20	7	5
PCT7024	TO	448	73	0	0	9	64	0	34	18	12
PCT7025	ED	473	34	0	1	4	29	0	13	6	10
PCT7025	MV	473	58	0	0	6	52	0	35	8	9
PCT7025	TO	473	92	0	1	10	81	0	48	14	19
PCT7026	ED	1009	56	0	1	7	48	0	32	11	5
PCT7026	MV	1009	303	0	0	42	261	0	219	27	15
PCT7026	TO	1009	359	0	1	49	309	0	251	38	20
PCT7027	ED	883	86	0	0	11	75	0	45	12	18
PCT7027	MV	883	230	0	1	45	184	0	121	32	31
PCT7027	TO	883	316	0	1	56	259	0	166	44	49
PCT7028	ED	849	114	0	0	16	98	0	66	19	13
PCT7028	MV	849	168	0	0	29	139	0	107	17	15
PCT7028	TO	849	282	0	0	45	237	0	173	36	28
PCT7029	ED	1812	146	0	0	22	124	0	68	16	40
PCT7029	MV	1812	385	0	3	57	325	0	244	35	46
PCT7029	TO	1812	531	0	3	79	449	0	312	51	86
PCT7030	ED	787	54	0	0	4	50	0	32	12	6
PCT7030	MV	787	243	0	0	48	195	0	159	29	7
PCT7030	TO	787	297	0	0	52	245	0	191	41	13
PCT7031	ED	680	37	0	1	1	35	0	24	6	5
PCT7031	MV	680	210	0	2	28	180	0	132	33	15
PCT7031	TO	680	247	0	3	29	215	0	156	39	20
PCT7032	ED	876	70	0	0	16	54	0	25	10	19
PCT7032	MV	876	212	0	3	33	176	0	122	29	25
PCT7032	TO	876	282	0	3	49	230	0	147	39	44
PCT7033	ED	770	88	0	0	16	72	0	45	10	17
PCT7033	MV	770	164	0	1	20	143	0	108	16	19
PCT7033	TO	770	252	0	1	36	215	0	153	26	36
PCT7034	ED	954	61	0	0	6	55	0	29	11	15
PCT7034	MV	954	119	0	1	18	100	0	64	15	21
PCT7034	TO	954	180	0	1	24	155	0	93	26	36
PCT7035	ED	681	46	0	0	7	39	0	23	8	8
PCT7035	MV	681	181	0	1	24	156	0	107	26	23
PCT7035	TO	681	227	0	1	31	195	0	130	34	31
PCT7037	ED	1676	80	0	0	11	69	0	38	14	17
PCT7037	MV	1676	268	0	2	35	231	0	176	31	24
PCT7037	TO	1676	348	0	2	46	300	0	214	45	41
PCT7038	ED	924	49	0	1	6	42	0	28	3	11
PCT7038	MV	924	244	0	2	31	211	0	172	25	14
PCT7038	TO	924	293	0	3	37	253	0	200	28	25
PCT7039	ED	830	84	0	0	12	72	0	46	18	8
PCT7039	MV	830	197	0	0	35	162	0	133	17	12
PCT7039	TO	830	281	0	0	47	234	0	179	35	20
PCT7041	ED	60	0	0	0	0	0	0	0	0	0
PCT7041	MV	60	13	0	1	3	9	0	6	3	0
PCT7041	TO	60	13	0	1	3	9	0	6	3	0
PCT7042	ED	1069	92	0	0	10	82	0	50	18	14
PCT7042	MV	1069	266	0	0	52	214	0	163	23	28
PCT7042	TO	1069	358	0	0	62	296	0	213	41	42
PCT7043	ED	961	61	0	1	9	51	0	40	7	4
PCT7043	MV	961	228	0	2	35	191	0	148	28	15
