||Total Registered|Democratic|Republican|American Independent|Green|Libertarian|Peace and Freedom|Unknown|Other|No Party Preference
|Percent||0.28819671273231506|0.3985677659511566|0.04051554948091507|0.003222192870453|0.01129954494535923|0.0033631334081292152|0.004561128094792366|0.003977925982326269|0.24629606306552887

US Congressional 51
|Imperial|77111|37161|14593|1930|217|477|537|768|339|21089
|San Diego|259079|121709|39994|7172|1014|1937|1999|1996|2780|80478
District Total||336190|158870|54587|9102|1231|2414|2536|2764|3119|101567
|Percent||0.47256016731262207|0.1623694896697998|0.027073975652456284|0.0036616199649870396|0.007180463522672653|0.007543353363871574|0.008221541531383991|0.009277491830289364|0.3021118938922882

US Congressional 52
|San Diego|444192|167063|122378|14831|1457|4546|1067|2065|1374|129411
District Total||444192|167063|122378|14831|1457|4546|1067|2065|1374|129411
|Percent||0.3761053681373596|0.27550697326660156|0.033388715237379074|0.0032801132183521986|0.01023431308567524|0.002402114449068904|0.004648890346288681|0.0030932570807635784|0.2913402318954468

US Congressional 53
|San Diego|441985|195744|97695|14765|1744|4300|1758|2275|2602|121102
District Total||441985|195744|97695|14765|1744|4300|1758|2275|2602|121102
|Percent||0.4428747594356537|0.2210369110107422|0.03340611234307289|0.003945835400372744|0.009728836826980114|0.003977510612457991|0.005147233605384827|0.005887077655643225|0.2739957273006439

State Total||20660465|9361582|4937986|600057|83281|175352|95242|104680|120494|5181791
|Percent||0.4531157314777374|0.23900653421878815|0.029043732210993767|0.00403093546628952|0.008487321436405182|0.004609866999089718|0.005066681653261185|0.005832104943692684|0.2508070766925812
