County|Eligible|Total Registered|Democratic|Republican|American Independent|Green|Libertarian|Peace and Freedom|Unknown|Other|No Party Preference
Percent||0.832392156124115|0.3005532920360565|0.38216307759284973|0.04696350917220116|0.006652615033090115|0.012185483239591122|0.005928072612732649|0.000724542245734483|0.004413120914250612|0.2404162883758545

El Dorado|144429|124979|37470|51231|5361|631|1980|341|5|800|27160
Percent||0.865331768989563|0.29981037974357605|0.40991687774658203|0.042895205318927765|0.00504884822294116|0.015842661261558533|0.002728458493947983|4.000672197435051e-05|0.006401075515896082|0.21731650829315186

Fresno|605557|471384|182797|153966|14852|1390|3660|2224|2005|4251|106239
Percent||0.7784304618835449|0.3877878785133362|0.32662543654441833|0.0315072201192379|0.002948763547465205|0.007764370646327734|0.004718021955341101|0.004253432620316744|0.009018125012516975|0.22537676990032196

Glenn|18973|13454|3804|5930|520|39|163|47|11|33|2907
Percent||0.7091129422187805|0.2827411890029907|0.44076111912727356|0.03865021467208862|0.002898766193538904|0.01211535558104515|0.003493384923785925|0.0008176006958819926|0.0024528021458536386|0.2160695642232895

Humboldt|104590|79198|36241|18742|2602|1402|900|381|439|407|18084
Percent||0.7572234272956848|0.457599937915802|0.23664739727973938|0.032854363322257996|0.017702467739582062|0.0113639235496521|0.004810727667063475|0.005543069448322058|0.005139018874615431|0.22833910584449768

Imperial|100340|77111|37161|14593|1930|217|477|537|768|339|21089
Percent||0.768497109413147|0.481915682554245|0.18924666941165924|0.025028854608535767|0.0028141250368207693|0.006185887847095728|0.006963986903429031|0.009959668852388859|0.004396259784698486|0.2734888792037964

Inyo|13669|10029|3299|4072|385|35|90|33|31|57|2027
Percent||0.7337040305137634|0.328946053981781|0.4060225486755371|0.03838867321610451|0.0034898794256150723|0.008973975665867329|0.0032904576510190964|0.003091036109253764|0.005683518014848232|0.20211386680603027

Kern|527791|399154|136156|143261|14741|1017|3895|2023|3670|1037|93354
Percent||0.7562728524208069|0.3411114513874054|0.3589116036891937|0.03693060949444771|0.002547888783738017|0.009758138097822666|0.005068219266831875|0.009194445796310902|0.0025979948695749044|0.23387965559959412

Kings|82719|55738|18507|22186|1751|122|522|234|394|303|11719
Percent||0.6738234162330627|0.3320356011390686|0.3980408310890198|0.031414832919836044|0.0021888120099902153|0.009365244768559933|0.00419821310788393|0.007068786304444075|0.005436147563159466|0.21025153994560242

Lake|49258|33905|13016|9659|1511|293|391|187|26|54|8768
Percent||0.6883146166801453|0.3838961720466614|0.2848842442035675|0.044565699994564056|0.008641793392598629|0.011532221920788288|0.00551541056483984|0.0007668485632166266|0.0015926854684948921|0.25860491394996643

Lassen|16713|14028|2606|7427|781|45|169|56|14|66|2864
Percent||0.8393465876579285|0.18577131628990173|0.5294411182403564|0.055674366652965546|0.0032078700605779886|0.012047333642840385|0.003992015961557627|0.0009980039903894067|0.004704875871539116|0.2041631042957306

Los Angeles|6184428|5546785|2869677|935133|132867|21719|37631|34117|33172|43143|1439326
Percent||0.8968954086303711|0.5173586010932922|0.16859009861946106|0.02395387552678585|0.003915601409971714|0.006784290540963411|0.006150770001113415|0.005980401299893856|0.007778019178658724|0.2594883441925049

Madera|90838|61851|20056|24159|2156|175|566|325|428|321|13665
Percent||0.6808934807777405|0.32426315546035767|0.3905999958515167|0.034857966005802155|0.0028293803334236145|0.00915102381259203|0.0052545634098351|0.00691985571756959|0.005189891904592514|0.2209341824054718

Marin|181150|166260|97221|22970|4157|1137|1212|319|481|553|38210
Percent||0.9178029298782349|0.5847527980804443|0.13815709948539734|0.02500300668179989|0.006838686298578978|0.0072897872887551785|0.0019186815479770303|0.0028930590488016605|0.0033261156640946865|0.22982075810432434

Mariposa|14850|10916|3101|4931|464|59|125|33|34|109|2060
Percent||0.7350841760635376|0.2840784192085266|0.45172223448753357|0.04250641167163849|0.005404910072684288|0.01145108137279749|0.003023085417225957|0.003114694030955434|0.009985342621803284|0.18871381878852844

Mendocino|63955|52602|25330|10644|1902|929|587|281|430|124|12375
Percent||0.82248455286026|0.48154062032699585|0.2023497223854065|0.03615831956267357|0.017660925164818764|0.01115927193313837|0.005342002026736736|0.0081745944917202|0.002357324818149209|0.23525720834732056

Merced|162588|104706|45090|29361|3658|310|874|501|143|199|24570
Percent||0.6439958810806274|0.43063434958457947|0.2804137170314789|0.03493591398000717|0.0029606707394123077|0.008347181603312492|0.004784826189279556|0.0013657287927344441|0.0019005596404895186|0.23465703427791595

Modoc|7364|4984|1060|2667|250|15|54|19|7|17|895
Percent||0.6768060922622681|0.21268057823181152|0.5351123809814453|0.05016051232814789|0.0030096308328211308|0.01083467062562704|0.003812198992818594|0.0014044943964108825|0.0034109149128198624|0.1795746386051178

Mono|9279|7095|2627|2178|263|50|79|29|3|7|1859
Percent||0.7646297812461853|0.37026074528694153|0.3069767355918884|0.037068359553813934|0.007047216407954693|0.011134602129459381|0.004087385255843401|0.0004228329926263541|0.0009866103064268827|0.2620154917240143

Monterey|247748|195245|98887|39604|5217|923|1456|845|1645|215|46453
Percent||0.788079023361206|0.5064764618873596|0.202842578291893|0.02672027423977852|0.004727393854409456|0.007457297295331955|0.00432789558544755|0.008425312116742134|0.0011011805618181825|0.2379215806722641

Napa|92164|80667|38428|17494|2697|486|779|275|512|271|19725
Percent||0.8752549886703491|0.4763782024383545|0.2168668657541275|0.03343374654650688|0.006024768576025963|0.00965698529034853|0.003409076714888215|0.006347081158310175|0.003359490307047963|0.2445237785577774

Nevada|77963|68151|26151|22696|2587|664|907|193|44|6867|8042
Percent||0.8741454482078552|0.3837214410305023|0.333025187253952|0.03795982524752617|0.009743070229887962|0.013308682478964329|0.0028319465927779675|0.0006456251721829176|0.1007615476846695|0.11800266802310944

Orange|2024656|1634407|582362|558273|46744|4859|16139|5463|2418|4746|413403
Percent||0.8072516918182373|0.35631394386291504|0.3415752649307251|0.028599975630640984|0.0029729437083005905|0.009874529205262661|0.003342496696859598|0.0014794357120990753|0.0029038055799901485|0.2529376149177551

Placer|283757|247932|74001|103380|8651|841|4275|560|1223|1096|53905
Percent||0.8737475872039795|0.29847297072410583|0.4169691801071167|0.03489263355731964|0.0033920591231435537|0.017242630943655968|0.0022586837876588106|0.00493280403316021|0.004420566838234663|0.21741849184036255

Plumas|15957|12688|3628|5614|626|51|153|41|7|19|2549
Percent||0.7951369285583496|0.285939484834671|0.44246533513069153|0.0493379570543766|0.00401954585686326|0.012058638036251068|0.003231399692595005|0.0005517023964785039|0.0014974778750911355|0.20089848339557648

Riverside|1497969|1116317|434809|361558|39135|3107|9948|5061|6776|5228|250695
Percent||0.7452203631401062|0.38950315117836|0.3238846957683563|0.035057246685028076|0.0027832596097141504|0.00891144759953022|0.004533658269792795|0.006069960538297892|0.004683257546275854|0.2245732992887497

Sacramento|1026609|818656|363884|210189|28055|3334|8811|5060|5140|2463|191720
Percent||0.7974370121955872|0.4444895088672638|0.25674885511398315|0.034269582480192184|0.004072528798133135|0.010762762278318405|0.006180862430483103|0.006278583314269781|0.0030085896141827106|0.2341887205839157

San Benito|38254|32453|15067|8468|996|107|290|130|31|44|7320
Percent||0.8483557105064392|0.4642713963985443|0.26093119382858276|0.03069053776562214|0.0032970758620649576|0.008936000056564808|0.0040057930164039135|0.0009552275878377259|0.0013558068312704563|0.22555695474147797

San Bernardino|1345805|1016190|410197|298234|39242|3092|8958|6009|6621|6120|237717
Percent||0.7550796866416931|0.40366172790527344|0.2934825122356415|0.03861679509282112|0.0030427381861954927|0.008815280161798|0.005913264118134975|0.006515513639897108|0.006022495683282614|0.23392967879772186

San Diego|2232644|1826138|702356|504044|63137|6518|18378|7017|9408|9264|506016
Percent||0.8179261684417725|0.3846127688884735|0.27601638436317444|0.034574057906866074|0.003569281194359064|0.01006386149674654|0.0038425354287028313|0.005151856224983931|0.005073001142591238|0.2770962417125702

San Francisco|656600|505246|305309|33077|8686|3142|3125|1545|4044|810|145508
Percent||0.7694882750511169|0.6042779088020325|0.06546711921691895|0.017191626131534576|0.006218752823770046|0.006185106001794338|0.0030579164158552885|0.0080040218308568|0.0016031794948503375|0.2879943549633026

San Joaquin|468757|326470|140984|94440|10235|873|2767|1591|3272|1100|71208
Percent||0.6964589357376099|0.43184366822242737|0.2892761826515198|0.0313505083322525|0.0026740587782114744|0.008475510403513908|0.0048733423464000225|0.0100223608314991|0.003369375364854932|0.21811498701572418

San Luis Obispo|209156|176343|64100|61587|6089|965|2052|504|885|1500|38661
