||Total Registered|Democratic|Republican|American Independent|Green|Libertarian|Peace and Freedom|Unknown|Other|No Party Preference
     Percent|||0.2827411890029907|0.44076111912727356|0.03865021467208862|0.002898766193538904|0.01211535558104515|0.003493384923785925|0.0008176006958819926|0.0024528021458536386|0.2160695642232895

Humboldt
  Districts
|County Supervisorial 1|16239|6579|5143|553|154|178|53|80|71|3428
|County Supervisorial 2|15144|5676|4642|620|232|157|65|94|67|3591
|County Supervisorial 3|17247|9477|2396|405|475|201|99|94|92|4008
|County Supervisorial 4|14259|6736|3000|470|231|192|96|86|92|3356
|County Supervisorial 5|16309|7773|3561|554|310|172|68|85|85|3701

|US Congressional 2|79198|36241|18742|2602|1402|900|381|439|407|18084

|State Senate 2|79198|36241|18742|2602|1402|900|381|439|407|18084

|State Assembly 2|79198|36241|18742|2602|1402|900|381|439|407|18084

|State Board of Equalization 2|79198|36241|18742|2602|1402|900|381|439|407|18084

  Cities
|Arcata|10652|6193|944|253|317|129|72|64|65|2615
|Blue Lake|786|406|142|24|24|7|6|2|4|171
|Eureka|14760|7028|3152|477|212|190|97|88|87|3429
|Ferndale|954|374|341|29|6|13|0|5|4|182
|Fortuna|6691|2177|2470|266|40|74|22|43|25|1574
|Rio Dell|1765|541|626|80|18|30|8|18|14|430
|Trinidad|288|169|34|6|11|3|1|0|1|63

|Unincorporated Area|43302|19353|11033|1467|774|454|175|219|207|9620
Humboldt Totals||79198|36241|18742|2602|1402|900|381|439|407|18084
     Percent|||0.457599937915802|0.23664739727973938|0.032854363322257996|0.017702467739582062|0.0113639235496521|0.004810727667063475|0.005543069448322058|0.005139018874615431|0.22833910584449768

Imperial
  Districts
|County Supervisorial 1|17353|9681|1404|301|58|75|137|220|79|5398
|County Supervisorial 2|16074|7446|3483|417|46|104|90|139|76|4273
|County Supervisorial 3|16601|7353|3850|453|36|112|89|163|70|4475
|County Supervisorial 4|12794|5602|3334|415|32|109|105|124|50|3023
|County Supervisorial 5|14289|7079|2522|344|45|77|116|122|64|3920

|US Congressional 51|77111|37161|14593|1930|217|477|537|768|339|21089

|State Senate 40|77111|37161|14593|1930|217|477|537|768|339|21089

|State Assembly 56|77111|37161|14593|1930|217|477|537|768|339|21089

|State Board of Equalization 4|77111|37161|14593|1930|217|477|537|768|339|21089

  Cities
|Brawley|11099|5307|2422|327|26|87|91|103|37|2699
|Calexico|19605|10846|1560|330|65|84|149|241|93|6237
|Calipatria|1193|617|194|37|2|6|14|16|6|301
|El Centro|20143|9693|3982|513|60|125|127|189|89|5365
|Holtville|2565|1185|529|68|9|15|28|14|11|706
|Imperial|9183|3721|2381|262|17|61|35|80|35|2591
|Westmorland|719|393|129|19|0|4|8|8|0|158

|Unincorporated Area|12604|5399|3396|374|38|95|85|117|68|3032
Imperial Totals||77111|37161|14593|1930|217|477|537|768|339|21089
     Percent|||0.481915682554245|0.18924666941165924|0.025028854608535767|0.0028141250368207693|0.006185887847095728|0.006963986903429031|0.009959668852388859|0.004396259784698486|0.2734888792037964

Inyo
  Districts
|County Supervisorial 1|2246|698|1045|88|9|17|5|3|10|371
|County Supervisorial 2|1951|696|681|62|6|24|9|12|12|449
|County Supervisorial 3|2545|819|1066|104|11|15|6|5|17|502
|County Supervisorial 4|1846|582|792|60|1|14|6|4|11|376
|County Supervisorial 5|1441|504|488|71|8|20|7|7|7|329

|US Congressional 8|10029|3299|4072|385|35|90|33|31|57|2027

|State Senate 8|10029|3299|4072|385|35|90|33|31|57|2027

|State Assembly 26|10029|3299|4072|385|35|90|33|31|57|2027

|State Board of Equalization 1|10029|3299|4072|385|35|90|33|31|57|2027

  Cities
|Bishop|1833|671|620|58|6|23|9|11|10|425

|Unincorporated Area|8196|2628|3452|327|29|67|24|20|47|1602
Inyo Totals||10029|3299|4072|385|35|90|33|31|57|2027
     Percent|||0.328946053981781|0.4060225486755371|0.03838867321610451|0.0034898794256150723|0.008973975665867329|0.0032904576510190964|0.003091036109253764|0.005683518014848232|0.20211386680603027

Kern
  Districts
|County Supervisorial 1|105411|23114|54070|4218|240|1151|305|654|238|21421
|County Supervisorial 2|87186|26301|33007|3786|233|964|390|820|223|21462
|County Supervisorial 3|88945|28654|33732|3449|273|1022|450|792|265|20308
|County Supervisorial 4|58192|26881|13401|1484|98|381|360|620|117|14850
|County Supervisorial 5|59420|31206|9051|1804|173|377|518|784|194|15313

|US Congressional 21|102486|52273|17879|2730|214|642|806|1241|258|26443
|US Congressional 23|296668|83883|125382|12011|803|3253|1217|2429|779|66911

|State Senate 14|92388|48082|15392|2411|189|561|736|1149|240|23628
|State Senate 16|306766|88074|127869|12330|828|3334|1287|2521|797|69726

|State Assembly 26|8914|2063|4284|547|37|107|54|71|19|1732
|State Assembly 32|103159|53431|17534|2722|217|640|823|1275|275|26242
|State Assembly 34|267368|74755|114285|10478|706|2909|1047|2112|689|60387
|State Assembly 36|19713|5907|7158|994|57|239|99|212|54|4993

|State Board of Equalization 1|399154|136156|143261|14741|1017|3895|2023|3670|1037|93354

  Cities
|Arvin|5016|2846|530|109|6|28|38|61|5|1393
|Bakersfield|190284|67276|65290|6546|498|1702|910|1716|503|45843
|California City|5938|1960|2017|305|18|65|29|76|12|1456
|Delano|14873|8358|2119|292|27|65|105|195|29|3683
|Maricopa|430|67|233|27|0|6|2|2|3|90
|McFarland|3953|2148|544|81|5|34|19|41|7|1074
|Ridgecrest|15323|3451|6902|724|41|242|68|104|54|3737
|Shafter|7017|2830|1990|193|13|43|45|69|18|1816
|Taft|3212|527|1787|148|5|41|17|34|6|647
|Tehachapi|4874|1100|2184|276|18|64|19|36|14|1163
|Wasco|7158|3272|1513|198|7|54|56|83|17|1958

|Unincorporated Area|141076|42321|58152|5842|379|1551|715|1253|369|30494
Kern Totals||399154|136156|143261|14741|1017|3895|2023|3670|1037|93354
     Percent|||0.3411114513874054|0.3589116036891937|0.03693060949444771|0.002547888783738017|0.009758138097822666|0.005068219266831875|0.009194445796310902|0.0025979948695749044|0.23387965559959412

Kings
  Districts
|County Supervisorial 1|9665|2941|3920|326|16|107|32|79|48|2196
|County Supervisorial 2|8230|3940|2067|185|21|47|49|80|37|1804
|County Supervisorial 3|12854|3325|6109|394|30|127|41|94|65|2669
|County Supervisorial 4|11938|4418|4227|392|27|98|63|74|72|2567
|County Supervisorial 5|13051|3883|5863|454|28|143|49|67|81|2483

|US Congressional 21|55738|18507|22186|1751|122|522|234|394|303|11719

|State Senate 14|55738|18507|22186|1751|122|522|234|394|303|11719

|State Assembly 32|55738|18507|22186|1751|122|522|234|394|303|11719

|State Board of Equalization 1|55738|18507|22186|1751|122|522|234|394|303|11719

  Cities
|Avenal|2142|1024|454|38|4|17|10|28|9|558
|Corcoran|4609|2291|1114|117|10|23|28|44|20|962
|Hanford|26216|8599|10607|881|59|248|109|156|151|5406
|Lemoore|11336|3348|4696|386|24|126|36|87|59|2574

