||Total Registered|Democratic|Republican|American Independent|Green|Libertarian|Peace and Freedom|Unknown|Other|No Party Preference
|County Supervisorial 2|2640|839|1028|117|16|35|11|1|5|588
|County Supervisorial 3|2612|595|1425|122|7|25|3|1|1|433
|County Supervisorial 4|2441|805|885|118|13|31|11|3|4|571
|County Supervisorial 5|2771|813|1253|148|13|29|4|2|4|505

|US Congressional 1|12688|3628|5614|626|51|153|41|7|19|2549

|State Senate 1|12688|3628|5614|626|51|153|41|7|19|2549

|State Assembly 1|12688|3628|5614|626|51|153|41|7|19|2549

|State Board of Equalization 1|12688|3628|5614|626|51|153|41|7|19|2549

  Cities
|Portola|1091|348|411|67|1|14|10|0|4|236

|Unincorporated Area|11597|3280|5203|559|50|139|31|7|15|2313
Plumas Totals||12688|3628|5614|626|51|153|41|7|19|2549
     Percent|||0.285939484834671|0.44246533513069153|0.0493379570543766|0.00401954585686326|0.012058638036251068|0.003231399692595005|0.0005517023964785039|0.0014974778750911355|0.20089848339557648

Riverside
  Districts
|County Supervisorial 1|219175|82877|73990|7533|671|2019|1017|1238|987|48843
|County Supervisorial 2|211730|84228|66965|6489|561|1799|934|1352|812|48590
|County Supervisorial 3|244110|74623|94492|10430|707|2671|1004|1442|1425|57316
|County Supervisorial 4|208082|94143|59392|6710|559|1486|883|1189|928|42792
|County Supervisorial 5|233220|98938|66719|7973|609|1973|1223|1555|1076|53154

|US Congressional 36|347687|143087|108479|12573|1011|2735|1654|2049|1780|74319
|US Congressional 41|323197|151847|78858|9502|963|2504|1870|2188|1350|74115
|US Congressional 42|398999|126752|155507|14947|1012|4108|1412|2287|1836|91138
|US Congressional 50|46434|13123|18714|2113|121|601|125|252|262|11123

|State Senate 23|181798|62011|66083|7548|530|1707|904|1166|1066|40783
|State Senate 28|488154|175987|173034|18353|1339|4676|1890|2701|2379|107795
|State Senate 31|446365|196811|122441|13234|1238|3565|2267|2909|1783|102117

|State Assembly 42|191195|74539|64410|7248|534|1579|784|1054|1020|40027
|State Assembly 56|116964|55740|29228|3571|321|805|659|773|510|25357
|State Assembly 60|226737|93018|70251|6708|554|1843|1012|1435|862|51054
|State Assembly 61|219628|103793|52190|6526|684|1722|1255|1474|921|51063
|State Assembly 67|269651|81957|107017|10979|741|2827|1084|1581|1383|62082
|State Assembly 71|22163|5964|10045|1027|101|262|87|90|135|4452
|State Assembly 75|69979|19798|28417|3076|172|910|180|369|397|16660

|State Board of Equalization 4|1116317|434809|361558|39135|3107|9948|5061|6776|5228|250695

  Cities
|Banning|14318|5453|4998|619|39|114|76|83|73|2863
|Beaumont|25475|8858|9162|1004|57|252|106|136|124|5776
|Blythe|4642|1640|1547|202|9|29|24|43|19|1129
|Calimesa|5497|1396|2668|243|13|55|20|38|30|1034
|Canyon Lake|7158|1285|4113|302|9|68|18|31|31|1301
|Cathedral City|22897|11828|4837|668|69|157|119|154|103|4962
|Coachella|13224|8197|1273|243|39|87|107|79|34|3165
|Corona|75594|27953|26649|2319|190|704|271|476|272|16760
|Desert Hot Springs|11571|5218|2751|430|42|100|96|89|60|2785
|Eastvale|31142|12012|9269|908|51|223|94|190|110|8285
|Hemet|40441|14407|13692|1746|118|288|236|267|282|9405
|Indian Wells|2980|648|1667|118|5|19|0|12|9|502
|Indio|37336|17402|10156|1162|83|265|170|246|167|7685
|Jurupa Valley|43389|19794|10972|1222|100|329|254|353|174|10191
|La Quinta|21859|7307|8793|843|47|181|60|100|100|4428
|Lake Elsinore|29076|10218|9289|1147|92|334|170|166|138|7522
|Menifee|53083|16454|21366|2235|149|589|181|342|280|11487
|Moreno Valley|89814|45717|17891|2527|223|627|565|584|383|21297
|Murrieta|57565|15815|24326|2396|135|646|187|327|297|13436
|Norco|13260|3098|6866|439|38|129|37|67|53|2533
|Palm Desert|29367|10620|11202|1116|69|240|74|143|140|5763
|Palm Springs|26868|15790|4893|744|98|172|71|132|129|4839
|Perris|29147|15908|4369|711|80|183|210|278|99|7309
|Rancho Mirage|11302|4549|4048|360|23|72|21|39|49|2141
|Riverside|143305|63320|40695|4449|498|1205|710|822|616|30990
|San Jacinto|20753|8425|5528|785|80|204|166|152|129|5284
|Temecula|58056|16518|23423|2570|143|749|156|310|334|13853
|Wildomar|18310|4977|7649|827|60|215|69|114|103|4296

|Unincorporated Area|178888|60002|67466|6800|548|1712|793|1003|890|39674
Riverside Totals||1116317|434809|361558|39135|3107|9948|5061|6776|5228|250695
     Percent|||0.38950315117836|0.3238846957683563|0.035057246685028076|0.0027832596097141504|0.00891144759953022|0.004533658269792795|0.006069960538297892|0.004683257546275854|0.2245732992887497

Sacramento
  Districts
|County Supervisorial 1|161026|86536|24517|4999|870|1648|1237|1128|478|39613
|County Supervisorial 2|148826|78577|25005|4231|540|980|1354|1182|424|36533
|County Supervisorial 3|161196|67710|48049|5993|766|2031|908|853|510|34376
|County Supervisorial 4|163769|53883|60961|6550|574|2298|635|880|518|37470
|County Supervisorial 5|183839|77178|51657|6282|584|1854|926|1097|533|43728

|US Congressional 3|18253|5807|6804|804|64|236|116|132|56|4234
|US Congressional 6|351484|180026|63379|11209|1681|3380|2884|2513|1068|85344
|US Congressional 7|434278|173208|134429|15452|1549|5035|1988|2418|1293|98906
|US Congressional 9|14641|4843|5577|590|40|160|72|77|46|3236

|State Senate 1|94468|30933|36188|3581|317|1319|217|445|261|21207
|State Senate 3|3355|1213|1231|158|13|35|16|25|8|656
|State Senate 4|170832|63318|56192|6790|750|2366|1032|976|598|38810
|State Senate 5|14903|4929|5672|605|42|163|73|79|49|3291
|State Senate 6|505177|253433|99599|15820|2134|4527|3608|3486|1474|121096
|State Senate 8|29921|10058|11307|1101|78|401|114|129|73|6660

|State Assembly 6|88247|28609|33935|3375|298|1253|206|421|252|19898
|State Assembly 7|230632|115515|43341|7501|1160|2429|1725|1585|686|56690
|State Assembly 8|273244|109972|83677|10198|1147|3430|1587|1542|913|60778
|State Assembly 9|224353|109001|48455|6879|722|1673|1530|1575|606|53912
|State Assembly 11|2180|787|781|102|7|26|12|17|6|442

|State Board of Equalization 1|818656|363884|210189|28055|3334|8811|5060|5140|2463|191720

  Cities
|Citrus Heights|47376|16057|17401|2003|202|724|258|248|181|10302
|Elk Grove|97682|44055|24469|3071|268|774|405|586|242|23812
|Folsom|43863|14299|16141|1627|111|539|81|255|124|10686
|Galt|13087|4431|4817|533|36|136|70|69|43|2952
|Isleton|358|155|96|15|1|1|4|5|0|81
|Rancho Cordova|38618|15598|10710|1415|142|548|267|238|141|9559
|Sacramento|263659|142573|41089|7854|1266|2377|2075|1881|760|63784

|Unincorporated Area|314013|126716|95466|11537|1308|3712|1900|1858|972|70544
Sacramento Totals||818656|363884|210189|28055|3334|8811|5060|5140|2463|191720
     Percent|||0.4444895088672638|0.25674885511398315|0.034269582480192184|0.004072528798133135|0.010762762278318405|0.006180862430483103|0.006278583314269781|0.0030085896141827106|0.2341887205839157

San Benito
  Districts
|County Supervisorial 1|7564|3222|2240|244|18|52|17|10|15|1746
|County Supervisorial 2|6402|2938|1712|235|35|72|18|7|7|1378
|County Supervisorial 3|5984|3048|1295|145|15|43|35|4|7|1392
|County Supervisorial 4|7224|2720|2578|243|26|75|22|3|9|1548
|County Supervisorial 5|5279|3139|643|129|13|48|38|7|6|1256

|US Congressional 20|32453|15067|8468|996|107|290|130|31|44|7320

|State Senate 12|32453|15067|8468|996|107|290|130|31|44|7320

|State Assembly 30|32453|15067|8468|996|107|290|130|31|44|7320

|State Board of Equalization 2|32453|15067|8468|996|107|290|130|31|44|7320

  Cities
|Hollister|19525|9989|3969|556|58|168|103|18|30|4634
|San Juan Bautista|1076|559|225|53|2|17|2|3|0|215

|Unincorporated Area|11852|4519|4274|387|47|105|25|10|14|2471
San Benito Totals||32453|15067|8468|996|107|290|130|31|44|7320
     Percent|||0.4642713963985443|0.26093119382858276|0.03069053776562214|0.0032970758620649576|0.008936000056564808|0.0040057930164039135|0.0009552275878377259|0.0013558068312704563|0.22555695474147797

San Bernardino
  Districts
|County Supervisorial 1|197601|67828|68361|10059|560|1923|1204|1233|1377|45056
|County Supervisorial 2|221882|88212|68090|7810|683|1861|1024|1341|1254|51607
|County Supervisorial 3|218726|78027|76844|9345|782|2215|1102|1312|1409|47690
|County Supervisorial 4|194066|83906|50797|6180|574|1640|1098|1312|1007|47552
|County Supervisorial 5|183915|92224|34142|5848|493|1319|1581|1423|1073|45812

|US Congressional 8|335685|110711|122976|16641|1140|3518|1857|2054|2343|74445
|US Congressional 27|23742|7559|10022|801|61|191|57|103|102|4846
|US Congressional 31|366805|158201|100154|12882|1050|2991|2154|2406|2216|84751
|US Congressional 35|247416|118993|50386|7655|748|1920|1821|1814|1280|62799
|US Congressional 39|42542|14733|14696|1263|93|338|120|244|179|10876

|State Senate 16|63775|18683|24387|3627|278|777|381|435|535|14672
|State Senate 20|360117|173130|73265|11341|1022|2724|2686|2656|1930|91363
|State Senate 21|164976|59888|53196|8209|454|1538|1064|1064|1149|38414
|State Senate 23|339453|126931|117201|13206|1088|3162|1554|1971|2033|72307
|State Senate 25|45656|16935|15619|1606|159|423|204|251|294|10165
|State Senate 29|42213|14630|14566|1253|91|334|120|244|179|10796

|State Assembly 33|231503|77930|81800|11863|731|2375|1400|1428|1671|52305
|State Assembly 36|10033|2395|4843|517|36|132|30|54|58|1968
|State Assembly 40|248237|103070|74584|8921|746|2060|1267|1527|1487|54575
|State Assembly 41|59766|20842|22353|2140|191|535|232|304|362|12807
|State Assembly 42|64321|18200|26823|3207|275|798|274|408|433|13903
|State Assembly 47|215505|106219|39655|6778|591|1532|1746|1629|1192|56163
|State Assembly 52|144612|66911|33610|4563|431|1192|940|1027|738|35200
|State Assembly 55|42213|14630|14566|1253|91|334|120|244|179|10796

|State Board of Equalization 1|532547|200196|172170|22445|1649|4984|2894|3311|3366|121532
|State Board of Equalization 3|42213|14630|14566|1253|91|334|120|244|179|10796
|State Board of Equalization 4|441430|195371|111498|15544|1352|3640|2995|3066|2575|105389

  Cities
|Adelanto|12570|6187|1908|615|34|95|115|119|146|3351
|Apple Valley|40411|11305|17265|2091|93|403|211|192|227|8624
|Barstow|9978|3692|2620|588|29|84|93|89|155|2628
|Big Bear Lake|2768|689|1328|122|12|37|13|8|26|533
|Chino|41145|16412|12449|1366|106|340|193|265|161|9853
|Chino Hills|42213|14630|14566|1253|91|334|120|244|179|10796
|Colton|22941|11406|4164|768|56|150|165|187|136|5909
|Fontana|92362|45203|17133|2810|286|655|653|655|493|24474
|Grand Terrace|7081|2657|2376|303|18|68|35|38|40|1546
|Hesperia|44500|15220|14959|2190|133|474|274|313|310|10627
|Highland|27941|11748|8521|956|84|198|147|160|170|5957
|Loma Linda|11966|4447|3500|453|31|112|49|78|75|3221
|Montclair|15617|8038|2745|426|64|128|127|105|79|3905
|Needles|1946|650|704|135|2|14|12|8|13|408
|Ontario|73463|35259|15928|2377|232|601|502|526|408|17630
|Rancho Cucamonga|95479|35270|32745|3528|262|791|349|567|584|21383
|Redlands|41914|15448|14887|1653|160|432|151|211|196|8776
|Rialto|45851|23916|7068|1465|113|323|423|376|234|11933
|San Bernardino|96195|46869|21668|3071|262|648|738|694|614|21631
|Twenty-nine Palms|6901|2018|2429|366|32|106|48|57|49|1796
|Upland|43093|16242|14429|1508|148|387|198|241|282|9658
|Victorville|53344|23516|12490|2627|158|418|408|374|383|12970
|Yucaipa|30458|7948|14162|1382|97|340|97|178|196|6058
|Yucca Valley|11900|3300|4757|645|53|148|62|77|88|2770

|Unincorporated Area|144153|48127|53433|6544|536|1672|826|859|876|31280
San Bernardino Totals||1016190|410197|298234|39242|3092|8958|6009|6621|6120|237717
     Percent|||0.40366172790527344|0.2934825122356415|0.03861679509282112|0.0030427381861954927|0.008815280161798|0.005913264118134975|0.006515513639897108|0.006022495683282614|0.23392967879772186

San Diego
  Districts
|County Supervisorial 1|328291|144035|65044|9226|1118|2371|1949|2130|2356|100062
|County Supervisorial 2|382224|124616|136538|15057|1262|4130|1295|1794|2058|95474
|County Supervisorial 3|372645|136739|107393|12209|1104|3515|967|1663|1028|108027
|County Supervisorial 4|383547|178635|70616|12772|1798|4298|1642|2158|2493|109135
|County Supervisorial 5|359431|118331|124453|13873|1236|4064|1164|1663|1329|93318

|US Congressional 49|315795|112364|98672|11809|1098|3546|934|1447|1133|84792
|US Congressional 50|365087|105476|145305|14560|1205|4049|1259|1625|1375|90233
|US Congressional 51|259079|121709|39994|7172|1014|1937|1999|1996|2780|80478
|US Congressional 52|444192|167063|122378|14831|1457|4546|1067|2065|1374|129411
|US Congressional 53|441985|195744|97695|14765|1744|4300|1758|2275|2602|121102

|State Senate 36|274506|97648|85975|10518|1015|3132|881|1281|1054|73002
|State Senate 38|557435|174064|204500|21439|1778|5955|1833|2512|2314|143040
|State Senate 39|589426|250122|137136|19539|2333|6305|1723|2892|2463|166913
|State Senate 40|404771|180522|76433|11641|1392|2986|2580|2723|3433|123061

|State Assembly 71|249363|72541|98953|10172|761|2704|870|1173|1222|60967
|State Assembly 75|199365|62872|72719|7574|718|2230|752|885|685|50930
|State Assembly 76|268724|95953|83637|10303|982|3072|862|1255|1026|71634
|State Assembly 77|301468|106172|90498|9798|790|2744|657|1339|838|88632
|State Assembly 78|294211|133975|60391|9852|1352|3496|891|1414|1131|81709
|State Assembly 79|279457|120645|61266|9245|1018|2437|1325|1708|2233|79580
|State Assembly 80|233550|110198|36580|6193|897|1695|1660|1634|2129|72564

|State Board of Equalization 4|1826138|702356|504044|63137|6518|18378|7017|9408|9264|506016

  Cities
|Carlsbad|75645|25671|25752|2836|203|771|143|311|230|19728
|Chula Vista|148657|63978|31989|4268|466|1042|739|888|655|44632
|Coronado|10891|3113|4394|406|27|108|11|47|17|2768
|Del Mar|3330|1292|986|111|10|44|9|16|9|853
|El Cajon|46595|15599|14948|1876|139|452|260|349|279|12693
|Encinitas|42685|17519|11227|1496|212|496|90|171|116|11358
|Escondido|70897|24308|22818|2694|239|770|366|348|264|19090
|Imperial Beach|13466|5057|3204|541|67|145|115|87|89|4161
|La Mesa|36251|14859|9499|1459|168|441|129|159|225|9312
|Lemon Grove|15359|6735|3341|546|75|130|98|78|212|4144
|National City|25951|12078|4010|708|99|154|207|243|310|8142
|Oceanside|97933|34492|30736|3984|373|1081|406|465|447|25949
|Poway|31240|9157|12005|1095|69|320|52|138|99|8305
|San Diego|781025|340132|165505|24580|3003|7606|3087|4254|4584|228274
|San Marcos|47795|16724|15182|1774|159|542|154|212|158|12890
|Santee|35640|9949|14451|1535|114|440|92|122|134|8803
|Solana Beach|9161|3597|2689|286|17|94|13|34|22|2409
|Vista|46849|16816|13707|1763|177|616|208|281|199|13082

|Unincorporated Area|286768|81280|117601|11179|901|3126|838|1205|1215|69423
San Diego Totals||1826138|702356|504044|63137|6518|18378|7017|9408|9264|506016
     Percent|||0.3846127688884735|0.27601638436317444|0.034574057906866074|0.003569281194359064|0.01006386149674654|0.0038425354287028313|0.005151856224983931|0.005073001142591238|0.2770962417125702

San Francisco
  Districts
|County Supervisorial 1|43257|25431|3228|730|299|243|97|308|45|12876
|County Supervisorial 2|50164|28407|5916|1267|137|445|34|291|52|13615
|County Supervisorial 3|39490|21865|3023|779|200|333|107|365|69|12749
|County Supervisorial 4|44226|23708|3561|711|286|239|121|373|71|15156
|County Supervisorial 5|53001|35607|2042|833|384|329|148|354|83|13221
|County Supervisorial 6|43876|25332|2609|858|261|396|205|538|155|13522
|County Supervisorial 7|47569|27717|4646|842|300|267|102|316|58|13321
|County Supervisorial 8|58277|41371|2054|678|458|282|99|271|75|12989
|County Supervisorial 9|43373|28334|1701|585|412|199|198|330|71|11543
|County Supervisorial 10|43226|25879|1952|755|205|208|243|482|74|13428
|County Supervisorial 11|38787|21658|2345|648|200|184|191|416|57|13088

|US Congressional 12|447027|272864|28145|7673|2844|2822|1351|3514|728|127086
|US Congressional 13|0|0|0|0|0|0|0|0|0|0
|US Congressional 14|58219|32445|4932|1013|298|303|194|530|82|18422

|State Senate 11|505246|305309|33077|8686|3142|3125|1545|4044|810|145508

|State Assembly 17|293158|184573|14806|4725|1981|1827|1057|2445|550|81194
|State Assembly 19|212088|120736|18271|3961|1161|1298|488|1599|260|64314

|State Board of Equalization 2|505246|305309|33077|8686|3142|3125|1545|4044|810|145508

  Cities
|San Francisco|505246|305309|33077|8686|3142|3125|1545|4044|810|145508
San Francisco Totals||505246|305309|33077|8686|3142|3125|1545|4044|810|145508
     Percent|||0.6042779088020325|0.06546711921691895|0.017191626131534576|0.006218752823770046|0.006185106001794338|0.0030579164158552885|0.0080040218308568|0.0016031794948503375|0.2879943549633026

San Joaquin
  Districts
|County Supervisorial 1|47605|27555|6780|1290|139|278|382|640|163|10378
|County Supervisorial 2|60362|30212|13488|1734|155|440|362|675|215|13081
|County Supervisorial 3|71064|30529|20465|2320|177|629|308|658|238|15740
|County Supervisorial 4|72144|20176|34285|2546|191|804|218|469|188|13267
|County Supervisorial 5|75295|32512|19422|2345|211|616|321|830|296|18742

|US Congressional 9|225616|101340|62760|6783|599|1862|1196|2291|736|48049
|US Congressional 10|100854|39644|31680|3452|274|905|395|981|364|23159

|State Senate 5|326470|140984|94440|10235|873|2767|1591|3272|1100|71208

|State Assembly 9|35611|11126|15298|1248|101|412|130|264|106|6926
|State Assembly 12|85323|29225|32623|3004|224|827|301|710|260|18149
|State Assembly 13|205536|100633|46519|5983|548|1528|1160|2298|734|46133

|State Board of Equalization 1|326470|140984|94440|10235|873|2767|1591|3272|1100|71208

  Cities
|Escalon|3968|1091|1883|177|7|48|8|18|10|726
|Lathrop|10808|5096|2098|332|25|94|49|135|33|2946
|Lodi|30533|9750|12798|1063|88|355|114|230|94|6041
|Manteca|38576|15306|11923|1390|110|354|156|368|145|8824
|Ripon|9210|2080|4833|358|24|102|15|64|16|1718
|Stockton|124372|64798|25631|3496|324|841|752|1398|427|26705
|Tracy|41847|19139|9641|1304|113|352|189|474|168|10467

|Unincorporated Area|67156|23724|25633|2115|182|621|308|585|207|13781
San Joaquin Totals||326470|140984|94440|10235|873|2767|1591|3272|1100|71208
     Percent|||0.43184366822242737|0.2892761826515198|0.0313505083322525|0.0026740587782114744|0.008475510403513908|0.0048733423464000225|0.0100223608314991|0.003369375364854932|0.21811498701572418

San Luis Obispo
  Districts
|County Supervisorial 1|33586|9463|14725|1257|135|381|85|173|257|7110
|County Supervisorial 2|33321|14928|8595|1068|265|373|112|172|299|7509
|County Supervisorial 3|36908|15074|11003|1281|211|408|101|170|292|8368
|County Supervisorial 4|37419|12587|14294|1260|155|406|109|187|369|8052
|County Supervisorial 5|35109|12048|12970|1223|199|484|97|183|283|7622

|US Congressional 24|176343|64100|61587|6089|965|2052|504|885|1500|38661

|State Senate 17|176343|64100|61587|6089|965|2052|504|885|1500|38661

|State Assembly 35|176343|64100|61587|6089|965|2052|504|885|1500|38661
|State Assembly 37|0|0|0|0|0|0|0|0|0|0

|State Board of Equalization 2|176343|64100|61587|6089|965|2052|504|885|1500|38661

  Cities
|Arroyo Grande|12725|4454|4724|430|60|137|23|61|112|2724
|Atascadero|19241|6220|7469|710|115|266|63|91|158|4149
|El Paso de Robles|17395|5396|6936|642|65|207|50|96|142|3861
|Grover Beach|7693|2824|2487|314|38|80|39|52|62|1797
|Morro Bay|7854|3260|2242|282|61|93|34|53|71|1758
|Pismo Beach|6184|2046|2410|216|27|59|14|28|54|1330
|San Luis Obispo|29311|14221|6105|921|193|353|64|149|209|7096

|Unincorporated Area|75940|25679|29214|2574|406|857|217|355|692|15946
San Luis Obispo Totals||176343|64100|61587|6089|965|2052|504|885|1500|38661
     Percent|||0.36349615454673767|0.34924551844596863|0.034529298543930054|0.005472289863973856|0.01163641270250082|0.002858066465705633|0.005018628668040037|0.008506149984896183|0.21923750638961792

San Mateo
  Districts
|County Supervisorial 1|84056|43732|13151|1997|306|479|229|445|373|23344
|County Supervisorial 2|86704|45137|13521|1989|312|540|186|435|382|24202
|County Supervisorial 3|102382|53952|17546|2610|524|870|204|366|400|25910
|County Supervisorial 4|70682|39737|8739|1474|326|539|286|414|291|18876
|County Supervisorial 5|73475|40433|8119|1411|258|363|309|417|321|21844

|US Congressional 14|344629|184503|48676|7870|1388|2191|1061|1762|1506|95672
|US Congressional 18|72670|38488|12400|1611|338|600|153|315|261|18504

|State Senate 11|63124|34935|6628|1196|216|293|283|382|275|18916
|State Senate 13|354175|188056|54448|8285|1510|2498|931|1695|1492|95260

|State Assembly 19|65338|36222|6867|1244|222|302|289|396|284|19512
|State Assembly 22|279577|147874|43040|6625|1120|1894|682|1323|1196|75823
|State Assembly 24|72384|38895|11169|1612|384|595|243|358|287|18841

|State Board of Equalization 2|417299|222991|61076|9481|1726|2791|1214|2077|1767|114176

  Cities
|Atherton|5019|1981|1410|116|14|43|2|26|16|1411
|Belmont|16318|8525|2509|391|56|98|26|69|64|4580
|Brisbane|2866|1598|319|59|16|26|8|21|13|806
|Burlingame|17983|9272|2993|438|62|115|37|71|77|4918
|Colma|738|436|81|25|0|2|3|1|3|187
|Daly City|49421|27264|5129|916|165|229|231|306|232|14949
|East Palo Alto|11057|6649|680|211|50|69|98|85|67|3148
|Foster City|17074|8121|2820|321|46|92|19|85|72|5498
|Half Moon Bay|7658|3909|1389|232|54|77|20|30|32|1915
|Hillsborough|7965|3008|2276|221|14|54|6|39|32|2315
|Menlo Park|19822|11111|2864|388|97|142|44|93|64|5019
|Millbrae|13395|6422|2184|297|49|52|35|87|60|4209
|Pacifica|25637|14478|3455|721|144|206|94|106|119|6314
|Portola Valley|3476|1779|687|59|10|35|5|10|15|876
|Redwood City|42762|23173|6209|956|174|338|109|214|162|11427
|San Bruno|23454|12844|3265|543|100|152|82|122|112|6234
|San Carlos|20178|10643|3551|497|70|146|21|64|68|5118
|San Mateo|56192|30044|8586|1345|217|364|147|288|258|14943
|South San Francisco|34594|19574|3933|758|132|173|120|171|141|9592
|Woodside|4149|1820|1045|129|15|42|8|9|19|1062

|Unincorporated Area|37541|20340|5691|858|241|336|99|180|141|9655
San Mateo Totals||417299|222991|61076|9481|1726|2791|1214|2077|1767|114176
     Percent|||0.5343674421310425|0.14636027812957764|0.022719919681549072|0.004136123228818178|0.006688249763101339|0.002909185132011771|0.00497724674642086|0.004234374035149813|0.27360716462135315

Santa Barbara
  Districts
|County Supervisorial 1|48166|25161|8808|1226|312|409|161|305|359|11425
|County Supervisorial 2|55032|27622|11969|1478|330|474|127|288|356|12388
|County Supervisorial 3|49366|21848|11985|1269|203|502|115|339|288|12817
|County Supervisorial 4|43670|14388|16280|1617|125|365|175|281|233|10206
|County Supervisorial 5|30689|12964|8017|942|73|213|182|271|177|7850

|US Congressional 24|226923|101983|57059|6532|1043|1963|760|1484|1413|54686

|State Senate 19|226923|101983|57059|6532|1043|1963|760|1484|1413|54686

|State Assembly 35|85686|31497|28022|2945|229|689|402|634|497|20771
|State Assembly 37|141237|70486|29037|3587|814|1274|358|850|916|33915

|State Board of Equalization 2|226923|101983|57059|6532|1043|1963|760|1484|1413|54686

  Cities
|Buellton|3119|1105|1087|121|8|38|9|11|21|719
|Carpinteria|7460|3614|1618|202|50|52|22|56|54|1792
|Goleta|18369|9034|4035|471|109|175|55|107|111|4272
|Guadalupe|2728|1480|423|77|7|9|18|30|21|663
|Lompoc|17814|6874|5076|686|57|169|95|131|108|4618
|Santa Barbara|51782|28518|8090|1317|355|457|166|307|368|12204
|Santa Maria|35593|14954|9390|1087|81|246|197|310|199|9129
|Solvang|3679|1235|1418|130|13|38|9|19|17|800

|Unincorporated Area|86379|35169|25922|2441|363|779|189|513|514|20489
Santa Barbara Totals||226923|101983|57059|6532|1043|1963|760|1484|1413|54686
     Percent|||0.44941675662994385|0.25144651532173157|0.028785094618797302|0.004596272949129343|0.008650511503219604|0.0033491537906229496|0.006539663299918175|0.006226781755685806|0.24098923802375793

Santa Clara
  Districts
|County Supervisorial 1|207480|94335|46281|6095|765|1907|652|33|491|56921
|County Supervisorial 2|146611|76503|18042|3263|652|1117|1043|25|747|45219
|County Supervisorial 3|188604|88455|29962|4101|538|1222|720|35|468|63103
|County Supervisorial 4|194702|96419|33447|4671|755|1700|608|40|451|56611
|County Supervisorial 5|213895|103454|31628|3310|660|1273|300|32|317|72921

|US Congressional 17|256212|118982|38436|5045|764|1700|765|54|519|89947
|US Congressional 18|315065|153181|55697|6770|1122|2453|675|49|608|94510
|US Congressional 19|371893|182716|64089|9385|1453|2994|1840|60|1332|108024
|US Congressional 20|8122|4287|1138|240|31|72|43|2|15|2294

|State Senate 10|153508|72728|23528|3327|486|1097|543|42|337|51420
|State Senate 13|180733|92810|24964|2976|635|1240|330|19|279|57480
|State Senate 15|498633|238632|85638|11534|1784|3768|1942|82|1541|153712
|State Senate 17|118418|54996|25230|3603|465|1114|508|22|317|32163

|State Assembly 24|183469|94017|25483|3028|637|1255|334|21|286|58408
|State Assembly 25|154028|72224|23912|3357|478|1055|576|40|349|52037
|State Assembly 27|219977|111016|31161|4901|851|1517|1319|36|964|68212
|State Assembly 28|273081|127209|51530|6411|938|2243|660|48|595|83447
|State Assembly 29|56871|26206|11676|1613|219|529|191|13|156|16268
|State Assembly 30|63866|28494|15598|2130|247|620|243|7|124|16403

|State Board of Equalization 2|951292|459166|159360|21440|3370|7219|3323|165|2474|294775

  Cities
|Campbell|24168|11736|4427|667|104|274|76|4|45|6835
|Cupertino|31498|13240|4550|462|70|148|39|7|49|12933
|Gilroy|27726|13301|5793|862|109|237|117|4|46|7257
|Los Altos|21152|10208|4065|356|57|144|21|1|26|6274
|Los Altos Hills|6161|2524|1446|112|18|33|6|0|7|2015
|Los Gatos|21497|9686|5055|614|80|204|29|4|45|5780
|Milpitas|33274|14802|5121|706|90|194|141|6|65|12149
|Monte Sereno|2657|1050|781|82|4|23|3|0|5|709
|Morgan Hill|25582|11022|6606|875|95|273|76|3|52|6580
|Mountain View|38812|20844|4385|647|164|286|75|7|48|12356
|Palo Alto|41653|23056|4554|530|167|237|54|8|66|12981
|San Jose|491367|239540|80204|11545|1808|3717|2181|94|1642|150636
|Santa Clara|54699|26826|8426|1159|188|405|161|17|115|17402
|Saratoga|21578|8720|4750|353|38|114|22|3|28|7550
|Sunnyvale|65262|31830|9545|1225|209|500|163|3|120|21667

|Unincorporated Area|44206|20781|9652|1245|169|430|159|4|115|11651
Santa Clara Totals||951292|459166|159360|21440|3370|7219|3323|165|2474|294775
     Percent|||0.4826761782169342|0.16751953959465027|0.022537769749760628|0.0035425506066530943|0.007588626816868782|0.003493144176900387|0.000173448323039338|0.002600673586130142|0.30986806750297546

Santa Cruz
  Districts
|County Supervisorial 1|36548|20702|5470|916|315|337|108|56|176|8468
|County Supervisorial 2|35113|19127|6160|951|222|329|126|66|160|7972
|County Supervisorial 3|35153|22883|2600|588|367|285|94|24|175|8137
|County Supervisorial 4|20974|12473|2454|390|110|124|128|46|86|5163
|County Supervisorial 5|35816|18990|6055|1049|381|468|126|57|182|8508

|US Congressional 18|36377|18847|6548|1091|380|519|109|62|182|8639
|US Congressional 20|127227|75328|16191|2803|1015|1024|473|187|597|29609

|State Senate 17|163604|94175|22739|3894|1395|1543|582|249|779|38248

|State Assembly 29|136785|78209|19676|3391|1259|1389|404|187|683|31587
|State Assembly 30|26819|15966|3063|503|136|154|178|62|96|6661

|State Board of Equalization 2|163604|94175|22739|3894|1395|1543|582|249|779|38248

  Cities
|Capitola|6762|3732|1021|209|50|67|23|7|42|1611
|Santa Cruz|39209|25400|2979|679|391|288|122|26|203|9121
|Scotts Valley|8285|3942|1921|274|58|101|14|17|34|1924
