County	Eligible	Total Registered	Democratic	Republican	American Independent	Green	Libertarian	Peace and Freedom	Unknown	Other	No Party Preference
Los Angeles	6184646	5498704	2810355	924352	131951	22904	37820	33859	32356	44419	1460688
Percent		0.8890895247459412	0.5110940933227539	0.16810360550880432	0.02399674616754055	0.004165345337241888	0.006877984385937452	0.006157632917165756	0.005884295795112848	0.008078085258603096	0.2656422257423401

Madera	90775	60709	19479	23471	2153	176	560	314	428	297	13831
Percent		0.6687854528427124	0.32085850834846497	0.3866148293018341	0.03546426445245743	0.002899075858294964	0.009224332869052887	0.005172214936465025	0.00705002574250102	0.0048921904526650906	0.22782453894615173

Marin	181090	164210	94107	22990	4262	1276	1216	314	492	538	39015
Percent		0.9067866802215576	0.5730893611907959	0.14000365138053894	0.02595457062125206	0.007770537864416838	0.007405152078717947	0.0019121855730190873	0.0029961634427309036	0.0032762924674898386	0.23759210109710693

Mariposa	14854	10747	3008	4738	489	72	123	36	33	112	2136
Percent		0.7235088348388672	0.27989205718040466	0.44086721539497375	0.045501068234443665	0.006699543911963701	0.011445054784417152	0.0033497719559818506	0.0030706243123859167	0.01042151264846325	0.19875313341617584

Mendocino	63962	51890	24524	10377	1930	1027	594	280	437	128	12593
Percent		0.8112629652023315	0.47261515259742737	0.1999807357788086	0.03719406574964523	0.019791867583990097	0.011447292752563953	0.0053960299119353294	0.008421661332249641	0.0024667566176503897	0.2426864504814148

Merced	162349	102992	44128	28362	3611	326	885	471	131	176	24902
Percent		0.634386420249939	0.4284604489803314	0.27538061141967773	0.03506097570061684	0.0031652944162487984	0.008592900820076466	0.0045731705613434315	0.0012719434453174472	0.001708870637230575	0.24178576469421387

Modoc	7363	4965	1034	2569	256	17	54	18	7	15	995
Percent		0.6743175387382507	0.20825780928134918	0.5174219608306885	0.05156092718243599	0.0034239678643643856	0.010876133106648922	0.0036253775469958782	0.0014098690589889884	0.003021148033440113	0.20040282607078552

Mono	9290	7062	2532	2153	289	54	82	30	3	7	1912
Percent		0.7601722478866577	0.3585386574268341	0.304871141910553	0.04092325270175934	0.007646559271961451	0.011611441150307655	0.004248088225722313	0.0004248088225722313	0.000991220586001873	0.27074483036994934

Monterey	247447	194013	96905	39143	5294	982	1482	835	1574	198	47600
