area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	080:GREG CONLON	081:FIONA MA
PCT7209	ED	626	107	0	0	0	8	99	11	88
PCT7209	MV	626	423	0	0	0	15	408	64	344
PCT7301	ED	1016	228	0	0	0	18	210	38	172
PCT7301	MV	1016	435	0	0	0	22	413	71	342
PCT7302	ED	814	188	0	0	0	7	181	30	151
PCT7302	MV	814	458	0	0	0	32	426	66	360
PCT7303	ED	1042	280	0	0	0	22	258	31	227
PCT7303	MV	1042	482	0	0	1	29	452	62	390
PCT7304	ED	1002	278	0	0	0	12	266	43	223
PCT7304	MV	1002	493	0	0	0	23	470	81	389
PCT7305	ED	871	239	0	0	0	19	220	41	179
PCT7305	MV	871	459	0	0	0	24	435	95	340
PCT7306	ED	1056	317	0	0	0	16	301	47	254
PCT7306	MV	1056	496	0	0	0	39	457	68	389
PCT7307	ED	767	209	0	0	0	12	197	17	180
PCT7307	MV	767	345	0	0	0	23	322	50	272
PCT7308	ED	603	177	0	0	0	8	169	18	151
PCT7308	MV	603	313	0	0	0	16	297	53	244
PCT7309	ED	884	260	0	0	0	18	242	37	205
PCT7309	MV	884	439	0	0	0	20	419	85	334
PCT7311	ED	917	266	0	0	0	13	253	31	222
PCT7311	MV	917	448	0	0	0	18	430	62	368
PCT7312	ED	821	203	0	0	0	10	193	33	160
PCT7312	MV	821	470	0	0	0	30	440	85	355
PCT7313	ED	968	224	1	0	0	11	212	21	191
PCT7313	MV	968	485	0	0	0	41	444	63	381
PCT7314	ED	787	125	0	0	0	11	114	22	92
PCT7314	MV	787	271	0	0	0	35	236	20	216
PCT7315	ED	760	220	0	0	0	17	203	25	178
PCT7315	MV	760	282	0	0	0	19	263	38	225
PCT7316	ED	853	205	0	0	0	8	197	28	169
PCT7316	MV	853	367	0	0	0	27	340	49	291
PCT7317	ED	904	189	0	0	0	11	178	25	153
PCT7317	MV	904	454	0	0	0	23	431	76	355
PCT7318	ED	727	179	0	0	0	17	162	25	137
PCT7318	MV	727	389	0	0	0	22	367	52	315
PCT7319	ED	1079	298	0	0	0	17	281	33	248
PCT7319	MV	1079	516	0	0	0	41	475	85	390
PCT7321	ED	671	149	0	0	0	14	135	17	118
PCT7321	MV	671	286	0	0	0	29	257	44	213
PCT7322	ED	874	64	0	0	0	8	56	9	47
PCT7322	MV	874	337	0	0	0	45	292	41	251
PCT7323	ED	950	234	0	0	0	13	221	41	180
PCT7323	MV	950	455	0	0	1	28	426	65	361
PCT7324	ED	755	189	0	0	0	15	174	23	151
PCT7324	MV	755	364	0	0	1	20	343	40	303
PCT7325	ED	904	240	0	0	0	21	219	31	188
PCT7325	MV	904	436	0	0	0	36	400	49	351
PCT7326	ED	876	199	0	0	0	9	190	18	172
PCT7326	MV	876	429	0	0	0	25	404	67	337
PCT7327	ED	699	71	0	0	0	9	62	10	52
PCT7327	MV	699	276	0	0	0	32	244	50	194
PCT7328	ED	973	94	0	0	0	16	78	16	62
PCT7328	MV	973	394	0	0	0	61	333	50	283
PCT7329	ED	640	112	0	0	0	6	106	19	87
PCT7329	MV	640	321	0	0	0	22	299	71	228
PCT7331	ED	852	213	0	0	0	16	197	58	139
PCT7331	MV	852	461	0	0	0	23	438	103	335
PCT7332	ED	834	223	0	0	0	18	205	25	180
PCT7332	MV	834	364	0	0	0	22	342	43	299
PCT7333	ED	1044	295	0	0	0	21	274	30	244
PCT7333	MV	1044	543	0	0	0	27	516	79	437
PCT7334	ED	881	199	0	0	0	11	188	27	161
PCT7334	MV	881	462	0	0	0	33	429	44	385
PCT7335	ED	970	225	0	0	0	10	215	23	192
PCT7335	MV	970	523	0	0	0	25	498	91	407
PCT7336	ED	955	236	0	0	0	16	220	37	183
PCT7336	MV	955	523	0	0	0	29	494	101	393
PCT7337	ED	851	178	0	0	0	9	169	31	138
PCT7337	MV	851	464	0	0	0	25	439	93	346
PCT7338	ED	915	153	0	0	0	7	146	15	131
PCT7338	MV	915	426	0	0	0	40	386	67	319
PCT7339	ED	669	174	0	0	0	11	163	19	144
PCT7339	MV	669	309	0	0	1	11	297	36	261
PCT7341	ED	908	260	0	0	0	14	246	30	216
PCT7341	MV	908	401	0	0	1	28	372	47	325
PCT7342	ED	947	333	0	0	0	16	317	36	281
PCT7342	MV	947	414	0	0	0	17	397	50	347
PCT7343	ED	731	234	0	0	0	14	220	22	198
PCT7343	MV	731	316	0	0	0	13	303	39	264
PCT7344	ED	1110	287	0	0	0	17	270	39	231
PCT7344	MV	1110	538	0	0	0	20	518	68	450
PCT7345	ED	1141	327	1	0	0	10	316	42	274
PCT7345	MV	1141	521	0	0	0	22	499	60	439
PCT7346	ED	920	248	0	0	0	20	228	19	209
PCT7346	MV	920	384	0	0	0	14	370	34	336
PCT7347	ED	1040	240	0	0	0	15	225	22	203
PCT7347	MV	1040	480	0	0	1	25	454	37	417
PCT7348	ED	861	210	0	0	0	8	202	29	173
PCT7348	MV	861	353	0	0	0	15	338	43	295
PCT7349	ED	957	247	0	0	0	8	239	36	203
PCT7349	MV	957	427	0	0	0	24	403	58	345
PCT7501	ED	565	172	0	0	0	3	169	22	147
PCT7501	MV	565	308	0	0	0	21	287	43	244
PCT7502	ED	784	180	1	0	0	12	167	25	142
PCT7502	MV	784	447	0	0	1	27	419	66	353
PCT7503	ED	764	207	0	0	0	16	191	29	162
PCT7503	MV	764	388	0	0	0	18	370	48	322
PCT7504	ED	503	112	0	0	0	6	106	18	88
PCT7504	MV	503	222	0	0	0	10	212	24	188
PCT7505	ED	869	158	0	0	0	13	145	22	123
PCT7505	MV	869	532	0	0	0	30	502	82	420
PCT7506	ED	999	224	0	0	0	11	213	16	197
PCT7506	MV	999	473	0	0	0	14	459	63	396
PCT7507	ED	955	210	0	0	1	15	194	32	162
PCT7507	MV	955	344	0	0	0	17	327	26	301
PCT7508	ED	727	154	0	0	0	14	140	16	124
PCT7508	MV	727	427	0	0	0	25	402	48	354
PCT7509	ED	932	235	2	0	0	5	228	29	199
PCT7509	MV	932	470	1	0	0	15	454	44	410
PCT7512	ED	612	149	0	0	0	12	137	40	97
PCT7512	MV	612	283	0	0	0	12	271	61	210
PCT7513	ED	818	225	0	0	1	29	195	20	175
PCT7513	MV	818	315	0	0	1	19	295	45	250
PCT7514	ED	874	140	0	0	0	6	134	17	117
PCT7514	MV	874	305	0	0	0	32	273	27	246
PCT7515	ED	869	211	0	0	0	13	198	19	179
PCT7515	MV	869	389	0	0	0	16	373	41	332
PCT7516	ED	922	172	0	0	0	10	162	20	142
PCT7516	MV	922	538	0	0	0	29	509	71	438
PCT7517	ED	863	289	0	0	0	15	274	14	260
PCT7517	MV	863	410	0	0	0	22	388	19	369
PCT7518	ED	950	309	0	0	0	21	288	20	268
PCT7518	MV	950	480	0	0	0	30	450	29	421
PCT7519	ED	737	224	0	0	0	8	216	15	201
PCT7519	MV	737	355	0	0	0	22	333	19	314
PCT7521	ED	812	291	0	0	0	19	272	19	253
PCT7521	MV	812	354	0	0	0	17	337	10	327
PCT7522	ED	764	207	0	0	0	10	197	12	185
PCT7522	MV	764	397	0	0	0	18	379	14	365
PCT7523	ED	747	275	0	0	0	14	261	24	237
PCT7523	MV	747	359	0	0	1	14	344	29	315
PCT7524	ED	615	181	0	0	0	17	164	8	156
PCT7524	MV	615	262	0	0	0	13	249	15	234
