area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	078:KONSTANTINOS RODITIS	079:BETTY T. YEE
PCT7345	ED	1141	327	1	0	0	10	316	41	275
PCT7345	MV	1141	521	0	0	0	18	503	54	449
PCT7346	ED	920	248	0	0	0	16	232	20	212
PCT7346	MV	920	384	0	0	0	12	372	35	337
PCT7347	ED	1040	240	0	0	0	12	228	20	208
PCT7347	MV	1040	480	0	0	1	20	459	35	424
PCT7348	ED	861	210	0	0	0	6	204	28	176
PCT7348	MV	861	353	0	0	0	18	335	44	291
PCT7349	ED	957	247	0	0	0	6	241	34	207
PCT7349	MV	957	427	0	0	0	21	406	54	352
PCT7501	ED	565	172	0	0	0	6	166	20	146
PCT7501	MV	565	308	0	0	0	15	293	40	253
PCT7502	ED	784	180	1	0	0	12	167	21	146
PCT7502	MV	784	447	0	0	1	24	422	61	361
PCT7503	ED	764	207	0	0	0	16	191	24	167
PCT7503	MV	764	388	0	0	0	15	373	56	317
PCT7504	ED	503	112	0	0	0	5	107	17	90
PCT7504	MV	503	222	0	0	0	11	211	24	187
PCT7505	ED	869	158	0	0	0	17	141	15	126
PCT7505	MV	869	532	0	0	0	27	505	71	434
PCT7506	ED	999	224	0	0	0	9	215	17	198
PCT7506	MV	999	473	0	0	0	16	457	65	392
PCT7507	ED	955	210	0	0	1	18	191	22	169
PCT7507	MV	955	344	0	0	0	14	330	23	307
PCT7508	ED	727	154	0	0	0	11	143	20	123
PCT7508	MV	727	427	0	0	0	21	406	37	369
PCT7509	ED	932	235	2	0	0	5	228	29	199
PCT7509	MV	932	470	1	0	0	11	458	42	416
PCT7512	ED	612	149	0	0	0	10	139	41	98
PCT7512	MV	612	283	0	0	0	13	270	61	209
PCT7513	ED	818	225	0	0	1	20	204	17	187
PCT7513	MV	818	315	0	0	2	17	296	41	255
PCT7514	ED	874	140	0	0	0	13	127	9	118
PCT7514	MV	874	305	0	0	0	29	276	21	255
PCT7515	ED	869	211	0	0	0	19	192	16	176
PCT7515	MV	869	389	0	0	0	15	374	33	341
PCT7516	ED	922	172	0	0	0	7	165	20	145
PCT7516	MV	922	538	0	0	0	27	511	64	447
PCT7517	ED	863	289	0	0	0	13	276	13	263
PCT7517	MV	863	410	0	0	0	16	394	18	376
PCT7518	ED	950	309	0	0	0	15	294	23	271
