area_id	registration	total_ballots	ed_ballots	mv_ballots
PCT9248	907	745	258	487
PCT9249	917	766	271	495
PCT9251	995	817	287	530
PCT9252	944	769	219	550
PCT9253	772	584	187	397
PCT9254	935	768	230	538
PCT9255	553	446	183	263
PCT9256	474	363	130	233
PCT9257	321	249	14	235
PCT9258	712	566	193	373
PCT9401	1012	777	293	484
PCT9402	977	748	290	458
PCT9403	897	659	240	419
PCT9404	930	662	200	462
PCT9405	786	574	210	364
PCT9406	868	665	244	421
PCT9407	889	662	253	409
PCT9408	886	680	265	415
PCT9409	590	453	201	252
PCT9411	956	702	271	431
PCT9412	848	625	245	380
PCT9413	894	690	229	461
PCT9414	916	679	216	463
PCT9415	784	579	187	392
PCT9416	1008	762	282	480
PCT9417	752	577	175	402
PCT9418	790	587	211	376
PCT9419	924	690	222	468
PCT9421	906	684	238	446
PCT9422	1056	796	283	513
PCT9423	889	659	219	440
PCT9424	952	720	224	496
PCT9425	933	664	199	465
PCT9426	823	606	198	408
PCT9427	948	657	210	447
PCT9428	961	701	183	518
PCT9429	899	660	228	432
PCT9431	973	699	235	464
PCT9432	945	682	214	468
PCT9433	945	682	195	487
PCT9434	979	742	261	481
PCT9435	969	699	251	448
PCT9436	1006	727	232	495
PCT9437	897	654	219	435
PCT9438	948	698	202	496
PCT9439	879	598	173	425
PCT9441	980	723	261	462
PCT9442	1008	741	280	461
PCT9443	937	662	220	442
PCT9444	937	632	190	442
PCT9445	981	723	230	493
PCT9446	1090	804	240	564
PCT9447	906	684	236	448
PCT9448	909	661	232	429
PCT9449	830	605	177	428
PCT9451	420	315	97	218
PCT9452	840	671	259	412
PCT9453	500	379	135	244
PCT9501	148	118	8	110
PCT9502	245	194	17	177
PCT9503	729	513	198	315
PCT9505	784	560	177	383
PCT9506	766	490	177	313
PCT9507	766	637	231	406
PCT9508	798	666	237	429
PCT9509	759	616	230	386
PCT9511	622	486	190	296
PCT9512	809	639	240	399
PCT9513	902	665	275	390
PCT9514	928	760	304	456
PCT9515	705	590	222	368
PCT9516	866	681	254	427
PCT9517	801	625	228	397
PCT9518	802	660	229	431
PCT9519	910	748	262	486
PCT9521	939	758	316	442
PCT9701	671	541	201	340
PCT9702	723	574	210	364
PCT9703	986	762	232	530
PCT9704	950	784	279	505
PCT9705	919	744	261	483
PCT9706	49	41	2	39
PCT9707	821	664	173	491
PCT9708	948	750	250	500
PCT9709	1028	798	281	517
PCT9711	641	531	195	336
PCT9712	649	558	160	398
PCT9713	960	714	225	489
PCT9714	931	746	208	538
PCT9715	569	489	180	309
PCT9716	947	720	239	481
PCT9717	972	797	265	532
PCT9718	862	723	227	496
PCT9719	901	769	245	524
PCT9721	662	555	198	357
PCT9722	605	474	119	355
PCT9723	481	373	98	275
PCT9724	991	770	205	565
PCT9725	970	713	214	499
PCT9726	655	504	263	241
PCT9727	459	350	79	271
PCT9728	926	734	231	503
PCT9729	800	633	191	442
PCT9731	556	449	167	282
PCT9732	70	58	2	56
PCT9733	235	198	7	191
PCT9734	603	495	154	341
PCT9735	809	655	206	449
PCT9736	713	583	173	410
PCT9737	818	684	208	476
PCT9738	848	589	185	404
PCT9739	828	555	220	335
PCT9741	552	337	232	105
PCT9742	677	469	180	289
PCT9743	1163	811	310	501
PCT9744	911	638	247	391
PCT9745	991	628	282	346
PCT9746	884	684	232	452
PCT9747	973	716	246	470
PCT9748	931	704	229	475
PCT9749	913	609	225	384
PCT9751	1016	776	253	523
PCT9752	710	567	175	392
PCT9753	756	574	186	388
PCT9754	707	424	47	377
PCT9755	582	457	172	285
PCT9756	941	662	185	477
PCT9801	408	285	104	181
PCT9900	0	0	0	0
PCT9901	0	0	0	0
PCT9902	0	0	0	0
