area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	133:NICK JOSEFOWITZ	134:JOHN DENNIS	135:SCHUYLER HUDAK	136:CATHERINE STEFANI
PCT9218	MV	841	0	0	0	0	0	0	0	0	0	0	0
PCT9219	ED	802	0	0	0	0	0	0	0	0	0	0	0
PCT9219	MV	802	0	0	0	0	0	0	0	0	0	0	0
PCT9221	ED	651	0	0	0	0	0	0	0	0	0	0	0
PCT9221	MV	651	0	0	0	0	0	0	0	0	0	0	0
PCT9222	ED	883	0	0	0	0	0	0	0	0	0	0	0
PCT9222	MV	883	0	0	0	0	0	0	0	0	0	0	0
PCT9223	ED	638	0	0	0	0	0	0	0	0	0	0	0
PCT9223	MV	638	0	0	0	0	0	0	0	0	0	0	0
PCT9224	ED	960	0	0	0	0	0	0	0	0	0	0	0
PCT9224	MV	960	0	0	0	0	0	0	0	0	0	0	0
PCT9225	ED	958	0	0	0	0	0	0	0	0	0	0	0
PCT9225	MV	958	0	0	0	0	0	0	0	0	0	0	0
PCT9226	ED	926	0	0	0	0	0	0	0	0	0	0	0
PCT9226	MV	926	0	0	0	0	0	0	0	0	0	0	0
PCT9227	ED	738	0	0	0	0	0	0	0	0	0	0	0
PCT9227	MV	738	0	0	0	0	0	0	0	0	0	0	0
PCT9228	ED	747	0	0	0	0	0	0	0	0	0	0	0
PCT9228	MV	747	0	0	0	0	0	0	0	0	0	0	0
PCT9229	ED	598	0	0	0	0	0	0	0	0	0	0	0
PCT9229	MV	598	0	0	0	0	0	0	0	0	0	0	0
PCT9231	ED	953	0	0	0	0	0	0	0	0	0	0	0
PCT9231	MV	953	0	0	0	0	0	0	0	0	0	0	0
PCT9232	ED	735	0	0	0	0	0	0	0	0	0	0	0
PCT9232	MV	735	0	0	0	0	0	0	0	0	0	0	0
PCT9233	ED	793	0	0	0	0	0	0	0	0	0	0	0
PCT9233	MV	793	0	0	0	0	0	0	0	0	0	0	0
PCT9234	ED	746	0	0	0	0	0	0	0	0	0	0	0
PCT9234	MV	746	0	0	0	0	0	0	0	0	0	0	0
PCT9235	ED	884	0	0	0	0	0	0	0	0	0	0	0
PCT9235	MV	884	0	0	0	0	0	0	0	0	0	0	0
PCT9236	ED	683	0	0	0	0	0	0	0	0	0	0	0
PCT9236	MV	683	0	0	0	0	0	0	0	0	0	0	0
PCT9237	ED	936	0	0	0	0	0	0	0	0	0	0	0
PCT9237	MV	936	0	0	0	0	0	0	0	0	0	0	0
PCT9238	ED	842	0	0	0	0	0	0	0	0	0	0	0
PCT9238	MV	842	0	0	0	0	0	0	0	0	0	0	0
PCT9239	ED	881	0	0	0	0	0	0	0	0	0	0	0
PCT9239	MV	881	0	0	0	0	0	0	0	0	0	0	0
PCT9241	ED	1005	0	0	0	0	0	0	0	0	0	0	0
PCT9241	MV	1005	0	0	0	0	0	0	0	0	0	0	0
PCT9242	ED	972	0	0	0	0	0	0	0	0	0	0	0
PCT9242	MV	972	0	0	0	0	0	0	0	0	0	0	0
PCT9243	ED	594	0	0	0	0	0	0	0	0	0	0	0
PCT9243	MV	594	0	0	0	0	0	0	0	0	0	0	0
PCT9244	ED	903	0	0	0	0	0	0	0	0	0	0	0
PCT9244	MV	903	0	0	0	0	0	0	0	0	0	0	0
PCT9245	ED	742	0	0	0	0	0	0	0	0	0	0	0
PCT9245	MV	742	0	0	0	0	0	0	0	0	0	0	0
PCT9246	ED	929	0	0	0	0	0	0	0	0	0	0	0
PCT9246	MV	929	0	0	0	0	0	0	0	0	0	0	0
PCT9247	ED	927	0	0	0	0	0	0	0	0	0	0	0
PCT9247	MV	927	0	0	0	0	0	0	0	0	0	0	0
PCT9248	ED	907	0	0	0	0	0	0	0	0	0	0	0
PCT9248	MV	907	0	0	0	0	0	0	0	0	0	0	0
PCT9249	ED	917	0	0	0	0	0	0	0	0	0	0	0
PCT9249	MV	917	0	0	0	0	0	0	0	0	0	0	0
PCT9251	ED	995	0	0	0	0	0	0	0	0	0	0	0
PCT9251	MV	995	0	0	0	0	0	0	0	0	0	0	0
PCT9252	ED	944	0	0	0	0	0	0	0	0	0	0	0
PCT9252	MV	944	0	0	0	0	0	0	0	0	0	0	0
PCT9253	ED	772	0	0	0	0	0	0	0	0	0	0	0
PCT9253	MV	772	0	0	0	0	0	0	0	0	0	0	0
PCT9254	ED	935	0	0	0	0	0	0	0	0	0	0	0
PCT9254	MV	935	0	0	0	0	0	0	0	0	0	0	0
PCT9255	ED	553	0	0	0	0	0	0	0	0	0	0	0
PCT9255	MV	553	0	0	0	0	0	0	0	0	0	0	0
PCT9256	ED	474	0	0	0	0	0	0	0	0	0	0	0
PCT9256	MV	474	0	0	0	0	0	0	0	0	0	0	0
PCT9257	MV	321	0	0	0	0	0	0	0	0	0	0	0
PCT9258	ED	712	0	0	0	0	0	0	0	0	0	0	0
PCT9258	MV	712	0	0	0	0	0	0	0	0	0	0	0
CONG12	TO	50394	0	0	0	0	0	0	0	0	0	0	0
ASSM17	TO	6916	0	0	0	0	0	0	0	0	0	0	0
ASSM19	TO	43478	0	0	0	0	0	0	0	0	0	0	0
BART8	TO	46248	0	0	0	0	0	0	0	0	0	0	0
BART9	TO	4146	0	0	0	0	0	0	0	0	0	0	0
SUPV2	TO	50394	0	0	0	0	0	0	0	0	0	0	0
NEIG10	TO	4893	0	0	0	0	0	0	0	0	0	0	0
NEIG11	TO	37577	0	0	0	0	0	0	0	0	0	0	0
NEIG18	TO	6194	0	0	0	0	0	0	0	0	0	0	0
NEIG25	TO	1730	0	0	0	0	0	0	0	0	0	0	0
