area_id	subtotal_type	party	RSReg	RSCst	RSCnt	RSPnd	RSCha
PCT1124	MV	AI	9	0	0	0	0
PCT1124	MV	DEM	298	0	0	0	0
PCT1124	MV	GRN	1	0	0	0	0
PCT1124	MV	LIB	3	0	0	0	0
PCT1124	MV	PF	6	0	0	0	0
PCT1124	MV	REP	22	0	0	0	0
PCT1124	MV	NPP	231	0	0	0	0
PCT1125	TO	ALL	1047	0	0
PCT1125	ED	ALL	239	0	0
PCT1125	MV	ALL	808	0	0	0	0
PCT1125	MV	AI	6	0	0	0	0
PCT1125	MV	DEM	423	0	0	0	0
PCT1125	MV	GRN	4	0	0	0	0
PCT1125	MV	LIB	5	0	0	0	0
PCT1125	MV	PF	8	0	0	0	0
PCT1125	MV	REP	44	0	0	0	0
PCT1125	MV	NPP	311	0	0	0	0
PCT1126	TO	ALL	922	0	0
PCT1126	ED	ALL	239	0	0
PCT1126	MV	ALL	683	0	0	0	0
PCT1126	MV	AI	7	0	0	0	0
PCT1126	MV	DEM	363	0	0	0	0
PCT1126	MV	GRN	2	0	0	0	0
PCT1126	MV	LIB	2	0	0	0	0
PCT1126	MV	PF	3	0	0	0	0
PCT1126	MV	REP	39	0	0	0	0
PCT1126	MV	NPP	263	0	0	0	0
PCT1127	TO	ALL	920	0	0
PCT1127	ED	ALL	255	0	0
PCT1127	MV	ALL	665	0	0	0	0
PCT1127	MV	AI	15	0	0	0	0
PCT1127	MV	DEM	339	0	0	0	0
PCT1127	MV	GRN	1	0	0	0	0
PCT1127	MV	LIB	2	0	0	0	0
PCT1127	MV	PF	5	0	0	0	0
PCT1127	MV	REP	54	0	0	0	0
PCT1127	MV	NPP	242	0	0	0	0
PCT1128	TO	ALL	838	0	0
PCT1128	ED	ALL	228	0	0
PCT1128	MV	ALL	610	0	0	0	0
PCT1128	MV	AI	11	0	0	0	0
PCT1128	MV	DEM	301	0	0	0	0
PCT1128	MV	GRN	2	0	0	0	0
PCT1128	MV	LIB	1	0	0	0	0
PCT1128	MV	PF	4	0	0	0	0
PCT1128	MV	REP	47	0	0	0	0
PCT1128	MV	NPP	241	0	0	0	0
PCT1129	TO	ALL	980	0	0
PCT1129	ED	ALL	295	0	0
PCT1129	MV	ALL	685	0	0	0	0
PCT1129	MV	AI	6	0	0	0	0
PCT1129	MV	DEM	361	0	0	0	0
PCT1129	MV	GRN	2	0	0	0	0
PCT1129	MV	LIB	3	0	0	0	0
PCT1129	MV	PF	5	0	0	0	0
PCT1129	MV	REP	45	0	0	0	0
PCT1129	MV	NPP	261	0	0	0	0
PCT1131	TO	ALL	797	0	0
PCT1131	ED	ALL	191	0	0
PCT1131	MV	ALL	606	0	0	0	0
PCT1131	MV	AI	4	0	0	0	0
PCT1131	MV	DEM	310	0	0	0	0
PCT1131	MV	GRN	1	0	0	0	0
PCT1131	MV	LIB	0	0	0	0	0
PCT1131	MV	PF	2	0	0	0	0
PCT1131	MV	REP	51	0	0	0	0
PCT1131	MV	NPP	236	0	0	0	0
PCT1132	TO	ALL	969	0	0
PCT1132	ED	ALL	249	0	0
PCT1132	MV	ALL	720	0	0	0	0
PCT1132	MV	AI	6	0	0	0	0
PCT1132	MV	DEM	354	0	0	0	0
PCT1132	MV	GRN	2	0	0	0	0
PCT1132	MV	LIB	6	0	0	0	0
PCT1132	MV	PF	4	0	0	0	0
PCT1132	MV	REP	43	0	0	0	0
PCT1132	MV	NPP	293	0	0	0	0
PCT1133	TO	ALL	863	0	0
PCT1133	ED	ALL	215	0	0
PCT1133	MV	ALL	648	0	0	0	0
PCT1133	MV	AI	7	0	0	0	0
PCT1133	MV	DEM	371	0	0	0	0
PCT1133	MV	GRN	2	0	0	0	0
PCT1133	MV	LIB	4	0	0	0	0
PCT1133	MV	PF	1	0	0	0	0
PCT1133	MV	REP	38	0	0	0	0
PCT1133	MV	NPP	220	0	0	0	0
PCT1134	TO	ALL	759	0	0
PCT1134	ED	ALL	247	0	0
PCT1134	MV	ALL	512	0	0	0	0
PCT1134	MV	AI	6	0	0	0	0
PCT1134	MV	DEM	266	0	0	0	0
PCT1134	MV	GRN	1	0	0	0	0
PCT1134	MV	LIB	1	0	0	0	0
PCT1134	MV	PF	3	0	0	0	0
PCT1134	MV	REP	39	0	0	0	0
PCT1134	MV	NPP	194	0	0	0	0
PCT1135	TO	ALL	540	0	0
PCT1135	ED	ALL	128	0	0
PCT1135	MV	ALL	412	0	0	0	0
PCT1135	MV	AI	6	0	0	0	0
PCT1135	MV	DEM	220	0	0	0	0
