area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	093:CRISTINA OSMEÑA	094:JACKIE SPEIER
PCT9729	MV	800	0	0	0	0	0	0	0
PCT9731	ED	556	0	0	0	0	0	0	0
PCT9731	MV	556	0	0	0	0	0	0	0
PCT9733	MV	235	0	0	0	0	0	0	0
PCT9734	ED	603	0	0	0	0	0	0	0
PCT9734	MV	603	0	0	0	0	0	0	0
PCT9735	ED	809	0	0	0	0	0	0	0
PCT9735	MV	809	0	0	0	0	0	0	0
PCT9736	ED	713	0	0	0	0	0	0	0
PCT9736	MV	713	0	0	0	0	0	0	0
PCT9737	ED	818	0	0	0	0	0	0	0
PCT9737	MV	818	0	0	0	0	0	0	0
PCT9738	ED	848	0	0	0	0	0	0	0
PCT9738	MV	848	0	0	0	0	0	0	0
PCT9739	ED	828	0	0	0	0	0	0	0
PCT9739	MV	828	0	0	0	0	0	0	0
PCT9741	ED	552	0	0	0	0	0	0	0
PCT9741	MV	552	0	0	0	0	0	0	0
PCT9742	ED	677	0	0	0	0	0	0	0
PCT9742	MV	677	0	0	0	0	0	0	0
PCT9743	ED	1163	0	0	0	0	0	0	0
PCT9743	MV	1163	0	0	0	0	0	0	0
PCT9744	ED	911	0	0	0	0	0	0	0
PCT9744	MV	911	0	0	0	0	0	0	0
PCT9745	ED	991	0	0	0	0	0	0	0
PCT9745	MV	991	0	0	0	0	0	0	0
PCT9746	ED	884	0	0	0	0	0	0	0
PCT9746	MV	884	0	0	0	0	0	0	0
PCT9747	ED	973	0	0	0	0	0	0	0
PCT9747	MV	973	0	0	0	0	0	0	0
PCT9748	ED	931	0	0	0	0	0	0	0
PCT9748	MV	931	0	0	0	0	0	0	0
PCT9749	ED	913	0	0	0	0	0	0	0
PCT9749	MV	913	0	0	0	0	0	0	0
PCT9751	ED	1016	0	0	0	0	0	0	0
PCT9751	MV	1016	0	0	0	0	0	0	0
PCT9752	ED	710	0	0	0	0	0	0	0
PCT9752	MV	710	0	0	0	0	0	0	0
PCT9753	ED	756	0	0	0	0	0	0	0
PCT9753	MV	756	0	0	0	0	0	0	0
PCT9754	ED	707	0	0	0	0	0	0	0
PCT9754	MV	707	0	0	0	0	0	0	0
PCT9755	ED	582	0	0	0	0	0	0	0
PCT9755	MV	582	0	0	0	0	0	0	0
PCT9756	ED	941	0	0	0	0	0	0	0
PCT9756	MV	941	0	0	0	0	0	0	0
PCT9801	ED	408	0	0	0	0	0	0	0
PCT9801	MV	408	0	0	0	0	0	0	0
CONG14	TO	56946	0	0	0	0	0	0	0
ASSM19	TO	56946	0	0	0	0	0	0	0
BART8	TO	50054	0	0	0	0	0	0	0
BART9	TO	6892	0	0	0	0	0	0	0
SUPV4	TO	500	0	0	0	0	0	0	0
SUPV7	TO	28578	0	0	0	0	0	0	0
SUPV8	TO	408	0	0	0	0	0	0	0
SUPV10	TO	273	0	0	0	0	0	0	0
SUPV11	TO	27187	0	0	0	0	0	0	0
NEIG5	TO	17331	0	0	0	0	0	0	0
NEIG7	TO	12118	0	0	0	0	0	0	0
NEIG9	TO	8390	0	0	0	0	0	0	0
NEIG21	TO	500	0	0	0	0	0	0	0
NEIG23	TO	273	0	0	0	0	0	0	0
NEIG24	TO	18334	0	0	0	0	0	0	0
